#mjd mag magerr
55061.92501 17.36481 0.01283
55061.95573 17.35876 0.01251
55063.91987 17.38208 0.0127
55063.9639 17.38449 0.01229
55064.92128 17.34686 0.01259
55064.9656 17.34541 0.01345
55066.91014 17.36633 0.01285
55066.95474 17.345 0.01263
55067.91649 17.39145 0.01529
55067.96099 17.3672 0.01526
55069.90324 17.35157 0.01235
55069.94786 17.3589 0.01263
55080.87449 17.29039 0.02422
55080.95988 17.34391 0.02965
55084.86328 17.35438 0.01558
55087.85609 17.32458 0.01211
55087.90101 17.3085 0.0119
55088.96983 17.32926 0.0121
55089.01521 17.31414 0.01256
55089.94574 17.31396 0.01238
55089.99042 17.32242 0.01234
55093.83741 17.32419 0.01219
55093.88196 17.31586 0.01182
55096.8292 17.29736 0.01289
55097.00858 17.28555 0.01434
55104.99862 17.30483 0.01604
55107.79764 17.31133 0.02161
55114.88125 17.25259 0.01574
55114.92522 17.22408 0.03103
55119.89538 17.26793 0.01271
55119.95365 17.2566 0.01286
55123.75696 17.24168 0.01145
55123.81523 17.23575 0.01131
55126.97957 17.23139 0.01415
55127.83329 17.20581 0.01213
55127.87706 17.22968 0.01262
55135.82555 17.24852 0.01956
55135.86926 17.22808 0.02114
55138.71472 17.2185 0.0218
55138.75871 17.16052 0.02278
55142.7036 17.18995 0.01146
55142.75219 17.18392 0.01273
55144.77886 17.19583 0.01148
55144.82305 17.18228 0.01197
55151.72943 17.26258 0.01263
55151.77257 17.21746 0.01153
55166.70473 17.21862 0.02074
55166.74897 17.21351 0.02136
55168.63378 17.21208 0.01695
55168.6775 17.26406 0.01774
55175.61224 17.20529 0.01185
55175.65684 17.22766 0.01116
55181.59421 17.27385 0.01722
55181.63825 17.24897 0.0149
55183.59204 17.2338 0.0209
55183.64253 17.23528 0.01244
55189.58054 17.24711 0.01467
55189.62557 17.24676 0.01349
55194.59026 17.2361 0.02422
55199.58559 17.26964 0.01265
55201.58642 17.32754 0.03096
55202.58667 17.28189 0.01514
55203.71441 17.25565 0.01446
55203.75743 17.28659 0.01448
55207.63092 17.24091 0.01535
55207.67514 17.2746 0.01169
55209.5968 17.2712 0.01122
55209.64149 17.25403 0.01115
55213.63312 17.26437 0.02962
55213.6798 17.2916 0.03023
55377.85123 17.60679 0.02617
55377.89535 17.52498 0.0217
55378.90615 17.61028 0.02793
55379.8591 17.54223 0.02153
55379.92482 17.50185 0.0166
55380.87684 17.5279 0.02252
55380.92078 17.54137 0.02101
55381.89606 17.52595 0.01671
55381.93934 17.49743 0.01605
55384.82671 17.53358 0.015
55384.87028 17.50858 0.01445
55385.87021 17.52316 0.01356
55385.91339 17.54217 0.01309
55386.86524 17.48811 0.01414
55386.90867 17.52424 0.0143
55387.87002 17.51893 0.01457
55387.91342 17.54445 0.01343
55388.86609 17.53914 0.01807
55388.91005 17.53195 0.01423
55390.80957 17.58143 0.01908
55390.85393 17.55768 0.01636
55391.80613 17.49521 0.0203
55391.87538 17.53332 0.01469
55392.83258 17.51883 0.01622
55392.87538 17.55292 0.01383
55394.79908 17.52363 0.01906
55394.8431 17.55636 0.01611
55395.79551 17.53286 0.02219
55395.84215 17.53665 0.0151
55396.79527 17.56902 0.02182
55396.83932 17.54483 0.01445
55397.79163 17.56399 0.02404
55397.83526 17.52944 0.01538
55398.78764 17.63054 0.02827
55398.83124 17.57396 0.01853
55399.78802 17.55456 0.02795
55399.83261 17.56938 0.02198
55400.78534 17.5831 0.0292
55400.8289 17.55495 0.02229
55401.78133 17.49272 0.03237
55401.82518 17.52367 0.02623
55402.77979 17.53913 0.04074
55402.8246 17.59222 0.03147
55403.77642 17.50572 0.04185
55403.81973 17.54471 0.03164
55404.77424 17.54821 0.03517
55404.84266 17.55003 0.02506
55405.8416 17.54227 0.02599
55407.7691 17.58191 0.03301
55407.83003 17.57819 0.02943
55408.78389 17.65072 0.05553
55411.79896 17.56485 0.0202
55412.75232 17.54356 0.0302
