#mjd mag magerr
55061.92501 14.93346 0.0054
55061.95573 14.92986 0.00526
55063.91987 14.94369 0.00482
55063.9639 14.92985 0.00523
55064.92128 14.97042 0.00519
55064.9656 14.95898 0.00528
55066.91014 14.9334 0.00515
55066.95474 14.94264 0.00527
55067.91649 14.98062 0.00554
55067.96099 14.95049 0.00591
55069.90324 14.9531 0.00543
55069.94786 14.96596 0.00537
55080.87449 15.05038 0.00939
55084.86328 15.03478 0.0073
55087.85609 14.98675 0.00519
55087.90101 14.97616 0.00509
55088.96983 14.96299 0.00496
55089.01521 14.95543 0.00544
55089.94574 14.96864 0.00539
55089.99042 14.97067 0.00543
55093.83741 14.99466 0.00558
55093.88196 14.9581 0.00552
55096.8292 14.98235 0.00607
55097.00858 14.98279 0.00641
55104.99862 15.04044 0.00642
55107.79764 15.06902 0.00914
55114.88125 14.98094 0.00924
55119.89538 15.01691 0.00639
55119.95365 14.98531 0.00637
55123.75696 14.98894 0.00538
55123.81523 14.9767 0.00532
55126.97957 15.03113 0.00712
55127.83329 14.99169 0.00551
55127.87706 14.98299 0.00647
55135.82555 15.04182 0.00889
55135.86926 15.04284 0.00968
55138.71472 15.1057 0.0091
55142.7036 14.98474 0.00549
55142.75219 15.0107 0.0061
55144.77886 14.99058 0.00625
55144.82305 15.00372 0.00628
55151.72943 14.96331 0.00597
55151.77257 14.98144 0.00565
55166.74897 15.08874 0.00946
55168.63378 15.04297 0.00758
55168.6775 15.0425 0.00804
55175.61224 14.95753 0.00589
55175.65684 14.96928 0.00568
55181.59421 15.04123 0.0081
55181.63825 14.96193 0.00724
55183.59204 15.03017 0.00842
55183.64253 14.95056 0.0067
55189.58054 14.99703 0.00601
55189.62557 14.98022 0.00575
55194.59026 15.02408 0.01083
55199.58559 14.95868 0.00584
55202.58667 15.00254 0.00729
55203.71441 14.99938 0.00779
55203.75743 15.03948 0.00809
55207.63092 14.9595 0.01001
55207.67514 14.97168 0.00588
55209.5968 14.95555 0.00553
55209.64149 14.95791 0.00531
55213.63312 14.97812 0.02814
55213.6798 15.03906 0.02843
55377.85123 14.97361 0.00804
55377.89535 14.94039 0.00693
55378.86379 14.92441 0.01093
55378.90615 14.91636 0.00909
55379.8591 14.97466 0.00625
55379.92482 14.91038 0.00576
55380.87684 14.94465 0.00702
55380.92078 14.93493 0.00656
55381.89606 14.91569 0.00571
55381.93934 14.90089 0.00584
55384.82671 14.89126 0.00571
55384.87028 14.89647 0.00541
55385.87021 14.88402 0.00491
55385.91339 14.89486 0.0051
55386.86524 14.87794 0.00556
55386.90867 14.88627 0.00486
55387.87002 14.86617 0.01036
55387.91342 14.87151 0.01005
55388.86609 14.88387 0.0077
55388.91005 14.8905 0.00607
55389.97252 14.98929 0.04822
55390.80957 14.94324 0.00538
55390.85393 14.88406 0.00587
55391.80613 14.90444 0.00609
55391.87538 14.89353 0.00518
55392.83258 14.92783 0.00649
55392.87538 14.89771 0.00556
55394.79908 14.91724 0.00604
55394.8431 14.89255 0.0055
55395.79551 14.96287 0.00758
55395.84215 14.89428 0.00577
55396.79527 14.94996 0.0063
55396.83932 14.89047 0.00506
55397.79163 14.9766 0.00747
55397.83526 14.9123 0.00576
55398.78764 14.98883 0.00753
55398.83124 14.98548 0.00601
55399.83261 14.98644 0.00664
55400.78534 15.03776 0.00828
55400.8289 14.94157 0.00714
55401.78133 15.0258 0.0106
55401.82518 15.00331 0.00851
55402.77979 14.99544 0.01179
55402.8246 15.00996 0.00923
55403.81973 15.0287 0.00951
55404.77424 14.99085 0.00989
55404.84266 15.02363 0.00858
55405.8416 14.99548 0.00796
55407.7691 14.99664 0.01009
55407.83003 15.02643 0.00829
55411.75477 14.991 0.03553
55411.79896 14.94047 0.00735
55412.75232 15.0192 0.0262
55412.79539 14.96684 0.01916
55413.75577 15.01097 0.01574
55413.79945 14.95548 0.01119
55414.79555 14.93506 0.01782
55415.75266 14.97054 0.01426
55415.79727 14.99257 0.02067
55416.75096 14.97698 0.01036
55416.79342 14.92847 0.01086
55417.75979 15.03146 0.02305
55417.84511 14.99199 0.02718
55418.79843 14.93295 0.01314
55418.84121 14.87569 0.01936
55419.75121 15.03287 0.02603
55419.79504 14.97119 0.01418
55420.78929 14.96151 0.01826
55420.83264 14.87666 0.01518
55421.73664 14.89908 0.00585
55421.79901 14.89541 0.00501
55422.75115 14.89699 0.00568
55422.79487 14.88219 0.00518
55423.74742 14.91164 0.00543
55423.79284 14.89155 0.00528
55424.75349 14.96122 0.00633
55424.80178 14.90178 0.00556
55425.76166 14.94178 0.00596
55425.80573 14.89736 0.00529
55426.80123 14.93601 0.00735
55426.8444 14.89226 0.00706
55427.79708 14.93556 0.00593
55427.8408 14.94169 0.0054
55428.79281 14.94528 0.00626
55428.83703 14.93766 0.00566
55429.8142 14.95947 0.006
55429.85716 14.93771 0.00601
55430.75769 14.97837 0.00762
55430.80485 14.96526 0.00717
55431.75639 14.97881 0.00758
55431.80024 14.98164 0.0072
55432.78359 14.99621 0.00853
55433.7493 14.99401 0.01
55434.73769 15.02109 0.00982
55435.69148 15.01945 0.01105
55435.74218 15.02985 0.01095
