#mjd mag magerr
55061.92501 19.73746 0.05315
55061.95573 19.71886 0.05124
55063.91987 19.68469 0.05388
55063.9639 19.74386 0.05402
55064.92128 19.79242 0.0557
55064.9656 19.67198 0.0578
55066.91014 19.6474 0.05739
55066.95474 19.67764 0.05043
55067.91649 19.79462 0.0772
55067.96099 19.68249 0.08841
55069.90324 19.7741 0.0615
55069.94786 19.71697 0.0613
55080.87449 19.57038 0.12899
55084.86328 19.81979 0.09091
55087.85609 19.75875 0.0572
55087.90101 19.69015 0.05239
55088.96983 19.66998 0.05578
55089.01521 19.67543 0.0574
55089.94574 19.72464 0.06779
55089.99042 19.90467 0.06789
55093.83741 19.80066 0.06072
55093.88196 19.8091 0.0683
55096.8292 19.87335 0.06446
55097.00858 19.77478 0.08143
55104.99862 19.97444 0.0925
55107.79764 19.99802 0.14148
55114.88125 19.92094 0.08029
55114.92522 19.52773 0.14633
55119.89538 19.93891 0.08193
55119.95365 19.78931 0.11328
55123.75696 19.85994 0.07508
55123.81523 19.8827 0.07298
55126.97957 19.91113 0.11948
55127.83329 19.85769 0.07018
55127.87706 19.92599 0.09322
55138.71472 19.7627 0.16665
55138.75871 20.14214 0.16668
55142.7036 19.74674 0.08136
55142.75219 19.6967 0.08677
55144.77886 19.75458 0.06616
55144.82305 19.92372 0.09449
55151.72943 19.6673 0.0871
55151.77257 19.72244 0.0688
55166.70473 19.93579 0.14287
55168.63378 19.77697 0.09368
55168.6775 19.72449 0.1013
55175.61224 19.80353 0.05887
55175.65684 19.84228 0.05716
55181.59421 19.89223 0.09575
55181.63825 19.80194 0.08265
55183.59204 19.80417 0.11534
55183.64253 19.97356 0.08193
55189.58054 19.89403 0.08588
55189.62557 19.92022 0.08557
55194.59026 19.87408 0.12761
55199.58559 19.80468 0.07221
55202.58667 19.92955 0.08608
55203.71441 19.97538 0.10245
55203.75743 19.77248 0.10036
55207.63092 19.7625 0.07482
55207.67514 19.83468 0.0707
55209.5968 19.84455 0.06492
55209.64149 19.83291 0.0625
55213.63312 19.81612 0.08534
55213.6798 19.95007 0.10246
55377.85123 20.05361 0.14939
55377.89535 19.78539 0.12337
55379.8591 20.29966 0.12274
55379.92482 19.90138 0.09506
55380.92078 20.05193 0.12287
55381.89606 20.02969 0.11305
55381.93934 19.71489 0.08318
55384.82671 19.85126 0.07511
55384.87028 19.86147 0.08139
55385.87021 19.97802 0.08206
55385.91339 19.93586 0.0671
55386.86524 19.71994 0.07441
