#mjd mag magerr
55061.92501 19.69334 0.04534
55061.95573 19.75077 0.04415
55063.91987 19.62513 0.04072
55063.9639 19.62961 0.04137
55064.92128 19.62126 0.05187
55064.9656 19.58921 0.04922
55066.91014 19.72397 0.04578
55066.95474 19.64935 0.0439
55067.91649 19.62116 0.06938
55067.96099 19.60727 0.07005
55069.90324 19.65608 0.04842
55069.94786 19.72055 0.04966
55080.87449 19.73681 0.14235
55080.95988 19.75206 0.13846
55084.86328 19.59076 0.06676
55087.85609 19.6191 0.05247
55087.90101 19.56053 0.0537
55088.96983 19.73216 0.04844
55089.01521 19.67131 0.05245
55089.94574 19.73234 0.05205
55089.99042 19.65801 0.05132
55093.83741 19.69093 0.05161
55093.88196 19.74051 0.05155
55096.8292 19.78106 0.05102
55097.00858 19.81378 0.061
55104.99862 19.81234 0.07042
55107.79764 19.64666 0.09729
55114.88125 19.58497 0.06398
55119.89538 19.62219 0.06313
55119.95365 19.74006 0.06185
55123.75696 19.64479 0.05839
55123.81523 19.73914 0.06003
55126.97957 19.56264 0.07235
55127.83329 19.74678 0.06314
55127.87706 19.75077 0.06737
55135.82555 19.71298 0.11748
55135.86926 19.54127 0.12503
55138.71472 19.62356 0.1299
55138.75871 19.83586 0.11989
55142.7036 19.68527 0.05771
55142.75219 19.62663 0.06429
55144.77886 19.77555 0.05559
55144.82305 19.42324 0.06712
55151.72943 19.63782 0.07185
55166.70473 19.69496 0.10182
55166.74897 19.75683 0.11532
55168.63378 19.58437 0.08316
55168.6775 19.59476 0.08689
55175.61224 19.68236 0.05315
55175.65684 19.68635 0.0511
55181.59421 19.59433 0.07451
55181.63825 19.68498 0.07044
55183.59204 19.68731 0.10618
55183.64253 19.62652 0.05855
55189.58054 19.69434 0.08226
55189.62557 19.46755 0.08483
55194.59026 19.83555 0.10939
55199.58559 19.66292 0.05614
55201.58642 19.98992 0.15923
55202.58667 19.77235 0.07586
55203.71441 19.61597 0.06924
55203.75743 19.59693 0.07418
55207.63092 19.67631 0.05958
55207.67514 19.6449 0.05398
55209.5968 19.67339 0.05019
55209.64149 19.60617 0.05081
55213.63312 19.75171 0.07183
55213.6798 19.58562 0.07307
55377.89535 19.74352 0.09461
55379.8591 20.08424 0.11526
55379.92482 19.65907 0.0868
55380.87684 19.7355 0.10352
55380.92078 19.51959 0.10071
55381.89606 19.79937 0.07792
55381.93934 19.80367 0.07971
55384.82671 19.99195 0.07877
55384.87028 19.83098 0.07149
55385.87021 19.85544 0.05893
55385.91339 19.63674 0.0627
