#mjd mag magerr
61.92501 19.79746 0.05674
61.95573 19.80886 0.05513
63.91987 19.88969 0.05847
63.9639 19.84286 0.0617
64.92128 19.87942 0.06369
64.9656 19.86398 0.06409
66.91014 19.8574 0.05959
66.95474 19.80464 0.05482
67.96099 20.21149 0.09321
69.90324 19.9331 0.06899
69.94786 20.03097 0.07758
80.87449 20.06238 0.14448
84.86328 20.28679 0.1043
87.85609 19.91675 0.06748
87.90101 19.88515 0.06967
88.96983 19.78299 0.06407
89.01521 19.94343 0.07068
89.94574 19.94964 0.06759
89.99042 19.95667 0.07548
93.83741 20.23966 0.0747
93.88196 20.0331 0.07209
96.8292 20.09435 0.07394
97.00858 19.85879 0.09571
104.99862 20.09844 0.10099
107.79764 20.08002 0.14748
114.88125 19.76594 0.07641
119.89538 20.06691 0.08453
119.95365 20.22131 0.0956
123.75696 20.02594 0.07867
123.81523 19.9307 0.07298
126.97957 19.93213 0.10339
127.83329 20.12469 0.08577
127.87706 19.85299 0.09342
138.71472 19.8417 0.16695
138.75871 19.87914 0.16618
142.7036 20.03274 0.08735
142.75219 20.0647 0.09237
144.77886 19.81059 0.07234
144.82305 19.98272 0.086
151.72943 20.0223 0.09
151.77257 19.91444 0.07709
166.74897 19.62074 0.1555
168.63378 19.78297 0.12476
175.61224 19.96553 0.06935
175.65684 20.10928 0.07911
181.59421 20.17123 0.12212
181.63825 20.18493 0.09932
183.59204 20.31517 0.11934
183.64253 19.75756 0.07125
189.58054 20.14503 0.10146
199.58559 19.93068 0.07741
202.58667 19.90954 0.08329
203.71441 19.72038 0.09067
203.75743 19.88848 0.09627
207.63092 19.7295 0.07224
207.67514 19.81768 0.07599
209.5968 19.84155 0.06153
209.64149 19.95291 0.07359
213.63312 19.66812 0.08629
213.6798 19.84407 0.09641
377.89535 19.67639 0.12627
378.90615 19.58936 0.14928
379.8591 20.09566 0.12374
379.92482 19.90238 0.08816
380.87684 20.19965 0.13568
380.92078 19.86693 0.10578
381.89606 19.85669 0.08876
381.93934 19.82789 0.11906
384.82671 19.69826 0.0851
384.87028 19.65247 0.06411
385.91339 19.86086 0.0641
386.86524 19.94494 0.08669
386.90867 19.84127 0.06707
387.87002 20.12417 0.08683
387.91342 19.91851 0.05935
388.86609 20.08187 0.09282
388.91005 20.0625 0.06897
389.97252 20.31929 0.13663
390.80957 20.07824 0.09755
390.85393 20.03106 0.0905
391.80613 19.90944 0.09488
391.87538 20.02353 0.07997
392.83258 19.93583 0.08313
392.87538 19.84871 0.06771
394.79908 19.96524 0.10707
394.8431 20.06655 0.08408
395.79551 20.11687 0.12171
395.84215 19.93828 0.0794
396.79527 20.04696 0.11016
396.83932 19.77946 0.06608
397.79163 20.3356 0.14098
397.83526 19.9363 0.08309
398.83124 19.88548 0.08377
399.78802 20.1072 0.13589
399.83261 20.07244 0.13365
400.78534 20.08376 0.14807
400.8289 19.83157 0.10197
401.82518 19.76731 0.16327
402.8246 20.04996 0.15019
403.81973 20.1777 0.19426
405.8416 19.96948 0.12027
407.7691 20.26064 0.19889
