#mjd mag magerr
55061.92501 19.04246 0.03264
55061.95573 19.04986 0.03242
55063.91987 18.97069 0.03194
55063.9639 18.99386 0.03329
55064.92128 18.99641 0.03366
55064.9656 19.00398 0.03347
55066.91014 19.00839 0.03356
55066.95474 18.97764 0.03201
55067.91649 18.99262 0.04935
55067.96099 19.04349 0.05139
55069.90324 19.0641 0.03558
55069.94786 18.95797 0.03668
55080.87449 19.03138 0.08484
55080.95988 18.91737 0.12435
55084.86328 19.08778 0.0512
55087.85609 19.03975 0.03605
55087.90101 19.03815 0.03424
55088.96983 19.07399 0.03652
55089.01521 19.10743 0.03925
55089.94574 19.09564 0.03717
55089.99042 19.13167 0.04055
55093.83741 18.99666 0.03481
55093.88196 18.9981 0.03539
55096.8292 19.08435 0.03817
55097.00858 19.08479 0.04354
55104.99862 19.03544 0.05018
55107.79764 19.18702 0.08933
55114.88125 19.14794 0.04835
55114.92522 19.33973 0.11778
55119.89538 19.09291 0.04594
55119.95365 19.17531 0.04869
55123.75696 19.12194 0.03954
55123.81523 19.0077 0.04593
55126.97957 19.02313 0.05427
55127.83329 19.04969 0.04134
55127.87706 19.15699 0.04892
55135.82555 19.16382 0.07859
55135.86926 19.05184 0.07963
55138.71472 19.2767 0.09139
55138.75871 19.05514 0.09964
55142.7036 19.06374 0.0429
55142.75219 18.8717 0.05012
55144.77886 19.01758 0.04055
55144.82305 18.96272 0.04239
55151.72943 19.13031 0.0452
55151.77257 19.04744 0.04086
55166.70473 19.02279 0.07503
55166.74897 19.09074 0.08159
55168.63378 19.07397 0.06382
55168.6775 19.00249 0.06676
55175.61224 18.91853 0.03232
55175.65684 18.93228 0.03386
55181.59421 19.08022 0.05965
55181.63825 19.11293 0.05303
55183.59204 19.02117 0.05679
55183.64253 18.83956 0.03908
55189.58054 19.02203 0.05033
55189.62557 18.98922 0.04443
55194.59026 19.14608 0.07784
55199.58559 19.01568 0.04021
55202.58667 18.98254 0.04644
55203.71441 19.02938 0.05448
55203.75743 19.00448 0.05171
55207.63092 19.0675 0.04575
55207.67514 19.00768 0.04117
55209.5968 19.02155 0.03482
55209.64149 19.08191 0.03518
55213.63312 18.99912 0.0545
55213.6798 19.08807 0.05732
55377.85123 19.20661 0.07638
55377.89535 19.07139 0.06513
55378.90615 19.25936 0.10046
55379.8591 19.05966 0.06608
55379.92482 19.07738 0.04562
55380.87684 19.11165 0.06338
55380.92078 19.12193 0.05964
55381.89606 19.08169 0.04661
55381.93934 19.06289 0.04585
55384.82671 19.05026 0.04031
55384.87028 19.03248 0.03888
55385.87021 18.98602 0.03484
55385.91339 19.02386 0.03449
55386.86524 18.97794 0.0389
55386.90867 18.97627 0.03742
55387.87002 19.01117 0.03533
55387.91342 19.03551 0.03431
55388.86609 19.14587 0.05151
55388.91005 19.0535 0.03374
55389.97252 19.08329 0.08036
55390.80957 19.05224 0.0479
55390.85393 19.16406 0.0437
55391.80613 19.19144 0.05344
55391.87538 19.07952 0.04174
55392.83258 18.92683 0.04206
55392.87538 19.01571 0.0383
55394.79908 18.99624 0.04786
55394.8431 19.00955 0.04287
55395.79551 19.05187 0.06151
55395.84215 19.03028 0.0383
55396.79527 19.10896 0.05671
55396.83932 19.04247 0.03903
55397.79163 19.2376 0.06887
55397.83526 19.0893 0.04278
55398.78764 19.20483 0.07753
55398.83124 19.08748 0.05121
55399.78802 19.1032 0.06887
55399.83261 19.04644 0.05851
55400.78534 19.01676 0.08931
55400.8289 19.11157 0.06312
55401.78133 19.07481 0.11238
55401.82518 19.16531 0.07365
55402.77979 19.22244 0.12847
55402.8246 19.05895 0.08555
55403.81973 19.1897 0.10152
55404.77424 19.22785 0.10045
55404.84266 19.09863 0.07219
55405.8416 19.15848 0.0828
55407.7691 19.05765 0.0874
55407.83003 18.89944 0.08592
55408.78389 19.11359 0.12786
55411.75477 19.078 0.07512
55411.79896 19.11147 0.05446
55412.75232 19.0292 0.07193
55412.79539 19.10684 0.07196
55413.75577 19.07597 0.07955
55413.79945 19.15848 0.06685
55414.75161 19.10949 0.08301
55414.79555 19.04207 0.05499
55415.75266 19.08354 0.07058
55415.79727 19.05956 0.06745
55416.75096 19.20698 0.07831
55416.79342 19.10847 0.0629
55417.75979 18.88546 0.07702
55417.84511 18.96799 0.05777
55418.79843 19.11595 0.0631
55418.84121 19.16569 0.0562
55419.75121 19.11687 0.08324
55419.79504 19.02219 0.05682
55420.78929 18.98251 0.07235
55420.83264 18.93966 0.07135
55421.73664 19.11808 0.04598
55421.79901 19.01941 0.03229
55422.75115 18.995 0.04417
55422.79487 19.12519 0.03876
55423.74742 19.05664 0.04363
55423.79284 19.04456 0.03828
55424.75349 19.06722 0.04749
55424.80178 19.02278 0.0378
55425.76166 19.08777 0.052
55425.80573 19.09836 0.03667
55426.80123 19.00501 0.04851
55426.8444 19.06326 0.03472
55427.79708 19.05956 0.04872
55427.8408 19.09869 0.04183
55428.79281 18.96328 0.04705
55428.83703 19.02067 0.04501
55429.8142 18.99847 0.0489
55429.85716 19.01371 0.04533
55430.75769 19.10037 0.06475
55430.80485 19.05926 0.04901
55431.75639 19.21981 0.06952
55431.80024 18.94964 0.07034
55432.73907 19.2836 0.09415
55432.78359 18.93621 0.07345
55433.70425 19.26712 0.12368
55433.7493 18.83201 0.11022
55434.73769 19.11709 0.09236
55435.69148 18.99345 0.09546
55435.74218 19.05885 0.09889
55436.88575 19.14793 0.06665
55436.88891 19.07144 0.05776
55436.8919 19.02898 0.06597
55436.89501 19.10046 0.06549
55436.89797 19.1027 0.06136
55436.90109 19.13053 0.06559
55436.9042 19.26361 0.07216
55436.90728 19.17812 0.07292
55436.91041 19.00794 0.06774
55436.91351 19.21789 0.07172
55436.91641 19.19066 0.08539
55436.91931 19.14956 0.07412
55436.92221 19.17113 0.07043
55436.92514 19.30373 0.07513
55436.92806 19.17103 0.07682
55436.93096 19.16265 0.06993
55436.93413 19.20845 0.07803
55436.93703 19.22393 0.07192
55436.93974 19.05359 0.06676
55436.94297 19.15354 0.08053
55436.94613 19.01259 0.06902
55436.94915 19.24293 0.07265
55436.95231 19.30896 0.07035
55436.9553 19.10074 0.06373
55436.95826 19.12144 0.06888
55436.96116 19.11533 0.06563
55436.96403 19.04256 0.06712
55436.96671 19.15397 0.06685
55438.88857 19.05858 0.06332
55438.89169 19.24005 0.06101
55438.89485 19.19489 0.06262
55438.89798 19.10654 0.05812
55438.90086 19.08471 0.06002
55438.90371 19.09161 0.05518
55438.9065 19.01087 0.05377
55438.90927 19.33004 0.05974
55438.91204 19.19344 0.0645
55438.91487 19.24992 0.06622
55438.91763 19.29648 0.06131
55438.92084 19.14838 0.06603
55438.92394 19.13515 0.06311
55438.92672 19.21509 0.0746
55438.92954 19.19138 0.0676
55438.93259 19.20236 0.07101
55438.93551 19.14849 0.065
55438.93833 19.29786 0.08033
55438.94106 19.13041 0.06861
55438.94411 19.2972 0.06802
55438.94678 19.1471 0.06732
55438.95017 19.08072 0.0682
55438.95913 19.21931 0.0624
55438.96141 19.04352 0.05983
55440.87507 19.02834 0.04265
55440.87823 19.1298 0.04341
55440.88428 19.04758 0.03897
55440.88675 19.0521 0.04046
55440.8894 19.10683 0.04106
55440.89205 19.07313 0.04061
55440.89518 19.03033 0.03912
55440.89832 19.11788 0.04352
55440.90145 19.14556 0.04192
55440.90439 19.13449 0.0439
55440.90729 19.01713 0.04115
55440.91025 19.00969 0.03947
55440.91316 18.97091 0.0445
55440.91591 19.10496 0.04575
55440.9187 19.03521 0.04394
55440.92149 18.97249 0.04456
55440.92426 19.09179 0.04253
55440.93095 19.11889 0.04242
55440.93364 18.96693 0.04065
55440.93623 19.24207 0.04639
55440.9395 19.15221 0.04711
55440.94264 19.15215 0.0433
55440.94582 19.08914 0.04536
55440.94883 19.13469 0.04494
55440.95182 19.05634 0.04223
55440.95489 19.13974 0.04384
55440.95791 18.97101 0.04455
55441.87301 19.05987 0.03697
55441.87592 19.01658 0.03635
55441.88645 19.04337 0.03636
55441.88962 19.00451 0.03639
55441.89254 19.09687 0.03631
55441.89542 19.08661 0.03714
55441.89828 19.08086 0.03646
55441.90107 19.0583 0.03829
55441.9037 19.09108 0.03777
55441.90634 19.04822 0.03687
55441.90906 19.12166 0.03655
55441.9118 19.06643 0.03846
55441.91445 19.04445 0.03655
55441.91722 18.95702 0.0347
55441.91981 19.05789 0.04
55441.92242 19.17784 0.04056
55441.92546 19.09678 0.03705
55441.9281 19.07903 0.03668
55441.93183 19.0779 0.03731
55441.93458 19.00209 0.03796
55441.93727 19.01957 0.03632
55441.94048 19.01749 0.03712
55441.94326 18.9664 0.03454
55441.94546 19.04509 0.03801
55441.94852 19.03638 0.03478
55441.95194 19.1031 0.0347
55441.95469 19.07657 0.03467
55441.95786 19.05704 0.036
55441.96081 19.04418 0.03738
55441.96392 19.06185 0.03807
55441.96715 19.11977 0.03683
55441.97012 19.03121 0.03837
55441.97294 19.04197 0.03716
55441.97532 19.04876 0.03698
55441.97757 18.99752 0.03795
55441.9798 19.03555 0.03677
55441.9835 19.05777 0.0386
55441.9863 19.09621 0.04003
55441.98852 19.11111 0.03793
55441.99078 19.14465 0.03895
55441.99382 19.07635 0.03756
55442.00593 19.05864 0.04075
55442.00906 19.054 0.04247
55442.01216 19.08778 0.04717
55442.01486 19.10723 0.04823
55442.01753 19.15794 0.05718
55442.02001 19.18492 0.07555
55442.02226 19.1936 0.08136
55442.70382 19.03338 0.04074
55442.70734 19.02996 0.04076
55442.71097 19.07967 0.03898
55442.71448 19.03238 0.03914
55442.71808 19.02633 0.03834
55442.72168 18.97703 0.03709
55442.72527 19.0588 0.03747
55442.73272 19.08648 0.03716
55442.74184 19.07735 0.03753
55442.74882 19.02192 0.0348
55442.75572 19.09171 0.0363
55442.76147 19.11643 0.03601
55442.76615 19.10995 0.03506
55442.77616 19.07605 0.03767
55442.78135 19.06704 0.03615
55442.78615 19.10226 0.03454
55442.79145 19.05326 0.03368
55442.79615 19.09774 0.0364
55442.80186 19.09266 0.03469
55442.8093 19.12179 0.03424
55442.81443 19.04357 0.03369
55442.81939 19.02961 0.03284
55442.82447 19.05774 0.03232
55442.8293 19.02403 0.03355
55442.83541 19.00937 0.03327
55442.84012 19.07488 0.03517
55442.84597 19.07887 0.03416
55442.85112 19.03861 0.03562
55442.85657 19.08107 0.03292
55442.86387 19.19205 0.03816
55442.87002 19.07326 0.03601
55442.87503 19.10059 0.03643
55442.88048 19.06572 0.0335
55442.88617 19.04555 0.03463
55442.89221 19.05999 0.03335
55442.89785 19.01215 0.03304
55442.90297 19.02379 0.03372
55442.90871 19.07696 0.03527
55442.91368 19.09097 0.03377
55442.91875 19.15002 0.03745
55442.92384 19.08148 0.0366
55442.93037 19.16661 0.03932
55442.93642 19.07187 0.03549
55442.94588 19.15631 0.04377
55442.95166 19.00553 0.03553
55442.95754 19.02609 0.03762
55442.96246 19.10614 0.0366
55442.96833 19.08452 0.0391
55442.97317 19.06534 0.0342
55442.97782 19.09077 0.03638
55442.98206 19.08364 0.0368
55442.9872 19.04729 0.03716
55442.99348 19.04254 0.03734
55442.99858 19.07075 0.03697
55443.00329 19.0128 0.03495
55443.01002 19.05213 0.03563
55443.01702 18.96786 0.04414
55443.67742 19.13994 0.05362
55443.68488 19.02018 0.04876
55443.69287 19.12322 0.0465
55443.70415 18.99276 0.04185
55443.71028 19.03451 0.04723
55443.71632 19.12303 0.04153
55443.72231 19.03535 0.04074
55443.72832 19.07563 0.04089
55443.736 19.09526 0.04072
55443.74306 19.07368 0.03728
55443.74812 19.01995 0.03729
55443.75372 19.04715 0.03921
55443.75946 19.10803 0.03771
55443.76526 19.07531 0.04091
55443.77007 18.9909 0.04952
55443.78027 19.22542 0.04567
55443.78539 19.05215 0.03635
55443.79156 19.09934 0.03796
55443.79717 19.04337 0.0372
55443.80302 19.06275 0.03616
55443.80895 19.05357 0.03478
55443.81493 19.02774 0.03614
55443.8204 19.13406 0.04446
55443.82634 19.10533 0.03782
55443.83239 19.05013 0.03601
55443.83783 19.06887 0.0344
55443.84415 19.02869 0.03494
55443.84958 19.04035 0.03647
55443.85553 18.97427 0.03485
55443.86252 18.99624 0.0409
55443.87576 19.06799 0.03507
55443.88141 19.03978 0.03515
55443.88892 19.09359 0.03508
55443.89412 19.03482 0.03808
55443.90077 19.0307 0.04473
55443.90658 19.08043 0.03734
55443.91235 19.06314 0.03585
55443.91779 19.11576 0.04097
55443.92403 19.1025 0.04053
55443.92967 19.07255 0.0389
55443.93496 19.1004 0.03906
55443.94073 19.13269 0.04083
55443.94779 19.14077 0.03792
55443.95355 19.08109 0.03773
55443.95925 19.06524 0.03728
55443.9693 19.05106 0.04223
55443.97555 19.08304 0.03774
55443.98144 19.18992 0.03961
55443.98725 19.05925 0.04028
55443.99456 19.08173 0.04162
55444.00093 19.10231 0.03834
55444.0061 19.13889 0.03833
55444.01187 19.06366 0.04259
55444.0175 19.16157 0.05294
55444.02231 19.10545 0.07644
55444.66648 18.89381 0.06068
55444.67221 19.20301 0.05875
55444.67727 18.98957 0.05049
55444.68199 19.01629 0.06594
55444.68857 19.10623 0.04677
55444.69526 19.16249 0.04918
55444.70198 19.01387 0.04471
55444.7091 19.04385 0.04911
55444.71487 18.95562 0.04292
55444.72103 18.98685 0.04142
55444.72796 19.11218 0.04382
55444.73377 19.0177 0.04037
55444.74094 19.01505 0.03772
55444.74655 19.05996 0.03775
55444.75167 18.98608 0.03733
55444.75678 18.98582 0.0361
55444.76225 19.04899 0.03718
55444.7673 19.0379 0.03522
55444.77353 19.07956 0.04034
55444.77876 19.11966 0.03648
55444.78368 19.09051 0.03835
55444.79848 19.04102 0.0362
55444.80403 19.09408 0.03678
55444.81599 19.03315 0.03627
55444.8213 19.01844 0.03399
55444.83332 19.09142 0.03636
55444.83854 19.0469 0.03729
55444.84549 19.15749 0.03764
55444.85161 19.04067 0.03574
55444.85679 19.0424 0.03354
55444.86267 19.08312 0.03984
55444.86777 19.14617 0.03988
55444.87321 19.11607 0.03856
55444.87872 19.09326 0.03543
55444.88467 19.04311 0.03651
55444.89016 19.06101 0.03894
55444.89581 18.99626 0.04576
55444.90153 19.01607 0.03438
55444.90845 19.1226 0.03884
55444.91349 19.09955 0.03683
55444.92279 19.05197 0.03574
55444.93139 19.05562 0.03517
55444.94041 18.99063 0.03343
55444.94568 19.12803 0.03877
55444.951 19.06923 0.04382
55444.95724 19.08731 0.03593
55444.96289 19.01945 0.03531
55444.96923 19.07324 0.03504
55444.97411 19.08678 0.03973
55444.98062 19.03783 0.03713
55444.98915 19.0126 0.03868
55444.99553 19.12864 0.03846
55445.00157 19.10541 0.03844
55445.00779 18.97982 0.03633
55445.01282 19.03627 0.04182
55445.01777 19.10972 0.05033
55445.02227 19.12881 0.07208
55445.66261 19.12819 0.06215
55445.66749 19.04618 0.05361
55445.67244 19.04706 0.04654
55445.67731 18.98237 0.04809
55445.68422 19.07909 0.04289
55445.6905 19.05509 0.04315
55445.69681 18.98334 0.04151
55445.70294 19.11424 0.04026
55445.70921 19.10158 0.04306
55445.71534 19.08317 0.04656
55445.72141 19.14069 0.0506
55445.72791 19.10112 0.04563
55445.73457 19.15832 0.04366
55445.74013 19.15763 0.04075
55445.7456 19.05948 0.03856
55445.75096 19.07055 0.04023
55445.75643 19.12531 0.04006
55445.76191 19.1599 0.03956
55445.76784 19.01416 0.03497
55445.7737 19.1113 0.03602
55445.779 19.03793 0.03756
55445.78479 18.98918 0.03481
55445.79025 18.99566 0.03308
55445.79613 19.08941 0.03497
55445.81095 19.10559 0.03658
55445.81845 19.08223 0.03493
55445.82455 18.99651 0.03222
55445.83024 19.09865 0.03407
55445.84021 19.04907 0.03552
55445.84549 19.05848 0.03328
55445.85174 19.06569 0.03235
55445.85762 19.11545 0.03186
55445.8636 19.02483 0.03287
55445.86963 19.06362 0.03316
55445.87567 18.99795 0.03268
55445.88207 19.03623 0.03415
55445.88844 19.09422 0.03338
55445.89432 19.11056 0.03601
55445.89983 19.04879 0.03329
55445.90668 18.99863 0.03269
55445.91299 19.03889 0.03045
55445.91722 19.06528 0.03339
55445.92351 19.02911 0.03305
55445.92915 19.04833 0.03525
55445.93496 19.01921 0.03216
55445.94048 19.03329 0.03308
55445.95216 19.02104 0.0357
55445.95886 19.12169 0.03588
55445.97191 19.10345 0.03575
55445.97872 19.06253 0.03495
55445.98437 19.06145 0.03513
55445.98972 19.06535 0.03464
55445.99581 19.05674 0.03538
55446.00245 19.02459 0.03504
55446.00827 19.02178 0.03355
55446.01324 19.05115 0.03758
55446.01787 19.05843 0.04261
55446.0233 19.07496 0.06724
55446.66046 19.1564 0.05412
55446.66501 19.09525 0.0537
55446.67089 19.0188 0.04416
55446.67601 19.11473 0.04532
55446.6814 19.11545 0.05028
