#mjd mag magerr
55061.92501 19.64383 0.04729
55061.95573 19.66175 0.04675
55063.91987 19.68254 0.04713
55063.9639 19.69851 0.0505
55064.92128 19.63246 0.05608
55064.9656 19.56996 0.05692
55066.91014 19.65886 0.05283
55066.95474 19.7075 0.05371
55067.91649 19.75977 0.08825
55067.96099 19.74873 0.07783
55069.90324 19.76632 0.05081
55069.94786 19.69303 0.05213
55080.87449 19.71047 0.15673
55084.86328 19.61439 0.07373
55087.85609 19.65624 0.05348
55087.90101 19.65819 0.05004
55088.96983 19.66391 0.04918
55089.01521 19.5037 0.05297
55089.94574 19.77276 0.05406
55089.99042 19.47882 0.05788
55093.83741 19.76649 0.04747
55093.88196 19.60976 0.04698
55096.8292 19.66972 0.05572
55097.00858 19.75018 0.06032
55104.99862 19.82899 0.07828
55107.79764 19.74292 0.11603
55114.88125 19.81 0.07035
55119.89538 19.78114 0.06739
55119.95365 19.7585 0.06429
55123.75696 19.60725 0.05311
55123.81523 19.69286 0.05546
55126.97957 19.74482 0.08095
55127.83329 19.6192 0.0647
55127.87706 19.67761 0.06765
55135.86926 19.68344 0.12576
55138.71472 19.78251 0.13153
55138.75871 19.72435 0.13344
55142.7036 19.72644 0.06333
55142.75219 19.57407 0.06819
55144.82305 19.73572 0.06905
55151.72943 19.76562 0.0703
55151.77257 19.66382 0.06583
55166.70473 19.77081 0.11601
55168.63378 19.60624 0.09626
55168.6775 19.70118 0.11943
55175.61224 19.64328 0.05546
55175.65684 19.69081 0.05446
55181.59421 19.75803 0.08533
55181.63825 19.80914 0.07767
55183.59204 19.80497 0.10377
55183.64253 19.75958 0.07036
55189.58054 19.93789 0.11068
55189.62557 19.84621 0.07441
55199.58559 19.7063 0.06377
55380.87684 19.76075 0.09345
55380.92078 19.49307 0.09931
55381.89606 19.50533 0.06676
55381.93934 19.51933 0.0768
55386.86524 19.68465 0.05876
55386.90867 19.66899 0.05533
55391.80613 19.73627 0.09249
55391.87538 19.69127 0.06826
55396.79527 19.63434 0.09276
55396.83932 19.55564 0.05797
55401.82518 19.70481 0.11923
55413.79945 19.81481 0.09974
55416.75096 19.75948 0.12565
55416.79342 19.70219 0.10155
55419.79504 19.5271 0.0938
55422.75115 19.73282 0.06906
55422.79487 19.62589 0.0605
55426.80123 19.56174 0.07387
55426.8444 19.57837 0.05846
55429.8142 19.66779 0.07826
55429.85716 19.5924 0.06635
55432.73907 19.57066 0.17139
55432.78359 19.67501 0.14847
55438.88857 19.78167 0.09872
55438.89169 19.6614 0.08993
55438.89485 19.69922 0.09441
55438.89798 19.62661 0.09074
55438.90086 19.73709 0.1074
55438.90371 19.65155 0.08407
55438.9065 19.72668 0.09262
55438.90927 19.73835 0.08135
55438.91204 19.64912 0.0905
55438.91487 19.80159 0.08684
55438.92084 19.58022 0.12205
55438.92394 19.71477 0.09732
55438.92672 19.66707 0.09443
55438.92954 19.56819 0.1105
55438.93259 19.80659 0.12979
55438.93551 19.81456 0.10022
55438.93833 19.5394 0.08712
55438.94106 19.60956 0.09004
55438.94678 19.79641 0.09185
55438.95017 19.80824 0.09956
55438.96141 19.66249 0.08481
55441.87301 19.65751 0.05671
55441.87592 19.63144 0.04966
55441.88645 19.63839 0.04983
55441.88962 19.5668 0.05094
55441.89254 19.55157 0.05098
55441.89542 19.72416 0.05367
55441.89828 19.60721 0.05215
55441.90107 19.69494 0.05525
55441.9037 19.61374 0.05214
55441.90634 19.49819 0.05135
55441.90906 19.76849 0.05646
55441.9118 19.54893 0.05039
55441.91445 19.63344 0.05611
55441.91722 19.71466 0.05419
55441.91981 19.61007 0.05525
55441.92242 19.63355 0.05135
55441.92546 19.59705 0.05375
55441.9281 19.61764 0.05265
55441.93183 19.64423 0.05591
55441.93458 19.66073 0.05496
55441.93727 19.68409 0.05124
55441.94048 19.54966 0.05034
55441.94326 19.76428 0.05459
55441.94546 19.60386 0.05257
55441.94852 19.72033 0.05554
55441.95194 19.54321 0.05223
55441.95469 19.64638 0.0563
55441.95786 19.70419 0.05631
55441.96081 19.63362 0.05404
55441.96392 19.63761 0.05406
55441.96715 19.61649 0.04809
55441.97012 19.57728 0.05165
55441.97294 19.55169 0.0495
55441.97532 19.72957 0.0522
55441.97757 19.68047 0.05312
55441.9798 19.67142 0.05416
55441.9835 19.57918 0.05185
55441.9863 19.57439 0.05707
55441.98852 19.7174 0.05757
55441.99078 19.70236 0.06324
55441.99382 19.63202 0.05937
55442.00593 19.6535 0.05605
55442.00906 19.82166 0.06642
55442.01216 19.63307 0.06172
55442.01486 19.53866 0.07791
55442.01753 19.78485 0.08702
55444.67221 19.76924 0.09198
55444.67727 19.71552 0.08694
55444.68857 19.60609 0.0746
55444.69526 19.72027 0.07588
55444.70198 19.54696 0.07533
55444.7091 19.60138 0.07482
55444.71487 19.5762 0.07201
55444.72103 19.65381 0.07449
55444.72796 19.56971 0.0603
55444.73377 19.637 0.06051
