#mjd mag magerr
55061.92501 19.19919 0.03805
55061.95573 19.15502 0.03432
55063.91987 19.1119 0.03674
55063.9639 19.14001 0.03517
55064.92128 19.1801 0.04627
55064.9656 19.25678 0.04727
55066.91014 19.236 0.04197
55066.95474 19.15784 0.04011
55067.91649 19.24639 0.06846
55067.96099 19.19387 0.06117
55069.90324 19.08309 0.03936
55069.94786 19.16052 0.03826
55080.87449 19.27895 0.11192
55080.95988 19.23737 0.14635
55084.86328 19.12115 0.06313
55087.85609 19.18944 0.03623
55087.90101 19.16668 0.03489
55088.96983 19.12281 0.03683
55089.01521 19.12484 0.0369
55089.94574 19.26229 0.03855
55089.99042 19.21332 0.03926
55093.83741 19.19795 0.03992
55093.88196 19.17189 0.03681
55096.8292 19.10579 0.03693
55097.00858 19.12319 0.04299
55104.99862 19.18757 0.05488
55107.79764 19.13087 0.07358
55114.88125 19.16516 0.04894
55114.92522 19.13921 0.1317
55119.89538 19.2755 0.0462
55119.95365 19.09592 0.0456
55123.75696 19.15232 0.04063
55123.81523 19.0956 0.03951
55126.97957 19.14212 0.05434
55127.83329 19.15506 0.04142
55127.87706 19.11967 0.04563
55138.71472 19.403 0.09619
55138.75871 19.2428 0.10036
55142.7036 19.21605 0.0437
55142.75219 19.03331 0.05385
55144.77886 19.19818 0.04274
55144.82305 19.08837 0.04168
55151.72943 19.12366 0.05363
55151.77257 19.19352 0.04253
55166.70473 19.11811 0.08128
55166.74897 19.11618 0.09482
55168.63378 19.06691 0.06266
55168.6775 19.22157 0.08854
55175.61224 19.10774 0.03628
55175.65684 19.12186 0.03591
55181.59421 19.14231 0.06231
55181.63825 19.1248 0.04879
55183.59204 19.15048 0.06575
55183.64253 19.11466 0.04245
55189.58054 19.16794 0.05465
55189.62557 19.14499 0.04716
55194.59026 19.36329 0.10213
55199.58559 19.02889 0.04735
55201.58642 19.21237 0.11253
55202.58667 19.10445 0.05448
55203.71441 19.18279 0.05183
55203.75743 19.13417 0.05171
55207.63092 19.00427 0.04056
55207.67514 19.11877 0.0409
55209.5968 19.07616 0.03578
55209.64149 19.04139 0.03663
55213.63312 19.08199 0.05563
55213.6798 18.98427 0.06545
55377.85123 19.62892 0.10242
55377.89535 19.59976 0.09073
55378.90615 19.42246 0.12771
55379.8591 19.40782 0.07662
55379.92482 19.25226 0.06805
55380.87684 19.43048 0.0777
55380.92078 19.57665 0.09739
55381.89606 19.24926 0.05852
55381.93934 19.3681 0.0579
55384.82671 19.45894 0.05281
55384.87028 19.4854 0.05112
55385.87021 19.46036 0.0478
55385.91339 19.26425 0.04101
55386.86524 19.39746 0.05562
55386.90867 19.40642 0.051
55387.87002 19.47024 0.05419
55387.91342 19.49553 0.04981
55388.86609 19.38712 0.07783
55388.91005 19.41168 0.04502
55389.97252 19.53109 0.15259
55390.80957 19.38121 0.0759
55390.85393 19.35594 0.05683
55391.80613 19.49212 0.09497
55391.87538 19.39296 0.05025
55392.83258 19.44392 0.07226
55392.87538 19.45709 0.05267
55394.79908 19.48611 0.08252
55394.8431 19.47245 0.05392
55395.79551 19.55208 0.08324
