#mjd mag magerr
55061.92501 17.79294 0.01332
55061.95573 17.76847 0.01277
55063.91987 17.76691 0.01245
55063.9639 17.76879 0.01273
55064.92128 17.78207 0.0135
55064.9656 17.76779 0.01349
55066.91014 17.78959 0.01358
55066.95474 17.78308 0.01306
55067.91649 17.80542 0.01551
55067.96099 17.78573 0.0151
55069.90324 17.78246 0.0136
55069.94786 17.76921 0.01334
55080.87449 17.8191 0.03007
55080.95988 17.82709 0.03572
55084.86328 17.83294 0.01921
55084.90782 17.84604 0.03325
55087.85609 17.78229 0.01457
55087.90101 17.78309 0.01358
55088.96983 17.77993 0.01378
55089.01521 17.80594 0.01486
55089.94574 17.74893 0.01451
55089.99042 17.74894 0.01445
55093.83741 17.75873 0.01373
55093.88196 17.75929 0.01332
55096.8292 17.78315 0.01445
55097.00858 17.7675 0.01631
55104.99862 17.78289 0.01935
55107.79764 17.8297 0.02921
55114.88125 17.71811 0.01967
55114.92522 17.70793 0.04211
55119.89538 17.73831 0.01543
55119.95365 17.7708 0.01689
55123.75696 17.73592 0.01385
55123.81523 17.73925 0.01434
55126.97957 17.70355 0.01893
55127.83329 17.72784 0.01451
55127.87706 17.73989 0.01612
55135.82555 17.72385 0.02585
55135.86926 17.70591 0.02868
55138.71472 17.7221 0.02864
55138.75871 17.73914 0.03081
55142.7036 17.66703 0.0141
55142.75219 17.65829 0.01591
55144.77886 17.65678 0.01385
55144.82305 17.65343 0.01501
55151.72943 17.66107 0.0153
55151.77257 17.66286 0.01426
55166.70473 17.61623 0.02488
55166.74897 17.68321 0.02769
55168.63378 17.6951 0.0227
55168.6775 17.65669 0.02314
55175.61224 17.64356 0.01262
55175.65684 17.67126 0.01244
55181.59421 17.67616 0.0196
55181.63825 17.65613 0.01735
55183.59204 17.65751 0.0254
55183.64253 17.66443 0.01511
55189.58054 17.70421 0.01836
55189.62557 17.65377 0.01662
55194.59026 17.76012 0.03203
55199.58559 17.6657 0.01414
55201.58642 17.66509 0.03719
55202.58667 17.67176 0.01654
55203.71441 17.69572 0.01671
55203.75743 17.69207 0.01885
55207.63092 17.67665 0.01691
55207.67514 17.67954 0.01351
55209.5968 17.6775 0.01283
55209.64149 17.67736 0.01263
55213.63312 17.66997 0.0288
55213.6798 17.67992 0.02929
