#mjd mag magerr
55061.92501 20.03246 0.06562
55061.95573 20.09686 0.06511
55063.91987 20.02869 0.06477
55063.9639 20.13386 0.0661
55064.92128 20.02441 0.07058
55064.9656 20.12298 0.07328
55066.91014 19.9814 0.06658
55066.95474 20.08064 0.06211
55069.90324 19.9811 0.07229
55069.94786 20.02696 0.07489
55080.95988 20.08437 0.24438
55084.86328 20.17079 0.1067
55087.85609 19.92975 0.06728
55087.90101 19.99515 0.06897
55088.96983 20.10299 0.07346
55089.01521 20.10243 0.07438
55089.94574 20.04564 0.07468
55089.99042 20.21167 0.08477
55093.83741 20.09766 0.07
55093.88196 20.0221 0.0714
55096.8292 20.23035 0.08772
55097.00858 20.19678 0.107
55107.79764 20.00502 0.17177
55114.88125 20.05494 0.09453
55119.89538 20.21691 0.09401
55119.95365 20.37731 0.09899
55123.75696 20.10794 0.09566
55123.81523 20.1447 0.08227
55126.97957 20.09713 0.11788
55127.83329 20.09769 0.08967
55127.87706 20.30399 0.1083
55135.82555 20.58082 0.17678
55135.86926 20.31084 0.20959
55142.7036 20.16774 0.09655
55142.75219 20.3587 0.12065
55144.77886 20.12558 0.08352
55144.82305 20.09972 0.09898
55151.72943 20.37031 0.10419
55151.77257 20.49044 0.10546
55166.70473 20.02579 0.19035
55168.63378 20.28497 0.16105
55175.61224 20.26853 0.08432
55175.65684 20.14128 0.07412
55181.59421 20.18323 0.12822
55181.63825 20.17694 0.11531
55183.59204 19.80717 0.10086
55183.64253 20.07256 0.11929
55189.58054 20.05703 0.10186
55189.62557 20.57222 0.10486
55194.59026 20.30508 0.19654
55199.58559 20.22768 0.09968
55202.58667 20.21954 0.10345
55203.71441 20.11138 0.10095
55207.63092 20.0395 0.09391
55207.67514 20.02069 0.08418
55209.5968 20.21255 0.0796
55209.64149 20.24491 0.08378
55213.63312 20.13912 0.13714
55213.6798 20.19907 0.11018
55377.89535 20.10439 0.15375
55379.8591 20.25766 0.15464
55379.92482 20.09238 0.11005
55380.87684 20.30965 0.15027
55380.92078 20.26593 0.12387
55381.89606 20.09269 0.10175
55381.93934 19.86989 0.07709
55384.82671 20.23926 0.09259
55384.87028 19.92747 0.07459
55385.87021 20.01602 0.07177
55385.91339 20.16385 0.07808
55386.86524 19.97994 0.0789
55386.90867 19.96827 0.07646
55387.87002 20.05817 0.07799
55387.91342 19.92551 0.06063
55388.86609 20.41087 0.11808
55388.91005 20.0605 0.07036
55389.97252 20.07329 0.13383
55390.80957 20.17024 0.10145
55390.85393 20.21406 0.0915
55391.80613 20.41444 0.12916
55391.87538 20.15553 0.08647
55392.83258 20.00083 0.09402
55392.87538 20.19171 0.0764
55394.79908 20.10124 0.09628
55394.8431 20.10155 0.08458
55395.79551 20.37287 0.1314
55395.84215 19.92328 0.08829
55396.79527 20.19496 0.13795
55396.83932 20.09946 0.08037
55397.79163 20.2816 0.17277
55397.83526 19.9953 0.08849
55398.78764 20.22083 0.18165
55398.83124 20.02448 0.10625
55399.83261 19.95844 0.13255
55400.8289 20.16157 0.12996
55402.8246 20.15096 0.18457
55404.84266 20.28362 0.15589
55405.8416 20.00148 0.13366
55407.83003 20.44343 0.16716
55411.75477 20.161 0.14207
55411.79896 19.98647 0.12112
55412.79539 19.92084 0.12999
55413.75577 20.43297 0.18793
55413.79945 20.13848 0.13133
55414.79555 20.20107 0.16199
55415.75266 20.23454 0.14109
55415.79727 20.28057 0.13673
55416.79342 20.38747 0.13971
55417.75979 20.35946 0.14933
55417.84511 20.09999 0.11472
55418.79843 20.33695 0.14288
55418.84121 20.24169 0.10941
55419.75121 20.18787 0.1846
55419.79504 20.23219 0.10541
55420.78929 20.03351 0.12934
55420.83264 19.70466 0.1693
55421.73664 20.12008 0.09139
55421.79901 19.87541 0.06539
55422.75115 20.02999 0.09028
55422.79487 20.19719 0.08288
55423.74742 20.26864 0.09386
55423.79284 20.00555 0.07938
55424.75349 19.89922 0.0896
55424.80178 19.96878 0.07869
55425.76166 20.16277 0.10945
55425.80573 19.99936 0.07339
55426.80123 19.86701 0.10225
55426.8444 19.83526 0.0599
55427.79708 19.93356 0.09716
55427.8408 20.12969 0.08946
55428.79281 19.92028 0.10377
55428.83703 20.07467 0.09395
55429.8142 20.05147 0.11684
55429.85716 20.03771 0.09666
55430.75769 20.09337 0.13137
55430.80485 19.79326 0.0994
55431.75639 20.43681 0.12856
55431.80024 20.10464 0.13127
55432.73907 19.8496 0.13401
55436.88575 20.07492 0.12618
55436.88891 20.19344 0.11908
55436.89501 20.21646 0.17184
55436.9042 20.43261 0.14498
55436.90728 20.02312 0.17025
55436.91041 19.92494 0.20515
55436.91351 20.04189 0.14786
55436.92221 20.07913 0.20244
55436.92514 20.41373 0.19495
55436.92806 20.26903 0.13527
55436.93096 20.13465 0.18065
55436.93703 20.12693 0.14996
55436.93974 20.07559 0.12009
55436.94297 20.25754 0.16886
55436.94613 20.03959 0.15346
55436.94915 20.18993 0.14268
55436.95231 19.97296 0.15407
55436.96116 19.98533 0.16105
55436.96403 20.30556 0.15605
55438.88857 19.94758 0.10737
55438.89169 20.17904 0.12026
55438.89485 20.23289 0.11557
55438.89798 20.42554 0.12496
55438.90086 20.27671 0.11636
55438.90371 20.13561 0.11639
55438.90927 20.39504 0.11947
55438.91204 20.18344 0.11896
55438.91487 20.19692 0.11677
55438.91763 20.04648 0.10717
55438.92084 20.32137 0.12757
55438.92394 20.08715 0.13595
55438.92672 20.30009 0.15215
55438.92954 20.20438 0.12915
55438.93259 19.94336 0.14785
55438.93551 19.97849 0.11585
55438.93833 20.34386 0.13598
55438.94106 20.30241 0.14515
55438.94411 20.4042 0.13176
55438.94678 19.9451 0.14996
55438.95017 20.10172 0.12155
55438.95913 20.07331 0.12725
55438.96141 20.02251 0.11077
55440.87507 19.97733 0.08298
55440.87823 19.9558 0.08166
55440.88428 20.10858 0.08268
55440.88675 19.9571 0.08547
55440.8894 19.88783 0.07759
55440.89205 20.16313 0.0838
55440.89518 20.19933 0.0863
55440.89832 20.19788 0.09395
55440.90145 20.18155 0.08436
55440.90439 20.20449 0.09145
55440.90729 20.04113 0.08327
55440.91025 20.19669 0.08218
55440.91316 20.14491 0.09165
55440.91591 20.01596 0.08338
55440.9187 19.93821 0.08537
55440.92149 20.19449 0.08478
55440.92426 20.01978 0.07317
55440.93095 20.06289 0.08256
55440.93364 20.00393 0.07638
55440.93623 20.19307 0.08495
55440.9395 20.31421 0.09466
55440.94264 20.25615 0.09055
55440.94582 20.30714 0.12866
55440.94883 19.95869 0.08317
55440.95182 20.20234 0.10665
55440.95489 20.14274 0.08927
55440.95791 20.05001 0.10047
55441.87301 19.98387 0.07558
55441.87592 20.17358 0.07947
55441.88645 20.05037 0.07858
55441.88962 20.12851 0.07399
55441.89254 19.81987 0.07151
55441.89542 19.94461 0.08686
55441.89828 19.95986 0.07138
55441.90107 20.0903 0.0741
55441.9037 20.19508 0.07818
55441.90634 19.92822 0.07338
55441.90906 20.28666 0.08177
55441.9118 19.89742 0.06939
55441.91445 19.93145 0.06649
55441.91722 20.02202 0.0726
55441.91981 19.99589 0.08519
55441.92242 20.12183 0.08108
55441.92546 19.99678 0.07258
55441.9281 20.07903 0.07249
55441.93183 19.8209 0.06532
55441.93458 19.99909 0.07368
55441.93727 19.96956 0.07641
55441.94048 20.06649 0.07566
55441.94326 19.8964 0.07551
55441.94546 20.09709 0.07975
55441.94852 20.18138 0.08148
55441.95194 19.8991 0.0667
55441.95469 19.92157 0.06839
55441.95786 20.08003 0.0703
55441.96081 20.21817 0.08148
55441.96392 20.19085 0.08632
55441.96715 20.02777 0.07342
55441.97012 20.05821 0.07718
55441.97294 20.03097 0.07568
55441.97532 20.18076 0.07829
55441.97757 20.00352 0.07497
55441.9798 20.21655 0.08118
55441.9835 19.99577 0.07361
55441.9863 19.88821 0.07377
55441.98852 19.99611 0.07247
55441.99078 19.99265 0.07947
55441.99382 20.29936 0.08847
55442.00593 20.05464 0.07988
55442.00906 20.47 0.10507
55442.01216 19.86578 0.08549
55442.01486 20.37623 0.11106
55442.02226 20.0306 0.17327
55442.70382 20.30338 0.09576
55442.70734 20.06196 0.08368
55442.71097 20.19267 0.09038
55442.71448 20.09039 0.08576
55442.71808 20.19732 0.09046
55442.72168 20.15903 0.08128
55442.72527 19.8428 0.07079
55442.73272 20.18648 0.08037
55442.74184 19.96835 0.07656
55442.74882 19.95592 0.07349
55442.75572 20.05071 0.0727
55442.76147 19.94143 0.07485
55442.76615 20.14095 0.08167
55442.77616 19.90505 0.07748
55442.78135 19.99304 0.07178
55442.78615 19.92726 0.06727
55442.79145 20.01226 0.07398
55442.79615 20.10874 0.07589
55442.80186 20.13865 0.07699
55442.8093 20.14879 0.07377
55442.81443 20.15057 0.07748
55442.81939 20.0356 0.06662
55442.82447 19.90274 0.06791
55442.8293 19.99403 0.06203
55442.83541 20.10937 0.07288
55442.84012 19.91589 0.06599
55442.84597 20.05087 0.06933
55442.85112 19.95161 0.06781
55442.85657 20.10907 0.0707
55442.86387 20.03605 0.07578
55442.87002 19.96126 0.06342
55442.87503 20.00459 0.07092
55442.88048 20.13072 0.07189
55442.88617 19.94455 0.06722
55442.89221 20.16799 0.07411
55442.89785 19.87815 0.06967
55442.90297 19.9518 0.06661
55442.90871 20.00896 0.06869
55442.91368 19.95797 0.06369
55442.91875 20.09202 0.07178
55442.92384 20.01048 0.0734
55442.93037 20.09561 0.07596
55442.93642 19.98587 0.07139
55442.94588 20.14431 0.09038
55442.95166 20.07353 0.06922
55442.95754 20.06109 0.07386
55442.96246 20.07114 0.0714
55442.96833 20.18352 0.08539
55442.97317 20.07534 0.07715
55442.97782 19.94277 0.0673
55442.98206 20.03564 0.06611
55442.9872 20.1853 0.08717
55442.99348 19.99354 0.07567
55442.99858 19.93375 0.06949
55443.00329 20.0088 0.07337
55443.01002 20.12913 0.08076
55443.01702 20.13986 0.09326
55443.02387 19.87146 0.16336
55443.67742 20.14395 0.10256
55443.68488 20.40618 0.11317
55443.69287 20.34722 0.10334
55443.70415 20.04076 0.09127
55443.71028 20.31451 0.10935
55443.71632 20.17303 0.09096
55443.72231 20.11735 0.08767
55443.72832 20.05163 0.08544
55443.736 20.04926 0.08156
55443.74306 19.96268 0.08078
55443.74812 20.15495 0.08698
55443.75372 20.05915 0.08395
55443.75946 19.96803 0.0748
55443.76526 20.06431 0.08205
55443.77007 20.2609 0.09236
55443.78027 20.03841 0.0766
55443.78539 20.04115 0.07677
55443.79156 19.99634 0.07438
