#mjd mag magerr
55061.92501 20.18246 0.06731
55061.95573 20.04386 0.06191
55063.91987 19.97169 0.06866
55063.9639 20.28986 0.07718
55064.92128 20.10341 0.07028
55064.9656 20.14298 0.07437
55066.91014 20.1154 0.06628
55066.95474 20.06964 0.07149
55067.96099 20.38849 0.10639
55069.90324 20.2841 0.09916
55069.94786 20.33396 0.08368
55084.86328 20.42279 0.11769
55087.85609 20.22175 0.06948
55087.90101 20.10415 0.06917
55088.96983 20.12399 0.07176
55089.01521 20.19243 0.07218
55089.94574 20.28264 0.08397
55089.99042 20.17067 0.07997
55093.83741 20.17166 0.07599
55093.88196 20.0461 0.0697
55096.8292 20.15735 0.08253
55097.00858 20.10579 0.101
55104.99862 20.43544 0.11568
55114.88125 20.11394 0.09672
55119.89538 19.97391 0.09362
55119.95365 20.17531 0.09929
55123.75696 20.11294 0.07897
55123.81523 20.2307 0.08707
55126.97957 20.11913 0.10599
55127.83329 20.52169 0.09896
55127.87706 20.11299 0.1047
55135.82555 20.11982 0.17209
55142.7036 20.14374 0.08475
55142.75219 20.2027 0.09626
55144.77886 20.09858 0.08482
55144.82305 20.25172 0.10288
55151.72943 20.19831 0.0917
55151.77257 20.38044 0.09567
55168.63378 20.16797 0.11836
55175.61224 20.05153 0.06795
55175.65684 20.32728 0.07572
55181.59421 20.17723 0.11513
55181.63825 20.24793 0.13609
55183.59204 20.11117 0.11834
55183.64253 20.18656 0.08752
55189.58054 20.43103 0.14714
55189.62557 20.28022 0.09626
55199.58559 20.28168 0.0862
55202.58667 20.10354 0.08818
55203.71441 20.08538 0.11403
55203.75743 20.21048 0.10485
55207.63092 20.2095 0.09282
55207.67514 20.00968 0.0742
55209.5968 20.13255 0.06961
55209.64149 20.20691 0.07139
55213.63312 20.16412 0.09371
55213.6798 20.19907 0.10689
55377.89535 20.29239 0.13566
55379.8591 20.40266 0.13964
55379.92482 20.43738 0.11265
55380.92078 20.61093 0.13846
55381.89606 20.32069 0.11335
55381.93934 20.21689 0.08528
55384.82671 20.16926 0.08889
55384.87028 20.21347 0.08508
55385.87021 20.14702 0.08456
55385.91339 20.22785 0.08088
55386.86524 20.58394 0.11427
55386.90867 20.30427 0.09215
55387.87002 20.06817 0.08335
55387.91342 20.15351 0.07459
55388.86609 20.38787 0.11029
55388.91005 20.1835 0.08284
55389.97252 20.09329 0.1262
55390.80957 20.19724 0.10674
55390.85393 20.32306 0.10349
55391.80613 20.21544 0.11806
55391.87538 20.47153 0.09526
55392.83258 20.38583 0.1076
55392.87538 20.03471 0.07879
55394.79908 20.35124 0.11657
55394.8431 20.27356 0.09028
55395.79551 20.24887 0.13859
55395.84215 20.10828 0.08639
55396.79527 20.48196 0.13155
55396.83932 20.15647 0.08266
55397.83526 20.0813 0.09099
55398.78764 20.07983 0.12278
55398.83124 20.16148 0.10565
55399.83261 20.26944 0.11955
55400.78534 20.06376 0.17136
55401.82518 20.23231 0.13478
55404.77424 20.20285 0.19058
55411.79896 20.18147 0.11532
55412.75232 20.3862 0.17277
55412.79539 20.28284 0.14575
55413.79945 20.46348 0.15857
55414.79555 20.25207 0.11743
55415.75266 19.82454 0.17737
55416.79342 20.34847 0.15359
55417.75979 20.16446 0.15517
55417.84511 20.48799 0.13827
55418.79843 20.01395 0.11809
55419.79504 20.39019 0.13225
55420.78929 20.41851 0.18708
55420.83264 20.13966 0.18216
55421.73664 20.27108 0.09958
55421.79901 20.02341 0.07328
55422.75115 20.28199 0.09797
55422.79487 20.29519 0.09107
55423.74742 20.17264 0.09736
55423.79284 20.17355 0.08008
55424.75349 20.20022 0.10838
55424.80178 20.18478 0.08179
55425.76166 20.45378 0.12354
55425.80573 20.06536 0.06989
55426.80123 20.00601 0.11104
55426.8444 20.00626 0.06617
55427.79708 20.10156 0.09776
55427.8408 20.16969 0.08726
55428.79281 19.93728 0.08978
55428.83703 20.12767 0.10155
55429.8142 20.12447 0.10805
55429.85716 20.32771 0.10076
55430.75769 20.19837 0.15996
55431.75639 20.40781 0.12567
55431.80024 20.14164 0.12698
55432.73907 20.1726 0.18788
55432.78359 19.93121 0.18016
55433.7493 20.00901 0.19727
55435.74218 20.13585 0.16111
55436.88575 20.15193 0.13587
55436.88891 20.40544 0.13127
55436.89501 20.00846 0.12115
55436.89797 19.9347 0.11259
55436.90109 19.87753 0.13564
55436.9042 19.86961 0.14908
55436.90728 19.99312 0.11408
55436.91041 20.28994 0.13177
55436.91641 19.72766 0.16715
55436.92221 20.28013 0.15056
55436.93096 20.06464 0.17015
55436.93974 20.29259 0.13988
55436.94297 20.22054 0.12399
55436.94915 19.85293 0.14507
55436.95231 20.44996 0.14247
55436.95826 20.24943 0.1242
55436.96116 20.28533 0.12907
55436.96403 20.23556 0.14136
55436.96671 20.36797 0.14027
55438.88857 20.22658 0.11477
55438.89169 20.47204 0.12975
55438.89485 20.25189 0.12296
55438.89798 20.43254 0.12676
55438.90086 20.24971 0.11856
55438.90371 20.16461 0.1019
55438.9065 20.32788 0.11678
55438.90927 20.40204 0.12107
55438.91204 20.00244 0.10766
55438.91487 20.10092 0.12806
55438.91763 20.23948 0.15465
55438.92084 20.13238 0.11268
55438.92672 20.49109 0.14105
55438.92954 20.35538 0.14405
55438.93551 20.14849 0.14734
55438.94411 20.2062 0.15116
55438.94678 20.0451 0.13016
55438.95017 20.26872 0.14674
55438.96141 20.09052 0.15105
55440.87507 20.05634 0.08028
55440.87823 20.0228 0.08226
55440.88428 20.19358 0.08378
55440.88675 20.1911 0.08288
55440.8894 20.23283 0.08028
55440.89205 20.18913 0.089
55440.89518 20.12833 0.07891
55440.89832 20.18288 0.09056
55440.90145 20.23155 0.09435
55440.90439 20.10849 0.08445
55440.90729 20.16913 0.08357
55440.91025 20.13569 0.09367
55440.91316 20.20191 0.09165
55440.91591 20.34396 0.09737
55440.9187 20.28021 0.08607
55440.92149 19.97149 0.09687
55440.92426 20.18979 0.08816
55440.93095 20.2039 0.08316
55440.93364 20.03293 0.07648
55440.93623 20.08007 0.08455
55440.9395 20.36821 0.09995
55440.94264 20.28415 0.09045
55440.94582 20.16614 0.08778
55440.94883 20.10869 0.08637
55440.95182 20.16934 0.09935
55440.95489 20.16674 0.09186
55440.95791 20.16801 0.09277
55441.87301 20.14587 0.07698
55441.87592 20.12758 0.07887
55441.88645 20.17737 0.07508
55441.88962 20.06651 0.07649
55441.89254 20.08087 0.0759
55441.89542 19.98561 0.07327
55441.89828 20.06386 0.07288
55441.90107 20.1693 0.07749
55441.9037 19.98408 0.07938
55441.90634 20.05622 0.07548
55441.90906 20.14666 0.07517
55441.9118 20.06543 0.07368
55441.91445 20.15745 0.07518
55441.91722 20.29102 0.08239
55441.91981 19.94689 0.07461
55441.92242 20.05583 0.07519
55441.92546 20.23778 0.07867
55441.9281 19.97503 0.0666
55441.93183 20.0929 0.0759
55441.93458 20.03209 0.07248
55441.93727 20.18056 0.0845
55441.94048 20.11049 0.07896
55441.94326 20.0634 0.07561
55441.94546 19.98209 0.07396
55441.94852 20.05238 0.06689
55441.95194 20.2601 0.07479
55441.95469 20.19057 0.07058
55441.95786 20.17603 0.07709
55441.96081 20.11717 0.07939
55441.96392 20.02785 0.06965
55441.96715 20.15077 0.06593
55441.97012 20.19621 0.08568
55441.97294 20.02896 0.07238
