#mjd mag magerr
61.92517 20.203 0.132
61.95589 20.095 0.111
63.92004 20.123 0.148
63.96406 20.119 0.11
64.92144 20.082 0.122
64.96575 20.105 0.112
66.9103 20.204 0.15
66.9549 20.169 0.091
67.96115 20.238 0.16
69.9034 20.142 0.092
69.94802 19.833 0.113
80.87461 20.247 0.237
87.8562 19.902 0.129
87.90113 20.127 0.125
88.96994 19.991 0.108
89.01532 20.052 0.121
89.94585 20.056 0.122
89.99052 20.168 0.104
93.8375 20.138 0.095
93.88205 20.096 0.113
96.82929 19.96 0.115
97.00866 19.893 0.143
104.99868 20.097 0.15
114.88126 20.424 0.118
119.89538 20.391 0.158
119.95364 20.174 0.138
123.75694 20.11 0.112
123.81521 20.173 0.16
126.97953 20.378 0.171
127.83326 19.78 0.112
127.87702 19.998 0.172
138.71464 20.35 0.203
142.70351 20.057 0.117
142.75209 20.189 0.113
144.77876 20.132 0.171
144.82295 20.164 0.135
151.72931 20.209 0.2
151.77244 20.189 0.13
168.63363 20.261 0.197
175.61208 20.092 0.121
175.65666 20.257 0.124
181.59404 20.28 0.144
181.63807 20.151 0.134
183.59186 20.065 0.15
183.64236 19.978 0.101
189.58036 20.268 0.122
189.62539 20.308 0.163
199.58542 20.098 0.167
202.58651 20.323 0.135
203.71424 20.5 0.207
203.75726 20.356 0.144
207.63075 20.322 0.107
207.67498 20.035 0.113
209.59663 20.025 0.12
209.64133 20.041 0.115
213.63092 20.07 0.158
213.63296 20.294 0.159
213.67964 20.049 0.12
377.85258 20.196 0.169
377.89548 20.26 0.161
379.92495 20.144 0.124
380.92091 20.269 0.162
381.90233 20.118 0.205
381.93948 20.327 0.119
381.95102 20.087 0.147
384.82685 20.136 0.17
384.87041 20.114 0.115
385.87034 20.001 0.113
385.91353 20.297 0.12
385.95861 20.182 0.115
386.86157 19.992 0.122
386.86538 19.945 0.125
386.90502 19.82 0.097
386.9088 20.098 0.153
387.87016 20.282 0.114
387.91357 20.125 0.119
388.86623 20.115 0.16
388.9102 20.002 0.114
390.80971 20.369 0.187
390.85408 20.275 0.144
390.91557 19.934 0.153
390.95914 20.08 0.172
391.80627 20.334 0.157
391.87553 20.278 0.144
392.83273 20.291 0.13
392.87553 20.284 0.102
394.79923 20.091 0.175
395.83888 20.323 0.181
395.8423 20.087 0.147
396.83947 20.1 0.136
397.79179 19.869 0.164
397.83541 20.179 0.143
398.8314 20.298 0.171
