#mjd mag magerr
55061.92501 20.05681 0.07861
55061.95573 19.86051 0.06761
55063.91987 19.99576 0.07291
55063.9639 19.96904 0.0782
55064.92128 19.95655 0.0778
55064.9656 19.81791 0.07332
55066.91014 19.87862 0.07308
55066.95474 19.95858 0.07355
55067.91649 20.02715 0.09987
55067.96099 19.77587 0.09542
55069.90324 19.83836 0.0759
55069.94786 19.75913 0.07389
55080.87449 20.20468 0.13692
55084.86328 20.04964 0.10879
55087.85609 20.04986 0.08311
55087.90101 19.91609 0.07941
55088.96983 20.03724 0.079
55089.01521 19.80576 0.08001
55089.94574 20.12242 0.07872
55089.99042 19.95696 0.08163
55093.83741 19.88367 0.07941
55093.88196 20.04631 0.08459
55096.8292 20.05401 0.08338
55104.99862 20.29704 0.11296
55107.79764 20.13006 0.15087
55114.88125 20.02721 0.09346
55114.92522 19.80991 0.16433
55119.89538 20.01461 0.08965
55119.95365 19.80902 0.09679
55123.75696 20.22865 0.09268
55123.81523 20.04749 0.08762
55127.83329 19.97542 0.08292
55127.87706 19.95907 0.09809
55142.7036 19.95689 0.08967
55142.75219 20.22942 0.10519
55144.77886 20.20252 0.09405
55144.82305 20.11598 0.09143
55151.72943 20.29026 0.10951
55151.77257 20.24326 0.09712
55166.74897 20.01281 0.16138
55168.63378 20.07121 0.15275
55168.6775 20.06108 0.12398
55175.61224 20.12017 0.08993
55175.65684 19.85682 0.07969
55181.59421 20.45741 0.1336
55181.63825 19.91617 0.09632
55183.59204 20.12092 0.16316
55183.64253 20.33215 0.1012
55189.58054 20.27221 0.12057
55189.62557 20.1728 0.10182
55194.59026 19.98699 0.16602
55199.58559 19.76278 0.09976
55202.58667 19.98672 0.09751
55203.71441 20.22883 0.11859
55203.75743 20.31244 0.11478
55207.63092 20.28362 0.10096
55207.67514 20.10001 0.08419
55209.5968 20.17981 0.08451
55209.64149 19.99247 0.08718
55213.63312 19.78489 0.08958
55213.6798 20.10122 0.10566
55377.89535 19.9123 0.13488
55379.92482 20.375 0.11879
55381.93934 20.30924 0.10827
55384.82671 20.19078 0.10309
55384.87028 20.0967 0.08942
55385.87021 20.34191 0.10631
55385.91339 20.27674 0.10027
55386.86524 19.96624 0.1117
55386.90867 20.16466 0.08761
55387.87002 20.27041 0.10695
55387.91342 20.20481 0.09249
55388.86609 20.52518 0.16697
55388.91005 20.20811 0.09532
55390.80957 20.5898 0.13099
55390.85393 20.40927 0.11299
55391.87538 20.28263 0.10307
55392.83258 19.9906 0.11946
55392.87538 20.22747 0.10558
55394.79908 20.34785 0.14654
55394.8431 20.05024 0.0879
55395.79551 20.2394 0.12953
55395.84215 20.19876 0.10507
55396.79527 20.37113 0.14128
55396.83932 20.53835 0.11934
55397.79163 20.37346 0.16896
55397.83526 20.27036 0.11106
55398.83124 20.61273 0.14264
55399.78802 20.44878 0.18026
55404.84266 20.40683 0.16057
55405.8416 20.64014 0.18286
55407.83003 20.27961 0.15241
55411.75477 20.4646 0.16489
55411.79896 19.99719 0.12858
55415.75266 20.23587 0.26654
55417.84511 20.02571 0.13581
55421.79901 20.15221 0.09074
55422.75115 20.40556 0.11754
55422.79487 20.31729 0.10329
55423.74742 20.35523 0.11864
55423.79284 20.24133 0.12385
55424.75349 20.54758 0.12737
55424.80178 20.24737 0.11395
55425.76166 19.97893 0.11227
55425.80573 20.19878 0.10038
55426.80123 20.39556 0.12252
55426.8444 20.25089 0.0996
55427.79708 20.45934 0.12746
55427.8408 20.28028 0.10016
55428.79281 20.20938 0.12044
55428.83703 20.33699 0.11497
55429.8142 20.1456 0.11965
55429.85716 20.21396 0.1034
55430.75769 20.6017 0.15537
55430.80485 20.1301 0.16997
55431.75639 20.21467 0.14976
55431.80024 20.21163 0.17654
55432.78359 20.24022 0.17217
55434.73769 19.95798 0.15973
55436.88575 20.42839 0.14276
55436.88891 20.26514 0.18254
55436.8919 20.35595 0.14615
55436.89797 20.16219 0.13805
55436.90109 20.35349 0.23193
55436.90728 20.32277 0.16626
55436.91351 20.11901 0.14284
55436.93096 20.46523 0.14576
55436.94915 20.52189 0.21824
55436.95826 20.40176 0.20045
55436.96116 20.43907 0.16735
55436.96403 20.0043 0.16195
55436.96671 20.44141 0.13097
55438.88857 20.2252 0.16165
55438.89169 20.50246 0.18053
55438.89485 20.52897 0.13504
55438.89798 20.50448 0.12924
55438.90086 20.38067 0.11806
55438.90371 20.5538 0.13115
55438.9065 20.40109 0.17865
55438.90927 20.49239 0.12545
55438.91204 20.10194 0.11067
55438.91487 20.66096 0.15414
55438.91763 20.54946 0.14135
55438.92084 20.28193 0.17145
55438.92672 20.60692 0.19044
55438.93551 20.59999 0.15496
55438.94106 20.53359 0.15344
55438.94411 20.35977 0.19964
55438.94678 20.61326 0.16505
55438.95913 20.5445 0.13616
55440.87507 20.35217 0.10286
55440.87823 20.07926 0.09807
55440.88428 20.22461 0.10286
55440.88675 20.37331 0.10778
55440.8894 20.32872 0.10426
55440.89205 20.19999 0.09967
55440.89518 20.32089 0.10488
55440.89832 20.10755 0.12698
55440.90145 20.37284 0.12336
55440.90439 20.27248 0.10625
55440.90729 20.38193 0.10466
55440.91025 20.03027 0.08856
55440.91316 20.37622 0.10877
55440.91591 20.30189 0.11237
55440.9187 20.09871 0.10277
55440.92149 20.2601 0.11567
55440.92426 20.50404 0.10787
55440.93095 20.22336 0.10906
55440.93364 20.24685 0.09698
55440.93623 20.23874 0.11316
55440.9395 20.50213 0.11098
55440.94264 20.56863 0.11806
55440.94582 20.48335 0.10947
55440.94883 20.36583 0.12355
55440.95489 20.23678 0.0976
55440.95791 20.17128 0.09588
55441.87301 20.29539 0.10019
55441.87592 20.22869 0.09102
55441.88645 20.27697 0.10329
55441.88962 20.33769 0.08693
55441.89254 20.33162 0.10648
55441.89542 20.11422 0.0927
55441.89828 20.3569 0.09722
55441.90107 20.10556 0.08929
55441.9037 20.14144 0.08835
55441.90634 20.22235 0.08849
55441.90906 20.13977 0.09194
55441.9118 20.21003 0.09159
55441.91445 20.11136 0.08902
55441.91722 20.0299 0.08863
55441.91981 20.0215 0.09012
55441.92242 20.00881 0.09438
55441.9281 20.21748 0.10373
55441.93183 19.96192 0.08689
55441.93458 20.30084 0.09198
55441.93727 20.23262 0.10129
55441.94048 20.22829 0.09559
55441.94326 20.42766 0.10177
55441.94546 20.531 0.10518
55441.94852 20.03164 0.08522
55441.95194 20.0512 0.07871
