#mjd mag magerr
55061.92501 19.52481 0.06164
55061.95573 19.53151 0.05603
55063.91987 19.54976 0.05904
55063.9639 19.39804 0.05444
55064.92128 19.62955 0.06342
55064.9656 19.53691 0.06723
55066.91014 19.39062 0.06409
55066.95474 19.38258 0.05839
55067.91649 19.71715 0.08299
55067.96099 19.52487 0.09272
55069.90324 19.50036 0.06902
55069.94786 19.60813 0.0667
55080.87449 19.53368 0.11295
55080.95988 19.27732 0.14657
55084.86328 19.52265 0.08262
55087.85609 19.54686 0.06974
55087.90101 19.54809 0.07461
55088.96983 19.55523 0.06522
55089.01521 19.77076 0.07422
55089.94574 19.56342 0.06036
55089.99042 19.56896 0.06816
55093.83741 19.63267 0.06443
55093.88196 19.51931 0.05982
55096.8292 19.60501 0.06744
55097.00858 19.57717 0.0833
55104.99862 19.55804 0.08286
55107.79764 19.72606 0.16987
55114.88125 19.55721 0.07491
55114.92522 19.37091 0.16024
55119.89538 19.54761 0.07281
55119.95365 19.60402 0.09171
55123.75696 19.49165 0.06352
55123.81523 19.52049 0.06556
55126.97957 19.46899 0.07346
55127.83329 19.55642 0.06934
55127.87706 19.67007 0.07672
55135.82555 19.61579 0.13581
55135.86926 19.47168 0.15508
55138.75871 19.49174 0.11179
55142.7036 19.42489 0.0638
55142.75219 19.56942 0.07323
55144.77886 19.51652 0.06413
55144.82305 19.28498 0.07246
55151.72943 19.51226 0.08414
55151.77257 19.59526 0.08413
55166.70473 19.43347 0.12246
55166.74897 19.58881 0.14708
55168.63378 19.69221 0.10737
55175.61224 19.54017 0.08056
55175.65684 19.48782 0.06227
55181.59421 19.50141 0.08018
55181.63825 19.53117 0.0771
55183.59204 19.54392 0.08969
55183.64253 19.57115 0.06875
55189.58054 19.61921 0.07751
55189.62557 19.6398 0.07596
55199.58559 19.68178 0.07408
55202.58667 19.54772 0.07709
55203.71441 19.58783 0.07595
55203.75743 19.34145 0.07942
55207.63092 19.51663 0.07005
55207.67514 19.31601 0.06621
55209.5968 19.52481 0.06065
55209.64149 19.46247 0.07809
55213.63312 19.67589 0.08342
55213.6798 19.79422 0.09514
55377.85123 19.744 0.1315
55377.89535 19.7483 0.10111
55379.8591 19.52747 0.094
55379.92482 19.647 0.07713
55380.87684 19.61703 0.10739
55380.92078 19.55526 0.12126
55381.89606 19.37957 0.08591
