#mjd mag magerr
55061.92501 19.00581 0.03962
55061.95573 18.85351 0.0356
55063.91987 18.92876 0.03593
55063.9639 18.99504 0.0389
55064.92128 18.87255 0.03849
55064.9656 18.89391 0.03962
55066.91014 18.89162 0.03776
55066.95474 18.86058 0.037
55069.90324 18.86436 0.03761
55069.94786 18.93513 0.03896
55080.87449 18.88568 0.07402
55084.86328 18.91865 0.05399
55087.85609 19.00785 0.04053
55087.90101 18.95609 0.03852
55088.96983 19.01724 0.0399
55089.01521 19.03876 0.0438
55089.94574 18.83442 0.03954
55089.99042 18.98896 0.04127
55093.83741 18.90966 0.04021
55093.88196 18.9463 0.037
55096.8292 18.86401 0.03988
55097.00858 19.01317 0.04814
55104.99862 18.98204 0.05445
55107.79764 18.83006 0.07375
55114.88125 19.05321 0.04723
55114.92522 19.06491 0.11085
55119.89538 19.01761 0.0456
55119.95365 18.97502 0.04383
55123.75696 19.01765 0.04268
55123.81523 19.05049 0.04403
55126.97957 18.82999 0.04992
55127.83329 19.01042 0.04641
55127.87706 19.04007 0.04779
55135.82555 19.21679 0.08757
55135.86926 19.10168 0.09283
55138.71472 19.13002 0.09383
55138.75871 19.18874 0.1005
55142.7036 18.99089 0.04324
55142.75219 19.00542 0.05128
55144.77886 18.86352 0.04304
55144.82305 19.06498 0.04855
55151.72943 19.07326 0.04625
55151.77257 18.89126 0.04117
55166.70473 18.79147 0.07361
55166.74897 18.99581 0.08515
55168.63378 18.96521 0.06671
55168.6775 18.99008 0.06376
55175.61224 18.86517 0.03827
55175.65684 18.94082 0.0388
55181.59421 19.01941 0.05578
55181.63825 18.91317 0.04903
55183.59204 18.97492 0.05498
55183.64253 18.97415 0.04204
55189.58054 18.94421 0.04898
55189.62557 18.9768 0.04556
55194.59026 19.00299 0.08703
55199.58559 18.96278 0.04404
55202.58667 18.97472 0.04853
55203.71441 18.87683 0.05251
55203.75743 18.84245 0.04929
55207.63092 19.09863 0.04848
55207.67514 18.90801 0.04188
55209.5968 18.88581 0.03616
55209.64149 18.90347 0.03907
55213.63312 18.85989 0.04735
55213.6798 18.91822 0.05356
55377.85123 18.83799 0.06719
55377.89535 18.9483 0.06198
55378.90615 19.25453 0.07885
55379.8591 19.03347 0.06305
55379.92482 18.985 0.04672
55380.87684 19.12703 0.06424
55380.92078 19.11226 0.05922
55381.89606 18.98857 0.049
55381.93934 18.98624 0.04796
55384.82671 19.06878 0.0474
55384.87028 18.8977 0.04453
55385.87021 18.98791 0.04247
55385.91339 18.94774 0.04307
55386.86524 19.02924 0.04614
55386.90867 18.95866 0.04341
55387.87002 18.94741 0.04408
55387.91342 18.96381 0.04015
55388.86609 19.18418 0.05749
55388.91005 18.93811 0.04197
55390.80957 18.9858 0.05381
55390.85393 18.99627 0.04721
55391.80613 18.90616 0.05353
55391.87538 18.92263 0.04298
55392.83258 18.9576 0.05054
55392.87538 19.00147 0.0431
55394.79908 18.99585 0.04922
55394.8431 19.06023 0.04559
55395.79551 18.9974 0.06725
55395.84215 18.94576 0.04586
55396.79527 18.93513 0.05801
55396.83932 19.03035 0.04572
55397.79163 19.01746 0.06257
55397.83526 19.03836 0.04784
55398.78764 18.99009 0.0723
55398.83124 18.85673 0.05222
55399.78802 18.98878 0.07414
55399.83261 18.90986 0.05872
55400.78534 18.95555 0.07844
55400.8289 19.01952 0.06215
55401.78133 19.04436 0.09323
55401.82518 18.94805 0.07882
55402.77979 19.29959 0.13425
55402.8246 19.2138 0.09293
55403.81973 18.97544 0.09273
55404.77424 18.97009 0.09462
55404.84266 19.01183 0.07415
55405.8416 19.00814 0.07406
55407.7691 18.79596 0.09049
55407.83003 18.99861 0.07832
55411.75477 19.1046 0.0763
55411.79896 18.86719 0.05614
55412.75232 19.08492 0.08667
55412.79539 18.87594 0.06634
55413.75577 18.91026 0.09635
55413.79945 19.00569 0.08552
55414.79555 18.89139 0.06207
55415.75266 19.02687 0.0814
55415.79727 19.03059 0.09271
55416.75096 19.22182 0.09468
55416.79342 18.94704 0.07288
55417.75979 18.93145 0.09461
55417.84511 18.87671 0.07621
55418.79843 18.97063 0.07373
55418.84121 19.00663 0.06589
55419.75121 19.00284 0.10371
55419.79504 19.15643 0.08083
55420.78929 19.17151 0.10257
55420.83264 19.02824 0.07335
55421.73664 19.00401 0.05277
55421.79901 18.95121 0.04
55422.75115 19.00856 0.0489
55422.79487 19.03329 0.04371
55423.74742 18.92423 0.04779
55423.79284 19.02333 0.04643
55424.75349 18.96558 0.05238
55424.80178 18.90737 0.04264
55425.76166 19.02593 0.05644
55425.80573 18.95278 0.04338
55426.80123 18.84956 0.0505
55426.8444 18.88889 0.03896
55427.79708 18.95934 0.05535
55427.8408 18.94129 0.04494
55428.79281 18.82138 0.04631
55428.83703 18.92899 0.04757
55429.8142 18.93159 0.04872
55429.85716 18.84896 0.04613
55430.75769 18.8357 0.0569
55430.80485 18.9901 0.06118
55431.75639 18.94267 0.06874
55431.80024 19.11963 0.0682
55432.73907 18.78431 0.07787
55432.78359 18.94823 0.07814
55433.7493 19.10584 0.10183
55434.73769 19.05398 0.09112
55435.69148 18.93041 0.10256
55435.74218 18.99038 0.0985
55436.88575 18.92239 0.06104
55436.88891 18.92414 0.0616
55436.8919 19.00395 0.06591
55436.89501 18.9305 0.06493
55436.89797 18.93819 0.06472
55436.90109 18.96649 0.0653
55436.9042 18.80354 0.06393
55436.90728 18.83677 0.06296
55436.91041 18.88283 0.06723
55436.91351 18.933 0.07239
55436.91641 18.80219 0.06575
55436.91931 18.94175 0.06516
55436.92221 19.10382 0.0753
55436.92514 18.83081 0.06942
55436.92806 18.94233 0.07394
55436.93096 19.08424 0.07411
55436.93413 18.89668 0.06958
55436.93703 19.03589 0.07271
55436.93974 18.78067 0.06093
55436.94297 18.94746 0.06997
55436.94613 19.0492 0.07032
55436.94915 18.96189 0.06942
55436.95231 18.98964 0.06932
55436.9553 19.06257 0.06913
55436.95826 18.89977 0.06506
55436.96116 18.80107 0.05974
55436.96403 18.8603 0.06284
55436.96671 19.14742 0.07213
55438.88857 19.0002 0.05733
55438.89169 18.89646 0.05242
55438.89485 18.94997 0.0566
55438.89798 18.93349 0.05371
55438.90086 19.04967 0.05115
55438.90371 18.9288 0.05283
55438.9065 18.87509 0.05006
55438.90927 18.92539 0.05043
55438.91204 18.84395 0.05024
55438.91487 18.96696 0.05402
55438.91763 19.03046 0.05663
55438.92084 18.97893 0.06013
55438.92394 18.97684 0.05989
55438.92672 18.82692 0.05765
55438.92954 18.97655 0.05824
55438.93259 18.95408 0.06092
55438.93551 19.09699 0.06365
55438.93833 18.94056 0.0566
55438.94106 18.84259 0.05991
55438.94411 18.91377 0.05524
55438.94678 18.97426 0.06402
55438.95017 18.91096 0.05723
55438.95913 19.1155 0.06692
55438.96141 19.01932 0.06048
55440.87507 18.98017 0.04643
55440.87823 18.89126 0.04067
55440.88428 18.93261 0.04226
55440.88675 19.02031 0.04499
55440.8894 18.87372 0.03976
55440.89205 18.88999 0.04246
55440.89518 18.92089 0.04429
55440.89832 18.93655 0.04244
55440.90145 18.95684 0.04486
55440.90439 18.86647 0.04423
55440.90729 18.86793 0.04156
55440.91025 18.87926 0.04352
55440.91316 18.98422 0.04457
55440.91591 18.99489 0.04875
55440.9187 18.9347 0.04507
55440.92149 18.9171 0.04508
55440.92426 18.94804 0.04536
55440.93095 18.86236 0.04455
55440.93364 18.97485 0.04438
55440.93623 18.86875 0.04435
55440.9395 18.97013 0.0477
55440.94264 18.84963 0.04307
55440.94582 18.88734 0.04169
55440.94883 18.90383 0.04393
55440.95182 18.80793 0.04388
55440.95489 18.92278 0.04531
55440.95791 18.82928 0.04258
55441.87301 18.8784 0.03823
55441.87592 18.88369 0.03909
55441.88645 18.79597 0.03854
55441.88962 18.89469 0.04039
55441.89254 18.81362 0.03903
55441.89542 18.87122 0.03953
55441.89828 18.8839 0.04098
55441.90107 18.85756 0.03902
55441.9037 18.85344 0.03864
55441.90634 18.90435 0.04168
55441.90906 18.88877 0.03952
55441.9118 18.83603 0.03831
55441.91445 18.86236 0.04017
55441.91722 18.9379 0.03978
55441.91981 18.94049 0.04483
55441.92242 18.80881 0.03929
55441.9281 18.92948 0.04201
55441.93183 18.81693 0.0399
55441.93458 18.79684 0.0364
55441.93727 19.02962 0.04043
55441.94048 18.86429 0.03893
55441.94326 18.94066 0.03838
55441.94546 18.916 0.03713
55441.94852 18.90764 0.03678
55441.95194 18.9622 0.04071
55441.95469 18.87978 0.03802
55441.95786 18.93172 0.03987
55441.96081 18.92505 0.04043
55441.96392 18.89889 0.04023
55441.96715 18.8253 0.03999
55441.97012 18.90304 0.03984
55441.97294 18.91428 0.04143
55441.97532 18.80387 0.03927
55441.97757 18.89407 0.03992
55441.9798 18.85404 0.03913
55441.9835 19.00594 0.04174
55441.9863 18.88157 0.03889
55441.98852 18.81824 0.03932
55441.99078 18.84268 0.0409
55441.99382 18.78709 0.03879
55442.00593 18.88931 0.04312
55442.00906 19.00707 0.0464
55442.01216 18.92652 0.04508
55442.01486 19.01824 0.04992
55442.01753 18.94105 0.05252
55442.02001 18.94447 0.06612
55442.02226 18.92007 0.07604
55442.70382 18.86817 0.03937
55442.70734 18.89597 0.04048
55442.71097 18.93884 0.04236
55442.71448 18.88563 0.04192
55442.71808 18.90248 0.04419
55442.72168 18.83434 0.03927
55442.72527 18.87373 0.04122
55442.73272 18.89532 0.03948
55442.74184 18.81919 0.04105
55442.74882 18.88535 0.03994
55442.75572 18.89439 0.03739
55442.76147 18.85161 0.03727
55442.76615 18.90832 0.03949
55442.77616 18.79667 0.03851
55442.78135 18.94688 0.03828
55442.78615 18.94226 0.03762
55442.79145 18.86467 0.03792
55442.79615 18.92074 0.03859
55442.80186 18.90965 0.0377
55442.8093 18.85915 0.03597
55442.81443 18.91724 0.03924
55442.81939 18.83582 0.03605
55442.82447 18.84072 0.03626
55442.8293 18.84751 0.03599
55442.83541 18.8825 0.03656
55442.84012 18.9011 0.03839
55442.84597 18.86471 0.03935
55442.85112 18.89341 0.03724
55442.85657 18.95496 0.03766
55442.86387 18.92835 0.04309
55442.87002 18.85995 0.0377
55442.87503 18.89606 0.0376
55442.88048 18.84112 0.03634
55442.88617 18.87426 0.03678
55442.89221 18.99285 0.03737
55442.89785 18.93325 0.04009
55442.90297 18.9619 0.03893
55442.90871 18.92481 0.037
55442.91368 18.95342 0.03803
55442.91875 18.90542 0.03989
55442.92384 18.92965 0.03637
55442.93037 18.95169 0.03906
55442.93642 18.88016 0.03725
55442.94588 19.02171 0.04328
55442.95166 18.79684 0.0377
55442.95754 18.93304 0.04127
55442.96246 19.02398 0.04074
55442.96833 18.93087 0.03954
55442.97317 18.93347 0.03951
55442.97782 18.93494 0.03779
55442.98206 18.97376 0.04131
55442.9872 18.91449 0.03931
55442.99348 18.8914 0.04003
55442.99858 18.82485 0.03774
55443.00329 18.79805 0.03788
55443.01002 18.93041 0.04008
55443.01702 18.92679 0.04391
55443.02387 18.85152 0.07967
55443.67742 18.95371 0.05286
55443.68488 18.9892 0.05056
55443.69287 18.95191 0.04776
55443.70415 19.0163 0.04725
55443.71028 19.02004 0.05003
55443.71632 18.98049 0.04684
55443.72231 18.92796 0.04456
55443.72832 18.82131 0.04158
55443.736 18.88673 0.04195
55443.74306 18.86943 0.04004
55443.74812 18.94596 0.04106
55443.75372 18.87856 0.04017
55443.75946 18.94216 0.03948
55443.76526 18.94726 0.04286
55443.77007 19.01126 0.04298
55443.78027 18.90104 0.04506
55443.78539 18.98175 0.04145
55443.79156 18.91973 0.03885
55443.79717 19.04996 0.04004
55443.80302 18.9058 0.03695
55443.80895 18.92034 0.04084
55443.81493 19.01051 0.04159
55443.8204 18.9149 0.03924
55443.82634 18.80091 0.03701
55443.83239 18.91771 0.03961
55443.83783 18.95975 0.0392
55443.84415 18.83713 0.0374
55443.84958 18.91941 0.03869
55443.85553 18.90933 0.03695
55443.86252 18.87041 0.03787
55443.87576 18.89937 0.03743
55443.88141 18.86716 0.03572
55443.88892 18.95348 0.03863
55443.89412 18.99003 0.04174
55443.90077 18.97007 0.04137
55443.90658 18.92867 0.04068
55443.91235 18.84632 0.03819
55443.91779 19.05299 0.04362
55443.92403 18.99104 0.0427
55443.92967 18.89276 0.03893
55443.93496 19.00015 0.04045
55443.94073 19.04649 0.04463
55443.94779 18.9427 0.04223
55443.95355 18.91285 0.03828
55443.95925 18.91345 0.04049
55443.9693 18.98063 0.0444
55443.97555 18.90569 0.0409
55443.98144 18.90505 0.04072
55443.98725 19.07213 0.04959
55443.99456 19.0164 0.0444
55444.00093 18.98244 0.04257
55444.0061 18.90985 0.03937
55444.01187 18.90253 0.04336
55444.0175 18.99319 0.04879
