#mjd mag magerr
55061.92515 19.137 0.053
55061.95588 19.121 0.05
55063.96405 19.3 0.059
55064.92143 19.19 0.061
55064.96574 19.245 0.06
55066.91028 19.086 0.056
55066.95489 19.12 0.056
55069.90339 19.23 0.06
55069.94801 19.222 0.059
55080.96001 19.409 0.143
55084.8634 19.214 0.082
55087.8562 19.192 0.064
55087.90112 19.354 0.061
55088.96993 19.107 0.058
55089.01532 19.328 0.063
55089.94585 19.25 0.062
55089.99052 19.238 0.061
55093.8375 19.216 0.059
55093.88205 19.16 0.055
55096.82929 19.385 0.064
55097.00866 19.05 0.081
55104.99868 19.26 0.089
55107.79768 19.171 0.107
55114.88127 19.102 0.065
55119.95365 19.17 0.061
55123.75695 19.283 0.064
55123.81522 19.32 0.066
55126.97954 19.378 0.08
55127.83327 19.272 0.066
55127.87703 19.02 0.073
55138.71466 19.182 0.13
55142.70353 19.258 0.069
55142.75211 19.295 0.069
55144.77878 19.176 0.082
55144.82297 19.143 0.067
55151.72933 19.22 0.062
55151.77246 19.172 0.066
55166.74884 19.43 0.123
55168.63365 19.355 0.095
55168.67736 19.245 0.096
55175.6121 19.061 0.054
55175.65669 19.241 0.057
55181.59406 19.363 0.088
55181.6381 19.198 0.075
55183.59188 19.318 0.089
55183.64238 19.057 0.072
55189.58038 19.266 0.09
55189.62541 19.356 0.075
55194.59011 19.338 0.116
55202.58653 19.287 0.07
55203.71426 19.292 0.099
55203.75728 19.204 0.077
55207.63078 19.097 0.06
55207.675 19.185 0.061
55209.59665 19.044 0.054
55209.64135 19.142 0.059
55213.67966 19.305 0.08
55377.85133 19.363 0.126
55378.90624 19.128 0.128
55379.85921 19.303 0.083
55379.92492 19.158 0.073
55380.87695 19.321 0.088
55380.92088 19.256 0.126
55381.93945 19.025 0.068
55384.82682 18.997 0.071
55385.87032 19.077 0.061
55385.91351 19.142 0.054
55386.86536 19.183 0.069
55386.90878 19.249 0.062
55387.87014 19.243 0.065
55388.86621 19.271 0.071
55388.91017 19.163 0.056
55389.97264 19.057 0.13
55390.80969 19.183 0.073
55390.85406 19.071 0.062
55391.80625 19.134 0.09
55391.87551 19.109 0.059
