#mjd mag magerr
55061.92501 19.17121 0.05373
55061.95573 19.24997 0.04959
55063.91987 19.1001 0.05235
55063.9639 19.1908 0.05083
55064.92128 19.09285 0.05777
55064.9656 19.20176 0.05763
55066.91014 19.10003 0.05894
55066.95474 19.20677 0.05498
55067.91649 19.08129 0.07709
55067.96099 19.06411 0.08812
55069.90324 19.15832 0.04505
55069.94786 19.22392 0.0478
55080.87449 18.95469 0.10702
55080.95988 19.37647 0.13254
55084.86328 19.23928 0.06506
55087.85609 19.20202 0.04616
55087.90101 19.27485 0.05013
55088.96983 19.36263 0.04893
55089.01521 19.29677 0.05146
55089.94574 19.28968 0.05177
55089.99042 19.2008 0.05131
55093.83741 19.15068 0.04351
55093.88196 19.36022 0.04706
55096.8292 19.26116 0.04931
55097.00858 19.22714 0.05873
55104.99862 19.29684 0.07015
55107.79764 19.08069 0.08343
55114.88125 19.1788 0.06006
55114.92522 19.32236 0.13304
55119.89538 19.48838 0.05829
55119.95365 19.32962 0.06199
55123.75696 19.19604 0.05549
55123.81523 19.28166 0.0511
55126.97957 19.27724 0.08012
55127.83329 19.2625 0.05586
55127.87706 19.27451 0.06988
55135.82555 19.49514 0.1325
55135.86926 19.36801 0.13984
55138.71472 19.3871 0.10076
55138.75871 19.42272 0.13685
55142.7036 19.42936 0.0635
55142.75219 19.21454 0.06642
55144.77886 19.29269 0.06177
55144.82305 19.5488 0.08133
55151.72943 19.40656 0.06215
55151.77257 19.42407 0.06134
55166.74897 19.52148 0.14001
55168.63378 19.34914 0.09083
55168.6775 19.20074 0.09381
55175.61224 19.40872 0.0563
55175.65684 19.36664 0.05438
55181.59421 19.23384 0.08275
55181.63825 19.41566 0.07179
55183.59204 19.21507 0.09725
55183.64253 19.34576 0.06297
55189.58054 19.29123 0.06975
55189.62557 19.26434 0.06551
55194.59026 18.99484 0.11225
55199.58559 19.39196 0.0622
55202.58667 19.307 0.06452
55203.71441 19.32046 0.07653
55203.75743 19.49978 0.07983
55207.63092 19.29281 0.05959
55207.67514 19.33092 0.06071
55209.5968 19.27877 0.05392
55209.64149 19.26703 0.05538
55213.63312 19.47418 0.07316
55213.6798 19.42084 0.07731
55377.85123 19.58318 0.10936
55377.89535 19.68018 0.10705
55378.90615 19.62244 0.12766
55379.8591 19.33131 0.08853
55379.92482 19.26463 0.06798
55380.87684 19.27538 0.10231
55380.92078 19.48025 0.08589
55381.89606 19.35978 0.06908
55381.93934 19.36154 0.07061
55384.82671 19.40404 0.07042
55384.87028 19.3435 0.05704
55385.87021 19.31625 0.06444
55385.91339 19.2677 0.05381
55386.86524 19.37614 0.0659
55386.90867 19.41775 0.06081
55387.87002 19.34815 0.0602
55387.91342 19.31719 0.05448
55388.86609 19.41546 0.079
55388.91005 19.21704 0.06099
55390.80957 19.3607 0.08243
55390.85393 19.23996 0.07036
55391.80613 19.37301 0.08006
55391.87538 19.17714 0.06463
55392.83258 19.22321 0.0696
55392.87538 19.35586 0.06052
55394.79908 19.64152 0.07864
55394.8431 19.29515 0.05906
55395.79551 19.49615 0.10355
55395.84215 19.41691 0.07054
55396.79527 19.33085 0.10052
55396.83932 19.27165 0.06179
55397.79163 19.47055 0.09644
55397.83526 19.31608 0.06479
55398.78764 19.55018 0.10163
55398.83124 19.53485 0.08665
55399.78802 19.32225 0.09967
55399.83261 19.48931 0.09172
55400.78534 19.3038 0.12663
55400.8289 19.45989 0.09628
55401.82518 19.34821 0.12357
55402.77979 19.65733 0.17492
55402.8246 19.32851 0.11234
55403.81973 19.50037 0.12331
55404.84266 19.54771 0.10545
55405.8416 19.60973 0.11395
55407.7691 19.43398 0.17642
55407.83003 19.66109 0.10904
55411.79896 19.36288 0.08387
55412.75232 19.43044 0.11073
55412.79539 19.4385 0.09521
55413.75577 19.36823 0.14869
55413.79945 19.41338 0.10853
55414.75161 19.4579 0.16135
55414.79555 19.41473 0.09167
55415.75266 19.51824 0.11417
55415.79727 19.71882 0.13555
55416.75096 19.63145 0.12935
55416.79342 19.59753 0.1112
55417.84511 19.37062 0.10664
55418.79843 19.40248 0.10278
55418.84121 19.40023 0.08683
55419.75121 19.52134 0.13903
55419.79504 19.14531 0.09469
55420.78929 19.02535 0.13407
55420.83264 19.35864 0.10248
55421.73664 19.39223 0.08312
55421.79901 19.29928 0.05366
55422.75115 19.36239 0.07204
55422.79487 19.284 0.06055
55423.74742 19.35343 0.06876
55423.79284 19.25607 0.05803
55424.75349 19.33672 0.08057
55424.80178 19.34171 0.05737
55425.76166 19.2757 0.0755
55425.80573 19.28377 0.05733
55426.80123 19.19682 0.07168
55426.8444 19.32077 0.05512
55427.79708 19.31866 0.07064
55427.8408 19.27973 0.05949
55428.79281 19.17566 0.06942
55428.83703 19.36604 0.06364
55429.8142 19.52225 0.08364
55429.85716 19.36403 0.06517
55430.75769 19.28604 0.08915
55430.80485 19.29228 0.08019
55431.75639 19.55456 0.13323
55431.80024 19.34026 0.1104
55432.73907 19.60494 0.13404
55432.78359 19.30116 0.10522
55433.70425 19.71822 0.17052
55433.7493 19.71332 0.16093
55434.73769 19.54782 0.16638
55435.69148 19.482 0.17637
55436.88575 19.46318 0.11592
55436.88891 19.37861 0.08616
55436.8919 19.52958 0.09696
55436.89501 19.37213 0.08638
55436.89797 19.26337 0.08684
55436.90109 19.50781 0.10425
55436.9042 19.44015 0.09255
55436.90728 19.51726 0.09846
55436.91041 19.27649 0.09198
55436.91351 19.60666 0.10494
55436.91641 19.49015 0.10959
55436.92221 19.29375 0.09389
55436.92514 19.59056 0.1223
55436.92806 19.49032 0.09694
55436.93096 19.41971 0.09951
55436.93413 19.3413 0.09276
55436.93703 19.42109 0.11705
55436.93974 19.47739 0.09954
55436.94297 19.44725 0.1222
55436.94613 19.61305 0.11192
55436.95231 19.34499 0.09692
55436.9553 19.43754 0.08903
55436.95826 19.26215 0.08625
55436.96116 19.42523 0.08944
55436.96403 19.5462 0.15879
55436.96671 19.73222 0.10579
55438.88857 19.51752 0.08891
55438.89169 19.29608 0.09503
55438.89485 19.35359 0.08155
55438.89798 19.4649 0.08609
55438.90086 19.37177 0.07761
55438.90371 19.37126 0.07688
55438.9065 19.36267 0.07827
55438.90927 19.34215 0.08088
55438.91204 19.38867 0.08226
55438.91487 19.38187 0.08011
55438.91763 19.5447 0.08582
55438.92084 19.46397 0.09434
55438.92394 19.4538 0.08794
55438.92672 19.42104 0.09014
55438.93259 19.52304 0.10625
55438.93551 19.4322 0.09156
55438.93833 19.35742 0.10625
55438.94106 19.46638 0.08937
55438.94411 19.43575 0.09418
55438.94678 19.56455 0.10762
55438.95017 19.40588 0.09139
55438.95913 19.47357 0.08715
55438.96141 19.50772 0.08856
55440.87507 19.33678 0.06587
55440.87823 19.41944 0.06282
55440.88428 19.32329 0.06102
55440.88675 19.39285 0.05985
55440.8894 19.46688 0.06427
55440.89205 19.33784 0.06256
55440.89518 19.31339 0.06025
55440.89832 19.23672 0.06645
55440.90145 19.29395 0.06097
55440.90439 19.32596 0.06284
55440.90729 19.37092 0.06519
55440.91025 19.32925 0.06448
55440.91316 19.27956 0.06107
55440.91591 19.37475 0.06235
55440.9187 19.25522 0.06305
55440.92149 19.44872 0.06522
55440.92426 19.3586 0.0592
55440.93095 19.31371 0.06316
55440.93364 19.25732 0.06131
55440.93623 19.30262 0.05982
55440.9395 19.31406 0.06424
55440.94264 19.34181 0.06273
55440.94582 19.2097 0.06366
55440.94883 19.3702 0.06606
55440.95182 19.30742 0.06173
55440.95489 19.42314 0.06235
55440.95791 19.40648 0.06318
55441.87301 19.22537 0.05427
55441.87592 19.27061 0.05046
55441.88645 19.27786 0.05517
55441.88962 19.27187 0.05419
55441.89254 19.36637 0.05688
55441.89542 19.27889 0.05447
55441.89828 19.27527 0.05562
55441.90107 19.2435 0.05114
55441.9037 19.17722 0.05204
55441.90634 19.3101 0.05486
55441.90906 19.36983 0.05446
55441.9118 19.26677 0.05225
55441.91445 19.35017 0.05203
55441.91722 19.37701 0.05722
55441.91981 19.3756 0.06126
55441.92242 19.35452 0.05791
55441.92546 19.40371 0.05396
55441.9281 19.33222 0.05581
55441.93183 19.27575 0.05395
55441.93458 19.27253 0.05354
55441.93727 19.30318 0.05332
55441.94048 19.37724 0.05494
55441.94326 19.27377 0.052
55441.94546 19.2876 0.05419
55441.94852 19.33303 0.05363
55441.95194 19.25307 0.05101
55441.95469 19.36421 0.05518
55441.95786 19.2774 0.04789
55441.96081 19.43966 0.06151
55441.96392 19.46795 0.06152
55441.96715 19.17567 0.04779
55441.97012 19.17077 0.04948
55441.97294 19.28614 0.056
55441.97532 19.37212 0.05238
55441.97757 19.24236 0.05256
55441.9798 19.31278 0.05845
55441.9835 19.34916 0.05465
55441.9863 19.31372 0.05863
55441.98852 19.44111 0.06035
55441.99078 19.3675 0.0599
55441.99382 19.27409 0.05971
55442.00593 19.27176 0.0603
55442.00906 19.36258 0.06858
55442.01216 19.40688 0.06508
55442.01486 19.32413 0.0701
55442.01753 19.54979 0.0915
55442.02001 19.5281 0.08962
55442.02226 19.68246 0.11707
55442.70382 19.44232 0.0666
55442.70734 19.28558 0.05926
55442.71097 19.38521 0.06355
55442.71448 19.3813 0.06391
55442.71808 19.28423 0.06066
55442.72168 19.33145 0.06415
55442.72527 19.27736 0.0566
55442.73272 19.17002 0.0585
55442.74184 19.2317 0.05423
55442.74882 19.37246 0.05697
55442.75572 19.33853 0.05468
55442.76147 19.26108 0.05108
55442.76615 19.26206 0.05477
55442.77616 19.20663 0.05281
55442.78135 19.30668 0.05584
55442.78615 19.33891 0.05355
55442.79145 19.18419 0.04883
55442.79615 19.22287 0.0507
55442.80186 19.29143 0.05593
55442.8093 19.21639 0.0503
55442.81443 19.34282 0.05038
55442.81939 19.29728 0.05242
55442.82447 19.30358 0.05065
55442.8293 19.2627 0.04995
55442.83541 19.30667 0.0534
55442.84012 19.22297 0.05005
55442.84597 19.24453 0.05106
55442.85112 19.26572 0.04977
55442.85657 19.22418 0.04935
55442.86387 19.34591 0.05362
55442.87002 19.25278 0.05434
55442.87503 19.41258 0.05305
55442.88048 19.2888 0.05036
55442.88617 19.30528 0.05206
55442.89221 19.42514 0.05631
55442.89785 19.31922 0.05294
55442.90297 19.29725 0.05355
55442.90871 19.35655 0.054
55442.91368 19.32524 0.05044
55442.91875 19.21515 0.05036
55442.92384 19.27971 0.05263
55442.93037 19.23008 0.05377
55442.93642 19.3285 0.05564
55442.94588 19.45685 0.0566
55442.95166 19.31117 0.05304
55442.95754 19.40279 0.05486
55442.96246 19.28362 0.05734
55442.96833 19.36853 0.05745
55442.97317 19.43099 0.05201
55442.97782 19.20543 0.05238
55442.98206 19.21661 0.05164
55442.9872 19.39734 0.05781
55442.99348 19.32449 0.05435
55442.99858 19.31886 0.05168
55443.00329 19.25294 0.05391
55443.01002 19.30087 0.0583
55443.01702 19.35284 0.06071
55443.02387 19.30634 0.10244
55443.67742 19.40812 0.08808
55443.68488 19.39412 0.07207
55443.69287 19.33282 0.06922
55443.70415 19.29959 0.06516
55443.71028 19.42116 0.07054
55443.71632 19.33355 0.06227
55443.72231 19.36604 0.06125
55443.72832 19.24413 0.0602
55443.736 19.38064 0.06495
55443.74306 19.25216 0.05975
55443.74812 19.34781 0.05949
55443.75372 19.2796 0.05948
55443.75946 19.29719 0.05596
55443.76526 19.41638 0.06397
55443.77007 19.32693 0.06084
55443.78027 19.36279 0.06006
55443.78539 19.23585 0.05469
55443.79156 19.33469 0.05651
55443.79717 19.36807 0.05763
55443.80302 19.39673 0.05789
55443.80895 19.44447 0.05905
55443.81493 19.36945 0.05798
55443.8204 19.47693 0.06014
55443.82634 19.33614 0.05784
55443.83239 19.352 0.05204
55443.83783 19.33506 0.05638
55443.84415 19.26232 0.05217
55443.84958 19.43651 0.05587
55443.85553 19.33566 0.05374
55443.86252 19.34088 0.05337
55443.87576 19.31429 0.052
55443.88141 19.26146 0.05153
55443.88892 19.28565 0.05682
55443.89412 19.29038 0.0572
