#mjd mag magerr
135.82555 17.12875 0.02012
135.86926 17.21337 0.02147
138.71472 17.10675 0.0226
138.75871 17.1327 0.02342
142.7036 17.11986 0.01264
142.75219 17.09403 0.01359
144.77886 17.10747 0.01202
144.82305 17.11651 0.01341
151.72943 17.12145 0.0129
151.77257 17.09673 0.01224
166.70473 17.11327 0.02096
166.74897 17.14093 0.02199
168.63378 17.09862 0.01735
168.6775 17.1154 0.018
175.61224 17.15363 0.03209
175.65684 17.1353 0.03032
181.59421 17.11859 0.01878
181.63825 17.1648 0.01709
183.59204 17.17706 0.02029
183.64253 17.15166 0.01366
189.58054 17.1119 0.01454
189.62557 17.11542 0.01299
194.59026 17.13147 0.02304
199.58559 17.04321 0.01173
201.58642 17.06345 0.03322
202.58667 17.08577 0.01377
203.71441 17.09504 0.0142
203.75743 17.08228 0.01482
207.63092 17.08664 0.01604
207.67514 17.09134 0.01199
209.5968 17.0575 0.01143
209.64149 17.06834 0.01132
213.63312 17.12529 0.03679
213.6798 17.11237 0.0367
377.85123 17.18095 0.02132
377.89535 17.15894 0.0179
378.90615 17.20679 0.02264
379.8591 17.21165 0.01708
379.92482 17.16139 0.01418
380.87684 17.1827 0.01762
380.92078 17.19058 0.0169
381.89606 17.22252 0.01473
381.93934 17.17085 0.01376
384.82671 17.19519 0.01343
384.87028 17.18558 0.0128
385.87021 17.17971 0.01246
385.91339 17.16133 0.01222
386.86524 17.1654 0.01285
386.90867 17.1771 0.01237
387.87002 17.15117 0.01291
387.91342 17.1597 0.01228
388.86609 17.17962 0.01502
388.91005 17.15694 0.0129
390.80957 17.15559 0.01468
390.85393 17.16638 0.01379
391.80613 17.1765 0.01592
391.87538 17.15947 0.01345
392.83258 17.17761 0.01402
392.87538 17.14609 0.0135
394.79908 17.1211 0.01521
394.8431 17.15604 0.01361
395.79551 17.17703 0.01776
395.84215 17.13635 0.01313
396.79527 17.11682 0.01644
396.83932 17.18708 0.01252
397.79163 17.19633 0.01834
397.83526 17.15171 0.01322
398.78764 17.16352 0.02037
398.83124 17.19741 0.01591
399.78802 17.22455 0.02089
399.83261 17.19079 0.0176
