#mjd mag magerr
55061.92501 19.40746 0.04149
55061.95573 19.54686 0.04506
55063.91987 19.48869 0.042
55063.9639 19.47386 0.04524
55064.92128 19.46241 0.04612
55064.9656 19.52198 0.04871
55066.91014 19.3884 0.04173
55066.95474 19.35764 0.03927
55067.91649 19.74663 0.06931
55067.96099 19.45649 0.06116
55069.90324 19.4951 0.05152
55069.94786 19.59696 0.05422
55080.87449 19.70238 0.10851
55080.95988 19.70837 0.14862
55084.86328 19.51979 0.06955
55087.85609 19.47075 0.04801
55087.90101 19.46715 0.04651
55088.96983 19.45498 0.04659
55089.01521 19.50644 0.04982
55089.94574 19.52164 0.04793
55089.99042 19.54867 0.05161
55093.83741 19.48366 0.04895
55093.88196 19.5271 0.04705
55096.8292 19.50835 0.04772
55097.00858 19.48578 0.05987
55104.99862 19.58444 0.06554
55107.79764 19.27602 0.09462
55114.88125 19.61194 0.06876
55114.92522 19.78872 0.14283
55119.89538 19.52991 0.06407
55119.95365 19.69831 0.06814
55123.75696 19.45994 0.05161
55123.81523 19.5697 0.05521
55126.97957 19.58713 0.07612
55127.83329 19.46869 0.0575
55127.87706 19.71699 0.06786
55135.82555 19.62382 0.10444
55135.86926 19.52284 0.10287
55138.71472 19.6537 0.10508
55138.75871 19.84614 0.12741
55142.7036 19.42674 0.05468
55142.75219 19.4407 0.0644
55144.77886 19.52358 0.05718
55144.82305 19.48972 0.06403
55151.72943 19.6423 0.06135
55151.77257 19.56444 0.05482
55166.70473 19.31579 0.11668
55166.74897 19.45474 0.09775
55168.63378 19.61697 0.09258
55168.6775 19.5195 0.08952
55175.61224 19.50353 0.04632
55175.65684 19.49728 0.0453
55181.59421 19.65523 0.07929
55181.63825 19.44693 0.06419
55183.59204 19.59217 0.07133
55183.64253 19.43256 0.05321
55189.58054 19.50303 0.07029
55189.62557 19.53722 0.05611
55194.59026 19.89508 0.16666
55199.58559 19.54968 0.05645
55201.58642 19.56831 0.19496
55202.58667 19.44155 0.06185
55203.71441 19.60638 0.0777
55203.75743 19.46448 0.07581
55207.63092 19.5085 0.06123
55207.67514 19.40168 0.05054
55209.5968 19.47155 0.04936
55209.64149 19.44491 0.04883
55213.63312 19.45212 0.06575
55213.6798 19.41306 0.07413
55377.85123 19.77561 0.11252
55377.89535 19.99039 0.11627
55379.8591 19.85266 0.09916
55379.92482 19.71738 0.08197
55380.92078 19.97693 0.09839
55381.89606 19.72769 0.07887
55381.93934 19.92789 0.07629
55384.82671 19.85326 0.07042
55384.87028 19.67247 0.06171
55385.87021 19.82302 0.06358
55385.91339 19.79285 0.05801
55386.86524 19.97994 0.06881
55386.90867 19.82227 0.06307
55387.87002 19.66917 0.06155
55387.91342 19.76251 0.0552
55388.86609 19.88387 0.08485
55388.91005 19.6795 0.0573
55389.97252 19.77729 0.1171
55390.80957 19.91824 0.08905
55390.85393 19.75606 0.06963
55391.80613 19.95144 0.10147
55391.87538 19.78453 0.06809
55392.83258 19.75983 0.07904
55392.87538 19.80471 0.06342
55394.79908 19.87524 0.08329
55394.8431 19.83455 0.0703
55395.84215 19.73528 0.06961
55396.79527 19.78796 0.09966
55396.83932 19.64246 0.05749
55397.79163 19.8696 0.10841
55397.83526 19.6863 0.06392
55398.78764 19.91683 0.11349
55398.83124 19.69648 0.07877
55399.78802 19.9162 0.116
55399.83261 19.85844 0.10166
55400.78534 20.02876 0.20085
55400.8289 19.91757 0.09948
55401.78133 20.04181 0.15583
55401.82518 19.82031 0.16397
55402.8246 19.66895 0.1279
55403.77642 20.03994 0.18589
55403.81973 19.7577 0.13509
55404.77424 19.73585 0.18898
55404.84266 19.91663 0.12231
55405.8416 19.46548 0.12216
55407.7691 19.79165 0.16051
55407.83003 19.57143 0.12318
55411.79896 19.85547 0.09115
55412.75232 20.1042 0.14858
55412.79539 20.02884 0.11595
55413.75577 20.09597 0.13742
55413.79945 19.61748 0.08978
55414.75161 19.95549 0.12098
55414.79555 19.87407 0.0968
55415.75266 20.10354 0.1372
55415.79727 19.79157 0.11244
55416.79342 19.88147 0.10761
55417.75979 19.89746 0.12781
55417.84511 19.90199 0.09259
55418.79843 20.04995 0.11361
55418.84121 19.85769 0.09006
55419.75121 19.81187 0.11876
55419.79504 20.02419 0.10224
55420.78929 19.75551 0.10984
55420.83264 19.85866 0.10023
55421.73664 19.86908 0.07631
55421.79901 19.77341 0.0619
55422.75115 19.85799 0.07869
55422.79487 19.73319 0.0601
55423.74742 19.75364 0.06658
55423.79284 19.77055 0.05732
55424.75349 19.92122 0.086
55424.80178 19.77578 0.06432
55425.76166 19.83477 0.08626
55425.80573 19.61836 0.05372
55426.80123 19.74501 0.07919
55426.8444 19.68026 0.05394
55427.79708 19.78456 0.08457
55427.8408 19.70669 0.06788
55428.79281 19.62228 0.07909
55428.83703 19.88067 0.07637
55429.8142 19.92147 0.08646
55429.85716 19.78471 0.07468
55430.75769 19.78837 0.1024
55430.80485 20.03826 0.1041
55431.75639 19.71281 0.09988
55431.80024 19.72564 0.0982
55432.73907 20.0026 0.1384
55432.78359 19.91621 0.11959
55434.73769 19.84909 0.12512
55435.74218 19.95185 0.15322
55436.88575 19.93793 0.1039
55436.88891 19.79944 0.11578
55436.8919 19.91898 0.1118
55436.89501 19.93046 0.10436
55436.89797 19.88371 0.12678
55436.90109 19.70053 0.10096
55436.9042 19.97261 0.10471
55436.90728 20.01012 0.11907
55436.91041 19.96894 0.11648
55436.91641 20.10466 0.12247
55436.91931 19.85556 0.10159
55436.92221 19.76913 0.11108
55436.92514 20.08273 0.10839
55436.92806 19.82603 0.10959
55436.93096 19.93164 0.13597
55436.93703 20.18093 0.15166
55436.93974 19.80459 0.1085
55436.94613 19.6896 0.12137
55436.94915 19.98293 0.15557
55436.95231 19.69296 0.0994
55436.9553 19.69674 0.12666
55436.95826 19.82443 0.10701
55436.96116 20.07433 0.12127
55436.96403 19.84956 0.10637
55436.96671 19.88697 0.102
55438.88857 19.81358 0.10627
55438.89169 20.03704 0.10826
55438.89485 19.72889 0.08749
55438.89798 19.91554 0.08798
55438.90086 19.86071 0.08768
55438.90371 19.78661 0.09111
55438.9065 19.84087 0.08531
55438.90927 19.99904 0.11547
55438.91204 19.86244 0.09587
55438.91487 19.89992 0.08549
55438.91763 19.81749 0.09427
55438.92084 20.03038 0.11178
55438.92394 20.10316 0.11626
55438.92672 19.71009 0.09108
55438.92954 19.96138 0.10297
55438.93259 19.98136 0.12746
55438.93833 19.96386 0.1031
55438.94106 19.95841 0.10877
55438.94411 19.7192 0.11357
55438.94678 19.9431 0.10428
55438.95017 19.78072 0.09577
55438.95913 19.74631 0.12305
55438.96141 20.09251 0.11697
55440.87507 19.79734 0.06859
55440.87823 19.7918 0.06637
55440.88428 19.69458 0.0635
55440.88675 19.7241 0.07059
55440.8894 19.67583 0.0638
55440.89205 19.78113 0.06314
55440.89518 19.88033 0.07082
55440.89832 19.92988 0.07547
55440.90145 19.81856 0.07327
55440.90439 19.81749 0.06806
55440.90729 19.88213 0.07908
55440.91025 19.77469 0.07019
55440.91316 20.00492 0.08036
55440.91591 19.76496 0.071
55440.9187 19.82521 0.07029
55440.92149 19.79849 0.07779
55440.92426 19.74479 0.06239
55440.93095 19.68089 0.06588
55440.93364 19.77193 0.06519
55440.93623 19.66007 0.07006
55440.9395 19.90121 0.07337
55440.94264 19.79215 0.06877
55440.94582 19.99914 0.08129
55440.94883 19.98069 0.07378
55440.95182 19.90634 0.07757
55440.95489 19.87974 0.07228
55440.95791 19.87301 0.07449
55441.87301 19.75487 0.0587
55441.87592 19.74158 0.05999
55441.88645 19.86637 0.06349
55441.88962 19.73751 0.05692
55441.89254 19.77487 0.05903
55441.89542 19.61361 0.05699
55441.89828 19.66786 0.05511
55441.90107 19.6703 0.05533
55441.9037 19.76508 0.06091
55441.90634 19.72722 0.0601
55441.90906 19.80166 0.06129
55441.9118 19.69242 0.05661
55441.91445 19.83245 0.0594
55441.91722 19.88502 0.06411
55441.91981 19.76889 0.06183
55441.92242 19.87683 0.0668
55441.92546 19.78378 0.06279
55441.9281 19.90203 0.0653
55441.93183 19.8789 0.06552
55441.93458 19.77209 0.06
55441.93727 19.78657 0.06472
55441.94048 19.83449 0.05668
55441.94326 19.6764 0.05715
55441.94546 19.87609 0.06956
55441.94852 19.82038 0.06499
55441.95194 19.7101 0.05892
55441.95469 19.77057 0.0582
55441.95786 19.79703 0.05952
55441.96081 19.91517 0.0706
55441.96392 19.96685 0.06715
55441.96715 19.67277 0.05745
55441.97012 19.85621 0.06899
55441.97294 19.78197 0.0578
55441.97532 19.74176 0.05772
55441.97757 19.67752 0.05999
55441.9798 19.74154 0.0594
55441.9835 19.73077 0.06093
55441.9863 19.75721 0.06408
55441.98852 19.78911 0.06468
55441.99078 19.73265 0.06299
55441.99382 19.82536 0.06499
55442.00593 19.91864 0.07788
55442.00906 19.731 0.0708
55442.01216 19.92778 0.07661
55442.01486 19.87523 0.08677
55442.01753 19.76694 0.11299
55442.02226 19.8546 0.1251
55442.70382 20.02238 0.07668
55442.70734 19.72796 0.0635
55442.71097 19.68867 0.06251
55442.71448 19.66239 0.06578
55442.71808 19.77332 0.06508
55442.72168 19.71903 0.05662
55442.72527 19.7898 0.05881
55442.73272 19.78948 0.06789
55442.74184 19.80435 0.06278
55442.74882 19.61493 0.05403
55442.75572 19.76171 0.06301
55442.76147 19.78043 0.05787
55442.76615 19.78895 0.0581
55442.77616 19.76905 0.064
55442.78135 19.79604 0.0556
55442.78615 19.77726 0.05998
55442.79145 19.63726 0.04942
55442.79615 19.84774 0.05553
55442.80186 19.88066 0.06101
55442.8093 19.71079 0.05379
55442.81443 19.69057 0.05721
55442.81939 19.6986 0.05076
55442.82447 19.77275 0.05643
55442.8293 19.73203 0.05306
55442.83541 19.75337 0.05431
55442.84012 19.76288 0.05481
55442.84597 19.76187 0.05486
55442.85112 19.74961 0.05414
55442.85657 19.71707 0.05483
55442.86387 19.79105 0.0607
55442.87002 19.90126 0.06272
55442.87503 19.79159 0.05854
55442.88048 19.66472 0.05342
55442.88617 19.74255 0.05485
55442.89221 19.73699 0.05445
55442.89785 19.69315 0.05239
55442.90297 19.80179 0.05933
55442.90871 19.69996 0.05561
55442.91368 19.73797 0.0561
55442.91875 19.89802 0.0588
55442.92384 19.73848 0.05852
55442.93037 19.83761 0.06018
55442.93642 19.81087 0.05562
55442.94588 19.93931 0.07161
55442.95166 19.80953 0.05744
55442.95754 19.82009 0.05948
55442.96246 19.72314 0.05842
55442.96833 19.86652 0.06822
55442.97317 19.78834 0.06196
55442.97782 19.80877 0.06071
55442.98206 19.81464 0.05853
55442.9872 19.72029 0.0609
55442.99348 19.86354 0.06288
55442.99858 19.72775 0.05771
55443.00329 19.73581 0.05869
55443.01002 19.85113 0.06108
55443.01702 19.90286 0.08657
55443.02387 20.02046 0.17046
55443.67742 19.71594 0.07888
55443.68488 19.86618 0.0827
55443.69287 19.90622 0.07856
55443.70415 19.83176 0.07328
55443.71028 19.96651 0.07968
55443.71632 19.77903 0.06868
55443.72231 19.76435 0.06978
55443.72832 19.91863 0.07185
55443.736 19.75926 0.06707
55443.74306 19.96268 0.07159
55443.74812 19.62695 0.05802
55443.75372 19.76215 0.06277
55443.75946 19.72503 0.06123
55443.76526 19.79031 0.06656
55443.77007 19.7909 0.06329
55443.78027 19.97541 0.0738
55443.78539 19.93115 0.06448
55443.79156 19.68734 0.0607
55443.79717 19.82737 0.06342
55443.80302 19.82975 0.06259
55443.80895 19.76157 0.05665
55443.81493 19.71374 0.05979
55443.8204 19.89006 0.0694
55443.82634 19.80833 0.06087
55443.83239 19.84212 0.06147
55443.83783 19.79287 0.05806
55443.84415 19.78469 0.05889
55443.84958 19.97135 0.06519
55443.85553 19.82427 0.05899
55443.86252 19.72424 0.05884
55443.87576 19.80799 0.0591
55443.88141 19.79678 0.06178
55443.88892 19.86958 0.0654
55443.89412 19.85882 0.0661
55443.90077 19.8227 0.06599
55443.90658 19.74343 0.05859
55443.91235 19.87514 0.05739
55443.91779 19.96075 0.06541
55443.92403 19.8645 0.07177
55443.92967 19.75755 0.06063
55443.93496 20.02341 0.06939
55443.94073 19.86669 0.06258
55443.94779 19.91577 0.06593
55443.95355 19.81809 0.06058
55443.95925 19.89424 0.0673
55443.9693 19.81207 0.06279
55443.97555 19.79404 0.06498
55443.98144 19.71892 0.05897
55443.98725 19.85225 0.0731
55443.99456 19.87873 0.06807
55444.00093 19.80731 0.06658
55444.0061 19.72889 0.05978
55444.01187 19.79466 0.06842
55444.0175 20.11257 0.10227
55444.02231 19.94045 0.14317
55444.66648 20.02881 0.10011
55444.67221 19.90502 0.10399
55444.67727 19.79157 0.09035
55444.68857 19.77323 0.08409
55444.69526 19.80548 0.07805
55444.70198 19.81886 0.08446
55444.7091 19.87085 0.07947
55444.71487 19.68062 0.07897
55444.72103 19.83385 0.07507
55444.72796 19.78618 0.07407
55444.73377 19.9397 0.07569
55444.74094 19.71004 0.06357
55444.74655 19.97896 0.07108
55444.75167 19.66208 0.06238
55444.75678 19.60082 0.05782
55444.76225 19.74299 0.06101
55444.7673 19.7209 0.06337
55444.77353 19.83755 0.06699
55444.77876 19.72366 0.0625
55444.78368 19.92051 0.06608
55444.79848 19.74202 0.06122
55444.80403 19.73408 0.06001
55444.81599 19.86515 0.062
55444.8213 19.74544 0.05572
55444.83332 19.74442 0.0595
55444.83854 19.7719 0.05942
55444.84549 19.78249 0.06079
55444.85161 19.77067 0.05765
55444.85679 19.8334 0.06063
55444.86267 19.84712 0.06438
55444.86777 19.85617 0.06222
55444.87321 19.83207 0.06689
55444.87872 19.75126 0.05898
55444.88467 19.70711 0.05986
55444.89016 19.92801 0.06288
55444.89581 19.81726 0.06601
55444.90153 19.73407 0.05272
55444.90845 19.8576 0.06508
55444.91349 19.70055 0.05459
55444.92279 19.67397 0.05509
55444.93139 19.81162 0.0614
55444.94041 19.76963 0.05933
55444.94568 19.86603 0.0648
55444.951 19.82822 0.06944
55444.95724 19.88931 0.06223
55444.96289 19.87045 0.06212
55444.96923 19.70624 0.05669
55444.97411 19.66078 0.05659
55444.98062 19.75583 0.06378
55444.98915 19.9016 0.0659
55444.99553 19.77764 0.0595
55445.00157 19.89041 0.06888
55445.00779 19.80782 0.06383
55445.01282 19.83027 0.06787
55445.01777 19.82872 0.08408
55445.02227 19.85382 0.11281
55445.66261 19.8222 0.0881
55445.66749 19.79219 0.08107
55445.67244 19.85806 0.08298
55445.67731 20.05537 0.08715
55445.68422 19.70209 0.06862
55445.6905 19.87109 0.07719
55445.69681 19.73933 0.06397
55445.70294 19.66724 0.0649
55445.70921 19.72258 0.0684
55445.71534 19.85617 0.076
55445.72141 20.04169 0.08596
55445.72791 19.90512 0.07338
55445.73457 19.70932 0.0647
55445.74013 19.70163 0.06639
55445.7456 19.82248 0.06799
55445.75096 19.67255 0.06468
55445.75643 19.73831 0.0619
55445.76191 19.7549 0.0636
55445.76784 19.70616 0.0587
55445.7737 19.6983 0.05704
55445.779 19.81992 0.0605
55445.78479 19.80618 0.05393
55445.79025 19.78266 0.06
55445.79613 19.7234 0.0578
55445.81095 19.70859 0.05891
55445.81845 19.64023 0.05338
55445.82455 19.6375 0.04814
55445.83024 19.80765 0.057
55445.84021 19.82607 0.06033
55445.84549 19.81348 0.05601
55445.85174 19.76969 0.05359
55445.85762 19.73844 0.05559
55445.8636 19.75883 0.0554
55445.86963 19.70162 0.0511
55445.87567 19.72095 0.05391
55445.88207 19.70223 0.05097
55445.88844 19.78322 0.05401
55445.89432 19.74156 0.05594
55445.89983 19.66479 0.04992
55445.90668 19.79663 0.05361
55445.91299 19.75489 0.04939
55445.91722 19.70827 0.05392
55445.92351 19.82311 0.05894
55445.92915 19.96633 0.06328
55445.93496 19.79921 0.05829
55445.94048 19.81329 0.056
55445.95216 19.68505 0.05553
55445.95886 19.89269 0.06051
55445.97191 19.77145 0.0541
55445.97872 19.79454 0.0545
55445.98437 19.77045 0.05378
55445.98972 19.72235 0.05764
55445.99581 19.83674 0.05761
55446.00245 19.73559 0.05645
55446.00827 19.66678 0.05399
55446.01324 19.77015 0.06021
55446.01787 19.77344 0.07826
55446.0233 19.84696 0.11548
55446.66046 19.92641 0.08934
55446.66501 19.84925 0.08972
55446.67089 19.8178 0.07319
55446.67601 19.69373 0.07297
55446.6814 20.04045 0.0894
55446.68915 19.94979 0.0823
55446.70044 19.91506 0.0764
55446.70781 19.70514 0.0644
55446.71375 19.88105 0.06818
55446.71998 19.91376 0.06906
55446.7269 19.72013 0.06309
55446.73768 19.7212 0.06558
55446.74263 19.78267 0.06331
