#mjd mag magerr
61.92501 19.04846 0.03343
61.95573 18.99486 0.03242
63.91987 19.04169 0.03383
63.9639 19.07486 0.03538
64.92128 19.04541 0.03496
64.9656 19.02598 0.03506
66.91014 19.01639 0.03734
66.95474 19.01864 0.03261
67.91649 19.14963 0.04985
67.96099 19.00449 0.04701
69.90324 19.0631 0.03976
69.94786 19.14097 0.03966
80.87449 19.04638 0.10961
80.95988 19.13837 0.11047
84.86328 19.06679 0.05629
87.85609 19.08475 0.03725
87.90101 19.02515 0.03604
88.96983 19.13198 0.04061
89.01521 19.09044 0.03816
89.94574 19.10364 0.03776
89.99042 19.09267 0.03915
93.83741 19.01166 0.0366
93.88196 19.0621 0.03768
96.8292 18.99135 0.03748
97.00858 19.11679 0.04633
104.99862 19.19944 0.05477
107.79764 19.23102 0.08943
114.88125 19.19894 0.05022
114.92522 19.00072 0.14573
119.89538 19.02191 0.04693
119.95365 19.22431 0.05208
123.75696 19.09994 0.04174
123.81523 19.1387 0.04185
126.97957 19.14013 0.05546
127.83329 19.23669 0.04433
127.87706 19.10499 0.04892
135.82555 19.12682 0.09266
135.86926 19.10384 0.10158
138.71472 19.3457 0.12087
138.75871 19.31414 0.09505
142.7036 19.05574 0.0445
142.75219 19.0237 0.0592
144.77886 19.16258 0.04553
144.82305 19.20272 0.04986
151.72943 19.21831 0.04988
151.77257 19.15244 0.04445
166.70473 19.28679 0.08282
166.74897 19.31474 0.10045
168.63378 19.31797 0.0763
168.6775 19.0355 0.07434
175.61224 19.10353 0.03936
175.65684 19.16128 0.03724
181.59421 19.11523 0.06294
181.63825 19.14794 0.07017
183.59204 19.12017 0.07153
183.64253 19.19056 0.05101
189.58054 19.10003 0.05741
189.62557 19.10722 0.05112
194.59026 19.17608 0.10037
199.58559 19.16568 0.04608
201.58642 19.28731 0.12409
202.58667 19.08154 0.05807
203.71441 19.13938 0.05986
203.75743 19.14747 0.05837
207.63092 19.1525 0.05116
207.67514 19.08768 0.04586
209.5968 19.12855 0.04119
209.64149 19.25391 0.04484
213.63312 19.10812 0.06259
213.6798 19.17407 0.07044
377.85123 19.16461 0.10283
377.89535 19.12439 0.07301
378.86379 19.49941 0.13291
378.90615 19.28636 0.08013
379.8591 19.17966 0.07348
379.92482 19.14838 0.0545
380.87684 19.18365 0.08323
380.92078 19.26493 0.06563
381.89606 19.31869 0.05749
381.93934 19.11789 0.05133
384.82671 19.23426 0.04947
384.87028 19.04747 0.04944
385.87021 19.13302 0.04022
385.91339 19.20885 0.04106
386.86524 19.12394 0.04348
386.90867 19.15727 0.04251
387.87002 19.19017 0.0426
387.91342 19.04351 0.04206
388.86609 19.31987 0.06104
388.91005 19.1885 0.04078
389.97252 19.35829 0.09319
390.80957 19.19724 0.05549
390.85393 19.19006 0.04958
391.80613 19.32944 0.06172
391.87538 19.21152 0.04443
392.83258 19.10383 0.04932
392.87538 19.15471 0.04626
394.79908 19.08424 0.06212
394.8431 19.13856 0.04755
395.79551 19.31887 0.07507
395.84215 19.14828 0.04597
396.79527 19.20796 0.06959
396.83932 19.18446 0.04561
397.79163 19.0556 0.07605
397.83526 19.1443 0.04756
398.78764 19.39483 0.08581
398.83124 19.26848 0.0557
399.78802 19.3052 0.07775
399.83261 19.13644 0.08637
400.78534 19.33776 0.094
400.8289 19.17857 0.0741
401.78133 19.22981 0.099
401.82518 19.03331 0.08982
402.77979 19.22844 0.13227
402.8246 19.58396 0.10363
403.77642 19.54094 0.12793
403.81973 19.2847 0.09094
404.77424 19.42185 0.11264
404.84266 19.28362 0.08546
405.8416 19.44948 0.09279
407.7691 19.28864 0.10157
407.83003 19.38343 0.08921
408.78389 19.33759 0.15644
411.75477 19.148 0.07931
411.79896 19.22647 0.05934
412.75232 19.0832 0.09862
412.79539 19.15484 0.0682
413.75577 19.44097 0.0905
413.79945 19.17348 0.07052
414.75161 19.35949 0.08787
414.79555 19.27806 0.06728
415.75266 19.32854 0.08162
415.79727 19.12757 0.07774
416.75096 19.34098 0.11607
416.79342 19.08347 0.06409
417.75979 19.15646 0.09411
417.84511 19.08399 0.06561
418.79843 19.26795 0.07473
418.84121 19.17469 0.06123
419.75121 19.03087 0.09388
419.79504 19.26719 0.07042
420.78929 19.27351 0.08005
420.83264 19.17166 0.0691
421.73664 19.21908 0.05027
421.79901 19.14841 0.04035
422.75115 19.11899 0.05463
422.79487 19.19019 0.04245
423.74742 19.29764 0.05071
423.79284 19.19455 0.04206
424.75349 19.23822 0.05506
424.80178 19.19778 0.04397
425.76166 19.14978 0.05619
425.80573 19.15536 0.04235
426.80123 19.06701 0.06503
426.8444 19.19526 0.04015
427.79708 19.14656 0.05381
427.8408 19.17269 0.04472
428.79281 19.16228 0.05273
428.83703 19.14867 0.0514
429.8142 19.11347 0.05429
429.85716 19.14471 0.05092
430.75769 19.32637 0.07922
430.80485 19.25026 0.06795
431.75639 19.22181 0.07561
431.80024 19.41764 0.08402
432.73907 19.3386 0.10593
432.78359 19.38821 0.09831
433.70425 19.34412 0.12528
433.7493 19.18901 0.11961
434.69401 19.26437 0.1575
434.73769 19.27809 0.10094
435.69148 19.23145 0.1498
435.74218 19.39385 0.11496
436.88575 19.48293 0.08252
436.88891 19.21144 0.07482
436.8919 19.27497 0.07775
436.89501 19.34645 0.08377
436.89797 19.0717 0.07253
436.90109 19.34353 0.09276
436.9042 19.27661 0.07695
436.90728 19.11712 0.0861
436.91041 19.35294 0.08691
436.91351 19.38989 0.0817
436.91641 19.34066 0.08859
436.91931 19.57056 0.0932
436.92221 19.38013 0.08521
436.92514 19.36173 0.0955
436.92806 19.18803 0.08751
436.93096 19.55064 0.08301
436.93413 19.31245 0.08782
436.93703 19.36293 0.08161
436.93974 19.26259 0.09601
436.94297 19.42954 0.08892
436.94613 19.38059 0.0887
436.94915 19.27693 0.08962
436.95231 19.49596 0.09581
436.9553 19.15574 0.07062
436.95826 19.31643 0.07646
436.96116 19.49433 0.0878
436.96403 19.30256 0.0796
436.96671 19.35097 0.07603
438.88857 19.23358 0.09728
438.89169 19.43204 0.10157
438.89485 19.47189 0.0808
438.89798 19.24954 0.06761
438.90086 19.20671 0.08049
438.90371 19.40261 0.07044
438.9065 19.27788 0.07572
438.90927 19.23904 0.06213
438.91204 19.44744 0.0671
438.91487 19.02992 0.0791
438.91763 19.25949 0.072
438.92084 19.31638 0.07112
438.92394 19.21016 0.07429
438.92672 19.30709 0.0757
438.92954 19.44538 0.07979
438.93259 19.17936 0.08659
438.93551 19.28449 0.07079
438.93833 19.18286 0.07265
438.94106 19.28741 0.0736
438.94411 19.4322 0.07302
438.94678 19.2171 0.0836
438.95017 19.41772 0.07179
438.95913 19.12731 0.08258
438.96141 19.29751 0.08709
440.87507 19.30033 0.05412
440.87823 19.2398 0.05179
