#mjd mag magerr
55089.01521 19.04554 0.0413
55089.99042 19.22847 0.03927
55097.00858 19.07936 0.04579
55104.99862 19.10036 0.05056
55114.92522 19.15112 0.10246
55119.95365 19.0004 0.04298
55126.97957 18.98825 0.04885
55135.82555 19.24769 0.10182
55135.86926 19.20838 0.08818
55138.71472 18.80902 0.10851
55138.75871 18.82424 0.10004
55142.7036 19.05857 0.04396
55142.75219 18.88402 0.04613
55144.77886 19.02876 0.04013
55144.82305 18.8624 0.04377
55151.77257 19.0951 0.04263
55166.70473 18.67598 0.08011
55166.74897 19.09098 0.0784
55168.63378 19.01771 0.07577
55168.6775 19.00144 0.06512
55175.61224 18.9334 0.03229
55175.65684 18.87378 0.03099
55181.59421 19.00593 0.06296
55181.63825 19.10969 0.04789
55183.59204 19.02649 0.06526
55183.64253 19.05052 0.04324
55189.58054 18.86109 0.04697
55189.62557 18.95115 0.04289
55194.59026 19.03497 0.09464
55199.58559 18.92454 0.03842
55201.58642 19.07261 0.12411
55202.58667 19.00298 0.04532
55203.71441 19.0118 0.04975
55203.75743 18.94813 0.05417
55207.63092 18.91482 0.04004
55207.67514 18.88677 0.0391
55209.5968 18.98915 0.03401
55209.64149 18.93294 0.03378
55213.63312 18.94924 0.05061
55213.6798 18.93369 0.05523
55377.85123 19.3179 0.09231
55377.89535 18.67682 0.05923
55378.90615 19.00086 0.07454
55379.8591 18.97633 0.05646
55379.92482 18.93731 0.04383
55380.87684 18.99156 0.06139
55380.92078 18.96287 0.05823
55381.89606 18.96788 0.04483
55381.93934 18.92244 0.04113
55384.82671 18.60615 0.04383
55384.87028 18.91393 0.03406
55385.87021 18.95913 0.03403
55385.91339 18.94142 0.0314
55386.86524 18.93036 0.03883
55386.90867 18.96416 0.03724
55387.87002 18.88572 0.03554
55387.91342 18.9173 0.03153
55388.86609 19.07328 0.05019
55388.91005 18.94554 0.03279
55390.80957 18.96416 0.04757
55390.85393 18.97938 0.04209
55391.80613 19.03215 0.05099
55391.87538 18.99893 0.03855
55392.83258 18.989 0.04235
55392.87538 18.90285 0.03639
55394.79908 18.96022 0.04799
55394.8431 18.97143 0.03905
55395.79551 18.9866 0.05906
55395.84215 18.93354 0.03977
55396.79527 18.92787 0.05786
55396.83932 18.87082 0.03737
55397.79163 18.90996 0.06131
55397.83526 18.99543 0.04226
55398.78764 19.06962 0.0749
55398.83124 18.92627 0.05198
55399.78802 19.12922 0.07417
55399.83261 18.94396 0.06013
55400.78534 18.87478 0.07016
55400.8289 18.92278 0.06146
55401.78133 19.08596 0.09353
55401.82518 19.03317 0.10295
55402.77979 18.98901 0.1042
55402.8246 19.01257 0.1033
55403.77642 18.77316 0.13133
55403.81973 18.94565 0.08395
55404.77424 18.86382 0.08499
55404.84266 18.70102 0.06787
55405.8416 18.87192 0.08262
55407.7691 19.03768 0.09585
55407.83003 19.02779 0.07673
55408.78389 18.78673 0.11366
55411.79896 19.04126 0.06515
55412.75232 19.10007 0.08038
55412.79539 18.93488 0.05991
55413.75577 19.08414 0.08316
55413.79945 18.98359 0.06765
55414.75161 19.20562 0.09481
55414.79555 18.96027 0.05116
55415.75266 18.99095 0.07564
55415.79727 19.15517 0.09621
55416.75096 18.93733 0.07968
55416.79342 18.97137 0.06254
55417.75979 19.28972 0.09109
55417.84511 19.04965 0.06645
55418.79843 18.70335 0.06902
55418.84121 18.96376 0.05414
55419.75121 19.07034 0.09308
55419.79504 18.96545 0.05928
55420.78929 19.04295 0.08226
55420.83264 19.04037 0.05842
55421.73664 18.92356 0.04516
55421.79901 18.84811 0.03133
55422.75115 18.96678 0.04195
55422.79487 18.91414 0.03756
55423.74742 18.93672 0.04037
