#mjd mag magerr
55061.92501 19.21899 0.03679
55061.95573 19.2098 0.03613
55063.91987 19.1601 0.03668
55063.9639 19.24652 0.03925
55064.92128 19.1263 0.0396
55064.9656 19.17162 0.04027
55066.91014 19.12322 0.03995
55066.95474 19.17823 0.0371
55067.91649 19.27887 0.05414
55069.90324 19.24261 0.03938
55069.94786 19.17379 0.04178
55080.87449 19.1094 0.11011
55080.95988 19.35023 0.1252
55084.86328 19.10361 0.05186
55087.85609 19.18334 0.0414
55087.90101 19.20817 0.04117
55088.96983 19.19517 0.03987
55089.01521 19.21654 0.0419
55089.94574 19.26169 0.04283
55089.99042 19.24647 0.04354
55093.83741 19.20475 0.04188
55093.88196 19.19287 0.04027
55096.8292 19.22224 0.04237
55097.00858 19.29736 0.05216
55104.99862 19.30236 0.06013
55107.79764 19.1824 0.08391
55114.88125 19.22855 0.04532
55114.92522 19.33011 0.11988
55119.89538 19.25958 0.0496
55119.95365 19.3124 0.05203
55123.75696 19.20611 0.04095
55123.81523 19.1328 0.04352
55126.97957 19.42224 0.06771
55127.83329 19.33114 0.04689
55127.87706 19.31751 0.05269
55135.82555 19.2927 0.08674
55135.86926 19.39038 0.09416
55138.71472 19.20801 0.10921
55138.75871 19.27424 0.11862
55142.7036 19.31857 0.04994
55142.75219 19.23802 0.05391
55144.77886 19.25176 0.04362
55144.82305 19.2554 0.04906
55151.72943 19.25754 0.05157
55151.77257 19.2781 0.04761
55166.70473 19.44798 0.10308
55168.63378 19.25371 0.0718
55168.6775 19.31544 0.07814
55175.61224 19.30041 0.04255
55175.65684 19.28078 0.04077
55181.59421 19.32293 0.07145
55181.63825 19.25969 0.05896
55183.59204 19.30749 0.07268
55183.64253 19.29452 0.05399
55189.58054 19.36109 0.06772
55194.59026 19.35697 0.12109
55199.58559 19.42654 0.05336
55202.58667 19.24998 0.0573
55203.71441 19.2358 0.06422
55203.75743 19.23513 0.05891
55207.63092 19.30782 0.05057
55207.67514 19.28877 0.04647
55209.5968 19.34515 0.04516
55209.64149 19.34994 0.04294
55213.63312 19.36824 0.06413
55213.6798 19.19069 0.0689
55377.85123 19.4249 0.1049
55377.89535 19.29382 0.08626
55379.8591 19.28233 0.08866
55379.92482 19.27831 0.0569
55380.87684 19.41156 0.08064
55380.92078 19.34087 0.08729
55381.89606 19.27788 0.05501
55381.93934 19.26044 0.0542
55384.82671 19.25615 0.05001
55384.87028 19.16593 0.04502
55385.87021 19.35713 0.0455
55385.91339 19.35742 0.04427
55386.86524 19.28636 0.04811
55386.90867 19.28216 0.04611
55387.87002 19.36972 0.04923
55387.91342 19.3073 0.04067
55388.86609 19.41728 0.06375
55388.91005 19.37354 0.04424
55390.80957 19.42616 0.06772
55390.85393 19.23338 0.05494
55391.80613 19.39415 0.07063
55391.87538 19.41293 0.05191
55392.83258 19.376 0.0597
55394.79908 19.37922 0.06295
55394.8431 19.37843 0.05231
55395.79551 19.3366 0.0785
55395.84215 19.26354 0.04964
55396.79527 19.44387 0.08042
55396.83932 19.25982 0.04753
55397.79163 19.30696 0.08887
55397.83526 19.24743 0.05204
55398.78764 19.54762 0.09736
55398.83124 19.43627 0.06843
55399.78802 19.36722 0.07706
55399.83261 19.29696 0.0793
55400.8289 19.37478 0.07663
55401.78133 19.35996 0.14468
55403.77642 19.37916 0.16111
55403.81973 19.40865 0.11441
55404.77424 19.41682 0.13042
55404.84266 19.37902 0.09632
55405.8416 19.53292 0.11468
55407.83003 19.38579 0.0971
55408.78389 19.35573 0.15794
55412.75232 19.45207 0.1041
55412.79539 19.48688 0.08362
55413.75577 19.52714 0.11484
55413.79945 19.42959 0.08407
55414.79555 19.41427 0.0862
55416.75096 19.28233 0.09048
55416.79342 19.38737 0.07717
55417.84511 19.45165 0.08063
55418.79843 19.31535 0.08326
55418.84121 19.40276 0.07065
55419.79504 19.47745 0.09363
55420.78929 19.55895 0.09942
55420.83264 19.52637 0.08645
55421.73664 19.34056 0.05533
55421.79901 19.40611 0.04669
55422.75115 19.36778 0.05761
55422.79487 19.42614 0.05102
55423.74742 19.38072 0.05712
55423.79284 19.30487 0.04772
55424.75349 19.43008 0.06845
55424.80178 19.30035 0.04922
55425.76166 19.31879 0.06992
55425.80573 19.35008 0.04735
55426.80123 19.31773 0.05795
55426.8444 19.20503 0.04015
55427.79708 19.45334 0.06369
55427.8408 19.40892 0.0552
55428.79281 19.2865 0.06038
55428.83703 19.50867 0.06377
55429.8142 19.37659 0.0664
55429.85716 19.34681 0.05582
55430.80485 19.33848 0.06846
55431.75639 19.34496 0.07653
55431.80024 19.29553 0.07447
55432.73907 19.35754 0.09981
55432.78359 19.5758 0.11968
55434.73769 19.42685 0.10755
55435.69148 19.37788 0.12397
55436.88891 19.24667 0.0794
55436.8919 19.37564 0.07979
55436.89501 19.52242 0.08458
55436.89797 19.22026 0.08919
55436.90109 19.5524 0.09167
55436.9042 19.41328 0.10269
55436.90728 19.34554 0.082
55436.91041 19.38014 0.09788
55436.91351 19.33004 0.08717
55436.91931 19.32836 0.12357
55436.92221 19.53396 0.11306
55436.92514 19.54395 0.09688
55436.92806 19.49821 0.10107
55436.93096 19.56491 0.0886
55436.93413 19.43909 0.09588
55436.93703 19.40681 0.08517
55436.93974 19.34558 0.08836
55436.94297 19.5786 0.12025
55436.94613 19.39238 0.08888
55436.94915 19.52909 0.09149
55436.95231 19.41052 0.08929
55436.9553 19.34924 0.08708
55436.95826 19.37477 0.08327
55436.96403 19.42918 0.08768
55436.96671 19.26644 0.0844
55438.89169 19.28425 0.08878
55438.89485 19.35155 0.06931
55438.89798 19.45469 0.07489
55438.90086 19.33711 0.06411
55438.90371 19.47822 0.07278
55438.9065 19.5737 0.08059
55438.90927 19.56117 0.07163
55438.91204 19.50033 0.0806
55438.91487 19.39448 0.06809
55438.91763 19.46276 0.07899
55438.92084 19.46188 0.07891
55438.92394 19.40853 0.07335
55438.92672 19.23806 0.06982
55438.92954 19.45434 0.08419
55438.93259 19.56313 0.0953
55438.93551 19.46948 0.08742
55438.94411 19.4471 0.08119
55438.94678 19.2819 0.08061
55438.95017 19.44845 0.08351
55438.95913 19.46488 0.0777
55438.96141 19.45097 0.10077
55440.87507 19.35663 0.05689
55440.87823 19.40664 0.05462
55440.88428 19.44914 0.05264
55440.88675 19.3083 0.04998
55440.8894 19.42656 0.05412
55440.89205 19.45373 0.05399
55440.89518 19.40462 0.05581
55440.89832 19.31519 0.05
55440.90145 19.35655 0.05193
55440.90439 19.26381 0.05192
55440.90729 19.39758 0.0536
55440.91025 19.41439 0.0557
55440.91316 19.4621 0.05534
55440.91591 19.47025 0.0558
55440.9187 19.41393 0.05809
55440.92149 19.41785 0.057
55440.92426 19.34021 0.04993
55440.93095 19.39619 0.05359
55440.93364 19.35592 0.05532
55440.93623 19.36639 0.05578
55440.9395 19.34791 0.06208
55440.94264 19.34975 0.05509
55440.94582 19.48298 0.0585
