#mjd mag magerr
55061.92501 19.09094 0.03152
55061.95573 19.11048 0.03004
55063.91987 19.03691 0.03118
55063.9639 19.07679 0.03095
55064.92128 19.06807 0.03316
55064.9656 18.99578 0.03246
55066.91014 19.07459 0.03266
55066.95474 19.05908 0.02939
55067.91649 19.10442 0.04311
55067.96099 19.12173 0.04228
55069.90324 19.07046 0.03414
55069.94786 19.03921 0.03447
55080.87449 19.1831 0.08211
55080.95988 19.19209 0.11543
55084.86328 19.15894 0.05171
55087.85609 19.09429 0.03519
55087.90101 19.04709 0.03266
55088.96983 19.08693 0.03399
55089.01521 19.12895 0.0363
55089.94574 19.13093 0.03644
55089.99042 19.08794 0.03478
55093.83741 19.03673 0.03387
55093.88196 19.10929 0.03227
55096.8292 19.13715 0.03623
55097.00858 19.1315 0.04489
55104.99862 19.13789 0.04981
55107.79764 19.0957 0.07772
55114.88125 19.01212 0.0431
55114.92522 19.25493 0.10592
55119.89538 19.1083 0.04008
55119.95365 19.0378 0.04338
55123.75696 19.11892 0.03658
55123.81523 19.08025 0.03567
55126.97957 19.08455 0.05136
55127.83329 19.22784 0.04194
55127.87706 19.07389 0.04252
55135.82555 19.17585 0.07598
55135.86926 19.21591 0.08326
55138.71472 19.0581 0.08442
55138.75871 19.22514 0.0971
55142.7036 19.02503 0.04064
55142.75219 19.08229 0.0474
55144.77886 19.05978 0.0385
55144.82305 19.04543 0.04221
55151.72943 19.12307 0.04238
55151.77257 19.09986 0.03953
55166.70473 19.08623 0.07489
55166.74897 19.24321 0.08602
55168.63378 19.1041 0.07119
55168.6775 19.17169 0.07616
55175.61224 19.12055 0.03291
55175.65684 19.12226 0.03571
55181.59421 18.98517 0.05802
55181.63825 19.11213 0.05028
55183.59204 19.0755 0.07294
55183.64253 19.04743 0.0443
55189.58054 19.31821 0.0593
55189.62557 19.09277 0.04503
55194.59026 19.14012 0.08953
55199.58559 19.0827 0.03989
55201.58642 19.20109 0.10313
55202.58667 19.06977 0.04401
55203.71441 19.06873 0.04725
55203.75743 19.12807 0.05289
55207.63092 19.05765 0.04234
55207.67514 19.04054 0.03801
55209.5968 19.0325 0.03592
55209.64149 19.04936 0.03489
55213.63312 19.20397 0.05254
55213.6798 19.11092 0.05533
55377.85123 19.26482 0.08568
55377.89535 19.02002 0.07394
55378.90615 19.15397 0.0739
55379.8591 19.03164 0.06169
55379.92482 19.06293 0.04685
55380.87684 19.20679 0.06621
55380.92078 19.08595 0.06526
55381.89606 18.93208 0.04424
55381.93934 18.96663 0.04075
55384.82671 19.00399 0.04204
55384.87028 18.97955 0.03423
55385.87021 19.04937 0.03624
55385.91339 19.02286 0.03411
55386.86524 19.00278 0.04008
55386.90867 18.99402 0.03722
55387.87002 18.99998 0.03722
55387.91342 19.01461 0.03217
55388.86609 19.09333 0.04631
55388.91005 19.00296 0.03493
55390.80957 19.02318 0.05133
55390.85393 18.95463 0.04057
55391.80613 19.07282 0.05721
55391.87538 18.98204 0.03666
55392.83258 19.01726 0.04233
55392.87538 18.96809 0.03754
55394.79908 19.07272 0.05475
55394.8431 19.02217 0.04172
55395.79551 19.08059 0.05983
55395.84215 19.00017 0.03843
55396.79527 18.975 0.06143
55396.83932 18.993 0.03682
55397.79163 18.98173 0.06572
55397.83526 19.03032 0.03701
55398.78764 19.27805 0.0801
55398.83124 18.99253 0.05261
