#mjd mag magerr
55061.92501 18.27934 0.01777
55061.95573 18.27977 0.01703
55063.91987 18.26013 0.01669
55063.9639 18.30461 0.01722
55064.92128 18.34826 0.02479
55064.9656 18.30821 0.02478
55066.91014 18.30697 0.01979
55066.95474 18.29535 0.01876
55067.91649 18.34816 0.02937
55067.96099 18.30427 0.02874
55069.90324 18.26108 0.0175
55069.94786 18.24655 0.01763
55080.87449 18.36781 0.04547
55080.95988 18.43906 0.06346
55084.86328 18.26576 0.02685
55087.85609 18.2621 0.01897
55087.90101 18.26253 0.01782
55088.96983 18.23716 0.01797
55089.01521 18.23832 0.01891
55089.94574 18.27034 0.01919
55089.99042 18.25601 0.01853
55093.83741 18.20893 0.01733
55093.88196 18.23151 0.01679
55096.8292 18.26106 0.01862
55097.00858 18.26878 0.02138
55104.99862 18.23334 0.02454
55107.79764 18.19266 0.03586
55114.88125 18.21097 0.02735
55114.92522 18.20265 0.04736
55119.89538 18.27319 0.02084
55119.95365 18.23706 0.02285
55123.75696 18.22779 0.01861
55123.81523 18.21614 0.01884
55126.97957 18.25865 0.02682
55127.83329 18.23578 0.01976
55127.87706 18.23977 0.02299
55135.82555 18.35098 0.04101
55135.86926 18.30727 0.04208
55138.71472 18.30156 0.04458
55138.75871 18.32186 0.04633
55142.7036 18.25427 0.0206
55142.75219 18.25363 0.02345
55144.77886 18.25955 0.01955
55144.82305 18.25724 0.02323
55151.72943 18.30582 0.02318
55151.77257 18.27631 0.02122
55166.70473 18.23596 0.0387
55166.74897 18.21084 0.04262
55168.63378 18.30837 0.03311
55168.6775 18.25276 0.03508
55175.61224 18.31835 0.02416
55175.65684 18.30635 0.02319
55181.59421 18.29833 0.03023
55181.63825 18.27598 0.02526
55183.59204 18.25031 0.03813
55183.64253 18.32952 0.0231
55189.58054 18.27934 0.02826
55189.62557 18.33256 0.02583
55194.59026 18.36755 0.04339
55199.58559 18.31392 0.02187
55201.58642 18.42692 0.05913
55202.58667 18.38835 0.04102
55203.71441 18.30997 0.02864
55203.75743 18.29593 0.03033
55207.63092 18.29531 0.02544
55207.67514 18.3129 0.02297
55209.5968 18.30639 0.01774
55209.64149 18.29417 0.01821
55213.63312 18.35171 0.03431
55213.6798 18.38262 0.03699
55377.85123 18.48833 0.04776
55377.89535 18.49952 0.04419
55378.90615 18.6032 0.05239
55379.8591 18.43724 0.03938
55379.92482 18.41907 0.03009
55380.87684 18.4595 0.042
55380.92078 18.40759 0.03779
55381.89606 18.45737 0.0302
55381.93934 18.47868 0.02682
55384.82671 18.47495 0.027
55384.87028 18.44898 0.02408
55385.87021 18.44644 0.02303
55385.91339 18.40475 0.0208
55386.86524 18.4209 0.02349
55386.90867 18.46342 0.02302
55387.87002 18.49823 0.04004
55387.91342 18.49682 0.03753
55388.86609 18.56111 0.03306
55388.91005 18.47267 0.02228
55390.80957 18.51903 0.03463
55390.85393 18.52643 0.02928
55391.80613 18.53998 0.03829
55391.87538 18.43718 0.02487
55392.83258 18.48174 0.0367
55392.87538 18.47207 0.03353
55394.79908 18.47073 0.03119
55394.8431 18.45356 0.02347
55395.79551 18.51689 0.04345
55395.84215 18.50412 0.03008
55396.79527 18.46575 0.04404
55396.83932 18.51661 0.03283
55397.79163 18.51437 0.05794
55397.83526 18.45067 0.04196
55398.78764 18.54212 0.04502
55398.83124 18.48674 0.03685
55399.78802 18.5278 0.05651
55399.83261 18.41857 0.04378
55400.78534 18.56694 0.05857
55400.8289 18.49474 0.04635
55401.78133 18.63928 0.0833
55401.82518 18.51265 0.06793
55402.77979 18.59248 0.09056
55402.8246 18.56222 0.05768
55403.77642 18.55789 0.07732
55403.81973 18.49355 0.06674
55404.84266 18.49088 0.04725
55405.8416 18.47803 0.0498
55407.7691 18.48172 0.06151
55407.83003 18.4667 0.0522
55411.79896 18.47758 0.03594
55412.75232 18.48269 0.04803
55412.79539 18.50906 0.04162
55413.75577 18.60913 0.05693
55413.79945 18.48921 0.04558
55414.75161 18.45347 0.0541
55414.79555 18.45248 0.03575
55415.75266 18.57717 0.05208
55415.79727 18.46171 0.04209
55416.75096 18.42256 0.05735
55416.79342 18.46089 0.03711
55417.75979 18.49622 0.05559
55417.84511 18.555 0.04946
55418.79843 18.51807 0.04252
55418.84121 18.3898 0.03333
55419.75121 18.4637 0.05285
55419.79504 18.4927 0.03788
55420.78929 18.42613 0.0425
55420.83264 18.42684 0.03859
55421.73664 18.56364 0.03114
55421.79901 18.4913 0.02272
55422.75115 18.46576 0.02794
55422.79487 18.5186 0.02443
55423.74742 18.46765 0.0287
55423.79284 18.50126 0.02417
55424.75349 18.52395 0.04957
55424.80178 18.503 0.04036
55425.76166 18.52812 0.0357
55425.80573 18.53353 0.02462
55426.80123 18.51183 0.04208
55426.8444 18.4996 0.03456
55427.79708 18.51989 0.0326
55427.8408 18.50465 0.02556
55428.79281 18.51534 0.03237
55428.83703 18.55183 0.03093
55429.8142 18.4515 0.03348
55429.85716 18.51997 0.02953
55430.75769 18.5453 0.04543
55430.80485 18.49549 0.03932
55431.75639 18.48935 0.04663
55431.80024 18.62664 0.0488
55432.73907 18.58253 0.05452
55432.78359 18.44993 0.04589
55433.70425 18.44342 0.07146
55433.7493 18.48665 0.05669
55434.69401 18.55879 0.08424
55434.73769 18.62683 0.06337
55435.69148 18.54787 0.07352
55436.88575 18.5637 0.04471
55436.88891 18.49254 0.04099
55436.8919 18.56724 0.04249
55436.89501 18.51326 0.044
55436.89797 18.50687 0.04453
55436.90109 18.47953 0.0423
55436.9042 18.49549 0.04362
55436.90728 18.48907 0.04364
55436.91041 18.62199 0.0468
55436.91351 18.55128 0.04503
55436.91641 18.45242 0.04466
55436.91931 18.52605 0.04739
55436.92221 18.45436 0.04536
55436.92514 18.60208 0.04638
55436.92806 18.47773 0.0452
55436.93096 18.54885 0.04101
55436.93413 18.65842 0.05135
55436.93703 18.62653 0.04516
55436.93974 18.52968 0.04318
