#mjd mag magerr
55061.92501 20.02046 0.06302
55061.95573 19.89886 0.06072
55063.91987 19.94369 0.05927
55063.9639 20.07285 0.0645
55064.92128 19.86841 0.06339
55064.9656 19.99898 0.07108
55066.91014 19.7774 0.06049
55066.95474 19.92464 0.05742
55067.96099 20.06349 0.08731
55069.90324 19.9651 0.0655
55069.94786 19.92497 0.07109
55080.87449 20.16138 0.15078
55080.95988 20.10337 0.22838
55084.86328 20.01479 0.0998
55087.85609 19.99075 0.06838
55087.90101 19.77615 0.06697
55088.96983 19.93899 0.06417
55089.01521 19.79144 0.06339
55089.94574 20.07364 0.07049
55089.99042 19.92367 0.06489
55093.83741 19.98266 0.0738
55093.88196 19.9381 0.0681
55096.8292 20.06135 0.07714
55097.00858 20.00379 0.08293
55104.99862 20.21044 0.12507
55107.79764 19.96202 0.12709
55114.88125 19.73294 0.09652
55119.89538 20.06091 0.1054
55119.95365 19.87931 0.08711
55123.75696 20.07294 0.07647
55123.81523 19.9247 0.09007
55126.97957 19.95113 0.10629
55127.83329 19.95469 0.09416
55127.87706 19.87799 0.09491
55135.82555 20.10882 0.1529
55135.86926 20.12184 0.1767
55142.7036 19.83874 0.10714
55142.75219 19.7367 0.12235
55144.77886 19.87158 0.11919
55144.82305 19.90372 0.11057
55151.72943 20.14931 0.0876
55151.77257 20.15144 0.07559
55166.74897 19.88374 0.21947
55168.63378 19.97097 0.13316
55168.6775 20.1695 0.13978
55175.61224 19.93853 0.08272
55175.65684 20.09328 0.06743
55181.59421 20.37423 0.12572
55181.63825 19.97693 0.09912
55183.59204 20.22517 0.11045
55183.64253 20.07656 0.10191
55189.58054 20.13203 0.10646
55189.62557 20.02022 0.08657
55199.58559 20.14168 0.08789
55202.58667 19.76754 0.08458
55203.71441 20.14038 0.10524
55203.75743 19.91047 0.10935
55207.63092 19.9345 0.08824
55207.67514 20.03068 0.07589
55209.5968 20.11155 0.07231
55209.64149 20.14391 0.07599
55213.63312 19.94612 0.10919
55213.6798 20.10307 0.13334
55377.89535 20.18639 0.16375
55378.90615 20.31936 0.16806
55379.8591 20.00066 0.12814
55379.92482 20.10838 0.11685
55380.87684 20.38665 0.14348
55380.92078 19.91593 0.10348
55381.89606 20.08569 0.09216
55381.93934 20.10689 0.09767
55384.82671 20.12426 0.0858
55384.87028 20.33947 0.08978
55385.87021 20.09302 0.07127
55385.91339 20.36585 0.08158
55386.86524 19.99994 0.0793
55386.90867 20.13827 0.08405
55387.87002 19.97217 0.06996
55387.91342 19.85451 0.07142
55388.86609 20.09487 0.12966
55388.91005 20.0655 0.09652
55389.97252 20.13629 0.18846
55390.80957 19.86624 0.09925
55390.85393 20.20206 0.09419
55391.80613 20.23944 0.14015
55391.87538 19.86153 0.11415
55392.83258 19.95683 0.12329
55392.87538 20.07471 0.10427
55394.79908 20.22025 0.10417
55394.8431 20.10155 0.08049
55395.79551 19.89687 0.1349
55395.84215 20.50728 0.09818
55396.79527 20.03296 0.17634
55396.83932 20.34447 0.10805
55397.79163 20.2376 0.18516
55397.83526 20.0523 0.10687
55398.83124 20.33048 0.12354
55399.78802 19.9562 0.15568
55399.83261 20.15744 0.15334
55400.8289 20.04857 0.15615
55404.84266 20.06163 0.15449
55405.8416 19.84048 0.20584
