#mjd mag magerr
55061.92501 19.15283 0.0347
55061.95573 19.18075 0.0327
55063.91987 19.06354 0.03286
55063.9639 19.09851 0.03366
55064.92128 19.13046 0.04097
55064.9656 19.11396 0.04148
55066.91014 19.08086 0.03806
55066.95474 19.1175 0.03756
55067.91649 19.32077 0.0558
55067.96099 19.21973 0.05384
55069.90324 19.15732 0.03381
55069.94786 19.18103 0.03331
55080.87449 19.31647 0.13936
55080.95988 19.25898 0.10799
55084.86328 19.05139 0.05101
55087.85609 19.10524 0.03339
55087.90101 19.17419 0.03564
55088.96983 19.12791 0.03455
55089.01521 19.1097 0.03774
55089.94574 19.14976 0.03628
55089.99042 19.10682 0.03704
55093.83741 19.17749 0.03473
55093.88196 19.10676 0.03157
55096.8292 19.19872 0.03762
55097.00858 19.13918 0.04219
55104.99862 19.16799 0.0464
55107.79764 19.08392 0.0716
55114.88125 19.17099 0.04791
55114.92522 19.12304 0.08971
55119.89538 19.14113 0.04091
55119.95365 19.1885 0.04637
55123.75696 19.07025 0.03719
55123.81523 19.17586 0.03893
55126.97957 19.15782 0.05662
55127.83329 19.0712 0.04111
55127.87706 19.24161 0.04736
55135.82555 19.48752 0.0974
55135.86926 19.35444 0.08862
55138.71472 19.1505 0.08001
55138.75871 19.11935 0.0909
55142.7036 19.14244 0.04349
55142.75219 19.17407 0.05232
55144.77886 19.1172 0.04132
55144.82305 19.07071 0.04514
55151.72943 19.22062 0.04805
55151.77257 19.18982 0.04569
55166.70473 19.04181 0.07068
55166.74897 19.17283 0.0913
55168.63378 19.09024 0.06254
55168.6775 19.16517 0.06853
55175.61224 19.05028 0.03693
55175.65684 19.12681 0.03634
55181.59421 19.19003 0.05798
55181.63825 19.08314 0.0494
55183.59204 19.05497 0.06673
55183.64253 19.08958 0.04408
55189.58054 19.17489 0.05297
55189.62557 19.10721 0.04816
55194.59026 18.9955 0.07556
55199.58559 19.0853 0.03878
55201.58642 19.23812 0.11279
55380.87684 19.10275 0.06272
55380.92078 19.11707 0.06019
55381.89606 19.03333 0.04604
55381.93934 19.10834 0.04309
55386.86524 18.98365 0.03695
55386.90867 18.94399 0.03378
55391.80613 19.00027 0.05294
55391.87538 19.02727 0.03768
55396.79527 19.07334 0.06206
55396.83932 18.99364 0.04025
55401.78133 18.97231 0.10879
55401.82518 18.93781 0.0818
55407.7691 19.04509 0.08961
55407.83003 18.96949 0.07339
55413.75577 19.22236 0.08097
55413.79945 18.90081 0.05943
55416.75096 19.24347 0.07876
55416.79342 19.18019 0.06614
55419.75121 19.36112 0.09451
55419.79504 19.1421 0.06049
55422.75115 19.08282 0.04863
55422.79487 19.10589 0.03783
55426.80123 18.96875 0.05595
55426.8444 18.93737 0.04461
55429.8142 19.08179 0.04888
55429.85716 19.0144 0.04434
55432.73907 19.06266 0.08299
55432.78359 19.00501 0.07684
55435.69148 19.09315 0.10964
55438.88857 19.22067 0.06419
55438.89169 19.08041 0.06508
55438.89485 19.02422 0.05509
55438.89798 19.16461 0.05732
55438.90086 19.19309 0.05978
55438.90371 19.08255 0.05416
55438.9065 19.05268 0.05182
55438.90927 19.07735 0.05035
55438.91204 19.06912 0.05027
55438.91487 18.99959 0.05254
55438.91763 19.04987 0.05604
55438.92084 19.19621 0.06338
55438.92394 19.06277 0.06089
55438.92672 19.17307 0.0622
55438.92954 19.06719 0.06527
55438.93259 19.12759 0.06469
55438.93551 19.24256 0.0636
55438.93833 19.0404 0.05967
55438.94106 19.13756 0.06888
55438.94411 18.9631 0.06024
55438.94678 19.18841 0.06223
55438.95017 19.06224 0.05966
55438.95913 19.08717 0.05919
55438.96141 19.05849 0.05572
55441.87301 19.04751 0.03369
55441.87592 19.03743 0.03176
55441.88645 19.04939 0.0333
55441.88962 19.0698 0.03564
55441.89254 19.02857 0.03407
55441.89542 19.07516 0.03497
55441.89828 19.05621 0.03482
55441.90107 19.08494 0.03593
55441.9037 19.08274 0.03481
55441.90634 19.05019 0.03303
55441.90906 19.10049 0.03287
55441.9118 19.07493 0.0329
55441.91445 19.05844 0.03498
55441.91722 19.04166 0.0336
55441.91981 19.08807 0.03991
55441.92242 19.06455 0.03521
55441.92546 19.08805 0.03474
55441.9281 19.07564 0.03601
55441.93183 19.04723 0.03369
55441.93458 19.04273 0.03534
55441.93727 19.08209 0.0348
55441.94048 19.12666 0.03431
55441.94326 18.98428 0.03262
55441.94546 19.06285 0.03476
55441.94852 19.02833 0.03433
55441.95194 19.05621 0.0337
55441.95469 19.07038 0.03581
55441.95786 19.04719 0.03316
55441.96081 19.10862 0.0367
55441.96392 19.02561 0.03604
55441.96715 19.05349 0.03447
55441.97012 19.08628 0.03472
55441.97294 19.03469 0.0333
55441.97532 19.06857 0.03391
55441.97757 19.04847 0.03479
55441.9798 19.04642 0.03475
55441.9835 19.07418 0.03512
55441.9863 19.01638 0.0333
55441.98852 19.0554 0.03845
55441.99078 19.06736 0.03584
55441.99382 19.08202 0.03629
55442.00593 19.0445 0.03882
55442.00906 19.04766 0.04129
55442.01216 19.13407 0.04009
55442.01486 19.08266 0.0455
55442.01753 19.08585 0.0538
55442.02001 19.12075 0.05907
55442.02226 19.05907 0.07352
55444.66648 19.04868 0.06272
55444.67221 18.90024 0.06277
55444.67727 19.07352 0.05642
55444.68857 19.17009 0.05155
55444.69526 19.03427 0.04664
55444.70198 19.04896 0.04691
55444.7091 19.04838 0.05895
55444.71487 19.0732 0.04457
55444.72103 19.04181 0.04197
55444.72796 19.14871 0.04374
55444.73377 19.13 0.04156
55444.74094 19.06006 0.03966
55444.74655 19.13465 0.03988
55444.75167 19.10733 0.03901
55444.75678 19.06678 0.03847
55444.76225 19.02829 0.03631
55444.7673 19.08885 0.03576
55444.77353 18.99663 0.0357
55444.77876 19.00247 0.03449
55444.78368 19.06761 0.03732
55444.79848 19.0371 0.03444
55444.80403 19.06024 0.03463
55444.81599 19.0983 0.03591
55444.8213 19.06297 0.03421
55444.83332 19.07738 0.03356
55444.83854 19.0476 0.03515
55444.84549 19.0844 0.0348
55444.85161 19.07395 0.03591
55444.85679 19.06876 0.0324
55444.86267 19.02295 0.03601
55444.86777 19.14053 0.03868
55444.87321 19.09569 0.03383
55444.87872 19.03833 0.03599
55444.88467 18.97952 0.03354
55444.89016 19.11889 0.03928
55444.89581 19.1898 0.04355
55444.90153 19.08051 0.03338
55444.90845 19.08615 0.0353
55444.91349 19.01931 0.03265
55444.92279 19.02355 0.03366
55444.93139 19.03975 0.03124
55444.94041 19.03924 0.03277
55444.94568 19.0453 0.03202
55444.951 19.02692 0.03747
55444.95724 19.04519 0.03571
55444.96289 19.12272 0.03634
55444.96923 19.06684 0.03445
55444.97411 19.0748 0.03536
55444.98062 19.0655 0.03551
55444.98915 19.03628 0.03639
55444.99553 19.04106 0.03497
55445.00157 19.0307 0.03441
