#mjd mag magerr
55061.92501 20.40934 0.0676
55061.95573 20.43877 0.06912
55063.91987 20.44913 0.06849
55063.9639 20.35661 0.06813
55064.92128 20.36326 0.08467
55064.9656 20.21921 0.07206
55066.91014 20.48397 0.07752
55066.95474 20.45335 0.07224
55067.91649 20.75616 0.14867
55067.96099 20.60727 0.11448
55069.90324 20.52108 0.07311
55069.94786 20.47855 0.09818
55084.86328 20.37177 0.1016
55087.85609 20.5631 0.0899
55087.90101 20.33353 0.07684
55088.96983 20.48516 0.08184
55089.01521 20.35732 0.0811
55089.94574 20.62534 0.09723
55089.99042 20.52801 0.09143
55093.83741 20.27693 0.06916
55093.88196 20.27051 0.0659
55096.8292 20.19205 0.07735
55097.00858 20.68378 0.11321
55104.99862 20.26734 0.10525
55114.88125 20.19997 0.09662
55119.89538 20.43419 0.10047
55119.95365 20.56306 0.11808
55123.75696 20.37479 0.08922
55123.81523 20.16914 0.09355
55126.97957 20.44265 0.11679
55127.83329 20.27378 0.0902
55127.87706 20.26077 0.09712
55135.86926 20.50327 0.164
55142.7036 20.45027 0.10426
55142.75219 20.25463 0.09976
55144.77886 20.37355 0.09661
55144.82305 20.46424 0.10154
55151.72943 20.36882 0.10321
55151.77257 20.57831 0.11028
55168.63378 20.73537 0.15109
55168.6775 20.39876 0.13233
55175.61224 20.26536 0.07749
55175.65684 20.28935 0.07118
55181.59421 20.54733 0.12825
55181.63825 20.23398 0.1043
55183.59204 20.18131 0.19572
55183.64253 20.22552 0.09282
55189.62557 20.55456 0.11569
55199.58559 20.30592 0.0846
55202.58667 20.71735 0.17703
55203.71441 20.36797 0.10884
55203.75743 20.34293 0.12542
55207.63092 20.4253 0.08607
55207.67514 20.3179 0.08688
55209.5968 20.33139 0.08022
55209.64149 20.38617 0.08273
55213.63312 20.4467 0.12296
55213.6798 20.43962 0.12389
55377.89535 19.87952 0.16663
55379.8591 20.11424 0.16574
55379.92482 20.09107 0.09789
55380.87684 20.1645 0.15498
55380.92078 20.26359 0.13228
55381.89606 20.22737 0.10109
55381.93934 19.94567 0.0843
55384.82671 19.92995 0.08077
55384.87028 20.07598 0.07578
55385.87021 19.96244 0.06452
55385.91339 19.95875 0.05722
55386.86524 20.2719 0.08218
55386.90867 20.19242 0.07675
55387.87002 19.93423 0.07796
55387.91342 19.96782 0.06184
55388.86609 20.31411 0.10338
55388.91005 20.11167 0.06812
55390.80957 20.00603 0.10677
55390.85393 19.99644 0.0806
55391.80613 20.34398 0.12652
55391.87538 19.94218 0.08976
55392.83258 20.02774 0.08915
55392.87538 20.12107 0.07989
55394.79908 20.23173 0.11191
55394.8431 19.95656 0.06853
55395.79551 19.82089 0.1303
55395.84215 19.98012 0.07928
55396.79527 20.13475 0.11672
55396.83932 19.86461 0.07172
55397.79163 20.07737 0.16474
55397.83526 19.76667 0.07767
55398.78764 20.12812 0.14294
55398.83124 20.13174 0.14817
55399.78802 19.8908 0.16424
55399.83261 19.80757 0.10934
55400.78534 19.93595 0.14781
55400.8289 19.84374 0.10758
55401.78133 19.85028 0.19966
55401.82518 20.07265 0.17932
55403.81973 19.96955 0.20398
55404.77424 19.94533 0.17374
55404.84266 20.07688 0.14101
55405.8416 19.99403 0.13931
55407.83003 20.3687 0.153
55411.79896 20.05658 0.1082
55412.75232 19.96269 0.16876
55412.79539 20.06506 0.13809
55413.75577 20.06113 0.13607
55413.79945 19.95921 0.13039
55414.75161 20.31847 0.1656
55414.79555 19.90048 0.08969
55415.79727 19.94671 0.14518
55416.79342 19.7699 0.12125
55417.84511 20.133 0.11639
55418.79843 19.93808 0.1164
55418.84121 19.99181 0.09606
55419.75121 20.2157 0.14186
55419.79504 20.0427 0.1192
55420.78929 20.03413 0.14701
55420.83264 20.04684 0.12287
55421.73664 20.00064 0.08143
55421.79901 20.0593 0.06891
55422.75115 19.96176 0.08568
55422.79487 20.0786 0.06992
55423.74742 19.87165 0.08583
55423.79284 19.94826 0.06278
55424.75349 20.10695 0.10449
55424.80178 19.941 0.07362
55425.76166 20.12712 0.09686
55425.80573 19.98453 0.06599
55426.80123 20.11382 0.09015
55426.8444 19.9346 0.06191
55427.79708 19.97489 0.09182
