#mjd mag magerr
55061.92501 18.52981 0.02673
55061.95573 18.55076 0.02582
55063.91987 18.54308 0.02578
55063.9639 18.55649 0.02557
55064.92128 18.52386 0.02731
55064.9656 18.53941 0.02808
55066.91014 18.53433 0.02778
55066.95474 18.586 0.02647
55067.91649 18.58845 0.03626
55067.96099 18.4892 0.03351
55069.90324 18.52657 0.0259
55069.94786 18.5539 0.0263
55080.87449 18.50439 0.05322
55080.95988 18.70491 0.07097
55084.86328 18.53438 0.03674
55087.85609 18.56658 0.02683
55087.90101 18.5415 0.02631
55088.96983 18.57626 0.02746
55089.94574 18.54496 0.02705
55093.83741 18.55519 0.02651
55093.88196 18.48986 0.02503
55096.8292 18.54436 0.02704
55097.00858 18.56855 0.03353
55104.99862 18.46083 0.0358
55107.79764 18.64734 0.0556
55114.88125 18.56059 0.03257
55114.92522 18.43407 0.06479
55119.89538 18.57793 0.03143
55119.95365 18.75759 0.03269
55123.75696 18.53068 0.02667
55123.81523 18.52875 0.02824
55127.83329 18.54581 0.03014
55127.87706 18.53568 0.03299
55135.82555 18.52151 0.05284
55135.86926 18.56508 0.05442
55138.71472 18.56249 0.05961
55138.75871 18.74452 0.06776
55142.7036 18.55995 0.03043
55142.75219 18.45191 0.0335
55144.77886 18.51283 0.02886
55144.82305 18.44928 0.03161
55151.72943 18.49458 0.03324
55151.77257 18.44046 0.02921
55166.70473 18.53663 0.05317
55166.74897 18.55151 0.06096
55168.63378 18.63108 0.04852
55168.6775 18.62905 0.05274
55175.61224 18.49729 0.02606
55175.65684 18.50767 0.02496
55181.59421 18.50285 0.03832
55181.63825 18.46297 0.03532
55183.59204 18.4908 0.04905
55183.64253 18.48628 0.02866
55189.58054 18.45611 0.03799
55189.62557 18.47776 0.03163
55194.59026 18.4661 0.05528
55199.58559 18.51564 0.02748
55201.58642 18.38954 0.06629
55202.58667 18.48688 0.03039
55203.71441 18.50166 0.03439
55203.75743 18.51259 0.03641
55207.63092 18.49991 0.03097
55207.67514 18.4526 0.02762
55209.5968 18.4262 0.02406
55209.64149 18.41703 0.02453
55213.63312 18.54337 0.04203
55213.6798 18.4826 0.04471
55377.85123 18.40379 0.049
55377.89535 18.51798 0.0439
55378.90615 18.72728 0.05715
55379.8591 18.37323 0.04097
55379.92482 18.47185 0.03181
55380.87684 18.5469 0.04859
55380.92078 18.46737 0.04136
55381.89606 18.48295 0.03489
55381.93934 18.48243 0.03143
55384.82671 18.40459 0.02851
55384.87028 18.41058 0.02783
55385.87021 18.40816 0.02475
55385.91339 18.43017 0.02406
55386.86524 18.39011 0.02757
55386.90867 18.37324 0.02542
55387.87002 18.46393 0.026
55387.91342 18.37545 0.0231
55388.86609 18.46914 0.03529
55388.91005 18.43595 0.02585
55390.80957 18.37543 0.03809
55390.85393 18.44268 0.03183
55391.80613 18.45122 0.03911
55391.87538 18.41232 0.02885
55392.83258 18.42483 0.03003
55392.87538 18.41392 0.02597
55394.79908 18.49863 0.03624
55394.8431 18.40936 0.02868
55395.79551 18.44586 0.04305
55395.84215 18.41765 0.02936
55396.79527 18.44702 0.04271
55396.83932 18.42783 0.02664
55397.79163 18.38799 0.04583
55397.83526 18.45444 0.03
55398.78764 18.36654 0.04762
55398.83124 18.43196 0.03468
55399.78802 18.40356 0.05
55399.83261 18.40438 0.04085
55400.78534 18.4601 0.06009
55400.8289 18.45695 0.04355
55401.78133 18.50872 0.06798
55401.82518 18.38967 0.05351
55402.77979 18.38013 0.07952
55402.8246 18.40222 0.06443
55403.77642 18.57072 0.08153
55403.81973 18.48571 0.06666
55404.77424 18.56921 0.07757
55404.84266 18.42703 0.04978
55405.8416 18.45527 0.05239
55407.7691 18.47791 0.06366
55407.83003 18.44819 0.0524
55408.78389 18.55572 0.09623
55411.79896 18.34985 0.03625
55412.75232 18.39056 0.05175
55412.79539 18.40467 0.04592
55413.75577 18.52179 0.06091
55413.79945 18.47987 0.05156
55414.75161 18.25832 0.06529
55414.79555 18.46137 0.04362
55415.75266 18.51883 0.05913
55415.79727 18.35759 0.06464
55416.75096 18.56223 0.066
55416.79342 18.517 0.04738
55417.75979 18.40178 0.06406
55417.84511 18.28644 0.05382
55418.79843 18.38967 0.04595
55418.84121 18.47559 0.04197
55419.75121 18.50352 0.06458
55419.79504 18.4601 0.04628
55420.78929 18.35517 0.06685
55420.83264 18.49025 0.04804
55421.73664 18.5058 0.03343
55421.79901 18.43637 0.02536
55422.75115 18.40724 0.0307
55422.79487 18.38857 0.02698
55423.74742 18.42534 0.02949
55423.79284 18.40248 0.02549
55424.75349 18.35526 0.0369
55424.80178 18.39616 0.02622
55425.76166 18.4848 0.03891
55425.80573 18.43513 0.02597
55426.80123 18.39935 0.03228
55426.8444 18.4148 0.02391
55427.79708 18.45965 0.03376
55427.8408 18.46444 0.02793
55428.79281 18.42616 0.03454
55428.83703 18.40237 0.03008
55429.8142 18.41039 0.03423
55429.85716 18.40884 0.0296
55430.75769 18.40262 0.04395
55430.80485 18.41494 0.03719
55431.75639 18.44433 0.04492
55431.80024 18.47302 0.03973
55432.73907 18.41263 0.05543
55432.78359 18.45967 0.05207
55433.70425 18.50213 0.078
55433.7493 18.3601 0.06068
55434.69401 18.45509 0.09119
55434.73769 18.43581 0.06073
55435.69148 18.37865 0.07572
55436.88575 18.4177 0.04365
55436.88891 18.42377 0.043
55436.8919 18.48487 0.04508
55436.89501 18.49576 0.04505
55436.89797 18.45769 0.04608
55436.90109 18.50043 0.04667
55436.9042 18.43936 0.04648
55436.90728 18.40279 0.04456
55436.91041 18.46054 0.0484
55436.91351 18.51566 0.05033
55436.91641 18.40324 0.04738
55436.91931 18.60705 0.05254
55436.92221 18.45532 0.04574
55436.92514 18.49222 0.04532
55436.92806 18.47904 0.04916
55436.93096 18.48097 0.04774
55436.93413 18.38635 0.04625
55436.93703 18.43769 0.04494
55436.93974 18.49667 0.04754
55436.94297 18.37132 0.0441
55436.94613 18.44487 0.04835
55436.94915 18.48148 0.04734
55436.95231 18.52732 0.04807
55436.9553 18.42562 0.04389
55436.95826 18.42574 0.04078
55436.96116 18.43118 0.04365
55436.96403 18.40961 0.04199
55436.96671 18.41933 0.04364
55438.88857 18.41079 0.04268
55438.89169 18.34963 0.0402
55438.89485 18.57438 0.04298
55438.89798 18.48186 0.03995
55438.90086 18.40022 0.03615
55438.90371 18.41572 0.03678
55438.9065 18.41119 0.03835
55438.90927 18.43219 0.03697
55438.91204 18.41748 0.03591
55438.91487 18.49282 0.03998
55438.91763 18.41009 0.03846
55438.92084 18.47981 0.04407
55438.92394 18.3669 0.04326
55438.92672 18.4536 0.04383
55438.92954 18.42597 0.04296
55438.93259 18.40429 0.04736
55438.93551 18.39543 0.0419
55438.93833 18.3692 0.04426
55438.94106 18.32532 0.04004
55438.94411 18.43044 0.04068
55438.94678 18.39762 0.04029
55438.95017 18.41185 0.04275
55438.95913 18.37648 0.03822
55438.96141 18.42487 0.04105
55440.87507 18.36007 0.02779
55440.87823 18.41929 0.02729
55440.88428 18.40446 0.02791
55440.88675 18.45235 0.02747
55440.8894 18.375 0.02697
55440.89205 18.46114 0.02855
55440.89518 18.45252 0.02749
55440.89832 18.46385 0.02795
55440.90145 18.47122 0.02902
55440.90439 18.37895 0.02686
55440.90729 18.43048 0.02791
55440.91025 18.48371 0.02824
55440.91316 18.3679 0.02809
55440.91591 18.4635 0.02949
55440.9187 18.41698 0.02795
55440.92149 18.42851 0.02812
55440.92426 18.42793 0.02729
55440.93095 18.44069 0.02797
55440.93364 18.40356 0.02836
55440.93623 18.41014 0.02794
55440.9395 18.42769 0.02888
55440.94264 18.44004 0.02886
55440.94582 18.42114 0.0296
55440.94883 18.42017 0.02895
55440.95182 18.47985 0.03025
55440.95489 18.39563 0.02829
55440.95791 18.43365 0.02838
55441.87301 18.45242 0.02534
55441.87592 18.39759 0.02478
55441.88645 18.43027 0.02538
55441.88962 18.42526 0.02545
55441.89254 18.40409 0.02471
55441.89542 18.40904 0.02508
55441.89828 18.42302 0.02388
55441.90107 18.4468 0.02505
55441.9037 18.45752 0.02525
55441.90634 18.41955 0.02385
55441.90906 18.41559 0.02327
55441.9118 18.40619 0.02486
55441.91445 18.35664 0.02382
55441.91722 18.40271 0.02411
55441.91981 18.4243 0.02583
55441.92242 18.44337 0.02554
55441.92546 18.40972 0.02296
55441.9281 18.41271 0.02576
55441.93183 18.40611 0.02405
55441.93458 18.47408 0.02556
55441.93727 18.39576 0.02505
55441.94048 18.42719 0.02502
55441.94326 18.41711 0.02489
55441.94546 18.38301 0.02497
55441.94852 18.45266 0.02465
55441.95194 18.43817 0.0248
55441.95469 18.4536 0.02507
55441.95786 18.41524 0.02432
55441.96081 18.39321 0.02505
55441.96392 18.4234 0.02635
55441.96715 18.4211 0.02374
55441.97012 18.42283 0.02513
55441.97294 18.41154 0.02452
55441.97532 18.43538 0.02375
55441.97757 18.40127 0.02473
55441.9798 18.39165 0.02421
55441.9835 18.40729 0.02519
55441.9863 18.39079 0.02523
55441.98852 18.46161 0.02668
55441.99078 18.39452 0.02523
55441.99382 18.48038 0.02611
55442.00593 18.42736 0.02757
55442.00906 18.37672 0.0274
55442.01216 18.43214 0.02857
55442.01486 18.41894 0.03232
