#mjd mag magerr
61.92501 19.57181 0.04933
61.95573 19.50576 0.04838
63.91987 19.44508 0.04786
63.9639 19.56349 0.047
64.92128 19.56986 0.05436
64.9656 19.58041 0.0532
66.91014 19.50433 0.04981
66.95474 19.514 0.05015
67.91649 19.82345 0.08077
67.96099 19.7162 0.07449
69.90324 19.41657 0.04667
69.94786 19.4049 0.05195
80.87449 19.77939 0.12274
80.95988 19.48491 0.15652
84.86328 19.47238 0.06913
87.85609 19.48258 0.05002
87.90101 19.4245 0.05036
88.96983 19.52526 0.05164
89.01521 19.53114 0.05465
89.94574 19.44896 0.05078
89.99042 19.47442 0.05387
93.83741 19.57719 0.05086
93.88196 19.42186 0.04897
96.8292 19.49636 0.05158
97.00858 19.69155 0.06612
104.99862 19.58983 0.07484
107.79764 19.48833 0.10171
114.88125 19.43259 0.06384
114.92522 19.77507 0.14402
119.89538 19.50692 0.05933
119.95365 19.67059 0.06824
123.75696 19.46968 0.05413
123.81523 19.47175 0.04993
126.97957 19.52939 0.07191
127.83329 19.55881 0.06111
127.87706 19.62069 0.06849
135.82555 19.61551 0.13699
135.86926 19.79608 0.12904
138.71472 19.59249 0.12225
142.7036 19.47195 0.06007
142.75219 19.58991 0.07129
144.77886 19.38483 0.05324
144.82305 19.63528 0.0681
151.72943 19.62658 0.06312
151.77257 19.63246 0.06539
166.70473 19.56363 0.10289
166.74897 19.55651 0.13397
168.63378 19.58308 0.09661
168.6775 19.51005 0.08994
175.61224 19.45029 0.04975
175.65684 19.42467 0.04774
181.59421 19.64185 0.0779
181.63825 19.49497 0.06648
183.59204 19.6448 0.10011
183.64253 19.41628 0.05379
189.58054 19.57911 0.07185
189.62557 19.64176 0.06725
194.59026 19.4531 0.11383
199.58559 19.50364 0.05752
201.58642 19.64254 0.13831
202.58667 19.44388 0.06451
203.71441 19.39365 0.06372
203.75743 19.39559 0.06726
207.63092 19.46091 0.05886
207.67514 19.4716 0.05446
209.5968 19.3892 0.04544
209.64149 19.35403 0.04807
213.63312 19.52438 0.06951
213.6798 19.4796 0.07458
377.85123 19.73979 0.12298
377.89535 19.34398 0.10498
378.90615 19.37428 0.13505
379.8591 19.59923 0.08998
379.92482 19.54285 0.07209
380.87684 19.3929 0.08401
380.92078 19.55037 0.10216
381.89606 19.59495 0.07429
381.93934 19.64743 0.0722
384.82671 19.50058 0.06349
384.87028 19.45758 0.06031
385.87021 19.53316 0.05641
