#mjd mag magerr
61.92501 19.54181 0.05381
61.95573 19.54976 0.05136
63.91987 19.61808 0.05572
63.9639 19.50949 0.05288
64.92128 19.62586 0.05805
64.9656 19.56241 0.0546
66.91014 19.62133 0.06018
66.95474 19.662 0.05801
67.91649 19.66945 0.07878
67.96099 19.8042 0.08358
69.90324 19.63057 0.05634
69.94786 19.6659 0.05783
80.87449 19.82439 0.14382
80.95988 19.75991 0.17481
84.86328 19.53938 0.07122
87.85609 19.51558 0.05661
87.90101 19.6035 0.05774
88.96983 19.41726 0.04904
89.94574 19.65896 0.05746
93.83741 19.52319 0.05435
93.88196 19.48686 0.05316
96.8292 19.53836 0.05437
97.00858 19.55955 0.0733
104.99862 19.68983 0.08271
107.79764 19.33633 0.09891
114.88125 19.47259 0.07402
114.92522 19.74208 0.1219
119.89538 19.41893 0.06003
123.75696 19.49768 0.05613
123.81523 19.41875 0.05901
127.83329 19.56581 0.0641
127.87706 19.40469 0.0635
135.82555 19.66852 0.11161
135.86926 19.69908 0.15062
138.71472 19.6635 0.12235
138.75871 19.57352 0.12549
142.7036 19.60695 0.06676
142.75219 19.54892 0.07659
144.77886 19.48283 0.06392
144.82305 19.41328 0.05812
151.72943 19.47758 0.07181
151.77257 19.60146 0.0612
166.70473 19.71663 0.12347
166.74897 19.43551 0.12248
168.63378 19.51808 0.1037
168.6775 19.45805 0.09583
175.61224 19.42229 0.05153
175.65684 19.53867 0.0537
181.59421 19.72385 0.09204
181.63825 19.47197 0.07444
183.59204 19.7238 0.09554
183.64253 19.30928 0.07553
189.58054 19.48111 0.07714
189.62557 19.61776 0.07253
194.59026 19.4181 0.13879
199.58559 19.50064 0.05782
201.58642 19.54754 0.12806
202.58667 19.44988 0.07364
203.71441 19.49966 0.07108
203.75743 19.41659 0.06946
207.63092 19.52591 0.06093
207.67514 19.5486 0.06005
209.5968 19.4922 0.05161
209.64149 19.45403 0.05255
213.63312 19.61737 0.0697
213.6798 19.5156 0.08002
377.85123 19.75079 0.14277
377.89535 19.85698 0.11508
378.90615 19.71028 0.10948
379.8591 19.45522 0.09657
379.92482 19.52285 0.07139
380.87684 19.8259 0.11198
380.92078 19.60237 0.08887
381.89606 19.61495 0.08038
381.93934 19.49743 0.0721
384.82671 19.56358 0.06929
384.87028 19.70558 0.0657
385.87021 19.39316 0.05511
385.91339 19.57917 0.05841
386.86524 19.48811 0.05818
386.90867 19.54424 0.06049
387.87002 19.44193 0.05577
387.91342 19.45045 0.04818
388.86609 19.68814 0.08171
388.91005 19.48295 0.05556
390.80957 19.39543 0.0745
390.85393 19.40568 0.06691
391.80613 19.89821 0.10358
391.87538 19.40532 0.05673
392.83258 19.41582 0.0679
392.87538 19.39292 0.05678
394.79908 19.69363 0.0844
394.8431 19.46736 0.05684
395.79551 19.51686 0.09485
395.84215 19.37065 0.06232
396.79527 19.44901 0.10109
396.83932 19.56583 0.0616
397.79163 19.33999 0.101
397.83526 19.50944 0.06349
398.78764 19.72654 0.12139
398.83124 19.51996 0.08477
399.78802 19.38856 0.11309
399.83261 19.49838 0.08183
400.78534 19.5771 0.10201
400.8289 19.50095 0.08607
401.78133 19.88172 0.14928
401.82518 19.41967 0.10766
402.8246 19.60222 0.12727
403.81973 19.2557 0.14957
404.77424 19.45821 0.15558
404.84266 19.59303 0.11138
405.8416 19.42227 0.10699
407.83003 19.56319 0.12073
411.79896 19.51085 0.08134
412.75232 19.60956 0.12889
412.79539 19.51468 0.09463
413.75577 19.65778 0.12124
413.79945 19.47387 0.09399
414.75161 19.63931 0.15872
414.79555 19.51837 0.08338
415.75266 19.35283 0.12803
415.79727 19.23959 0.11687
416.79342 19.552 0.09704
417.75979 19.22878 0.11759
417.84511 19.64044 0.1128
418.79843 19.26967 0.10079
418.84121 19.49859 0.08614
419.75121 19.56852 0.12255
419.79504 19.6111 0.08965
420.78929 19.88517 0.14553
420.83264 19.52026 0.0912
421.73664 19.4728 0.07485
421.79901 19.33237 0.04893
422.75115 19.53224 0.06989
422.79487 19.43157 0.05698
423.74742 19.56034 0.06698
423.79284 19.39048 0.05503
424.75349 19.41326 0.0735
424.80178 19.41116 0.05431
425.76166 19.2908 0.06383
425.80573 19.31913 0.05193
426.80123 19.22635 0.05964
426.8444 19.4108 0.05024
427.79708 19.50665 0.07228
427.8408 19.44144 0.05711
428.79281 19.36316 0.07327
428.83703 19.46737 0.06768
429.8142 19.47639 0.07226
429.85716 19.36184 0.06104
430.75769 19.37062 0.08937
430.80485 19.33394 0.07469
431.75639 19.56633 0.09101
431.80024 19.71802 0.10265
432.73907 19.64763 0.13005
432.78359 19.37267 0.09999
433.70425 19.26113 0.1638
434.73769 19.37181 0.11767
436.88575 19.4877 0.09107
436.88891 19.53576 0.0855
436.8919 19.60588 0.08869
436.89501 19.36476 0.08578
436.89797 19.66269 0.10688
436.90109 19.41143 0.09398
436.9042 19.60736 0.09918
436.90728 19.38379 0.09747
436.91041 19.72453 0.10499
436.91351 19.45966 0.08978
436.91641 19.67024 0.10518
436.91931 19.63505 0.11217
436.92221 19.51632 0.10027
436.92514 19.65922 0.09915
436.92806 19.57104 0.10498
436.93096 19.42497 0.08348
436.93413 19.46835 0.09577
436.93703 19.41769 0.08577
436.93974 19.50267 0.09617
436.94297 19.57532 0.13157
436.94613 19.61887 0.10237
436.94915 19.66948 0.09887
436.95231 19.46132 0.08759
436.9553 19.44962 0.09519
436.95826 19.41774 0.08608
436.96116 19.47618 0.09946
436.96403 19.27261 0.08469
436.96671 19.46933 0.09221
438.88857 19.46379 0.0804
438.89169 19.43563 0.08609
438.89485 19.45738 0.08919
438.89798 19.58286 0.08837
438.90086 19.45922 0.07467
438.90371 19.39572 0.07249
438.9065 19.61919 0.08967
438.90927 19.52818 0.08602
438.91204 19.44048 0.074
438.91487 19.49581 0.08349
438.91763 19.33109 0.07488
438.92084 19.52181 0.10857
438.92394 19.4749 0.10516
438.92672 19.5116 0.09266
438.92954 19.67197 0.09797
438.93259 19.28529 0.09468
438.93551 19.58943 0.09069
438.93833 19.7212 0.09568
438.94106 19.60332 0.08836
438.94411 19.75144 0.10107
438.94678 19.32462 0.09748
438.95017 19.56185 0.09077
438.95913 19.48448 0.0855
438.96141 19.39286 0.07668
440.87507 19.32907 0.05719
440.87823 19.44929 0.06019
440.88428 19.36646 0.05371
440.88675 19.41235 0.05558
440.8894 19.389 0.05019
440.89205 19.33414 0.05079
440.89518 19.35752 0.05709
440.89832 19.42285 0.05278
440.90145 19.30322 0.05646
440.90439 19.50795 0.05847
440.90729 19.33648 0.05431
440.91025 19.32471 0.05482
440.91316 19.3419 0.05939
440.91591 19.5435 0.06169
440.9187 19.35898 0.05887
440.92149 19.35751 0.05496
440.92426 19.48893 0.05869
440.93095 19.31569 0.05309
440.93364 19.31856 0.05558
440.93623 19.37214 0.06326
440.9395 19.43369 0.06188
440.94264 19.51304 0.06198
440.94582 19.54614 0.0631
440.94883 19.28217 0.05668
440.95182 19.35485 0.05718
440.95489 19.44763 0.06089
440.95791 19.51665 0.06178
441.87301 19.36842 0.05152
441.87592 19.40959 0.04934
441.88645 19.41127 0.04785
441.88962 19.29826 0.04863
441.89254 19.24409 0.04656
