#mjd mag magerr
55061.92501 19.50694 0.04425
55061.95573 19.57547 0.04307
55063.91987 19.55891 0.04034
55063.9639 19.49079 0.0399
55064.92128 19.59407 0.04671
55064.9656 19.59378 0.04891
55066.91014 19.44059 0.04262
55066.95474 19.58208 0.0422
55067.91649 19.66342 0.05648
55067.96099 19.56873 0.05394
55069.90324 19.51846 0.04418
55069.94786 19.45321 0.04343
55080.87449 19.5621 0.09079
55080.95988 19.79009 0.16529
55084.86328 19.56394 0.06909
55084.90782 19.62104 0.14006
55087.85609 19.44729 0.04754
55087.90101 19.49509 0.04551
55088.96983 19.56093 0.04584
55089.01521 19.46395 0.05018
55089.94574 19.60693 0.05256
55089.99042 19.55794 0.05132
55093.83741 19.55673 0.04503
55093.88196 19.50329 0.04293
55096.8292 19.59215 0.05024
55097.00858 19.6585 0.06291
55104.99862 19.55689 0.07215
55107.79764 19.5437 0.10049
55114.88125 19.46312 0.05717
55114.92522 19.83493 0.15939
55119.89538 19.34931 0.0555
55119.95365 19.6098 0.06625
55123.75696 19.57592 0.0518
55123.81523 19.54925 0.05992
55126.97957 19.55055 0.08749
55127.83329 19.56584 0.05638
55127.87706 19.54989 0.06887
55135.82555 19.56585 0.13251
55135.86926 19.69491 0.11572
55138.71472 19.63209 0.11458
55138.75871 19.54714 0.12038
55142.7036 19.47603 0.0567
55142.75219 19.63729 0.07307
55144.77886 19.62278 0.05441
55144.82305 19.73343 0.06773
55151.72943 19.62507 0.06329
55151.77257 19.62586 0.05926
55166.70473 19.54223 0.10717
55168.63378 19.6661 0.09734
55168.6775 19.61569 0.11331
55175.61224 19.77655 0.05744
55175.65684 19.60126 0.04761
55181.59421 19.70617 0.08675
55181.63825 19.55413 0.07114
55183.59204 19.60751 0.11391
55183.64253 19.70143 0.06594
55189.58054 19.78021 0.09383
55189.62557 19.66277 0.08717
55194.59026 19.69112 0.15179
55199.58559 19.7747 0.06189
55201.58642 19.71409 0.1646
55202.58667 19.66976 0.07325
55203.71441 19.64672 0.06877
55203.75743 19.51607 0.08063
55207.63092 19.73065 0.06135
55207.67514 19.66954 0.06996
55209.5968 19.6085 0.04916
55209.64149 19.59636 0.04913
55213.63312 19.78697 0.07359
55213.6798 19.51892 0.08886
55377.89535 19.87402 0.13328
55379.8591 19.94364 0.11245
55379.92482 19.60093 0.08928
55380.87684 19.96179 0.13546
55380.92078 19.91195 0.11693
55381.89606 19.73108 0.08057
55381.93934 19.68763 0.06999
55384.82671 19.53399 0.06709
55384.87028 19.66455 0.06717
55385.87021 19.48738 0.05908
55385.91339 19.60085 0.05167
55386.86524 19.70979 0.06471
55386.90867 19.71302 0.06327
55387.87002 19.64698 0.059
55387.91342 19.61161 0.04636
55388.86609 19.60433 0.07153
55388.91005 19.63296 0.05229
55390.80957 19.53318 0.08208
55390.85393 19.86763 0.08838
55391.80613 19.95882 0.08717
55391.87538 19.63904 0.0617
55392.83258 19.69626 0.06898
55392.87538 19.57009 0.05959
55394.79908 19.53872 0.07291
55394.8431 19.72617 0.06408
55395.79551 19.50559 0.1087
55395.84215 19.73317 0.06564
55396.79527 19.789 0.10218
55396.83932 19.736 0.06567
55397.79163 19.60173 0.11357
55397.83526 19.78432 0.07146
55398.78764 19.86205 0.11727
55398.83124 19.68353 0.08567
55399.78802 19.91467 0.15016
55399.83261 19.68406 0.09496
55400.78534 19.88957 0.13327
55400.8289 19.66716 0.09707
55403.81973 19.63402 0.15967
55404.84266 19.74476 0.13686
55405.8416 19.43401 0.14606
55411.79896 19.88316 0.10165
55412.75232 19.7484 0.12114
55412.79539 19.52649 0.09396
55413.75577 19.95925 0.13717
55413.79945 19.5224 0.09072
55414.75161 19.80817 0.1199
55414.79555 19.48488 0.08241
55415.75266 19.73366 0.14918
55415.79727 19.91112 0.12065
55416.79342 19.68032 0.10705
55417.75979 19.51151 0.11354
55417.84511 19.62383 0.0947
55418.79843 19.71644 0.11059
55418.84121 19.44824 0.08922
55419.79504 19.60101 0.09519
55420.78929 19.84521 0.14607
55420.83264 19.77049 0.09504
55421.73664 19.62371 0.06911
55421.79901 19.70074 0.05516
55422.75115 19.72668 0.07777
55422.79487 19.7453 0.06119
55423.74742 19.60707 0.06809
55423.79284 19.65312 0.05776
55424.75349 19.48404 0.07573
55424.80178 19.69043 0.06208
55425.76166 19.5802 0.08128
55425.80573 19.54035 0.05479
55426.80123 19.88548 0.0814
55426.8444 19.72208 0.05191
55427.79708 19.78417 0.08287
55427.8408 19.68151 0.06538
55428.79281 19.70706 0.07915
55428.83703 19.60178 0.07055
55429.8142 19.90032 0.09784
55429.85716 19.77232 0.07315
55430.75769 19.86934 0.13496
55430.80485 19.7777 0.08995
55431.75639 19.64193 0.09337
55431.80024 19.47837 0.08848
55432.78359 19.66932 0.12306
55433.7493 19.79386 0.16216
55434.73769 19.88143 0.14392
55435.69148 19.69942 0.17708
55436.88575 19.83697 0.11146
55436.88891 19.65698 0.11244
55436.8919 19.64827 0.09996
55436.89501 19.79172 0.12166
55436.89797 19.65837 0.09866
55436.90109 19.78572 0.14084
55436.9042 19.47926 0.12265
55436.90728 19.62346 0.13935
55436.91041 19.48685 0.16244
55436.91351 19.88837 0.17353
55436.91641 19.54945 0.14754
55436.91931 19.84489 0.14425
55436.92221 19.47141 0.11816
55436.92514 19.59799 0.14035
55436.92806 19.87451 0.13515
55436.93096 19.73635 0.13304
55436.93413 19.6033 0.11285
55436.93703 19.95477 0.15884
55436.93974 19.52278 0.12904
55436.94297 19.78356 0.15173
55436.94613 19.69041 0.10449
55436.94915 19.63502 0.12595
55436.95231 19.59495 0.10455
55436.9553 19.67952 0.12045
55436.95826 19.668 0.12944
55436.96116 19.71694 0.14705
55436.96403 19.57846 0.11324
55436.96671 19.64164 0.09876
55438.88857 19.97423 0.10415
55438.89169 19.8449 0.11246
55438.89485 19.83989 0.10187
55438.89798 19.97276 0.10176
55438.90086 19.76046 0.08659
55438.90371 19.87714 0.09617
55438.9065 19.83398 0.10235
55438.90927 19.77311 0.11416
55438.91204 19.69576 0.09106
55438.91487 19.71254 0.08617
55438.91763 19.72342 0.08777
55438.92084 19.78789 0.12156
55438.92394 19.84753 0.10897
55438.92672 19.67336 0.09606
55438.92954 19.77889 0.11786
55438.93259 19.79302 0.12646
55438.93551 19.56874 0.09317
55438.93833 19.8714 0.10826
55438.94106 19.74421 0.14244
55438.94411 19.90351 0.11746
55438.95017 19.60128 0.09777
55438.95913 19.93308 0.11635
55438.96141 19.91087 0.10625
55440.87507 19.60497 0.06529
55440.87823 19.56414 0.06158
55440.88428 19.53526 0.05702
55440.88675 19.7476 0.06549
55440.8894 19.74324 0.06212
55440.89205 19.58268 0.05659
55440.89518 19.60462 0.05609
55440.89832 19.56199 0.06007
55440.90145 19.6564 0.05841
55440.90439 19.70632 0.06068
55440.90729 19.6621 0.06251
55440.91025 19.80329 0.06427
55440.91316 19.61402 0.06128
55440.91591 19.64943 0.0633
55440.9187 19.73806 0.064
55440.92149 19.70981 0.06799
55440.92426 19.75258 0.06309
55440.93095 19.79496 0.06378
55440.93364 19.765 0.07426
55440.93623 19.63245 0.0636
55440.9395 19.59109 0.06268
55440.94264 19.7691 0.06439
55440.94582 19.6531 0.06617
55440.94883 19.73297 0.07058
55440.95182 19.67971 0.07488
55440.95489 19.68124 0.06568
55440.95791 19.61863 0.06119
55441.87301 19.6959 0.0594
55441.87592 19.68186 0.05663
55441.88645 19.72087 0.05453
55441.88962 19.77244 0.05409
55441.89254 19.6957 0.05713
55441.89542 19.53613 0.05283
55441.89828 19.59309 0.05124
55441.90107 19.57256 0.05363
55441.9037 19.76066 0.05601
55441.90634 19.66529 0.05142
55441.90906 19.66766 0.05145
55441.9118 19.59871 0.05044
55441.91445 19.70374 0.05772
55441.91722 19.64399 0.05382
55441.91981 19.73093 0.06041
55441.92242 19.67206 0.0541
55441.92546 19.52134 0.04944
55441.9281 19.80147 0.05926
55441.93183 19.64173 0.05363
55441.93458 19.66194 0.05829
55441.93727 19.66367 0.05742
55441.94048 19.84035 0.06101
55441.94326 19.7046 0.05521
55441.94546 19.72896 0.0579
55441.94852 19.63755 0.05969
55441.95194 19.6694 0.05711
55441.95469 19.69721 0.05511
55441.95786 19.64141 0.05112
55441.96081 19.66306 0.05692
55441.96392 19.66677 0.05581
55441.96715 19.72751 0.05527
55441.97012 19.64051 0.05491
55441.97294 19.53107 0.04902
55441.97532 19.64574 0.05462
55441.97757 19.63902 0.05937
55441.9798 19.71814 0.05743
55441.9835 19.61082 0.05513
55441.9863 19.70841 0.05811
55441.98852 19.65164 0.06568
55441.99078 19.60888 0.05355
55441.99382 19.71525 0.0621
55442.00593 19.66754 0.06174
55442.00906 19.67238 0.06089
55442.01216 19.5937 0.06731
55442.01486 19.56542 0.07941
55442.01753 19.55152 0.08467
55442.02001 19.77756 0.11249
55442.02226 19.65549 0.11551
55442.70382 19.63734 0.06667
55442.70734 19.63021 0.06606
55442.71097 19.78491 0.06628
55442.71448 19.84607 0.06905
55442.71808 19.74132 0.06239
55442.72168 19.77886 0.06338
55442.72527 19.59554 0.05947
55442.73272 19.69555 0.0608
55442.74184 19.80087 0.06597
