#mjd mag magerr
63.91983 20.46 0.1
64.92124 20.514 0.091
66.9101 20.182 0.091
66.9547 20.347 0.078
144.77892 20.337 0.099
379.92466 19.799 0.093
381.93919 19.881 0.095
392.83244 20.068 0.098
394.79894 19.829 0.094
395.84202 19.985 0.084
398.78752 19.767 0.114
398.83112 19.783 0.14
399.83249 19.848 0.112
405.84149 19.732 0.156
423.74736 20.173 0.092
424.80172 20.195 0.09
425.76161 19.808 0.106
427.79703 20.021 0.139
428.79276 20.119 0.133
429.81416 19.723 0.104
429.85711 19.893 0.094
438.91202 19.942 0.129
438.94104 19.903 0.11
440.87821 19.914 0.071
440.89203 20.01 0.079
440.89516 19.986 0.079
440.89831 19.949 0.078
440.90728 19.802 0.078
440.9518 19.997 0.108
441.89541 19.84 0.065
441.90632 19.799 0.073
441.9172 20.059 0.069
441.93725 19.856 0.072
441.96713 19.841 0.064
441.97292 19.826 0.065
442.01751 20.092 0.131
442.7038 19.947 0.09
442.72166 19.949 0.076
444.01748 19.82 0.092
445.6842 20.003 0.098
445.7092 19.929 0.089
446.01785 20.003 0.082
446.68913 19.975 0.095
446.80821 20.08 0.083
452.64792 20.019 0.15
453.6895 19.833 0.08
454.68793 19.716 0.12
466.62662 19.991 0.105
469.73474 19.603 0.12
477.66777 19.953 0.079
479.61568 19.943 0.116
481.61185 19.682 0.106
485.66333 19.583 0.1
498.79005 20.042 0.115
499.59409 20.126 0.101
506.68977 19.727 0.105
532.78415 20.076 0.089
532.82843 20.069 0.095
539.58019 20.085 0.095
733.91194 19.948 0.14
759.84866 19.805 0.137
849.6055 19.972 0.136
850.64921 20.061 0.138
851.64645 20.025 0.124
852.64813 20.01 0.092
853.64634 19.956 0.098
887.63188 19.909 0.085
925.67908 20.306 0.101
930.58596 19.872 0.178
944.64391 19.943 0.096
1129.84827 20.158 0.122
1130.84591 19.868 0.099
1131.87979 20.282 0.131
1166.85433 19.852 0.086
1168.76132 20.025 0.163
1177.74479 20.296 0.092
1178.72449 20.267 0.109
1194.73073 20.09 0.115
1235.61467 19.886 0.097
1235.64424 19.871 0.074
1239.61146 20.123 0.124
1251.83077 19.671 0.135
1251.8608 19.653 0.093
1252.58582 19.784 0.117
1252.60638 19.899 0.086
1252.62493 19.752 0.104
1252.66103 19.902 0.095
1252.69885 19.955 0.08
1252.73505 19.96 0.084
1252.75264 20.023 0.085
1252.76863 20.19 0.104
1252.78936 19.898 0.131
1252.82107 20.059 0.112
1252.83837 19.941 0.146
1252.8564 20.011 0.09
1253.58628 20.052 0.1
1253.63689 19.708 0.102
1253.67216 20.123 0.108
1269.58327 19.604 0.091
1269.59253 20.023 0.078
1269.65025 19.935 0.072
1269.65707 19.828 0.067
1269.65827 19.967 0.068
1269.66288 19.71 0.066
