#mjd mag magerr
55061.92501 19.24381 0.04868
55061.95573 19.34051 0.04885
55063.91987 19.19676 0.04648
55063.9639 19.21204 0.04906
55064.92128 19.23655 0.05354
55064.9656 19.28791 0.05157
55066.91014 19.27362 0.04613
55066.95474 19.15658 0.04753
55067.91649 19.43015 0.06471
55067.96099 19.52187 0.07076
55069.90324 19.24536 0.04906
55069.94786 19.31413 0.05182
55080.95988 19.53333 0.13728
55084.86328 19.21665 0.06426
55087.85609 19.22385 0.04989
55087.90101 19.20309 0.04708
55088.96983 19.33624 0.05205
55089.01521 19.14476 0.05256
55089.94574 19.22842 0.04959
55089.99042 19.30196 0.0546
55093.83741 19.23667 0.04698
55093.88196 19.2103 0.04885
55096.8292 19.26601 0.05095
55097.00858 19.35517 0.06127
55104.99862 19.39104 0.07241
55107.79764 19.25906 0.08713
55114.88125 19.03021 0.05418
55119.89538 19.23661 0.05551
55119.95365 19.34902 0.05604
55123.75696 19.16665 0.05155
55123.81523 19.21549 0.0524
55126.97957 19.32499 0.06674
55127.83329 19.24342 0.04949
55127.87706 19.45507 0.06294
55135.82555 19.34579 0.09626
55138.71472 19.25902 0.09623
55138.75871 19.29874 0.1001
55142.7036 19.17489 0.05142
55142.75219 19.18542 0.05268
55144.77886 19.10552 0.04959
55144.82305 19.31598 0.05821
55151.72943 19.19726 0.0572
55151.77257 19.21826 0.05062
55166.70473 19.35247 0.09708
55168.63378 19.26921 0.08199
55168.6775 19.34808 0.08332
55175.61224 19.05117 0.04663
55175.65684 19.09182 0.04581
55181.59421 19.06641 0.06504
55181.63825 19.20817 0.06299
55183.59204 19.14292 0.06113
55183.64253 19.19915 0.05279
55189.58054 19.17521 0.05875
55189.62557 19.2728 0.0584
55199.58559 19.14678 0.05002
55201.58642 19.15443 0.12181
55202.58667 19.06372 0.05238
55203.71441 19.06283 0.05689
55203.75743 19.17245 0.06195
55207.63092 19.04463 0.04664
55207.67514 19.12901 0.04816
55209.5968 19.07081 0.04521
55209.64149 19.07948 0.04525
55213.63312 19.08989 0.05507
55213.6798 19.08022 0.0621
55377.85123 19.234 0.08296
55377.89535 19.0613 0.06926
55378.90615 19.28853 0.07925
55379.8591 19.06247 0.06455
55379.92482 19.022 0.0528
55380.87684 19.09803 0.06544
55380.92078 18.95926 0.06021
55381.89606 19.02357 0.05408
55381.93934 18.96124 0.04925
55384.82671 19.01878 0.0477
55384.87028 19.0707 0.04842
55385.87021 18.95491 0.04416
55385.91339 19.05874 0.04277
55386.86524 19.01924 0.04943
55386.90867 19.07966 0.0467
55387.87002 19.08241 0.04785
55387.91342 18.97781 0.04015
55388.86609 18.98718 0.0549
55388.91005 19.11211 0.04734
55390.80957 19.0628 0.0549
55390.85393 19.15627 0.05249
55391.80613 19.07316 0.05801
55391.87538 19.09763 0.05205
55392.83258 19.0666 0.05254
55392.87538 18.92547 0.04559
55394.79908 19.09085 0.0591
55394.8431 19.08624 0.05077
55395.79551 18.95339 0.06625
55395.84215 19.01876 0.04716
55396.79527 19.05013 0.06289
55396.83932 19.04235 0.04522
55397.79163 19.26546 0.07494
55397.83526 18.97236 0.04824
55398.78764 19.19509 0.08666
55398.83124 19.05173 0.05681
55399.78802 19.06778 0.07973
55399.83261 19.07887 0.0684
55400.78534 19.11355 0.08084
55400.8289 19.07452 0.07013
55401.78133 19.16636 0.11281
55401.82518 19.01205 0.08082
55402.77979 19.10659 0.12506
55402.8246 19.1718 0.09483
55403.77642 19.28096 0.16414
55403.81973 19.16744 0.09323
55404.77424 19.02809 0.1201
55404.84266 18.94383 0.07096
55405.8416 19.13515 0.09123
55407.7691 19.07396 0.10237
55407.83003 19.12161 0.08381
55408.78389 18.96648 0.15603
55411.75477 19.1196 0.122
55411.79896 19.02619 0.05812
55412.79539 19.07694 0.07818
55413.79945 19.34668 0.10759
55414.79555 19.12839 0.07462
55415.75266 18.95887 0.08496
55415.79727 19.15359 0.10262
55416.75096 19.36082 0.11529
55416.79342 19.03104 0.07831
55417.84511 19.12671 0.08921
55418.79843 19.12963 0.08694
55418.84121 19.14263 0.07484
55419.79504 19.03343 0.07707
55420.78929 19.34451 0.13052
55420.83264 19.18524 0.08071
55421.73664 19.06 0.05277
55421.79901 19.02821 0.04439
55422.75115 19.01856 0.05099
55422.79487 19.08129 0.05058
55423.74742 19.07124 0.05358
55423.79284 19.04533 0.04494
55424.75349 19.11758 0.05547
55424.80178 19.00137 0.04533
55425.76166 18.99993 0.05484
55425.80573 18.95678 0.04418
55426.80123 19.01856 0.05209
55426.8444 18.96189 0.04025
55427.79708 19.10433 0.05924
55427.8408 19.08029 0.05022
55428.79281 19.07138 0.0541
55428.83703 19.02699 0.05136
55429.8142 19.14959 0.0581
55429.85716 19.06196 0.04961
55430.75769 19.1917 0.08584
55430.80485 18.9801 0.056
55431.75639 19.04667 0.06764
55431.80024 19.22464 0.0707
55432.73907 18.99831 0.09065
55432.78359 19.11423 0.10651
55433.70425 19.10944 0.15535
55433.7493 19.19984 0.10083
55434.69401 18.81063 0.14677
55434.73769 19.22498 0.11088
55435.69148 19.04441 0.10985
55435.74218 19.02838 0.11776
55436.88575 19.03939 0.06852
55436.88891 19.05014 0.0645
55436.8919 19.14195 0.07589
