#mjd mag magerr
55061.92501 17.79983 0.01374
55061.95573 17.77575 0.01339
55063.91987 17.77254 0.01467
55063.9639 17.75951 0.01395
55064.92128 17.75945 0.02312
55064.9656 17.76996 0.02314
55066.91014 17.79386 0.01753
55066.95474 17.7815 0.01609
55067.91649 17.81677 0.02618
55067.96099 17.77673 0.02721
55069.90324 17.79432 0.01359
55069.94786 17.79403 0.01334
55080.87449 17.81447 0.02871
55080.95988 17.87098 0.03572
55084.86328 17.77839 0.01969
55087.85609 17.81124 0.01382
55087.90101 17.81019 0.0139
55088.96983 17.82391 0.01375
55089.01521 17.7957 0.01407
55089.94574 17.82276 0.01439
55089.99042 17.80082 0.01427
55093.83741 17.77649 0.01341
55093.88196 17.79776 0.01345
55096.8292 17.79272 0.01634
55097.00858 17.82318 0.01792
55104.99862 17.82799 0.0181
55107.79764 17.85792 0.02812
55114.88125 17.82399 0.02312
55114.92522 17.75804 0.0369
55119.89538 17.83113 0.016
55119.95365 17.8355 0.01676
55123.75696 17.81025 0.01457
55123.81523 17.83486 0.01444
55126.97957 17.83582 0.01955
55127.83329 17.8762 0.01611
55127.87706 17.86861 0.01778
55135.82555 17.85652 0.02848
55135.86926 17.93844 0.03133
55138.71472 17.8675 0.03222
55138.75871 17.90135 0.03414
55142.7036 17.86144 0.01631
55142.75219 17.84807 0.01757
55144.77886 17.8492 0.01547
55144.82305 17.86671 0.01752
55151.72943 17.88962 0.01713
55151.77257 17.86082 0.01605
55166.70473 17.84681 0.03013
55166.74897 17.86783 0.03169
55168.63378 17.84824 0.0251
55168.6775 17.85817 0.02551
55175.61224 17.85028 0.02174
55175.65684 17.81581 0.02161
55181.59421 17.89003 0.0243
55181.63825 17.90214 0.02111
55183.59204 17.85797 0.02828
55183.64253 17.83058 0.01779
55189.58054 17.87489 0.02016
55189.62557 17.84021 0.01765
55194.59026 17.79251 0.03181
55199.58559 17.8483 0.0158
55201.58642 17.89312 0.0426
55380.87684 17.91575 0.02622
55380.92078 17.91607 0.02359
55381.89606 17.89533 0.01908
55381.93934 17.87934 0.01775
55386.86524 17.85566 0.016
55386.90867 17.84799 0.01564
55391.80613 17.88527 0.02337
55391.87538 17.88127 0.01608
55396.79527 17.88534 0.02881
55396.83932 17.83665 0.0235
55401.78133 17.93231 0.04469
55401.82518 17.8768 0.0357
55407.7691 17.93509 0.03696
55407.83003 17.96549 0.03405
55413.75577 17.96336 0.0385
55413.79945 17.97781 0.03029
55416.75096 17.89048 0.03172
55416.79342 17.87519 0.02639
55419.75121 17.89112 0.03377
55419.79504 17.8381 0.02578
55422.75115 17.84883 0.01804
55422.79487 17.88589 0.01647
55426.80123 17.76274 0.03531
55426.8444 17.82037 0.03323
55429.8142 17.82779 0.02301
55429.85716 17.8414 0.02104
55432.73907 17.88066 0.0322
55432.78359 17.82001 0.02809
55435.69148 17.91515 0.04611
55438.88857 17.86267 0.02361
55438.89169 17.8484 0.02332
55438.89485 17.82422 0.02179
55438.89798 17.86161 0.02276
55438.90086 17.86509 0.02189
55438.90371 17.82755 0.02166
55438.9065 17.84568 0.02094
55438.90927 17.84935 0.02168
55438.91204 17.87212 0.02112
55438.91487 17.92159 0.02285
55438.91763 17.88287 0.02221
55438.92084 17.89622 0.02444
55438.92394 17.85077 0.02457
55438.92672 17.83007 0.02539
55438.92954 17.86419 0.02553
55438.93259 17.86159 0.02636
55438.93551 17.85756 0.02324
55438.93833 17.9044 0.02502
55438.94106 17.84656 0.02481
55438.94411 17.8751 0.02499
55438.94678 17.80741 0.02419
55438.95017 17.88624 0.02376
55438.95913 17.84817 0.02251
55438.96141 17.88849 0.02443
55441.87301 17.83951 0.01436
55441.87592 17.79943 0.0138
55441.88645 17.85139 0.01398
55441.88962 17.8358 0.01409
55441.89254 17.84957 0.01445
55441.89542 17.83016 0.01446
55441.89828 17.86221 0.01464
55441.90107 17.84294 0.01439
55441.9037 17.85674 0.01393
55441.90634 17.85019 0.01415
55441.90906 17.83249 0.01396
55441.9118 17.84993 0.01402
55441.91445 17.84744 0.01386
55441.91722 17.87466 0.01413
55441.91981 17.83307 0.01556
55441.92242 17.84355 0.01482
55441.92546 17.86705 0.01409
55441.9281 17.85863 0.01454
55441.93183 17.88323 0.01444
55441.93458 17.83272 0.01412
55441.93727 17.85609 0.01479
55441.94048 17.82266 0.01373
55441.94326 17.84028 0.01397
55441.94546 17.83485 0.01435
55441.94852 17.81933 0.01388
55441.95194 17.85321 0.014
55441.95469 17.82338 0.01391
55441.95786 17.85219 0.01425
55441.96081 17.83762 0.01462
55441.96392 17.83061 0.01441
55441.96715 17.84249 0.01369
55441.97012 17.80228 0.01378
55441.97294 17.82769 0.01403
55441.97532 17.83957 0.01388
55441.97757 17.83247 0.01408
55441.9798 17.84342 0.01471
55441.9835 17.82818 0.01387
55441.9863 17.83239 0.01498
55441.98852 17.8414 0.01505
55441.99078 17.83736 0.0148
55441.99382 17.84502 0.01481
55442.00593 17.8495 0.01585
55442.00906 17.85766 0.01696
55442.01216 17.84307 0.01627
55442.01486 17.86466 0.01859
55442.01753 17.90385 0.02141
55442.02001 17.87475 0.02523
55442.02226 17.87107 0.02995
55444.66648 17.80968 0.0229
55444.67221 17.86624 0.02149
55444.67727 17.86052 0.02197
55444.68857 17.82209 0.01871
55444.69526 17.85728 0.01894
55444.70198 17.84796 0.01902
55444.7091 17.87738 0.01925
55444.71487 17.8512 0.01812
55444.72103 17.80182 0.01653
55444.72796 17.84671 0.01696
55444.73377 17.854 0.01584
55444.74094 17.83106 0.01503
55444.74655 17.86365 0.01536
55444.75167 17.81833 0.01535
55444.75678 17.82478 0.01435
55444.76225 17.84529 0.01483
55444.7673 17.83485 0.01474
55444.77353 17.83563 0.01489
55444.77876 17.82247 0.0146
55444.78368 17.80561 0.01467
55444.79848 17.8301 0.01457
55444.80403 17.82124 0.01445
55444.81599 17.8143 0.01403
55444.8213 17.82197 0.01383
55444.83332 17.82038 0.01384
55444.83854 17.84559 0.01407
55444.84549 17.8424 0.0139
55444.85161 17.87395 0.01443
55444.85679 17.83876 0.0133
55444.86267 17.90395 0.01588
55444.86777 17.88553 0.01686
55444.87321 17.85769 0.01397
55444.87872 17.84533 0.01399
55444.88467 17.86252 0.01476
55444.89016 17.8639 0.01526
55444.89581 17.8488 0.01637
55444.90153 17.8435 0.01393
55444.90845 17.85114 0.01478
55444.91349 17.86032 0.01409
55444.92279 17.83755 0.01404
55444.93139 17.84375 0.01373
55444.94041 17.82524 0.01385
55444.94568 17.8203 0.01391
55444.951 17.86592 0.01512
55444.95724 17.8532 0.01461
55444.96289 17.83572 0.01432
55444.96923 17.84284 0.01392
55444.97411 17.8558 0.01459
55444.98062 17.8565 0.01461
55444.98915 17.83228 0.01496
55444.99553 17.84906 0.01462
55445.00157 17.8347 0.01423
55445.00779 17.83342 0.01483
55445.01282 17.84564 0.01656
55445.01777 17.83729 0.01945
55445.02227 17.86264 0.02581
55448.65527 17.85038 0.02313
55448.70146 17.893 0.01978
55451.65338 17.83771 0.02108
55451.70095 17.85711 0.01686
55454.64058 17.86845 0.02474
55454.68793 17.87159 0.02309
55457.63067 17.84898 0.02861
55457.6732 17.82348 0.02084
55460.63624 17.85246 0.02957
55460.72453 17.82506 0.02164
55463.63005 17.8615 0.04888
55463.71104 17.89007 0.03542
55466.61784 17.77521 0.02366
55466.61959 17.81759 0.02128
55466.62134 17.82298 0.0206
55466.6231 17.84108 0.02047
55466.62486 17.80456 0.02034
55466.62661 17.81469 0.01978
55466.62943 17.83705 0.02074
55466.63143 17.85317 0.02153
55466.63348 17.81774 0.02029
55466.67604 17.8744 0.02658
55471.77466 17.81857 0.01401
55471.82993 17.80979 0.03456
55477.66775 17.83823 0.01554
