#mjd mag magerr
61.92501 18.42034 0.01865
61.95573 18.42877 0.01817
63.91987 18.40713 0.01755
63.9639 18.39761 0.01788
64.92128 18.44626 0.02501
64.9656 18.48722 0.02567
66.91014 18.44097 0.01988
66.95474 18.41235 0.01876
67.91649 18.47616 0.02756
67.96099 18.46227 0.02768
69.90324 18.40208 0.01902
69.94786 18.41355 0.0199
80.87449 18.37581 0.03994
80.95988 18.42206 0.05174
84.86328 18.43477 0.03097
87.85609 18.4461 0.02102
87.90101 18.40652 0.01986
88.96983 18.42016 0.02
89.01521 18.43731 0.02186
89.94574 18.42534 0.02103
89.99042 18.391 0.02086
93.83741 18.40393 0.01956
93.88196 18.44251 0.01861
96.8292 18.42206 0.02027
97.00858 18.48178 0.02431
104.99862 18.53334 0.02934
107.79764 18.47266 0.04112
114.88125 18.46097 0.02954
114.92522 18.48865 0.05186
119.89538 18.47619 0.02282
119.95365 18.50406 0.02613
123.75696 18.39779 0.02055
123.81523 18.40614 0.02096
126.97957 18.49065 0.03224
127.83329 18.43178 0.02299
127.87706 18.45277 0.02623
135.82555 18.40698 0.0422
135.86926 18.35127 0.04992
138.71472 18.45056 0.04717
138.75871 18.60486 0.05648
142.7036 18.39127 0.02188
142.75219 18.43763 0.02632
144.77886 18.43555 0.02121
144.82305 18.40224 0.0243
151.72943 18.43882 0.02593
151.77257 18.43131 0.02377
166.70473 18.51396 0.04427
166.74897 18.49284 0.04739
168.63378 18.39237 0.03519
168.6775 18.48776 0.04012
175.61224 18.46435 0.02565
175.65684 18.42235 0.02411
181.59421 18.41533 0.03195
181.63825 18.41998 0.0286
183.59204 18.48031 0.04584
183.64253 18.44052 0.02474
189.58054 18.44034 0.03181
189.62557 18.42356 0.0273
194.59026 18.42155 0.04636
199.58559 18.39992 0.02069
201.58642 18.54092 0.05845
202.58667 18.45635 0.04078
203.71441 18.39597 0.02807
203.75743 18.39893 0.03014
207.63092 18.38631 0.02479
207.67514 18.4109 0.02133
209.5968 18.40939 0.01891
209.64149 18.42517 0.01985
213.63312 18.4027 0.03511
213.6798 18.39162 0.03808
377.85123 18.40833 0.04609
377.89535 18.41852 0.04145
378.90615 18.5312 0.05131
379.8591 18.37224 0.0369
379.92482 18.36308 0.02771
380.87684 18.3895 0.04012
380.92078 18.38259 0.03522
381.89606 18.33837 0.02744
381.93934 18.39668 0.02662
384.82671 18.42595 0.02582
384.87028 18.34598 0.02223
385.87021 18.38744 0.02185
385.91339 18.35974 0.02022
386.86524 18.3559 0.0223
386.90867 18.33142 0.02155
387.87002 18.46423 0.03941
387.91342 18.45182 0.03611
388.86609 18.41311 0.02796
388.91005 18.40567 0.01987
390.80957 18.33503 0.03026
390.85393 18.37243 0.02562
391.80613 18.50498 0.03394
391.87538 18.36618 0.02243
392.83258 18.50474 0.03564
392.87538 18.44607 0.03217
394.79908 18.33073 0.02823
394.8431 18.35656 0.02092
395.79551 18.36689 0.03858
395.84215 18.37812 0.02892
396.79527 18.47975 0.0456
396.83932 18.44861 0.03096
397.79163 18.50737 0.05313
397.83526 18.48767 0.04144
398.78764 18.50312 0.04241
398.83124 18.41674 0.03364
399.78802 18.4628 0.05078
399.83261 18.43557 0.04029
400.78534 18.27994 0.04932
400.8289 18.38574 0.0411
401.78133 18.54228 0.06958
401.82518 18.46865 0.05834
402.77979 18.44948 0.07083
402.8246 18.41722 0.0532
403.77642 18.53289 0.07692
403.81973 18.36055 0.0548
404.77424 18.36533 0.05586
404.84266 18.29288 0.0396
405.8416 18.49603 0.04305
407.7691 18.31672 0.0539
407.83003 18.4297 0.04568
408.78389 18.38348 0.08562
411.79896 18.34758 0.0326
412.75232 18.50169 0.05039
412.79539 18.41506 0.03885
413.75577 18.43413 0.05766
413.79945 18.44621 0.04336
414.75161 18.39347 0.04745
414.79555 18.38648 0.03489
415.75266 18.36817 0.04579
415.79727 18.34571 0.03931
416.75096 18.28556 0.05219
416.79342 18.36989 0.03448
417.75979 18.38422 0.04974
417.84511 18.439 0.04494
418.79843 18.29808 0.04124
418.84121 18.36981 0.0299
419.75121 18.3947 0.04498
419.79504 18.4117 0.03499
420.78929 18.40913 0.04279
420.83264 18.40284 0.03492
421.73664 18.38164 0.02728
421.79901 18.3673 0.02016
422.75115 18.36676 0.02467
422.79487 18.4256 0.02138
423.74742 18.39465 0.02535
423.79284 18.35226 0.02114
424.75349 18.53495 0.04736
424.80178 18.454 0.03815
425.76166 18.36112 0.03086
425.80573 18.32853 0.02099
426.80123 18.46282 0.03897
426.8444 18.4196 0.03247
427.79708 18.42589 0.0294
427.8408 18.36465 0.02329
428.79281 18.37834 0.02994
428.83703 18.36483 0.02686
429.8142 18.3615 0.03104
429.85716 18.35497 0.0266
430.75769 18.3953 0.04147
430.80485 18.3895 0.03658
431.75639 18.31735 0.04384
431.80024 18.30764 0.04257
432.73907 18.39353 0.04915
432.78359 18.38593 0.04281
433.70425 18.45042 0.07435
433.7493 18.36465 0.05212
434.69401 18.49779 0.0796
434.73769 18.44083 0.05313
435.69148 18.28587 0.06507
436.88575 18.4167 0.03916
436.88891 18.34353 0.03552
436.8919 18.33324 0.03662
436.89501 18.41226 0.03734
436.89797 18.42887 0.03975
436.90109 18.39553 0.03832
436.9042 18.4955 0.04103
436.90728 18.39807 0.03798
436.91041 18.39499 0.04013
436.91351 18.39629 0.03837
436.91641 18.30342 0.0386
436.91931 18.37105 0.03953
436.92221 18.39837 0.0386
436.92514 18.47308 0.0432
436.92806 18.30673 0.04102
436.93096 18.33985 0.03633
436.93413 18.41642 0.04029
436.93703 18.40753 0.03789
436.93974 18.40168 0.0384
436.94297 18.39006 0.03873
436.94613 18.36803 0.03891
436.94915 18.38818 0.04014
436.95231 18.42245 0.0398
436.9553 18.35151 0.03902
436.95826 18.3914 0.03758
436.96116 18.32071 0.03665
436.96403 18.35477 0.03702
436.96671 18.34438 0.03833
438.88857 18.35996 0.03372
438.89169 18.42205 0.03524
438.89485 18.44678 0.03242
438.89798 18.35866 0.03266
438.90086 18.3256 0.02955
438.90371 18.34239 0.02995
438.9065 18.36535 0.03004
438.90927 18.42192 0.02906
438.91204 18.40029 0.03009
438.91487 18.38737 0.03223
438.91763 18.36536 0.0312
438.92084 18.36215 0.03477
438.92394 18.34962 0.03495
438.92672 18.33213 0.03415
438.92954 18.39528 0.03394
438.93259 18.39504 0.03637
438.93551 18.39764 0.0339
438.93833 18.36249 0.03414
438.94106 18.34138 0.03536
438.94411 18.38491 0.03624
438.94678 18.3857 0.03515
438.95017 18.35069 0.03412
438.95913 18.39248 0.03355
438.96141 18.40885 0.03616
440.87507 18.34766 0.02302
440.87823 18.3734 0.02171
440.88428 18.31957 0.02064
440.88675 18.36574 0.02216
440.8894 18.39152 0.02177
440.89205 18.36065 0.02213
440.89518 18.33785 0.02092
440.89832 18.38541 0.02175
440.90145 18.37184 0.02212
440.90439 18.36992 0.02225
440.90729 18.34413 0.0222
440.91025 18.33846 0.02156
440.91316 18.36116 0.02228
440.91591 18.39897 0.02328
440.9187 18.3498 0.02203
440.92149 18.35886 0.02178
440.92426 18.36517 0.02196
440.93095 18.3261 0.02131
440.93364 18.38715 0.02248
440.93623 18.33949 0.02282
440.9395 18.3666 0.02357
440.94264 18.39829 0.02241
440.94582 18.30735 0.02259
440.94883 18.34488 0.02269
440.95182 18.37225 0.02297
440.95489 18.37219 0.02292
440.95791 18.33502 0.02256
441.87301 18.36631 0.01931
441.87592 18.36522 0.01883
441.88645 18.36054 0.01946
441.88962 18.3706 0.01901
441.89254 18.35642 0.01936
441.89542 18.37689 0.02059
441.89828 18.38566 0.01924
441.90107 18.34965 0.02008
441.9037 18.3378 0.01916
441.90634 18.35098 0.01872
441.90906 18.33608 0.01825
441.9118 18.35787 0.01916
441.91445 18.33427 0.01887
441.91722 18.34716 0.01889
441.91981 18.36631 0.0208
441.92242 18.37423 0.02039
441.92546 18.34176 0.01861
441.9281 18.36073 0.01962
441.93183 18.36211 0.01951
441.93458 18.35855 0.01937
441.93727 18.33431 0.02024
441.94048 18.3412 0.0195
441.94326 18.32216 0.01887
