#mjd mag magerr
55061.92507 15.164 0.005
55063.91995 15.17 0.005
55069.90331 15.176 0.005
55084.86334 15.168 0.005
55087.85614 15.17 0.005
55088.96988 15.16 0.005
55089.01526 15.167 0.005
55093.83745 15.163 0.005
55104.99865 15.162 0.005
55123.75694 15.169 0.004
55126.97954 15.158 0.005
55127.83327 15.162 0.005
55127.87703 15.167 0.005
55142.70355 15.162 0.005
55142.75213 15.161 0.005
55144.7788 15.164 0.004
55144.82299 15.167 0.005
55151.72937 15.162 0.005
55151.77249 15.154 0.004
55183.64245 15.151 0.005
55189.58046 15.156 0.005
55189.62549 15.157 0.005
55199.58553 15.169 0.005
55207.67509 15.165 0.005
55209.59673 15.161 0.005
55209.64143 15.159 0.004
55379.92484 15.159 0.004
55380.9208 15.17 0.005
55381.89609 15.16 0.005
55381.93937 15.157 0.004
55384.82674 15.162 0.004
55384.8703 15.161 0.004
55385.87023 15.155 0.004
55385.91343 15.163 0.004
55386.86527 15.157 0.004
55386.9087 15.161 0.004
55388.86612 15.165 0.005
55388.91009 15.152 0.005
55390.8096 15.151 0.005
55390.85398 15.167 0.005
55391.87542 15.175 0.004
55392.83262 15.165 0.005
55392.87542 15.165 0.005
55394.79912 15.162 0.005
55394.84314 15.158 0.004
55395.84219 15.161 0.005
55396.83936 15.16 0.005
55398.83129 15.158 0.005
55399.83266 15.161 0.005
55421.73671 15.164 0.005
55421.79907 15.164 0.004
55422.75122 15.175 0.005
55422.79494 15.17 0.004
55423.74749 15.168 0.005
55423.7929 15.168 0.004
55425.76173 15.154 0.005
55425.8058 15.163 0.005
55427.79715 15.163 0.005
55427.84086 15.163 0.004
55428.79288 15.166 0.004
55428.83709 15.165 0.004
55429.81427 15.165 0.005
55429.85723 15.163 0.005
55436.88581 15.145 0.005
55436.88897 15.164 0.005
55436.89197 15.161 0.005
55436.89508 15.155 0.005
55436.89805 15.166 0.005
55436.90116 15.159 0.005
55436.90427 15.157 0.005
55436.90735 15.159 0.005
55436.91048 15.163 0.005
55436.91358 15.155 0.005
55436.91938 15.154 0.005
55436.92228 15.159 0.005
55436.92521 15.157 0.005
55436.92813 15.166 0.005
55436.93103 15.156 0.005
55436.9342 15.155 0.005
55436.9371 15.155 0.005
55436.93981 15.157 0.005
55436.94303 15.152 0.005
55436.94619 15.161 0.005
55436.94921 15.164 0.005
55436.95237 15.155 0.005
55436.95537 15.166 0.005
55436.95832 15.166 0.005
55436.96123 15.156 0.005
55436.9641 15.152 0.005
55436.96677 15.152 0.005
55438.88863 15.16 0.005
55438.89175 15.165 0.005
55438.89491 15.158 0.005
55438.89804 15.158 0.005
55438.90092 15.154 0.005
55438.90378 15.156 0.005
55438.90657 15.157 0.005
55438.90934 15.16 0.005
55438.91211 15.157 0.005
55438.91494 15.155 0.005
55438.9177 15.163 0.005
55438.92091 15.16 0.005
55438.92679 15.157 0.005
55438.92961 15.15 0.005
55438.94113 15.168 0.005
55438.94418 15.166 0.005
55438.94684 15.17 0.005
55438.95024 15.153 0.005
55438.95919 15.157 0.005
55438.96147 15.17 0.005
55440.87514 15.159 0.004
55440.8783 15.16 0.005
55440.88435 15.163 0.005
55440.88681 15.153 0.005
55440.88946 15.162 0.005
55440.89212 15.163 0.004
55440.89524 15.158 0.004
55440.89839 15.156 0.004
55440.90151 15.164 0.005
55440.90445 15.155 0.005
55440.90736 15.156 0.004
55440.91031 15.164 0.004
55440.91323 15.163 0.005
55440.91597 15.164 0.004
55440.91876 15.159 0.004
55440.92155 15.162 0.004
55440.92433 15.16 0.005
55440.93102 15.161 0.004
55440.9337 15.155 0.005
55440.93629 15.161 0.004
55440.93956 15.164 0.004
55440.94271 15.161 0.004
55440.94588 15.161 0.004
55440.94889 15.158 0.005
55440.95188 15.159 0.005
55440.95495 15.162 0.005
55440.95797 15.157 0.004
55441.87308 15.16 0.004
55441.87598 15.156 0.005
55441.88652 15.157 0.004
55441.88969 15.155 0.004
55441.8926 15.152 0.004
55441.89549 15.16 0.005
55441.89834 15.158 0.004
55441.90113 15.157 0.004
55441.90376 15.149 0.004
55441.9064 15.156 0.004
55441.90912 15.162 0.004
55441.91186 15.155 0.004
55441.91451 15.159 0.004
55441.91728 15.161 0.005
55441.91987 15.166 0.004
55441.92248 15.161 0.004
55441.92552 15.159 0.005
55441.92816 15.159 0.004
55441.93189 15.165 0.004
55441.93464 15.164 0.004
55441.93733 15.158 0.005
55441.94054 15.151 0.004
55441.94332 15.159 0.004
55441.94552 15.157 0.005
55441.94859 15.162 0.004
55441.95201 15.156 0.005
55441.95475 15.167 0.004
55441.95793 15.157 0.004
55441.96088 15.16 0.004
55441.96399 15.164 0.005
55441.96722 15.163 0.005
55441.97018 15.158 0.004
55441.97301 15.162 0.005
55441.97539 15.156 0.004
55441.97764 15.152 0.004
55441.97987 15.161 0.005
55441.98356 15.16 0.004
55441.98636 15.164 0.004
55441.98859 15.157 0.004
55441.99084 15.15 0.004
55441.99389 15.165 0.004
55442.00599 15.164 0.005
55442.00913 15.157 0.005
55442.01222 15.158 0.005
55442.01493 15.156 0.005
55442.70388 15.166 0.005
55442.7074 15.163 0.005
55442.71103 15.163 0.005
55442.71454 15.173 0.004
55442.71814 15.167 0.004
55442.72174 15.165 0.004
55442.72533 15.172 0.005
55442.73278 15.163 0.005
55442.7419 15.164 0.005
55442.74888 15.159 0.005
55442.75578 15.161 0.005
55442.76153 15.17 0.005
55442.76621 15.161 0.004
55442.77623 15.163 0.005
55442.78141 15.158 0.005
55442.78622 15.164 0.005
55442.79152 15.166 0.005
55442.79622 15.164 0.004
55442.80192 15.164 0.005
55442.80936 15.167 0.005
55442.81449 15.161 0.004
55442.81946 15.162 0.004
55442.82454 15.16 0.004
55442.82936 15.169 0.004
55442.83548 15.16 0.005
55442.84019 15.16 0.005
55442.84603 15.161 0.005
55442.85118 15.161 0.005
55442.85663 15.162 0.004
55442.86394 15.152 0.005
55442.87008 15.163 0.005
55442.87509 15.164 0.005
55442.88055 15.16 0.005
55442.88623 15.159 0.005
55442.89227 15.156 0.005
55442.89791 15.166 0.004
55442.90303 15.16 0.005
55442.90877 15.167 0.004
55442.91374 15.173 0.004
55442.91881 15.171 0.005
55442.9239 15.168 0.005
55442.93043 15.159 0.005
55442.93648 15.159 0.005
55442.94595 15.16 0.004
55442.95172 15.164 0.004
55442.9576 15.166 0.005
55442.96252 15.166 0.005
55442.96839 15.165 0.004
55442.97324 15.162 0.005
55442.97788 15.16 0.004
55442.98213 15.158 0.005
55442.98727 15.166 0.005
55442.99354 15.171 0.005
55442.99865 15.171 0.005
55443.00336 15.163 0.005
55443.01008 15.176 0.005
55443.01708 15.17 0.005
55443.67748 15.158 0.005
55443.68495 15.16 0.005
55443.69293 15.161 0.005
55443.70421 15.156 0.004
55443.71034 15.159 0.004
55443.71638 15.159 0.005
55443.72237 15.16 0.004
55443.72838 15.156 0.004
55443.73606 15.155 0.004
55443.74312 15.162 0.005
55443.74818 15.157 0.004
55443.75378 15.155 0.005
55443.75952 15.156 0.005
55443.76532 15.159 0.004
55443.77013 15.157 0.004
55443.78034 15.146 0.004
55443.78545 15.155 0.004
55443.79162 15.151 0.004
55443.79724 15.156 0.004
55443.80308 15.161 0.004
55443.80902 15.156 0.004
55443.81499 15.155 0.005
55443.82047 15.157 0.004
55443.8264 15.152 0.004
55443.83246 15.164 0.005
55443.8379 15.146 0.004
55443.84422 15.156 0.004
55443.84964 15.158 0.004
55443.85559 15.157 0.004
55443.86258 15.163 0.004
55443.87583 15.158 0.004
55443.88147 15.161 0.004
55443.88899 15.162 0.005
55443.89418 15.154 0.005
55443.90083 15.163 0.004
55443.90664 15.159 0.004
55443.91241 15.171 0.004
55443.91785 15.16 0.004
55443.92409 15.163 0.004
55443.92973 15.161 0.005
55443.93502 15.16 0.004
55443.94079 15.164 0.005
55443.94786 15.17 0.004
55443.95361 15.163 0.004
55443.95932 15.148 0.004
55443.96937 15.159 0.004
55443.97562 15.168 0.005
55443.98151 15.165 0.004
55443.98732 15.162 0.005
55443.99462 15.163 0.005
55444.001 15.159 0.004
55444.00616 15.16 0.004
55444.01193 15.16 0.004
55444.01756 15.159 0.004
55444.67228 15.157 0.005
55444.67733 15.158 0.005
55444.68863 15.155 0.005
55444.69532 15.154 0.005
55444.70204 15.156 0.004
55444.70916 15.157 0.005
55444.71493 15.155 0.004
55444.7211 15.158 0.005
55444.72802 15.154 0.004
55444.73383 15.157 0.004
55444.741 15.162 0.004
55444.7466 15.161 0.004
55444.75173 15.162 0.004
55444.75684 15.156 0.004
55444.76231 15.157 0.004
55444.76736 15.167 0.004
55444.77358 15.161 0.004
55444.77882 15.157 0.004
55444.78373 15.169 0.004
55444.79854 15.154 0.005
55444.80409 15.15 0.004
55444.81606 15.151 0.004
55444.82136 15.157 0.004
55444.83339 15.155 0.005
55444.83861 15.153 0.004
55444.84555 15.154 0.004
55444.85167 15.152 0.005
55444.85686 15.154 0.004
55444.86274 15.164 0.005
55444.87327 15.167 0.005
55444.87878 15.155 0.004
