#mjd mag magerr
55061.92501 19.67981 0.06617
55061.95573 19.70877 0.05315
55063.91987 19.73908 0.05413
55063.9639 19.76849 0.06016
55064.92128 19.60986 0.05575
55064.9656 19.69541 0.06186
55066.91014 19.75133 0.06157
55066.95474 19.694 0.05363
55067.91649 19.78445 0.09107
55067.96099 20.0452 0.10107
55069.90324 19.76557 0.06752
55069.94786 19.7349 0.06153
55080.87449 19.91239 0.14932
55084.86328 19.88437 0.0908
55087.85609 19.82458 0.06739
55087.90101 19.6635 0.06552
55088.96983 19.89126 0.06371
55089.01521 19.81614 0.06862
55089.94574 19.76696 0.06574
55089.99042 19.89842 0.06623
55093.83741 19.80119 0.06513
55093.88196 19.77586 0.05944
55096.8292 19.69936 0.07829
55097.00858 19.69055 0.07489
55104.99862 19.91983 0.0907
55107.79764 19.82034 0.16197
55114.88125 19.84359 0.08116
55114.92522 19.61808 0.20083
55119.89538 19.86292 0.08117
55119.95365 19.87159 0.08142
55123.75696 19.74668 0.06511
55123.81523 19.86475 0.0691
55126.97957 19.74839 0.10957
55127.83329 19.68981 0.07956
55127.87706 19.98468 0.08877
55135.82555 19.89952 0.17197
55138.71472 19.67949 0.15294
55138.75871 19.56552 0.14717
55142.7036 19.95695 0.07955
55142.75219 20.02091 0.12165
55144.77886 19.89383 0.0787
55144.82305 19.67828 0.07709
55151.72943 19.79858 0.0779
55151.77257 19.81846 0.07478
55166.70473 20.15763 0.17055
55168.63378 20.11808 0.12639
55168.6775 19.64105 0.10562
55175.61224 19.70529 0.06634
55175.65684 19.92366 0.06754
55181.59421 19.73685 0.13314
55181.63825 19.94197 0.08729
55183.59204 20.0348 0.12611
55183.64253 19.60328 0.06645
55189.58054 19.87911 0.09661
55189.62557 19.88176 0.09008
55194.59026 19.96709 0.17925
55199.58559 19.76164 0.07405
55201.58642 20.00654 0.18725
55202.58667 19.75988 0.07802
55203.71441 19.67365 0.10479
55203.75743 19.54959 0.08872
55207.63092 19.70091 0.07191
55207.67514 19.7836 0.07113
55209.5968 19.7162 0.05829
55209.64149 19.75603 0.06842
55213.63312 19.71937 0.09078
55213.6798 19.7386 0.10111
55377.85123 19.48479 0.14807
55377.89535 19.83598 0.11348
55378.90615 19.63728 0.16092
55379.8591 19.67423 0.12935
55379.92482 19.61285 0.08208
55380.92078 19.72637 0.09787
55381.89606 19.91195 0.09497
55381.93934 19.84543 0.08508
55384.82671 19.93958 0.08227
55384.87028 19.89558 0.07229
55385.87021 19.58816 0.07318
55385.91339 19.85617 0.0643
55386.86524 19.80511 0.07187
55386.90867 19.68524 0.06708
55387.87002 19.78593 0.07059
55387.91342 19.84445 0.06319
55388.86609 19.80214 0.10337
55388.91005 19.72295 0.06173
55390.80957 19.69943 0.10277
55390.85393 19.74268 0.08499
55391.80613 19.96122 0.11037
55391.87538 19.83432 0.08059
55392.83258 19.72983 0.08248
55392.87538 19.78192 0.07146
55394.79908 19.79963 0.09729
55394.8431 19.78036 0.0781
55395.79551 19.78586 0.1193
55395.84215 19.71465 0.08369
55396.79527 19.85802 0.11408
55396.83932 19.70283 0.07009
55397.83526 19.83644 0.08337
55398.78764 19.90553 0.16296
55398.83124 19.56296 0.10536
55399.78802 19.85756 0.15696
55399.83261 19.72838 0.11779
55400.78534 19.5141 0.14488
55400.8289 20.10795 0.12575
55401.82518 20.18267 0.15024
55404.77424 19.96521 0.19017
55404.84266 19.71603 0.11728
55405.8416 19.75727 0.17176
55411.79896 19.68385 0.09631
55412.75232 19.72756 0.16275
55412.79539 19.79068 0.14826
55413.75577 19.99578 0.19244
55413.79945 19.99387 0.12371
55414.79555 19.91637 0.13711
55415.79727 20.0276 0.14731
55416.79342 19.791 0.1382
55418.79843 20.08067 0.17047
55418.84121 20.06259 0.10368
55419.79504 19.8511 0.11655
55420.78929 19.71017 0.13349
55420.83264 19.80025 0.12376
