#mjd mag magerr
61.92501 19.34521 0.04925
61.95573 19.40197 0.05207
63.91987 19.3281 0.05076
63.9639 19.3088 0.0538
64.92128 19.33484 0.05488
64.9656 19.39276 0.05464
66.91014 19.28203 0.05188
66.95474 19.32977 0.05538
67.91649 19.64429 0.08587
69.90324 19.30731 0.05031
69.94786 19.29192 0.04929
80.87449 19.41769 0.11829
80.95988 19.35547 0.18307
84.86328 19.31528 0.06545
87.85609 19.28202 0.05014
87.90101 19.37085 0.05182
88.96983 19.27463 0.04873
89.01521 19.29677 0.05464
89.94574 19.33968 0.05505
89.99042 19.28181 0.05489
93.83741 19.27268 0.04956
93.88196 19.29822 0.05104
96.8292 19.35116 0.05308
97.00858 19.35114 0.06261
104.99862 19.52284 0.07614
107.79764 19.34369 0.09269
114.88125 19.3328 0.06324
119.89538 19.27238 0.06078
119.95365 19.46662 0.06826
123.75696 19.22504 0.0541
123.81523 19.50166 0.06645
126.97957 19.41924 0.07952
127.83329 19.2985 0.05756
127.87706 19.36251 0.0632
135.82555 19.41314 0.1335
135.86926 19.35601 0.12586
138.71472 19.5541 0.12113
138.75871 19.24372 0.12417
142.7036 19.17836 0.05443
142.75219 19.46754 0.08218
144.77886 19.29969 0.05689
144.82305 19.2078 0.06178
151.72943 19.32055 0.06165
151.77257 19.30107 0.05725
166.70473 19.42649 0.10517
166.74897 19.60848 0.12463
168.63378 19.33614 0.08396
168.6775 19.23774 0.09032
175.61224 19.25872 0.05054
175.65684 19.30364 0.05252
181.59421 19.48684 0.09282
181.63825 19.37667 0.0699
183.59204 19.22406 0.07293
183.64253 19.38176 0.06128
189.58054 19.44823 0.07294
189.62557 19.36234 0.0692
194.59026 19.14984 0.09702
199.58559 19.25296 0.05742
202.58667 19.30301 0.06461
203.71441 19.24646 0.06808
203.75743 19.35378 0.07216
207.63092 19.27881 0.05733
207.67514 19.24292 0.05453
209.5968 19.28477 0.04835
209.64149 19.35703 0.05199
213.63312 19.20018 0.06836
213.6798 19.26184 0.07367
377.85123 19.51418 0.10527
377.89535 19.31018 0.08229
378.90615 19.23044 0.11509
379.8591 19.35431 0.08035
379.92482 19.23963 0.05831
380.87684 19.32738 0.07834
380.92078 19.36525 0.07551
381.89606 19.38878 0.06559
381.93934 19.28654 0.06192
384.82671 19.16004 0.05197
384.87028 19.2745 0.05534
385.87021 19.12325 0.0455
385.91339 19.2297 0.04774
386.86524 19.32914 0.05552
386.90867 19.26075 0.05852
387.87002 19.18615 0.04894
387.91342 19.14419 0.04563
388.86609 19.29246 0.06644
388.91005 19.23504 0.05141
390.80957 19.2717 0.06376
390.85393 19.26696 0.06139
391.80613 19.22601 0.07847
391.87538 19.17614 0.05306
392.83258 19.2942 0.05963
392.87538 19.29186 0.05823
394.79908 19.43452 0.07036
394.8431 19.17415 0.06076
395.79551 19.21715 0.07017
395.84215 19.29491 0.05528
396.79527 19.19385 0.07626
396.83932 19.24465 0.05073
397.79163 19.48755 0.10074
397.83526 19.26808 0.05702
398.78764 19.22018 0.08037
398.83124 19.14785 0.06271
399.78802 19.31425 0.09927
399.83261 19.18031 0.06966
400.78534 19.1438 0.09398
400.8289 19.33888 0.07872
401.78133 19.16442 0.12132
401.82518 19.29421 0.10061
402.77979 19.05833 0.15533
402.8246 19.47852 0.12422
403.77642 19.25674 0.12497
403.81973 19.48037 0.11073
404.77424 19.4641 0.12688
404.84266 19.36171 0.09627
405.8416 19.30973 0.09677
407.7691 19.37798 0.11269
407.83003 19.26009 0.09418
411.79896 19.21388 0.07913
412.75232 19.02644 0.08093
412.79539 19.2705 0.08545
413.75577 19.53323 0.13735
413.79945 19.19638 0.0841
414.75161 19.5249 0.18816
414.79555 19.11173 0.07623
415.75266 19.43924 0.11378
415.79727 19.23482 0.10471
416.75096 19.16245 0.10891
416.79342 19.28753 0.0892
417.75979 19.19915 0.12864
417.84511 19.28362 0.09056
418.79843 19.21848 0.08049
418.84121 19.26123 0.08058
419.75121 19.40933 0.13047
419.79504 19.23431 0.08595
420.78929 19.51935 0.11829
420.83264 19.32564 0.08612
421.73664 19.23123 0.05657
421.79901 19.17628 0.04798
422.75115 19.35439 0.06287
422.79487 19.278 0.05308
423.74742 19.14643 0.05162
423.79284 19.24407 0.05185
424.75349 19.15972 0.0631
424.80178 19.19771 0.05019
425.76166 19.1537 0.06872
425.80573 19.17477 0.04966
426.80123 19.18882 0.06453
426.8444 19.18877 0.04648
427.79708 19.25266 0.06057
427.8408 19.14673 0.05271
428.79281 19.22765 0.05964
428.83703 19.23104 0.05795
429.8142 19.07025 0.06059
429.85716 19.24803 0.07216
430.75769 19.13604 0.07668
430.80485 19.23928 0.06942
431.75639 19.24656 0.08072
431.80024 19.21326 0.07076
432.73907 19.28194 0.10079
432.78359 19.18517 0.09773
433.7493 19.16432 0.12616
434.69401 19.56594 0.16683
434.73769 19.24482 0.10738
435.69148 19.394 0.12853
