#mjd mag magerr
55061.92501 19.09281 0.0389
55061.95573 19.10376 0.03647
55063.91987 19.05108 0.03733
55063.9639 19.02849 0.03715
55064.92128 19.07986 0.04071
55064.9656 19.07841 0.0399
55066.91014 19.10033 0.03977
55066.95474 19.084 0.03773
55067.91649 19.03245 0.05221
55067.96099 19.1252 0.05363
55069.90324 19.01057 0.03761
55069.94786 19.0819 0.0391
55080.87449 19.18439 0.10307
55080.95988 19.08191 0.10328
55084.86328 19.03938 0.05197
55087.85609 19.15158 0.04135
55087.90101 19.0765 0.0396
55088.96983 19.06626 0.03829
55089.01521 19.11914 0.04259
55089.94574 19.05296 0.04013
55089.99042 19.17242 0.04241
55093.83741 19.07919 0.03851
55093.88196 19.04886 0.03762
55096.8292 19.05836 0.03848
55097.00858 19.11655 0.05049
55104.99862 19.11783 0.05661
55107.79764 18.93733 0.08094
55114.88125 19.08559 0.0487
55114.92522 19.40708 0.11498
55119.89538 19.15792 0.04759
55119.95365 19.04259 0.0475
55123.75696 19.05368 0.04148
55123.81523 19.10475 0.04316
55126.97957 19.10039 0.05743
55127.83329 19.04181 0.04469
55127.87706 19.05469 0.04544
55135.82555 19.27752 0.09284
55135.86926 19.37308 0.09199
55138.71472 19.2315 0.10066
55138.75871 19.39452 0.12489
55142.7036 19.08995 0.04758
55142.75219 19.15991 0.05722
55144.77886 19.04983 0.04437
55144.82305 19.06228 0.04714
55151.72943 19.16459 0.05105
55151.77257 19.10346 0.04773
55166.70473 19.26263 0.0881
55166.74897 19.05151 0.08611
55168.63378 19.09308 0.07075
55168.6775 19.11005 0.07377
55175.61224 19.03929 0.03681
55175.65684 19.12867 0.03892
55181.59421 19.08585 0.0624
55181.63825 19.05197 0.05397
55183.59204 19.1798 0.07657
55183.64253 19.15728 0.0515
55189.58054 19.1461 0.06008
55189.62557 19.20476 0.0549
55194.59026 19.2811 0.09638
55199.58559 19.20264 0.04729
55201.58642 19.19054 0.11464
55202.58667 19.20588 0.05272
55203.71441 19.11666 0.05576
55203.75743 19.13259 0.05709
55207.63092 19.11291 0.04845
55207.67514 19.1136 0.0444
55209.5968 19.0812 0.04007
55209.64149 19.13103 0.04259
55213.63312 19.15837 0.05616
55213.6798 19.2456 0.07851
55377.85123 19.42679 0.0966
55377.89535 19.40298 0.0837
55378.90615 19.31228 0.1
55379.8591 19.22223 0.07489
55379.92482 19.23885 0.05981
55380.87684 19.2989 0.08112
55380.92078 19.21937 0.07029
55381.89606 19.24495 0.06071
55381.93934 19.24643 0.05523
55384.82671 19.21358 0.05082
55384.87028 19.20858 0.05212
55385.87021 19.19816 0.04803
55385.91339 19.13817 0.04145
55386.86524 19.02911 0.0475
55386.90867 19.17724 0.04532
55387.87002 19.24693 0.04535
55387.91342 19.15545 0.04016
55388.86609 19.23714 0.06118
55388.91005 19.16795 0.04323
55390.80957 19.29843 0.06661
55390.85393 19.27668 0.05833
55391.80613 19.27022 0.06722
55391.87538 19.12632 0.04885
55392.83258 19.15783 0.05412
55392.87538 19.19992 0.0457
55394.79908 19.15863 0.06254
55394.8431 19.22136 0.05415
55395.79551 19.25385 0.07511
55395.84215 19.19465 0.05224
55396.79527 19.11802 0.0887
55396.83932 19.20683 0.04425
55397.79163 19.24099 0.07594
55397.83526 19.12344 0.04982
55398.78764 19.31353 0.1016
55398.83124 19.07296 0.0587
55399.78802 19.25656 0.09251
55399.83261 19.26638 0.08083
55400.78534 19.3271 0.10141
55400.8289 19.37395 0.08038
55401.78133 19.17472 0.13429
55401.82518 19.36567 0.09656
55402.8246 19.29522 0.13226
55403.77642 19.07472 0.14913
55403.81973 19.24971 0.1112
55404.77424 19.27321 0.14769
55404.84266 19.39703 0.09509
55405.8416 19.26427 0.10929
55407.7691 19.33191 0.12768
55407.83003 19.28419 0.10165
55411.79896 19.36585 0.07377
55412.75232 19.30056 0.09603
55412.79539 19.10868 0.07354
55413.75577 19.48878 0.1165
55413.79945 19.04287 0.07491
55414.75161 19.05432 0.09744
55414.79555 19.22837 0.06498
55415.75266 19.44083 0.09735
55415.79727 19.37859 0.10722
55416.75096 19.39123 0.11523
55416.79342 19.332 0.08775
55417.75979 19.28578 0.11331
55417.84511 19.20544 0.08507
55418.79843 19.24167 0.07987
55418.84121 19.20559 0.07124
55419.75121 19.20452 0.10792
55419.79504 19.2481 0.07782
55420.83264 19.28325 0.07737
55421.73664 19.0758 0.0553
55421.79901 19.16937 0.04265
55422.75115 19.21224 0.05591
55422.79487 19.15957 0.0457
55423.74742 19.06534 0.05241
55423.79284 19.15048 0.04397
55424.75349 19.16826 0.05985
55424.80178 19.16816 0.04642
55425.76166 19.0988 0.06103
55425.80573 19.09313 0.04107
55426.80123 19.12734 0.055
55426.8444 19.0328 0.03742
55427.79708 19.21365 0.0578
55427.8408 19.15544 0.04624
55428.79281 19.23516 0.05978
55428.83703 19.21437 0.0532
55429.8142 19.12338 0.05798
55429.85716 19.15084 0.05396
55430.75769 19.16062 0.07229
55430.80485 19.14794 0.06191
55431.75639 19.19633 0.07194
55431.80024 19.14402 0.06778
55432.73907 19.22863 0.09098
55432.78359 19.10267 0.07941
55433.70425 19.10413 0.12053
55433.7493 19.3851 0.10011
55434.69401 19.45909 0.14537
55434.73769 19.39781 0.11228
55435.69148 19.32265 0.12853
55436.88575 19.2247 0.07618
55436.88891 19.09776 0.07641
55436.8919 19.19387 0.07501
55436.89501 19.36076 0.08188
55436.89797 19.26369 0.0802
55436.90109 19.13143 0.07211
55436.9042 19.07136 0.07341
55436.90728 19.09379 0.08379
55436.91041 19.18954 0.09251
55436.91351 19.19466 0.08068
55436.91641 19.18824 0.07631
55436.91931 19.20505 0.08738
55436.92221 19.09932 0.07729
55436.92514 19.26522 0.08536
55436.92806 19.13004 0.10118
55436.93096 19.06597 0.07129
55436.93413 19.06635 0.08888
55436.93703 19.22269 0.07988
55436.93974 19.09967 0.07748
55436.94297 19.03332 0.08361
55436.94613 19.11187 0.07939
55436.94915 19.21648 0.07669
55436.95231 19.18332 0.07381
55436.9553 19.18962 0.0876
55436.95826 19.16574 0.08798
55436.96116 19.03918 0.06779
55436.96403 19.00261 0.06702
55436.96671 19.25733 0.07254
55438.88857 19.38279 0.0795
55438.89169 19.10263 0.07221
55438.89485 19.18738 0.06252
55438.89798 19.10386 0.06859
55438.90086 19.17422 0.06289
