#mjd mag magerr
55061.92501 18.56121 0.03178
55061.95573 18.53197 0.03116
55063.91987 18.5301 0.03149
55063.9639 18.5928 0.03198
55064.92128 18.55085 0.03297
55064.9656 18.51376 0.03587
55066.91014 18.49003 0.03363
55066.95474 18.46877 0.03369
55067.91649 18.64528 0.05189
55067.96099 18.39411 0.05819
55069.90324 18.46332 0.02764
55069.94786 18.49792 0.02792
55080.87449 18.37669 0.06126
55080.95988 18.53747 0.07045
55084.86328 18.44528 0.03705
55087.85609 18.40102 0.02783
55087.90101 18.37384 0.02672
55088.96983 18.42763 0.0283
55089.01521 18.48577 0.02964
55089.94574 18.38768 0.02838
55089.99042 18.4298 0.02993
55093.83741 18.43268 0.02648
55093.88196 18.41322 0.02539
55096.8292 18.40516 0.02735
55097.00858 18.41014 0.03093
55104.99862 18.50584 0.03838
55107.79764 18.39669 0.05328
55114.88125 18.3748 0.03129
55114.92522 18.43535 0.07416
55119.89538 18.50038 0.03193
55119.95365 18.44162 0.03284
55123.75696 18.42704 0.02828
55123.81523 18.41466 0.02975
55126.97957 18.52524 0.04004
55127.83329 18.4965 0.03255
55127.87706 18.47951 0.03288
55135.82555 18.52014 0.06082
55135.86926 18.39201 0.06451
55138.71472 18.4411 0.06345
55138.75871 18.47372 0.06353
55142.7036 18.47636 0.03407
55142.75219 18.44754 0.03789
55144.77886 18.19969 0.04504
55144.82305 18.4098 0.03461
55151.72943 18.48355 0.03635
55151.77257 18.43407 0.03216
55166.70473 18.38649 0.05881
55166.74897 18.45248 0.06644
55168.63378 18.54814 0.05554
55168.6775 18.42874 0.05648
55175.61224 18.42772 0.03084
55175.65684 18.50864 0.03047
55181.59421 18.56883 0.04907
55181.63825 18.49867 0.03824
55183.59204 18.51806 0.04661
55183.64253 18.48576 0.0347
55189.58054 18.44223 0.03924
55189.62557 18.52134 0.03727
55194.59026 18.44884 0.05807
55199.58559 18.52096 0.03267
55201.58642 18.49784 0.10479
55202.58667 18.44401 0.04194
55203.71441 18.46946 0.04327
55203.75743 18.47678 0.04439
55207.63092 18.49081 0.03464
55207.67514 18.46592 0.0314
55209.5968 18.45577 0.0298
55209.64149 18.50103 0.02983
55213.63312 18.48218 0.0449
55213.6798 18.51784 0.04799
55377.85123 18.93218 0.07135
55377.89535 18.62818 0.06315
55378.90615 18.69544 0.06144
55379.8591 18.57331 0.05432
55379.92482 18.71163 0.04378
55380.87684 18.42138 0.06298
55380.92078 18.65625 0.05056
55381.89606 18.69478 0.04528
55381.93934 18.60754 0.04098
55384.82671 18.69304 0.03813
