#mjd mag magerr
55061.92501 20.41538 0.14789
55061.95573 20.45212 0.12242
55063.91987 20.27426 0.1332
55069.90324 20.49679 0.16436
55069.94786 20.53857 0.16089
55087.85609 20.31433 0.15541
55087.90101 20.55676 0.15981
55089.01521 20.713 0.19365
55089.94574 20.55737 0.17658
55093.83741 20.18009 0.13072
55093.88196 20.49361 0.14739
55142.7036 20.52381 0.16956
55175.65684 20.34161 0.14248
55385.91339 20.41783 0.14611
55388.91005 20.1009 0.14889
55394.8431 20.28333 0.15766
55425.80573 20.2361 0.12376
55427.8408 20.42137 0.17585
55428.79281 19.94741 0.15404
55430.80485 20.17422 0.18406
55438.91763 20.08669 0.18315
55438.96141 20.14216 0.19717
55440.87823 20.0587 0.14198
55440.8894 20.39209 0.15525
55440.89205 20.36217 0.16526
55440.90145 20.59556 0.16295
55440.90729 20.38273 0.16346
55440.9187 20.48146 0.18626
55440.92149 20.44706 0.16795
55441.87301 20.23236 0.14719
55441.87592 20.45815 0.15947
55441.88645 19.88661 0.1236
55441.89254 20.29159 0.14077
55441.89542 20.12687 0.12352
55441.89828 20.08562 0.15778
55441.90107 19.88165 0.1384
55441.9037 20.34962 0.15328
55441.90906 20.05362 0.1495
55441.91445 20.27042 0.15196
55441.91722 20.36715 0.15515
55441.91981 20.08333 0.13576
55441.92546 20.34574 0.12899
55441.9281 20.21401 0.15298
55441.93183 20.48891 0.13808
55441.93458 20.20714 0.14265
55441.93727 20.02153 0.13276
55441.94048 20.61985 0.14668
55441.94546 20.09241 0.14948
55441.94852 20.10365 0.15525
55441.95469 20.2527 0.17205
55441.95786 20.40973 0.14328
55441.96081 20.52856 0.17677
55441.97012 20.37396 0.15526
55441.97294 20.05287 0.16228
55441.97532 20.32716 0.14797
55441.97757 20.19908 0.15777
55441.9835 20.09163 0.1305
55441.9863 20.31525 0.16965
55441.98852 20.11646 0.15087
55441.99382 19.89918 0.15336
55442.00593 20.56512 0.16107
55442.00906 20.02831 0.14638
55442.71097 20.41793 0.16156
55442.71808 20.43384 0.17847
55442.72527 20.37963 0.15256
55442.73272 20.62021 0.17705
55442.74882 20.52429 0.15077
55442.76147 19.91987 0.14467
55442.78135 20.58 0.18466
55442.78615 20.30623 0.15736
55442.79145 20.20289 0.14657
55442.79615 20.57666 0.18066
55442.8093 20.53422 0.15647
55442.81443 20.21821 0.13534
55442.82447 20.40918 0.15069
55442.8293 20.33209 0.13802
55442.83541 20.13367 0.15288
55442.84012 20.07083 0.13643
55442.86387 19.96432 0.11881
55442.87002 20.04762 0.1187
55442.87503 20.19811 0.1581
55442.89221 20.5076 0.1575
55442.89785 20.50742 0.12318
55442.91368 20.25725 0.13056
55442.91875 20.33719 0.17364
55442.93037 20.01764 0.12848
55442.93642 20.61423 0.1525
55442.94588 20.01119 0.13518
55442.95166 20.13522 0.15131
55442.97317 20.27738 0.15946
55442.97782 20.03914 0.15755
55442.98206 20.46553 0.15766
55442.9872 20.57445 0.14926
55442.99348 20.40948 0.1335
55443.00329 20.32922 0.16046
55443.01002 20.22854 0.12869
55443.68488 20.20807 0.17883
55443.71632 20.02011 0.15935
55443.74306 20.46636 0.15496
55443.74812 20.24497 0.15629
55443.75946 20.10835 0.15205
55443.76526 20.56853 0.19025
55443.77007 20.39787 0.12997
55443.78539 20.17883 0.16116
55443.80302 20.09377 0.15199
55443.80895 20.30954 0.16324
55443.82634 20.18562 0.13969
55443.83239 20.36349 0.15106
55443.86252 20.26507 0.17146
55443.88892 20.1727 0.15214
55443.90658 20.27427 0.11538
55443.91235 20.48836 0.13565
55443.92967 20.41401 0.15095
55443.93496 20.30146 0.15218
55443.94073 20.59402 0.15868
55444.00093 20.51915 0.18515
55444.7091 20.47058 0.18704
55444.74094 20.12899 0.15885
55444.75678 20.19315 0.14726
55444.76225 19.95985 0.13546
55444.7673 20.10602 0.13825
55444.77876 20.25713 0.16276
55444.79848 20.19672 0.13476
55444.80403 20.61006 0.16007
55444.81599 20.35977 0.14618
55444.8213 20.02529 0.14526
55444.83332 20.33158 0.17556
55444.83854 20.15666 0.15306
55444.85679 20.43471 0.16359
55444.86777 19.97118 0.14018
55444.89016 20.21721 0.16255
55444.90153 20.18551 0.13086
55444.90845 20.26413 0.14188
55444.92279 20.04258 0.12827
55444.93139 20.56697 0.16325
55444.95724 19.97822 0.13847
55444.96289 20.63396 0.15696
55444.99553 20.22285 0.15426
55445.67731 20.51416 0.18876
55445.68422 20.45714 0.14307
55445.69681 20.0264 0.15489
55445.73457 20.30508 0.16486
55445.74013 20.26789 0.14496
55445.7456 20.53206 0.17435
55445.75643 20.36557 0.1539
55445.76784 20.05814 0.14228
55445.7737 20.27857 0.14658
55445.779 20.12769 0.13928
55445.79613 20.43226 0.17027
55445.82455 20.65597 0.15727
55445.83024 20.33172 0.16406
55445.84021 19.92132 0.13109
55445.84549 20.21712 0.12967
55445.85762 19.95069 0.13506
55445.8636 19.97798 0.12957
55445.87567 20.49458 0.16847
55445.88844 20.02079 0.13068
55445.90668 20.07518 0.12188
55445.91722 19.90579 0.12867
55445.92915 20.20518 0.128
55445.94048 20.45432 0.13938
55445.95216 20.40826 0.13868
55445.97191 20.30657 0.14267
55445.98972 20.48219 0.15936
55445.99581 20.28051 0.15197
55446.00827 20.26965 0.13547
55446.68915 20.46041 0.17346
55446.70044 19.91481 0.14205
55446.70781 20.18319 0.17215
55446.71998 20.52376 0.16806
55446.7269 20.20575 0.1414
55446.73768 19.97002 0.14716
55446.74263 20.16433 0.16257
55446.77004 20.03639 0.12671
55446.78018 19.99993 0.14477
55446.78654 20.46415 0.18427
55446.79243 20.29047 0.14979
55446.79818 20.21547 0.14108
55446.81934 20.37768 0.16027
55446.82569 20.54793 0.15768
55446.84316 20.06977 0.13309
55446.87321 20.24926 0.16297
55446.87945 20.06539 0.13886
55446.89901 20.01993 0.14037
55446.90569 20.30464 0.14647
55446.91293 20.20524 0.14017
55446.91958 20.65005 0.13437
55446.93113 20.45378 0.12628
55446.94842 20.46501 0.12652
55446.99026 20.22202 0.16486
55446.99646 20.14367 0.15395
55448.00377 20.16796 0.14877
55450.86998 20.4275 0.14416
55452.69243 20.24798 0.16906
55456.67702 20.07919 0.17526
55470.82246 20.32003 0.14014
55471.77466 20.16162 0.14701
55477.66775 20.42683 0.15837
55477.71276 20.16569 0.15494
55480.61506 20.01375 0.15868
55480.65805 20.18823 0.17036
55481.69382 20.35887 0.16106
55482.66188 20.0148 0.13858
55482.67843 19.93143 0.13955
55483.66512 20.1825 0.15686
55498.71756 20.54976 0.19168
55502.82148 19.90017 0.13325
55504.82418 20.52202 0.18004
55516.71654 20.00985 0.16386
55517.61497 19.87531 0.18966
55532.78408 19.94819 0.13077
55538.57995 20.35602 0.14517
55538.62381 20.04422 0.10339
55539.58012 20.22231 0.17895
55539.62283 20.00456 0.15796
55541.61644 20.06538 0.13998
55584.63985 20.18854 0.16366
55584.68286 20.0178 0.16876
55586.61685 19.96264 0.13845
55586.66038 19.98668 0.18705
55723.91976 20.0571 0.14357
55723.9634 19.94817 0.15126
55750.87598 20.07727 0.15117
55762.8402 20.30413 0.21446
55766.83041 19.96828 0.13218
55768.82037 20.18457 0.18196
55769.80074 19.69176 0.13246
55769.84468 19.91695 0.12077
55770.78189 20.34718 0.1374
55770.82573 19.99035 0.1152
55771.78074 19.80906 0.12306
55771.82449 19.98332 0.14497
55774.80363 19.74989 0.10606
55775.7599 20.1635 0.15517
55793.74743 19.7977 0.14888
55794.75972 20.23218 0.13807
55823.67275 20.30471 0.16637
55824.6697 20.32717 0.17846
55850.60468 20.42722 0.21325
55850.64918 20.26121 0.15665
55851.60318 19.91801 0.13219
55851.64641 19.91601 0.13437
55852.60416 20.05514 0.14257
55852.6481 19.81921 0.13035
55853.60163 20.15465 0.16876
55853.6463 19.91897 0.1245
55854.64607 20.13431 0.17417
55866.64679 19.8348 0.14335
55867.63053 20.38145 0.19796
55868.63002 19.91672 0.13576
55880.87841 20.08499 0.17469
55882.86968 20.17041 0.19698
55882.87146 20.12597 0.18678
55883.86679 20.12051 0.14604
55887.68352 20.34938 0.13688
55889.80049 19.71434 0.11885
55889.84447 20.35931 0.13556
55893.58261 20.21913 0.1592
55916.64026 19.97968 0.14095
55922.6423 20.01179 0.14726
55923.64145 20.22766 0.15767
55924.60837 20.14647 0.13597
55925.67897 20.10434 0.16107
55926.62543 20.51779 0.19656
55939.64879 19.80691 0.15261
55943.69972 20.18272 0.15896
55944.64379 20.16048 0.14758
55947.59349 20.03092 0.15658
55953.59751 20.32866 0.16817
56075.96117 20.0611 0.18546
56079.94994 20.05905 0.14967
56084.95914 19.67651 0.1643
56086.9317 20.30733 0.1489
56088.96298 20.10926 0.15818
56089.90743 20.14939 0.17806
56089.9375 19.9976 0.15388
56093.95942 19.94407 0.12428
56094.93794 19.95805 0.14026
56095.89413 20.34726 0.17426
56095.95378 20.11695 0.14217
56096.91464 19.98236 0.17526
56096.94475 19.90088 0.14066
56099.86796 20.0282 0.15747
56099.8979 20.42321 0.13249
56099.92867 20.08254 0.12228
56100.93113 20.44211 0.19204
56102.91975 20.35118 0.12818
56103.92203 20.17127 0.17236
56104.92258 20.00724 0.14835
56105.90846 20.27076 0.13617
56106.90907 20.28657 0.17984
56107.90655 20.07024 0.13417
56108.92686 19.80861 0.12716
56109.93363 20.20266 0.18706
56110.92786 19.9134 0.15409
56114.92357 19.95944 0.18727
56117.89333 20.25846 0.18757
56118.85812 19.94705 0.17378
56122.87468 20.26046 0.18599
56123.86323 20.19818 0.15335
56124.90647 19.90505 0.14287
56125.83541 19.72231 0.13116
56125.89611 20.05521 0.11087
56127.87262 20.00468 0.15148
56128.8509 20.16121 0.1265
56130.84603 20.06346 0.16428
56131.81956 19.71095 0.14147
56131.84966 19.7438 0.13417
56131.87991 20.04685 0.13338
56132.81342 20.18282 0.14175
56132.85526 20.10176 0.13027
56133.77702 19.94419 0.16677
56133.80732 19.93407 0.14097
56133.83817 19.86652 0.11827
56135.8357 19.71943 0.09729
56136.84105 20.25724 0.17385
56147.75046 20.03824 0.16198
56147.81614 19.94015 0.16015
56148.76798 20.13126 0.16285
56148.79928 19.77181 0.16475
56151.84315 20.29802 0.1102
56151.87618 20.13516 0.12039
56151.91621 20.37665 0.11647
56164.86055 19.94144 0.10559
56164.89061 19.84817 0.092
56164.92052 19.77296 0.0948
56165.82275 20.10498 0.12475
56165.85221 19.92554 0.10746
56165.88255 20.04124 0.10278
56166.78411 19.89571 0.14107
56166.85436 20.10935 0.13077
56167.76082 19.81508 0.15128
56167.82893 20.17914 0.14436
56168.79094 19.93523 0.1648
56177.67775 20.13652 0.12616
56177.71467 20.25964 0.13887
56177.7448 19.96555 0.13696
56178.7245 19.7656 0.14939
56178.75548 20.34883 0.12436
56189.74707 20.12604 0.12755
56194.65274 19.88257 0.15518
56194.73072 20.32097 0.16693
56195.74387 20.07711 0.15508
56224.69182 20.36291 0.1853
56225.84088 20.3555 0.20804
56235.64419 20.24175 0.13265
56236.61561 20.02524 0.14285
56237.61509 20.15663 0.13954
56238.61531 19.84404 0.11397
56251.83071 20.11917 0.12556
56251.86073 19.86398 0.12837
56252.60631 20.06434 0.13409
56252.64555 20.15077 0.14176
56252.66096 20.25111 0.12618
56252.71706 20.43174 0.13777
56252.73499 20.19959 0.13208
56252.75258 20.23011 0.16327
56252.76856 20.36184 0.15489
56252.78929 19.85237 0.15146
56252.80517 20.26583 0.1661
56252.821 19.95833 0.1221
56253.60335 20.09226 0.15785
56253.7307 19.98442 0.14546
56253.78832 20.38495 0.17865
56253.8078 20.30429 0.17105
56253.82956 19.90005 0.14996
56253.85372 20.3618 0.20945
56254.77889 20.01278 0.14345
56265.629 20.09308 0.10465
56267.58751 20.15209 0.12056
56267.61751 20.33029 0.137
56268.59364 20.40432 0.13634
56268.62314 20.15524 0.11815
56269.58319 19.86601 0.10006
56269.58435 20.07804 0.14594
56269.58546 20.0482 0.12375
56269.58657 20.10373 0.13564
56269.58771 20.07136 0.13305
56269.58893 20.03133 0.12646
56269.59006 20.17016 0.11626
56269.59133 19.92119 0.12245
56269.59245 19.85963 0.10426
56269.59364 20.061 0.13053
56269.59478 20.36144 0.10726
56269.596 20.33376 0.12625
56269.59713 20.35667 0.13565
56269.59843 20.26985 0.12845
56269.59956 19.76591 0.11627
56269.60977 20.15492 0.12477
56269.61093 20.31492 0.11637
56269.6121 20.16054 0.10765
56269.61321 20.08859 0.12654
56269.61434 19.87549 0.11047
56269.61547 20.14606 0.14474
56269.61659 20.19767 0.12407
56269.61773 20.03601 0.12964
56269.61884 19.89175 0.11534
