#mjd mag magerr
55061.92501 19.66534 0.04883
55061.95573 19.64477 0.04237
55063.91987 19.73113 0.04538
55063.9639 19.69061 0.04356
55064.92128 19.77426 0.0514
55064.9656 19.69321 0.0495
55066.91014 19.81097 0.05124
55066.95474 19.71535 0.04628
55067.91649 19.82716 0.06375
55067.96099 19.79127 0.06036
55069.90324 19.65708 0.04504
55069.94786 19.70255 0.04946
55080.87449 19.66281 0.14055
55080.95988 20.01806 0.14146
55084.86328 19.83777 0.07458
55087.85609 19.7241 0.05506
55088.96983 19.75816 0.05352
55089.01521 19.76431 0.05863
55089.94574 19.74834 0.05643
55089.99042 19.69101 0.05381
55093.83741 19.59593 0.05061
55093.88196 19.66651 0.04956
55097.00858 19.44078 0.06598
55104.99862 19.36234 0.08409
55107.79764 19.90366 0.14826
55114.88125 19.69197 0.07273
55119.89538 19.42219 0.0688
55119.95365 19.73806 0.07658
55123.75696 19.78279 0.05829
55126.97957 19.82165 0.08293
55127.83329 19.76678 0.06464
55127.87706 19.86677 0.07685
55135.86926 19.63627 0.1539
55138.71472 19.73056 0.1299
55138.75871 19.66086 0.15617
55142.7036 19.90426 0.06939
55142.75219 19.35663 0.07518
55144.77886 19.61155 0.06107
55144.82305 19.65024 0.06941
55151.72943 19.83482 0.07604
55151.77257 19.65831 0.07412
55166.70473 20.09096 0.1221
55166.74897 19.83084 0.18267
55168.63378 19.66937 0.14389
55168.6775 19.71476 0.11834
55175.61224 19.91335 0.0647
55175.65684 19.79635 0.05834
55181.59421 19.72433 0.0902
55181.63825 19.51198 0.09483
55183.59204 19.91131 0.1179
55183.64253 19.90552 0.07747
55189.58054 19.55534 0.10043
55189.62557 19.74855 0.09082
55194.59026 19.76355 0.15574
55199.58559 19.73292 0.06153
55202.58667 19.89135 0.08159
55203.71441 19.77097 0.0932
55203.75743 19.70493 0.10686
55207.63092 19.72031 0.07107
55207.67514 19.7839 0.05976
55209.5968 19.80539 0.05736
55209.64149 19.86517 0.06237
55213.63312 19.6867 0.07831
55213.6798 19.41562 0.09812
55377.89535 19.78052 0.15375
55378.90615 19.8882 0.15809
55379.8591 19.57424 0.14735
55379.92482 19.58207 0.089
55380.87684 19.5305 0.12001
55380.92078 19.55759 0.11799
55381.89606 19.69037 0.10619
55381.93934 19.52068 0.06064
55384.82671 19.70995 0.08136
55384.87028 19.40898 0.06501
55385.87021 19.77644 0.06022
55385.91339 19.66175 0.05333
55386.86524 19.6469 0.0704
55386.90867 19.79042 0.06349
55387.87002 19.76523 0.06943
55387.91342 19.73282 0.05752
55388.86609 19.86911 0.08561
55388.91005 19.83067 0.06045
55390.80957 19.94403 0.10857
55390.85393 19.64244 0.0803
55391.80613 19.48798 0.09206
55391.87538 19.75318 0.06571
55392.83258 19.77074 0.09272
55392.87538 19.80807 0.06296
55394.79908 19.84673 0.09962
55394.8431 19.71956 0.06453
55395.79551 19.59689 0.11556
55395.84215 19.78112 0.07665
55396.79527 19.92575 0.1099
