#mjd mag magerr
55061.92501 19.35681 0.04277
55061.95573 19.24377 0.03914
55063.91987 19.26808 0.0406
55063.9639 19.23349 0.03954
55064.92128 19.20886 0.0424
55064.9656 19.24241 0.04109
55066.91014 19.23333 0.04295
55066.95474 19.241 0.04091
55067.91649 19.28845 0.06579
55067.96099 19.2772 0.05622
55069.90324 19.32157 0.04537
55069.94786 19.2459 0.04378
55080.87449 19.51839 0.11016
55080.95988 19.19291 0.10468
55084.86328 19.21438 0.05895
55087.85609 19.23958 0.04434
55087.90101 19.2615 0.04299
55088.96983 19.18026 0.04237
55089.01521 19.30814 0.04637
55089.94574 19.35396 0.04541
55089.99042 19.23342 0.04669
55093.83741 19.27319 0.04668
55093.88196 19.21486 0.04309
55096.8292 19.33836 0.0481
55097.00858 19.24155 0.05357
55104.99862 19.28383 0.06
55107.79764 19.00833 0.08782
55114.88125 19.29159 0.05842
55114.92522 19.64207 0.13915
55119.89538 19.43093 0.05525
55119.95365 19.21859 0.05378
55123.75696 19.30468 0.04696
55123.81523 19.21775 0.04575
55126.97957 19.32339 0.06362
55127.83329 19.25781 0.04927
55127.87706 19.34469 0.05731
55135.82555 19.26552 0.10692
55135.86926 19.40908 0.11465
55138.71472 19.2235 0.09807
55138.75871 19.41052 0.11759
55142.7036 19.33395 0.05168
55142.75219 19.27592 0.05851
55144.77886 19.35783 0.04955
55144.82305 19.25928 0.05363
55151.72943 19.22158 0.05494
55151.77257 19.28946 0.05172
55166.70473 19.22562 0.09
55166.74897 19.26551 0.101
55168.63378 19.20808 0.07664
55168.6775 19.49605 0.10422
55175.61224 19.14129 0.04312
55175.65684 19.25067 0.04189
55181.59421 19.23185 0.07114
55181.63825 19.26897 0.05982
55183.59204 19.3008 0.08014
55183.64253 19.23828 0.0517
55189.58054 19.37511 0.06307
55189.62557 19.24476 0.05451
55194.59026 19.1561 0.10076
55199.58559 19.35864 0.05176
55201.58642 19.36054 0.16362
55202.58667 19.15788 0.05332
55203.71441 19.26566 0.05795
55203.75743 19.21459 0.05979
55207.63092 19.19291 0.05061
55207.67514 19.2456 0.04878
55209.5968 19.2772 0.04425
55209.64149 19.16803 0.04319
55213.63312 19.25637 0.05988
55213.6798 19.1056 0.06562
55377.85123 19.58879 0.12798
55377.89535 19.48098 0.09809
55378.90615 19.50928 0.10978
55379.8591 19.37723 0.08029
55379.92482 19.31985 0.0655
55380.87684 19.3659 0.08301
55380.92078 19.13137 0.07049
55381.89606 19.37895 0.06011
55381.93934 19.30643 0.05523
55384.82671 19.25058 0.05561
55384.87028 19.33558 0.05123
55385.87021 19.34216 0.04942
55385.91339 19.28317 0.04683
55386.86524 19.43911 0.05209
