#mjd mag magerr
61.92501 19.64219 0.04954
61.95573 19.63502 0.04606
63.91987 19.5999 0.04724
63.9639 19.59901 0.04743
64.92128 19.7791 0.06001
64.9656 19.67378 0.05976
66.91014 19.647 0.05105
66.95474 19.55984 0.0472
67.91649 19.78839 0.08164
67.96099 19.77287 0.08043
69.90324 19.70009 0.05254
69.94786 19.68652 0.05618
80.87449 19.52795 0.10546
80.95988 19.80837 0.2133
84.86328 19.56415 0.07083
87.85609 19.68844 0.05187
87.90101 19.62468 0.04899
88.96983 19.53981 0.04738
89.01521 19.51384 0.05029
89.94574 19.6023 0.05131
89.99042 19.59532 0.05311
93.83741 19.64895 0.05164
93.88196 19.62289 0.04979
96.8292 19.68379 0.05217
97.00858 19.66919 0.06569
104.99862 19.81057 0.07993
107.79764 19.51787 0.12105
114.88125 19.75416 0.06759
114.92522 19.73321 0.13498
119.89538 19.6145 0.05983
119.95365 19.59493 0.06365
123.75696 19.57732 0.0564
123.81523 19.5456 0.05089
126.97957 19.54312 0.08259
127.83329 19.65806 0.05649
127.87706 19.69267 0.06469
135.82555 19.80906 0.11007
135.86926 19.99336 0.13532
138.71472 19.794 0.12097
138.75871 19.9818 0.13901
142.7036 19.70005 0.06417
142.75219 19.67831 0.07121
144.77886 19.62618 0.0564
144.82305 19.65537 0.06422
151.72943 19.61566 0.06211
151.77257 19.59252 0.0579
166.70473 19.43011 0.12155
166.74897 19.71818 0.1188
168.63378 19.66091 0.10012
168.6775 19.90657 0.13842
175.61224 19.57273 0.05346
175.65684 19.53786 0.0489
181.59421 19.96831 0.09639
181.63825 19.7588 0.07592
183.59204 19.81048 0.09191
183.64253 19.64266 0.06087
189.58054 19.72794 0.07911
189.62557 19.65099 0.07007
194.59026 19.69129 0.13627
199.58559 19.66289 0.05631
201.58642 19.94537 0.13732
202.58667 19.63944 0.07455
203.71441 19.54079 0.07531
203.75743 19.53017 0.07007
207.63092 19.52627 0.05811
207.67514 19.46377 0.05478
209.5968 19.62316 0.05003
209.64149 19.59339 0.0483
213.63312 19.44099 0.06827
213.6798 19.43827 0.07595
377.85123 19.69192 0.13849
377.89535 19.95276 0.1131
378.90615 19.92346 0.12901
379.8591 19.69382 0.0943
379.92482 19.76926 0.07675
380.87684 19.76549 0.12376
380.92078 19.69665 0.09749
381.89606 19.58026 0.0667
381.93934 19.5721 0.06908
384.82671 19.55094 0.06049
384.87028 19.5754 0.05741
385.87021 19.72336 0.05578
385.91339 19.52725 0.05089
386.86524 19.68147 0.06421
386.90867 19.47142 0.05389
387.87002 19.62224 0.06017
387.91342 19.64253 0.05569
388.86609 19.64412 0.06705
388.91005 19.56968 0.05001
390.80957 19.55321 0.07241
390.85393 19.56694 0.06431
391.80613 19.73212 0.08727
391.87538 19.57896 0.06342
392.83258 19.68792 0.07045
392.87538 19.63409 0.05581
394.79908 19.62311 0.07723
394.8431 19.68645 0.0651
395.79551 19.87308 0.0963
395.84215 19.76016 0.07033
396.79527 19.7454 0.08653
396.83932 19.60777 0.0587
397.79163 19.90877 0.11018
397.83526 19.56487 0.06736
398.78764 19.74261 0.10589
398.83124 19.64235 0.08407
399.78802 19.55741 0.12225
399.83261 19.84157 0.12044
400.78534 19.59338 0.15172
400.8289 19.5691 0.09321
401.78133 20.02835 0.15558
401.82518 19.62816 0.11648
402.77979 19.9381 0.19828
402.8246 19.80307 0.17575
403.81973 19.722 0.14688
404.77424 19.88068 0.19687
404.84266 19.73527 0.1219
405.8416 19.4403 0.12231
407.7691 20.05654 0.16544
407.83003 19.59331 0.14238
411.79896 19.80865 0.08551
412.75232 19.76924 0.16807
412.79539 19.69324 0.09625
413.75577 19.84453 0.13454
413.79945 19.88804 0.11747
414.75161 19.76447 0.17909
414.79555 19.54349 0.0757
415.75266 19.79527 0.1231
415.79727 19.64733 0.1149
416.75096 19.98459 0.12891
416.79342 19.54238 0.09757
417.75979 19.52485 0.12063
417.84511 19.91078 0.12089
418.79843 19.6027 0.09974
418.84121 19.71092 0.08284
419.75121 19.88092 0.14167
419.79504 19.61758 0.11565
420.78929 19.76444 0.12476
420.83264 19.59853 0.09489
421.73664 19.62309 0.07169
421.79901 19.79448 0.05587
422.75115 19.79953 0.07358
422.79487 19.5411 0.05718
423.74742 19.57531 0.06764
423.79284 19.61126 0.05459
424.75349 19.76423 0.08411
424.80178 19.6993 0.06016
425.76166 19.72274 0.08469
425.80573 19.73014 0.05894
426.80123 19.72727 0.08029
426.8444 19.62775 0.05756
427.79708 19.86703 0.09395
427.8408 19.68593 0.0684
428.79281 19.76753 0.08013
428.83703 19.75965 0.07271
429.8142 19.85199 0.08163
429.85716 19.60302 0.07134
430.75769 19.75228 0.1011
430.80485 19.77284 0.08975
431.75639 19.88967 0.10063
431.80024 19.82955 0.10326
432.73907 19.58658 0.12996
432.78359 19.68713 0.11746
433.7493 19.76431 0.14655
434.69401 19.33368 0.17839
434.73769 19.72635 0.14418
436.88575 19.8166 0.09575
436.88891 19.6486 0.09458
436.8919 19.62296 0.09636
436.89501 19.97367 0.10236
436.89797 20.02425 0.12496
436.90109 19.77761 0.10567
436.90728 19.89608 0.11904
436.91041 19.87202 0.12254
436.91351 19.83108 0.11876
436.91641 19.95023 0.10925
436.91931 20.04127 0.11816
436.92221 20.00739 0.12985
436.92514 19.95423 0.12826
436.92806 19.7579 0.13635
436.93096 19.73807 0.14195
436.93413 19.85705 0.13934
436.93703 19.49778 0.11617
436.93974 19.76858 0.12196
436.94297 19.85371 0.10845
436.94613 19.67612 0.10507
436.94915 19.66478 0.14755
436.95231 19.67335 0.10337
436.9553 19.76131 0.10504
436.95826 19.99104 0.10295
436.96116 19.8611 0.11745
436.96403 19.65845 0.09147
436.96671 19.83974 0.09937
438.88857 19.61973 0.11145
438.89169 19.86909 0.09658
438.89485 19.49149 0.07725
438.89798 19.76551 0.09306
438.90086 19.78895 0.09447
438.90371 19.72037 0.07949
438.9065 19.59471 0.07846
438.90927 19.85932 0.09009
438.91204 19.64079 0.07917
438.91487 19.72324 0.08777
438.91763 19.68827 0.09289
438.92084 19.68271 0.09806
438.92394 19.89208 0.09328
438.92672 20.05358 0.10546
438.92954 19.71626 0.09806
438.93259 19.63893 0.12975
438.93551 19.89655 0.1009
438.93833 19.9545 0.11377
438.94106 19.71527 0.09976
