#mjd mag magerr
61.92501 18.55919 0.02353
61.95573 18.56402 0.02293
63.91987 18.6109 0.02521
63.9639 18.55701 0.02391
64.92128 18.6661 0.03656
64.9656 18.62078 0.03711
66.91014 18.616 0.02776
66.95474 18.60284 0.03041
67.91649 18.68839 0.0379
67.96099 18.68687 0.03827
69.90324 18.58309 0.02872
69.94786 18.58952 0.02525
80.87449 18.68995 0.05947
84.86328 18.61115 0.0452
87.85609 18.62944 0.02604
87.90101 18.58068 0.02469
88.96983 18.63581 0.02504
89.01521 18.56284 0.02558
89.94574 18.55829 0.02573
89.99042 18.58232 0.02673
93.83741 18.56495 0.02592
93.88196 18.61489 0.02595
96.8292 18.57979 0.02576
97.00858 18.60519 0.02962
107.79764 18.58087 0.05281
114.88125 18.66416 0.03341
114.92522 18.52521 0.08864
119.89538 18.5795 0.02957
119.95365 18.64492 0.0314
123.75696 18.64132 0.02661
123.81523 18.6106 0.02597
126.97957 18.69912 0.0384
127.83329 18.65906 0.02927
127.87706 18.62467 0.03169
135.82555 18.67706 0.05435
135.86926 18.67536 0.06723
138.71472 18.69 0.06074
138.75871 18.71381 0.07212
142.7036 18.66005 0.02895
142.75219 18.64131 0.03473
144.77886 18.60618 0.02821
144.82305 18.66837 0.03204
151.72943 18.71166 0.03231
151.77257 18.60452 0.02889
166.70473 18.72311 0.05891
168.63378 18.59891 0.04836
168.6775 18.59957 0.04783
175.61224 18.57273 0.02516
175.65684 18.61886 0.02461
181.63825 18.6528 0.03774
183.59204 18.62848 0.04973
183.64253 18.67666 0.03104
189.58054 18.65494 0.03782
189.62557 18.59699 0.03337
194.59026 18.54129 0.05959
199.58559 18.62489 0.02961
201.58642 18.68037 0.08324
202.58667 18.66644 0.04297
203.71441 18.61579 0.0386
203.75743 18.69617 0.03998
207.63092 18.61427 0.03187
207.67514 18.67277 0.02944
209.5968 18.68216 0.02605
209.64149 18.67439 0.02638
213.63312 18.60799 0.04637
213.6798 18.65627 0.05252
377.89535 18.65176 0.04924
379.8591 18.66282 0.0452
379.92482 18.58326 0.035
380.87684 18.68549 0.04896
380.92078 18.60365 0.04441
381.89606 18.55626 0.03311
381.93934 18.5881 0.03059
384.82671 18.57294 0.0289
384.87028 18.5444 0.02683
385.87021 18.59636 0.02638
385.91339 18.57725 0.02419
386.86524 18.58447 0.02805
386.90867 18.59542 0.02699
387.87002 18.65924 0.03787
387.91342 18.70453 0.03506
388.86609 18.64912 0.0348
388.91005 18.56668 0.02561
390.80957 18.62821 0.03661
390.85393 18.67094 0.03212
391.80613 18.65012 0.04225
391.87538 18.59796 0.02857
392.83258 18.67292 0.03782
392.87538 18.67309 0.03382
394.79908 18.69011 0.03875
394.8431 18.62445 0.0309
395.79551 18.66208 0.05104
395.84215 18.68016 0.03908
396.79527 18.5944 0.04788
396.83932 18.60577 0.03117
397.83526 18.67187 0.03981
398.83124 18.62835 0.04089
399.78802 18.63841 0.06199
399.83261 18.71857 0.05606
400.78534 18.61539 0.0664
400.8289 18.6071 0.04942
401.78133 18.60035 0.0666
401.82518 18.58016 0.0588
402.77979 18.6111 0.11095
402.8246 18.54407 0.06545
403.81973 18.675 0.06429
404.77424 18.63168 0.07168
404.84266 18.64427 0.05685
405.8416 18.6423 0.05903
407.7691 18.67654 0.07501
407.83003 18.66331 0.05735
411.79896 18.62265 0.04112
412.75232 18.67224 0.06087
413.75577 18.69953 0.06993
413.79945 18.70105 0.05867
414.79555 18.53249 0.04083
415.75266 18.55527 0.0572
415.79727 18.70933 0.07739
416.79342 18.54338 0.04143
417.84511 18.69978 0.06661
418.84121 18.55592 0.03821
419.75121 18.61192 0.06989
419.79504 18.55659 0.04228
420.78929 18.68944 0.06807
420.83264 18.61853 0.04391
421.73664 18.62108 0.0326
421.79901 18.53348 0.02446
422.75115 18.58454 0.03158
422.79487 18.6331 0.02756
423.74742 18.55931 0.02924
423.79284 18.53626 0.0253
424.75349 18.67622 0.04355
424.80178 18.6643 0.03357
425.76166 18.58974 0.03999
425.80573 18.59114 0.02905
426.80123 18.64527 0.04441
426.8444 18.59475 0.03569
427.79708 18.56903 0.04038
427.8408 18.56894 0.03421
428.79281 18.54552 0.03646
428.83703 18.60165 0.03477
429.8142 18.619 0.04222
429.85716 18.59502 0.04238
430.75769 18.61628 0.04879
430.80485 18.68584 0.04477
431.75639 18.64567 0.05507
431.80024 18.60255 0.05416
432.73907 18.52958 0.06243
432.78359 18.60013 0.05522
434.69401 18.55168 0.09321
435.69148 18.59984 0.08761
436.88575 18.6806 0.04611
436.88891 18.5716 0.04547
436.8919 18.53196 0.04413
436.89501 18.67367 0.04624
436.89797 18.55525 0.04545
436.90109 18.53261 0.04946
436.9042 18.64857 0.04944
436.90728 18.60008 0.04869
436.91041 18.67002 0.04861
436.91351 18.62408 0.05094
436.91641 18.64523 0.05221
436.91931 18.61527 0.05065
436.92221 18.55139 0.04773
436.92514 18.60123 0.05254
436.92806 18.5659 0.05731
436.93413 18.57105 0.04931
436.93703 18.57578 0.04758
436.93974 18.60858 0.04506
436.94297 18.63571 0.0551
436.94613 18.61312 0.04686
436.94915 18.56178 0.04465
436.95231 18.55735 0.04585
436.9553 18.50231 0.04201
436.96116 18.6311 0.04553
436.96671 18.52774 0.04576
438.88857 18.53673 0.04452
438.89169 18.61909 0.04308
438.89485 18.58749 0.03901
438.89798 18.58651 0.04064
438.90086 18.62295 0.03867
438.90371 18.63436 0.0385
438.9065 18.60371 0.03822
438.90927 18.61432 0.03723
438.91204 18.60279 0.03974
438.91487 18.62424 0.03876
438.91763 18.58327 0.0409
438.92084 18.63171 0.04543
438.92394 18.57808 0.04298
438.92672 18.66258 0.04633
438.92954 18.58526 0.04643
438.93259 18.63792 0.04635
438.93551 18.65155 0.04671
438.93833 18.6115 0.04268
438.94106 18.60627 0.04154
438.94411 18.57718 0.04307
438.94678 18.50739 0.04514
438.95913 18.63995 0.04305
438.96141 18.59735 0.04315
440.87507 18.62996 0.0317
440.87823 18.64345 0.03032
440.88428 18.58337 0.02933
440.88675 18.59801 0.03003
440.8894 18.62274 0.02917
440.89205 18.58282 0.03053
440.89518 18.64889 0.03043
440.89832 18.58495 0.03046
440.90145 18.58615 0.03049
440.90439 18.63637 0.03214
440.90729 18.6034 0.03128
440.91025 18.6245 0.03155
440.91316 18.61768 0.03066
440.91591 18.61097 0.03223
440.9187 18.58988 0.03217
440.92149 18.60576 0.03134
440.92426 18.62718 0.0295
440.93095 18.61511 0.03106
440.93364 18.58504 0.02937
440.93623 18.64543 0.03104
440.9395 18.58805 0.03274
440.94264 18.57555 0.03101
440.94582 18.629 0.03188
440.94883 18.59046 0.03085
440.95182 18.58574 0.0319
440.95489 18.58239 0.02987
440.95791 18.62223 0.03277
441.87301 18.64335 0.02544
441.87592 18.56462 0.02445
441.88645 18.61366 0.02656
441.88962 18.54068 0.02383
441.89254 18.63598 0.02531
441.89542 18.59504 0.02646
441.89828 18.5989 0.0261
441.90107 18.54758 0.0255
441.9037 18.61504 0.02521
441.90634 18.64971 0.02577
441.90906 18.57086 0.02538
441.9118 18.63712 0.02471
441.91445 18.60476 0.02523
441.91722 18.61997 0.02475
441.91981 18.609 0.02794
441.92242 18.61225 0.02669
441.92546 18.59614 0.02539
441.9281 18.55842 0.02553
441.93183 18.59218 0.02543
441.93458 18.53938 0.02475
441.93727 18.58475 0.02572
441.94048 18.55343 0.02534
441.94326 18.57615 0.02462
441.94546 18.62525 0.02644
441.94852 18.5388 0.02496
441.95194 18.5805 0.02497
441.95469 18.57773 0.02508
441.95786 18.56437 0.02454
441.96081 18.57244 0.02643
441.96392 18.55696 0.02641
441.96715 18.54661 0.02448
441.97012 18.62106 0.02494
441.97294 18.56914 0.025
441.97532 18.5583 0.0251
441.97757 18.56315 0.02563
441.9798 18.57628 0.02593
441.9835 18.59924 0.0247
441.9863 18.57438 0.02712
441.98852 18.53956 0.0265
441.99078 18.58327 0.02731
441.99382 18.58994 0.02635
442.00593 18.62307 0.02872
442.00906 18.60093 0.03025
442.01216 18.52334 0.0291
442.01486 18.63702 0.03332
442.01753 18.60927 0.03957
442.02226 18.63228 0.05319
442.70382 18.64087 0.03683
442.70734 18.6098 0.03615
442.71097 18.6369 0.0358
442.71448 18.65583 0.03578
442.71808 18.57187 0.03485
442.72527 18.64532 0.03468
442.73272 18.6253 0.03459
442.74184 18.60953 0.03303
442.74882 18.62505 0.03344
442.75572 18.63144 0.03403
442.76147 18.61896 0.03214
442.76615 18.60408 0.03415
442.77616 18.60978 0.0331
442.78135 18.61406 0.03114
442.78615 18.63993 0.03133
442.79145 18.60353 0.03195
442.79615 18.64283 0.032
442.80186 18.59694 0.0307
442.8093 18.6445 0.03162
442.81443 18.61408 0.03199
442.81939 18.63935 0.03186
442.82447 18.65217 0.03227
442.8293 18.67639 0.03149
442.83541 18.58533 0.03165
442.84012 18.60148 0.03221
