#mjd mag magerr
55061.92501 18.55219 0.02382
55061.95573 18.52102 0.0238
55063.91987 18.4929 0.02521
55063.9639 18.52101 0.0252
55064.92128 18.4711 0.03615
55064.9656 18.51578 0.03725
55066.91014 18.525 0.02926
55066.95474 18.55484 0.0317
55067.91649 18.56239 0.04122
55067.96099 18.62387 0.04055
55069.90324 18.57109 0.02718
55069.94786 18.52752 0.02515
55080.87449 18.63695 0.06173
55080.95988 18.66137 0.08705
55084.86328 18.54115 0.04575
55087.85609 18.55044 0.02468
55087.90101 18.55568 0.02488
55088.96983 18.56281 0.02454
55089.01521 18.57984 0.02646
55089.94574 18.55729 0.02641
55089.99042 18.54932 0.02692
55093.83741 18.58095 0.02574
55093.88196 18.56589 0.02567
55096.8292 18.48079 0.02605
55097.00858 18.51719 0.02972
55104.99862 18.62557 0.03449
55107.79764 18.65887 0.05518
55114.88125 18.53716 0.03268
55114.92522 18.59421 0.06543
55119.89538 18.5445 0.02996
55119.95365 18.56392 0.02991
55123.75696 18.57732 0.02591
55123.81523 18.5736 0.02597
55126.97957 18.52812 0.03403
55127.83329 18.54206 0.02818
55127.87706 18.54167 0.0302
55135.82555 18.72306 0.05445
55135.86926 18.58736 0.05936
55138.71472 18.585 0.05785
55138.75871 18.4878 0.06305
55142.7036 18.58105 0.02826
55142.75219 18.56631 0.03374
55144.77886 18.61818 0.02761
55144.82305 18.59437 0.03174
55151.72943 18.53966 0.03062
55151.77257 18.55652 0.0273
55166.70473 18.76011 0.05521
55166.74897 18.51218 0.0571
55168.63378 18.58491 0.0447
55168.6775 18.65157 0.04951
55175.61224 18.48273 0.02291
55175.65684 18.53586 0.02285
55181.59421 18.64531 0.04003
55181.63825 18.5468 0.03391
55183.59204 18.53448 0.04301
55183.64253 18.50767 0.02926
55189.58054 18.54394 0.03415
55189.62557 18.50999 0.02912
55194.59026 18.63729 0.06028
55199.58559 18.54789 0.02685
55201.58642 18.56137 0.0728
55202.58667 18.40745 0.04018
55203.71441 18.56379 0.03514
55203.75743 18.59417 0.03737
55207.63092 18.50927 0.0302
55207.67514 18.50577 0.02487
55209.5968 18.48816 0.02328
55209.64149 18.45839 0.02281
55213.63312 18.50799 0.04482
55213.6798 18.47927 0.04727
55377.85123 18.58292 0.05901
55377.89535 18.55176 0.04585
55378.86379 18.65743 0.08571
55378.90615 18.62546 0.05695
55379.8591 18.47682 0.04212
55379.92482 18.51226 0.03012
55380.87684 18.51048 0.04786
55380.92078 18.55365 0.04082
55381.89606 18.51625 0.03232
55381.93934 18.5051 0.0288
55384.82671 18.54794 0.0281
55384.87028 18.4664 0.02504
55385.87021 18.46536 0.0234
55385.91339 18.44025 0.0228
55386.86524 18.49147 0.02567
55386.90867 18.50542 0.02462
55387.87002 18.37024 0.03617
55387.91342 18.40353 0.03317
55388.86609 18.50612 0.03212
55388.91005 18.42768 0.02323
55389.97252 18.37309 0.09543
55390.80957 18.52921 0.03353
55390.85393 18.51294 0.03004
55391.80613 18.53812 0.03597
55391.87538 18.46296 0.02758
55392.83258 18.49092 0.03662
55392.87538 18.47409 0.03236
55394.79908 18.59011 0.03528
55394.8431 18.46545 0.02545
55395.79551 18.47208 0.0449
55395.84215 18.52516 0.0371
55396.79527 18.4944 0.04871
55396.83932 18.42977 0.02928
55397.79163 18.45877 0.05408
55397.83526 18.42487 0.03859
55398.78764 18.58761 0.05232
55398.83124 18.45235 0.03675
55399.78802 18.49741 0.05667
55399.83261 18.48557 0.05271
55400.78534 18.58338 0.06099
55400.8289 18.6351 0.05077
55401.78133 18.46535 0.07137
55401.82518 18.40916 0.05497
55402.77979 18.5471 0.08001
55402.8246 18.54007 0.06146
55403.77642 18.81099 0.09519
55403.81973 18.597 0.06299
55404.77424 18.60268 0.0688
55404.84266 18.44627 0.04493
55405.8416 18.5943 0.05544
55407.7691 18.43954 0.05543
55407.83003 18.45631 0.04913
55408.78389 18.40082 0.07762
55411.79896 18.49965 0.03723
55412.75232 18.42824 0.06242
55412.79539 18.38524 0.04526
55413.75577 18.29353 0.05817
55413.79945 18.45905 0.05475
55414.75161 18.33846 0.07121
55414.79555 18.49049 0.0411
55415.75266 18.42527 0.05335
55415.79727 18.43633 0.07247
55416.75096 18.50959 0.05211
55416.79342 18.52838 0.0436
55417.75979 18.36586 0.06663
55417.84511 18.33879 0.06188
55418.79843 18.5437 0.04521
55418.84121 18.43992 0.03615
55419.75121 18.43991 0.06682
55419.79504 18.52658 0.04091
55420.78929 18.46644 0.05716
55420.83264 18.47153 0.04256
55421.73664 18.50009 0.0316
55421.79901 18.49947 0.02297
55422.75115 18.54753 0.03029
55422.79487 18.4971 0.02547
55423.74742 18.52331 0.02924
55423.79284 18.54926 0.02629
55424.75349 18.38722 0.04108
55424.80178 18.4233 0.03261
55425.76166 18.58874 0.03813
55425.80573 18.49314 0.02776
55426.80123 18.49427 0.04412
55426.8444 18.50475 0.03496
55427.79708 18.51203 0.03682
55427.8408 18.61993 0.03339
55428.79281 18.51552 0.03362
55428.83703 18.54365 0.03206
55429.8142 18.52199 0.04091
55429.85716 18.55802 0.03968
55430.75769 18.58828 0.04589
55430.80485 18.56284 0.04407
55431.75639 18.60367 0.05231
55431.80024 18.51655 0.05062
55432.73907 18.51158 0.05296
55432.78359 18.60813 0.05522
55433.70425 18.57205 0.0798
55433.7493 18.73231 0.07765
55434.69401 18.68268 0.09106
55434.73769 18.49935 0.06489
55435.69148 18.71084 0.08553
55436.88575 18.5066 0.04282
55436.88891 18.6286 0.04387
55436.8919 18.57796 0.04363
55436.89501 18.60167 0.04444
55436.89797 18.54125 0.04516
55436.90109 18.55161 0.04368
55436.9042 18.64757 0.05064
55436.90728 18.60508 0.04619
55436.91041 18.60902 0.04392
55436.91351 18.67608 0.05153
55436.91641 18.64923 0.05152
55436.91931 18.60027 0.05015
55436.92221 18.64539 0.04793
55436.92514 18.67523 0.04915
55436.92806 18.6389 0.05063
55436.93096 18.57407 0.04677
55436.93413 18.71105 0.054
55436.93703 18.59778 0.04668
55436.93974 18.66558 0.04625
