#mjd mag magerr
55061.92501 19.55819 0.04994
55061.95573 19.61302 0.0529
55063.91987 19.5449 0.04763
55063.9639 19.54801 0.05195
55064.92128 19.5061 0.06037
55064.9656 19.51178 0.06254
55066.91014 19.501 0.05346
55066.95474 19.51484 0.06757
55067.91649 19.30039 0.07436
55069.90324 19.44409 0.05263
55069.94786 19.48252 0.05151
55080.87449 19.79295 0.14528
55084.86328 19.48115 0.08347
55087.85609 19.50044 0.05246
55087.90101 19.44368 0.05752
55088.96983 19.49981 0.05994
55089.01521 19.53084 0.06264
55089.94574 19.66229 0.05657
55089.99042 19.50732 0.05768
55093.83741 19.55195 0.04821
55093.88196 19.49389 0.05313
55096.8292 19.47979 0.05634
55097.00858 19.33219 0.06529
55104.99862 19.40357 0.07953
55107.79764 19.50987 0.13551
55114.88125 19.44816 0.07426
55114.92522 19.36721 0.1691
55119.89538 19.4455 0.0683
55119.95365 19.51293 0.08231
55123.75696 19.64832 0.06359
55123.81523 19.4766 0.05338
55126.97957 19.70912 0.10427
55127.83329 19.48506 0.06638
55127.87706 19.48467 0.07868
55135.82555 19.58206 0.14665
55135.86926 19.50436 0.16899
55142.7036 19.62705 0.06966
55142.75219 19.43631 0.08329
55144.77886 19.60118 0.06139
55144.82305 19.61337 0.06911
55151.72943 19.56666 0.07269
55151.77257 19.52452 0.08117
55166.70473 19.68711 0.15414
55166.74897 19.45018 0.13069
55168.63378 19.64091 0.12658
55168.6775 19.47357 0.10718
55175.61224 19.40573 0.05067
55175.65684 19.62986 0.05258
55181.59421 19.31731 0.08516
55181.63825 19.2038 0.0799
55183.59204 19.46148 0.10274
55183.64253 19.55766 0.06466
55189.58054 19.34694 0.07911
55189.62557 19.25799 0.06858
55194.59026 19.46229 0.17163
55199.58559 19.36389 0.06299
55202.58667 19.59744 0.06977
55203.71441 19.55679 0.09625
55203.75743 19.48017 0.08744
55207.63092 19.56526 0.05948
55207.67514 19.51777 0.05168
55209.5968 19.48116 0.05262
55209.64149 19.24039 0.05838
55213.63312 19.55399 0.07569
55213.6798 19.62427 0.07622
55377.85123 19.63692 0.14788
55377.89535 19.39576 0.1139
55378.90615 19.48946 0.1491
55379.8591 19.60882 0.0886
55379.92482 19.36426 0.06036
55380.87684 19.33749 0.10148
55380.92078 19.51165 0.0954
55381.89606 19.55426 0.07889
55381.93934 19.4081 0.06759
55384.82671 19.25094 0.06968
55384.87028 19.3794 0.05112
55385.87021 19.42937 0.05099
55385.91339 19.41925 0.0465
55386.86524 19.43247 0.05423
55386.90867 19.33142 0.06316
55387.87002 19.50924 0.05795
55387.91342 19.28353 0.04838
55388.86609 19.13412 0.08023
55388.91005 19.31468 0.0528
55390.80957 19.64521 0.09268
55390.85393 19.47894 0.06261
55391.80613 19.27512 0.10426
55391.87538 19.40396 0.06372
55392.83258 19.25092 0.07876
55392.87538 19.33909 0.05841
55394.79908 19.41611 0.06884
55394.8431 19.44945 0.06719
55395.79551 19.57908 0.0886
55395.84215 19.44116 0.0628
55396.79527 19.4544 0.0876
55396.83932 19.35977 0.05227
55397.79163 19.35077 0.10284
55397.83526 19.44987 0.06346
55398.78764 19.44961 0.11025
55398.83124 19.59535 0.08269
55399.78802 19.48841 0.10654
55399.83261 19.34057 0.08017
55400.78534 19.73238 0.1081
55400.8289 19.5031 0.09126
55401.78133 19.50435 0.16352
55401.82518 19.42116 0.11106
55402.8246 19.74407 0.14457
55404.84266 19.63527 0.10166
55405.8416 19.4563 0.132
55407.7691 19.55154 0.15136
55407.83003 19.73731 0.20623
55412.75232 19.42324 0.09869
55412.79539 19.69224 0.12619
55413.75577 19.32353 0.11275
55413.79945 19.45505 0.09695
55414.75161 19.39247 0.14727
55414.79555 19.55049 0.09319
55415.79727 19.39133 0.10531
55416.75096 19.20059 0.1344
55416.79342 19.46638 0.11283
55417.75979 19.03585 0.12525
55417.84511 19.48378 0.1005
55418.79843 19.3317 0.09924
55418.84121 19.17592 0.08689
55419.75121 19.51792 0.14806
55419.79504 19.55359 0.09101
55420.78929 19.51144 0.13486
55420.83264 19.37453 0.09161
55421.73664 19.24209 0.07588
55421.79901 19.45047 0.05118
55422.75115 19.21854 0.06499
55422.79487 19.4361 0.05448
55423.74742 19.26431 0.06894
55423.79284 19.33126 0.06097
55424.75349 19.14322 0.08488
55424.80178 19.4423 0.05425
55425.76166 19.59174 0.09348
55425.80573 19.45814 0.04827
55426.80123 19.51027 0.06819
55426.8444 19.41575 0.05145
55427.79708 19.39003 0.07438
55427.8408 19.36693 0.06267
55428.79281 19.47552 0.07084
55428.83703 19.27265 0.06887
55429.8142 19.31999 0.08068
55429.85716 19.22902 0.07302
55430.75769 19.34328 0.10443
55430.80485 19.40984 0.0821
55431.75639 19.21567 0.09224
55431.80024 19.39955 0.10883
55432.78359 19.66213 0.10726
55433.70425 19.73005 0.16747
55433.7493 19.64831 0.1605
55434.69401 19.23268 0.12878
55434.73769 19.62935 0.16313
55436.88575 19.4366 0.12894
55436.88891 19.3836 0.09818
55436.8919 19.44896 0.11215
55436.89501 19.43567 0.09577
55436.89797 19.52125 0.10657
55436.90109 19.52361 0.13546
55436.9042 19.48857 0.08858
55436.90728 19.75108 0.09894
55436.91041 19.50802 0.09795
