#mjd mag magerr
55061.92501 20.22319 0.07602
55061.95573 20.17801 0.06104
55063.91987 20.1179 0.06625
55063.9639 20.25201 0.06983
55064.92128 20.2041 0.08149
55064.9656 20.13278 0.07864
55066.91014 20.058 0.07151
55066.95474 20.10784 0.06709
55067.91649 20.45339 0.12497
55067.96099 20.41487 0.11064
55069.90324 20.17009 0.06845
55069.94786 20.22252 0.07448
55080.87449 20.35795 0.18877
55080.95988 20.20637 0.19611
55084.86328 20.18215 0.10029
55087.85609 20.24044 0.07376
55087.90101 20.12868 0.07014
55088.96983 19.98881 0.06772
55089.01521 20.25484 0.08138
55089.94574 20.1003 0.07169
55089.99042 20.05032 0.06981
55093.83741 20.07195 0.06781
55093.88196 20.04689 0.06725
55096.8292 20.12179 0.07267
55097.00858 20.38319 0.09743
55104.99862 20.40157 0.10719
55114.88125 20.07316 0.09716
55119.89538 20.3885 0.09614
55119.95365 20.19593 0.0907
55123.75696 20.05132 0.07647
55123.81523 20.1916 0.07906
55126.97957 20.33012 0.12076
55127.83329 20.30206 0.09195
55127.87706 20.24867 0.09317
55135.82555 20.02206 0.17475
55142.7036 20.07705 0.08395
55142.75219 20.38931 0.11277
55144.77886 20.16918 0.07398
55144.82305 20.19537 0.09648
55151.72943 20.27866 0.09557
55151.77257 20.27952 0.08866
55166.70473 20.57411 0.16534
55168.6775 19.97557 0.14481
55175.61224 20.32373 0.07778
55175.65684 20.27486 0.0725
55181.59421 20.12731 0.12276
55181.63825 20.2548 0.10243
55183.64253 20.01666 0.08682
55189.58054 20.36794 0.12147
55189.62557 20.31299 0.10142
55194.59026 20.21529 0.19732
55199.58559 20.12489 0.07716
55202.58667 20.23345 0.10362
55203.71441 20.11579 0.11227
55203.75743 20.06217 0.11531
55207.63092 20.38527 0.08651
55207.67514 20.17477 0.08495
55209.5968 20.13716 0.06929
55209.64149 20.08939 0.07367
55213.63312 20.21699 0.10003
55213.6798 20.37627 0.12753
55377.89535 19.91276 0.12759
55379.8591 20.15582 0.12287
55379.92482 19.91726 0.09914
55380.87684 20.34949 0.19984
55380.92078 20.40465 0.13187
55381.89606 20.13326 0.10577
55381.93934 19.9741 0.08487
55384.82671 20.24094 0.08926
55384.87028 20.0524 0.07778
55385.87021 20.09436 0.07057
55385.91339 20.09225 0.06217
55386.86524 20.11947 0.07789
55386.90867 20.06942 0.07045
55387.87002 19.99524 0.07461
55387.91342 20.10953 0.06879
55388.86609 19.96313 0.11519
55388.91005 20.10968 0.07038
55390.80957 19.98821 0.10537
55390.85393 20.13994 0.08758
55391.80613 20.09612 0.10706
55391.87538 20.16696 0.0808
55392.83258 19.99092 0.09267
55392.87538 20.08709 0.07664
55394.79908 20.07111 0.102
55394.8431 19.96645 0.09327
55395.79551 20.35209 0.13494
55395.84215 20.12016 0.08982
55396.79527 20.1084 0.1508
55396.83932 20.01077 0.07269
55397.79163 20.42377 0.15292
55397.83526 19.97387 0.08791
55398.78764 20.39961 0.15331
55398.83124 19.97535 0.09442
55399.78802 20.31141 0.20379
55399.83261 20.28757 0.12828
55400.78534 20.21238 0.16613
55400.8289 20.0981 0.12447
55401.82518 20.15716 0.1724
55404.77424 20.22268 0.16511
55404.84266 20.12927 0.15833
55405.8416 20.2013 0.16288
55407.83003 19.82831 0.14218
55411.79896 20.23965 0.12711
55412.79539 19.85224 0.10839
55413.79945 20.37304 0.1472
55414.79555 20.19749 0.10668
55415.75266 20.39927 0.16213
55415.79727 20.00633 0.17157
55416.75096 20.11359 0.13609
55416.79342 20.35938 0.1315
55417.75979 19.80186 0.17808
55417.84511 20.42878 0.14859
55418.79843 20.1657 0.12513
55418.84121 20.09192 0.09402
55419.79504 20.20959 0.11754
55420.83264 20.13653 0.12174
55421.73664 20.04408 0.09187
55421.79901 19.97747 0.06566
55422.75115 19.98754 0.08357
55422.79487 20.0691 0.07746
55423.74742 20.13731 0.08731
55423.79284 20.07326 0.07154
55424.75349 20.07122 0.09558
55424.80178 20.0163 0.07112
55425.76166 20.20674 0.09644
55425.80573 20.01814 0.07229
55426.80123 19.85827 0.09603
55426.8444 20.06575 0.06844
55427.79708 20.13803 0.09161
55427.8408 20.02394 0.07727
55428.79281 19.92253 0.08666
55428.83703 19.98165 0.08318
55429.8142 20.06399 0.10094
55429.85716 20.08802 0.09073
55430.75769 20.32728 0.14033
55430.80485 20.00684 0.10116
55431.75639 20.26567 0.11884
55431.80024 20.02955 0.11771
55432.73907 19.93258 0.16595
55432.78359 20.29713 0.17074
55433.7493 20.14231 0.18224
55434.73769 20.10435 0.17893
55436.88891 20.0896 0.12486
55436.8919 20.06296 0.11725
55436.89501 20.07167 0.13245
55436.90109 20.28761 0.13656
55436.9042 20.27657 0.13525
55436.90728 20.36608 0.14853
55436.91041 20.31002 0.12724
55436.91351 20.04708 0.13065
55436.91641 20.18923 0.15514
55436.91931 20.10427 0.15825
55436.92514 19.92623 0.16395
55436.92806 20.2919 0.14125
55436.93096 20.34507 0.13126
55436.93703 20.09878 0.11837
55436.93974 20.26258 0.15834
55436.94613 19.83712 0.12956
55436.94915 20.33078 0.13635
55436.9553 20.14131 0.12074
55436.95826 20.37004 0.12944
55436.96116 20.1831 0.13634
55436.96403 19.87546 0.12005
55436.96671 20.11474 0.12826
55438.88857 20.14373 0.11904
55438.89169 20.16109 0.11846
55438.89485 20.04549 0.11554
55438.89798 20.28851 0.11905
55438.90086 20.24695 0.10626
55438.90371 20.13836 0.11696
55438.9065 19.94871 0.09725
55438.90927 20.07632 0.10338
55438.91204 20.03579 0.09286
55438.91487 20.40624 0.14444
55438.91763 20.12427 0.10218
55438.92084 20.14671 0.12695
55438.92394 19.88508 0.13866
55438.92672 20.22658 0.12995
55438.92954 20.29027 0.16184
55438.93551 20.35855 0.12248
55438.93833 20.1875 0.11667
55438.94106 20.04827 0.16304
55438.94411 20.09518 0.14645
55438.94678 20.17539 0.12085
55438.95017 20.38263 0.13206
55438.95913 19.98895 0.10946
55438.96141 20.05835 0.11386
55440.87507 20.25496 0.09524
55440.87823 20.09645 0.08523
55440.88428 19.85837 0.07157
55440.88675 19.93901 0.07437
55440.8894 20.01774 0.07756
