#mjd mag magerr
89.01521 19.67084 0.05606
89.99042 19.74132 0.05679
97.00858 19.66319 0.06479
104.99862 19.83357 0.08132
114.92522 19.63521 0.13448
119.89538 19.7275 0.06551
119.95365 19.65893 0.06684
126.97957 19.65712 0.09768
127.87706 19.78767 0.07308
135.82555 19.64206 0.11007
138.71472 19.617 0.14056
138.75871 19.47281 0.12423
142.7036 19.72205 0.07096
142.75219 19.89331 0.0824
144.77886 19.74518 0.06359
144.82305 19.69537 0.08908
151.72943 19.65366 0.07998
151.77257 19.69152 0.06478
166.70473 19.69711 0.13944
166.74897 19.66718 0.1181
168.63378 19.79491 0.09434
168.6775 19.80557 0.09741
175.61224 19.77773 0.05794
175.65684 19.74086 0.05109
181.59421 20.03231 0.08993
181.63825 19.7868 0.07821
183.59204 19.68348 0.08773
183.64253 19.71166 0.06207
189.58054 19.88094 0.0852
189.62557 19.89599 0.07626
194.59026 20.01029 0.14156
199.58559 19.70489 0.0591
201.58642 19.56937 0.20392
202.58667 19.78045 0.08014
203.71441 19.74479 0.07927
203.75743 19.55517 0.10116
207.63092 19.84827 0.06813
207.67514 19.80877 0.06706
209.5968 19.87016 0.05791
209.64149 19.77339 0.05858
213.63312 19.81999 0.07767
213.6798 19.79727 0.09026
377.89535 19.55276 0.10881
379.8591 19.73182 0.11778
379.92482 20.05426 0.08444
380.92078 19.81465 0.10049
381.89606 19.91125 0.08778
381.93934 20.14911 0.08447
384.82671 19.60594 0.07977
384.87028 19.7604 0.0629
385.87021 19.85636 0.06577
385.91339 19.90425 0.05798
386.86524 19.89347 0.06571
386.90867 19.80042 0.06197
387.87002 19.68424 0.06332
387.91342 19.66453 0.06266
388.86609 20.01912 0.09681
388.91005 19.72768 0.06678
389.97252 19.78309 0.15697
390.80957 19.66621 0.09228
390.85393 19.93394 0.07939
391.80613 20.00012 0.09736
391.87538 19.84096 0.06771
392.83258 19.84092 0.0829
392.87538 19.85609 0.07443
394.79908 19.96511 0.09081
394.8431 19.83645 0.066
395.79551 19.91208 0.11417
395.84215 19.56916 0.06892
396.79527 20.0544 0.138
396.83932 19.76177 0.0648
397.79163 19.69677 0.15755
397.83526 19.82487 0.07613
398.78764 19.75961 0.11949
398.83124 19.74835 0.09876
399.78802 19.83141 0.12525
399.83261 20.01957 0.12411
400.78534 19.87638 0.12244
400.8289 19.8271 0.10541
401.82518 19.90716 0.1711
