#mjd mag magerr
55061.92501 20.38519 0.085
55061.95573 20.30202 0.07757
55063.91987 20.1909 0.07563
55063.9639 20.49701 0.08462
55064.92128 20.2601 0.08652
55064.9656 20.40578 0.0983
55066.91014 20.373 0.09092
55066.95474 20.18784 0.07717
55067.91649 20.67739 0.14934
55067.96099 20.69687 0.13418
55069.90324 20.40909 0.0814
55069.94786 20.28352 0.08116
55084.86328 20.49815 0.12331
55087.85609 20.22243 0.09759
55087.90101 20.37268 0.08967
55088.96983 20.50181 0.0869
55089.01521 20.62684 0.10704
55089.94574 20.4303 0.08754
55089.99042 20.30932 0.08655
55093.83741 20.22295 0.07742
55093.88196 20.33389 0.07647
55096.8292 20.35079 0.08363
55097.00858 20.38819 0.10012
55114.88125 20.46816 0.1043
55119.89538 20.4195 0.09684
55119.95365 20.81093 0.12138
55123.75696 20.47232 0.10185
55123.81523 20.4796 0.11304
55126.97957 20.45212 0.13596
55127.83329 20.36407 0.10165
55127.87706 20.46667 0.10046
55135.82555 20.58406 0.18574
55142.7036 20.52705 0.11894
55142.75219 20.75831 0.14605
55144.77886 20.65218 0.10506
55144.82305 20.35037 0.12966
55151.72943 20.72666 0.12096
55151.77257 20.25352 0.10195
55168.6775 20.25057 0.13981
55175.61224 20.35473 0.10383
55175.65684 20.35686 0.08418
55181.63825 20.4858 0.16574
55183.59204 20.43248 0.15426
55183.64253 20.45667 0.12309
55189.58054 20.46994 0.15855
55189.62557 20.52599 0.1243
55199.58559 20.46389 0.10881
55202.58667 20.68244 0.12444
55203.71441 20.30679 0.11934
55203.75743 20.31617 0.12946
55207.63092 20.46626 0.10685
55207.67514 20.58277 0.10034
55209.5968 20.38516 0.09007
55209.64149 20.55539 0.09355
55213.63312 20.52999 0.12348
55378.90615 20.19146 0.18358
55379.92482 20.45126 0.11873
55381.89606 20.13326 0.12935
55381.93934 20.2561 0.10316
55384.82671 20.16494 0.09616
55384.87028 20.2374 0.08987
55385.87021 20.25836 0.07746
55385.91339 20.14025 0.07366
55386.86524 20.39547 0.10007
55386.90867 20.26042 0.09101
55387.87002 20.29824 0.0942
55387.91342 20.11653 0.07465
55388.86609 20.35913 0.11739
55388.91005 20.29268 0.07897
55390.85393 20.38294 0.11906
55391.80613 20.11612 0.16554
55391.87538 20.36996 0.09778
55392.83258 20.30492 0.10222
55392.87538 20.36109 0.09544
55394.79908 20.17611 0.0989
55394.8431 20.24545 0.08827
55395.79551 20.32108 0.16293
55395.84215 20.11116 0.10511
55396.83932 20.25177 0.08572
55397.79163 20.23377 0.14643
55397.83526 20.04187 0.09448
55398.83124 20.31235 0.1144
55399.83261 20.36357 0.15843
55405.8416 20.0103 0.21236
55407.83003 19.89631 0.16865
55411.79896 20.16065 0.15031
55412.79539 20.42024 0.13995
55413.79945 20.05704 0.16604
55414.75161 20.03946 0.16016
55414.79555 20.34649 0.18485
55415.79727 20.28833 0.19981
55416.75096 20.07659 0.19833
55417.84511 20.55078 0.15485
55418.79843 20.3527 0.15704
55418.84121 20.34992 0.12489
55419.79504 20.35759 0.1427
55420.78929 20.14844 0.19373
55420.83264 20.57653 0.17068
55421.73664 20.21509 0.10216
55421.79901 20.06647 0.06986
55422.75115 20.17054 0.11355
55422.79487 20.1861 0.09505
55423.74742 20.02431 0.11618
55423.79284 20.23926 0.08372
55424.75349 20.26722 0.13231
55424.80178 20.1573 0.08232
55425.76166 20.29674 0.10773
55425.80573 20.23714 0.08704
55426.80123 20.03527 0.10891
55426.8444 20.04675 0.07747
55427.79708 20.15803 0.1075
55427.8408 20.15793 0.09147
55428.79281 20.49552 0.16241
55428.83703 20.14565 0.10758
55429.8142 20.20099 0.12979
55429.85716 19.93002 0.07912
55430.75769 20.60928 0.16035
55430.80485 20.09484 0.1516
55431.75639 20.58367 0.16638
55431.80024 19.95555 0.13383
55432.73907 19.84558 0.18155
