#mjd mag magerr
55061.925 18.688 0.026
55061.95572 18.584 0.025
55063.91988 18.67 0.028
55063.9639 18.596 0.026
55064.92128 18.592 0.039
55064.96559 18.653 0.039
55066.91014 18.523 0.032
55066.95474 18.727 0.033
55067.91649 18.541 0.039
55067.96099 18.773 0.04
55069.90325 18.592 0.03
55069.94787 18.617 0.028
55084.8633 18.612 0.049
55084.90784 18.641 0.069
55087.90103 18.526 0.028
55088.96984 18.476 0.026
55089.94576 18.424 0.028
55089.99043 18.492 0.029
55093.83742 18.578 0.028
55093.88197 18.538 0.027
55096.82922 18.544 0.028
55097.00859 18.483 0.031
55104.99863 18.511 0.039
55107.79764 18.663 0.062
55114.88125 18.581 0.035
55114.92522 18.593 0.075
55119.89538 18.482 0.029
55119.95365 18.488 0.032
55123.75696 18.573 0.027
55123.81523 18.611 0.027
55126.97956 18.572 0.039
55127.83329 18.573 0.029
55127.87705 18.595 0.033
55135.82554 18.612 0.058
55135.86926 18.765 0.061
55138.71471 18.785 0.066
55138.7587 18.617 0.065
55142.7036 18.535 0.029
55142.75217 18.607 0.034
55144.77885 18.6 0.03
55144.82304 18.559 0.032
55151.72942 18.545 0.031
55151.77255 18.509 0.029
55166.70472 18.499 0.063
55166.74897 18.614 0.062
55168.63378 18.575 0.051
55168.67749 18.533 0.049
55175.61225 18.476 0.025
55175.65683 18.492 0.025
55181.59421 18.548 0.042
55181.63825 18.464 0.034
55183.59204 18.552 0.048
55183.64254 18.469 0.031
55189.58055 18.51 0.037
55189.62558 18.446 0.033
55194.59028 18.682 0.067
55197.58447 18.448 0.124
55199.58562 18.488 0.029
55201.58645 18.572 0.094
55202.5867 18.339 0.043
55203.71444 18.494 0.039
55203.75746 18.569 0.041
55207.63095 18.51 0.031
55207.67518 18.551 0.029
55209.59683 18.505 0.025
55209.64152 18.437 0.025
55213.63315 18.597 0.046
55213.67984 18.604 0.052
55377.85116 18.598 0.067
55377.89528 18.691 0.061
55378.86372 18.692 0.083
55378.90607 18.714 0.061
55379.85903 18.502 0.047
55379.92475 18.612 0.038
55380.87677 18.576 0.062
55380.9207 18.657 0.049
55381.89599 18.408 0.037
55381.93927 18.45 0.033
55384.82664 18.477 0.031
55384.87021 18.56 0.03
55385.87014 18.537 0.028
55385.91333 18.495 0.026
55386.86518 18.602 0.031
55386.9086 18.517 0.03
55387.86996 18.549 0.04
55387.91336 18.491 0.036
55388.86603 18.586 0.038
55388.90999 18.537 0.027
55390.80951 18.634 0.043
55390.85388 18.56 0.033
55391.80607 18.632 0.045
55391.87532 18.573 0.031
55392.83252 18.4 0.041
55392.87532 18.433 0.035
55394.79902 18.481 0.036
55394.84305 18.543 0.03
55395.79546 18.717 0.056
55395.8421 18.455 0.041
55396.79522 18.521 0.05
55396.83927 18.581 0.033
55397.79159 18.63 0.062
55397.83521 18.569 0.044
55398.78759 18.57 0.055
55398.83119 18.533 0.047
55399.78797 18.646 0.069
55399.83257 18.591 0.061
55400.78529 18.653 0.066
55400.82886 18.567 0.052
55401.78129 18.715 0.09
55401.82514 18.645 0.069
55402.77975 18.766 0.096
55403.77638 18.373 0.103
55403.81969 18.631 0.066
55404.77421 18.55 0.074
55404.84263 18.662 0.061
55405.84156 18.598 0.061
55407.76907 18.689 0.077
55407.83 18.721 0.067
55411.75474 18.554 0.455
55411.79894 18.508 0.041
55412.7523 18.709 0.064
55412.79538 18.53 0.051
55413.79944 18.419 0.061
55414.75159 18.685 0.086
55414.79554 18.592 0.046
55415.75264 18.375 0.059
55415.79726 18.536 0.076
55416.75094 18.515 0.058
55416.79339 18.558 0.048
55417.75977 18.523 0.072
55417.84509 18.564 0.068
55418.79842 18.648 0.052
55418.8412 18.583 0.042
55419.7512 18.662 0.075
55419.79502 18.494 0.044
55420.78928 18.56 0.066
55420.83263 18.668 0.048
55421.73663 18.619 0.035
55421.79899 18.458 0.026
55422.75114 18.645 0.037
55422.79486 18.553 0.03
55423.74741 18.524 0.032
55423.79283 18.561 0.03
55424.75348 18.526 0.047
55424.80177 18.503 0.034
