#mjd mag magerr
55061.92501 19.02619 0.02928
55061.95573 19.01102 0.02922
55063.91987 19.0319 0.03042
55063.9639 19.02901 0.03047
55064.92128 19.0691 0.04018
55064.9656 19.02678 0.04117
55066.91014 18.975 0.03239
55066.95474 18.98084 0.03407
55067.91649 19.01439 0.04631
55067.96099 18.98887 0.04533
55069.90324 19.02509 0.03458
55069.94786 19.00052 0.03177
55080.87449 19.03595 0.06881
55080.95988 19.16037 0.09024
55084.86328 18.92115 0.0521
55087.85609 18.95144 0.03053
55087.90101 19.00168 0.03069
55088.96983 18.99581 0.03147
55089.01521 18.96585 0.03334
55089.94574 18.96029 0.03118
55089.99042 18.92132 0.03189
55093.83741 18.96095 0.03156
55093.88196 18.95289 0.03123
55096.8292 19.03179 0.03377
55097.00858 19.07819 0.04071
55104.99862 19.05957 0.04801
55107.79764 18.95587 0.06823
55114.88125 19.12716 0.04254
55114.92522 19.19721 0.10572
55119.89538 19.0715 0.04094
55119.95365 19.02393 0.03963
55123.75696 19.01732 0.03496
55123.81523 18.9866 0.03433
55126.97957 19.07312 0.04627
55127.83329 19.07806 0.03773
55127.87706 19.06867 0.04105
55135.82555 19.15606 0.0762
55135.86926 19.08536 0.07142
55138.71472 18.975 0.06902
55138.75871 18.9208 0.10685
55142.7036 18.90705 0.03573
55142.75219 19.00331 0.04119
55144.77886 19.01918 0.03447
55144.82305 18.96837 0.03959
55151.72943 19.14666 0.04146
55151.77257 18.98552 0.03735
55166.70473 19.04611 0.07408
55166.74897 19.13318 0.10121
55168.63378 18.96791 0.05878
55168.6775 19.00857 0.05931
55175.61224 18.95973 0.03233
55175.65684 19.02185 0.03167
55181.59421 18.98831 0.05366
55181.63825 19.0338 0.04622
55183.59204 19.09448 0.06447
55183.64253 18.94267 0.03907
55189.58054 19.04294 0.05076
55189.62557 19.06099 0.0412
55194.59026 19.07329 0.08358
55199.58559 19.01489 0.03742
55201.58642 19.03537 0.10558
55202.58667 19.00744 0.04978
55203.71441 19.05179 0.04606
55203.75743 18.98017 0.04955
55207.63092 18.97927 0.03789
55207.67514 18.95677 0.03372
55209.5968 19.01315 0.0321
55209.64149 19.00939 0.03285
55213.63312 19.04199 0.05406
55213.6798 18.93827 0.05868
55377.85123 18.94792 0.07427
55377.89535 19.11676 0.06289
55378.86379 19.22444 0.1302
55378.90615 19.31046 0.08287
55379.8591 19.20382 0.06923
55379.92482 19.13026 0.05057
55380.87684 19.13249 0.09798
55380.92078 19.18764 0.06095
55381.89606 18.95526 0.04346
55381.93934 19.08911 0.04254
55384.82671 19.04694 0.04004
55384.87028 19.0504 0.03806
55385.87021 19.05336 0.03533
55385.91339 19.05725 0.03503
55386.86524 19.08047 0.03848
55386.90867 19.14242 0.03807
55387.87002 19.12124 0.04613
55387.91342 19.19253 0.04068
55388.86609 19.10812 0.04752
55388.91005 19.07968 0.03625
55389.97252 19.24909 0.13211
55390.80957 19.05721 0.04826
55390.85393 19.02794 0.04147
55391.80613 19.18112 0.05641
55391.87538 19.09596 0.0385
55392.83258 19.09392 0.04693
55392.87538 19.08309 0.04108
55394.79908 19.10411 0.05319
55394.8431 19.12346 0.04115
55395.79551 19.02708 0.05833
55395.84215 19.07516 0.04592
55396.79527 19.0104 0.06374
55396.83932 19.07177 0.04005
55397.79163 19.09077 0.06785
55397.83526 19.08887 0.04886
55398.78764 18.95761 0.08313
55398.83124 19.00035 0.05195
55399.78802 18.93541 0.08103
55399.83261 19.03657 0.07053
55400.78534 18.99438 0.0765
55400.8289 19.0341 0.05979
55401.78133 19.08935 0.08331
55401.82518 19.25716 0.08185
55402.77979 18.8801 0.12223
55402.8246 18.89707 0.0948
55403.77642 19.11099 0.10238
55403.81973 19.071 0.08215
55404.77424 19.02668 0.09825
55404.84266 19.11727 0.06874
55405.8416 18.9993 0.067
55407.7691 19.01154 0.0791
55407.83003 19.12431 0.07604
55408.78389 18.96082 0.12116
55411.79896 19.08265 0.05278
55412.75232 19.04324 0.08392
55412.79539 19.18424 0.06897
55413.75577 19.23454 0.11266
