#mjd mag magerr
55061.92501 19.01899 0.03848
55061.95573 19.0448 0.03782
55063.91987 19.0171 0.03788
55063.9639 19.04152 0.03746
55064.92128 19.1043 0.04249
55064.9656 19.06662 0.04326
55066.91014 18.98122 0.04144
55066.95474 18.97623 0.03969
55067.91649 19.14587 0.0632
55067.96099 19.14545 0.06507
55069.90324 19.04761 0.03619
55069.94786 18.99979 0.03542
55080.87449 19.2064 0.09664
55080.95988 19.15723 0.14388
55084.86328 19.06461 0.05256
55087.85609 18.98335 0.03941
55087.90101 19.07817 0.03828
55088.96983 18.99017 0.03858
55089.01521 19.02454 0.04339
55089.94574 19.02268 0.04074
55089.99042 19.00846 0.04274
55093.83741 18.99975 0.03521
55093.88196 19.08286 0.03719
55096.8292 19.05224 0.03672
55097.00858 19.08036 0.04629
55104.99862 18.94036 0.04727
55107.79764 19.0034 0.07622
55114.88125 19.10655 0.04443
55114.92522 19.12212 0.10236
55119.89538 19.02758 0.04334
55119.95365 19.0524 0.04547
55123.75696 18.98411 0.03756
55123.81523 19.0508 0.03833
55126.97957 19.02125 0.05533
55127.83329 19.05914 0.04191
55127.87706 19.09751 0.0486
55135.82555 18.90369 0.08325
55135.86926 19.21538 0.09596
55138.71472 19.03401 0.07825
55138.75871 19.22324 0.09235
55142.7036 19.04457 0.04396
55142.75219 19.03902 0.04863
55144.77886 19.10976 0.04372
55144.82305 19.0464 0.04965
55151.72943 19.06854 0.04579
55151.77257 19.0041 0.04163
55166.70473 19.22698 0.08949
55166.74897 19.08098 0.10075
55168.63378 19.05271 0.0713
55168.6775 19.30144 0.08102
55175.61224 19.06141 0.03638
55175.65684 18.97378 0.0341
55181.59421 19.12993 0.06375
55181.63825 19.06269 0.05105
55183.59204 19.02549 0.05786
55183.64253 18.97652 0.04284
55189.58054 19.10409 0.05484
55189.62557 19.09414 0.04966
55194.59026 18.98197 0.09115
55199.58559 19.01254 0.03991
55202.58667 18.94298 0.04757
55203.71441 18.9118 0.05232
55203.75743 19.04013 0.0516
55207.63092 18.94382 0.04157
55207.67514 18.99277 0.0402
55209.5968 19.01015 0.0358
55209.64149 18.98693 0.03706
55213.63312 19.08524 0.05052
55213.6798 19.01969 0.05622
55377.85123 19.1299 0.08343
55377.89535 19.16282 0.0707
55378.90615 19.30986 0.09128
55379.8591 18.90433 0.05716
55379.92482 18.96431 0.04633
55380.87684 19.07856 0.06617
55381.89606 18.95688 0.04683
55381.93934 18.98444 0.04642
55384.82671 19.06515 0.04233
55384.87028 19.00993 0.04124
55385.87021 18.98613 0.03522
55385.91339 18.94242 0.0319
55386.86524 18.97636 0.03953
55386.90867 19.01116 0.03913
55387.87002 18.96572 0.03858
55387.91342 18.9353 0.03259
55388.86609 18.98128 0.0493
55388.91005 18.91454 0.03389
55390.80957 19.14316 0.05415
55390.85393 19.02838 0.04428
55391.80613 19.08515 0.05727
55391.87538 19.01093 0.03994
55392.83258 18.863 0.04584
55392.87538 19.00184 0.03997
55394.79908 18.96522 0.04989
55394.8431 18.89843 0.03865
55395.79551 19.0446 0.06025
55395.84215 18.91054 0.03858
55396.79527 19.03787 0.05677
55396.83932 18.92882 0.03757
55397.79163 19.04296 0.07165
55397.83526 19.01743 0.04534
55398.78764 19.11662 0.0765
55398.83124 18.94527 0.05297
55399.78802 19.01622 0.07068
55399.83261 19.10596 0.06552
55400.78534 18.99778 0.07615
55400.8289 19.02078 0.06047
55401.78133 19.06396 0.09632
55401.82518 18.95717 0.07448
55402.8246 19.13357 0.11039
55403.77642 18.83216 0.12094
55403.81973 18.94965 0.11301
55404.77424 19.17882 0.10325
55404.84266 18.90102 0.06737
55405.8416 19.04192 0.07952
55407.7691 19.06768 0.09505
55407.83003 19.08079 0.08262
55408.78389 19.23573 0.13872
55411.79896 19.05026 0.06029
55412.75232 19.17207 0.0787
55412.79539 19.08788 0.06274
55413.75577 19.14915 0.0821
55413.79945 19.06959 0.06955
55414.75161 19.24062 0.10083
55414.79555 18.98027 0.05986
55415.75266 19.21095 0.07909
55415.79727 18.93817 0.07868
55416.75096 18.99733 0.09098
55416.79342 19.14337 0.06847
55417.75979 19.20672 0.09652
55417.84511 19.05665 0.0658
55418.79843 18.91735 0.07269
55418.84121 18.99176 0.05672
55419.75121 19.05134 0.08651
55419.79504 19.18445 0.06739
55420.78929 19.32095 0.08588
55420.83264 19.02137 0.05892
55421.73664 18.98556 0.04725
55421.79901 19.04111 0.03641
55422.75115 18.95578 0.04335
55422.79487 19.12214 0.04324
55423.74742 18.96673 0.04495
55423.79284 19.01287 0.03875
55424.75349 19.00508 0.05284
55424.80178 18.96536 0.03852
55425.76166 19.00179 0.04857
55425.80573 19.04809 0.03838
55426.80123 19.05473 0.04914
55426.8444 19.03603 0.03557
55427.79708 19.05134 0.04942
55427.8408 19.02692 0.03865
55428.79281 19.09351 0.05579
55428.83703 19.04367 0.04361
55429.8142 19.04058 0.04774
55429.85716 19.07081 0.04844
55430.75769 19.02888 0.05941
55430.80485 19.03448 0.0555
55431.75639 19.06696 0.06471
55431.80024 19.01653 0.06288
55432.73907 19.18254 0.09222
55432.78359 19.0928 0.08002
55433.7493 19.25825 0.10012
55434.69401 19.07642 0.11353
55434.73769 19.19984 0.10466
55435.69148 19.31187 0.11119
55436.88575 19.18834 0.06778
55436.88891 19.07067 0.06212
55436.8919 19.06964 0.06631
55436.89501 19.06942 0.0704
55436.89797 19.16026 0.06942
55436.90109 19.1024 0.0694
55436.9042 19.15528 0.07083
55436.90728 19.09154 0.07481
55436.91041 19.10314 0.0749
55436.91351 19.02804 0.0686
55436.91641 19.30788 0.08413
55436.91931 19.02637 0.07351
55436.92221 19.19596 0.07789
55436.92514 18.94795 0.06851
55436.92806 19.04621 0.0713
55436.93096 19.0329 0.07052
55436.93413 19.22409 0.0837
55436.93974 19.08858 0.06678
55436.94613 19.10938 0.07129
55436.94915 19.13609 0.07481
55436.95231 19.11852 0.07302
55436.9553 18.96624 0.0684
55436.95826 19.02576 0.06989
55436.96116 19.03703 0.0725
55436.96403 18.98419 0.07609
55436.96671 18.94244 0.07132
55438.88857 19.01063 0.05846
55438.89169 19.12225 0.06601
55438.89485 19.11355 0.06302
55438.89798 19.06369 0.06042
55438.90086 19.08111 0.05643
55438.90371 19.09722 0.0585
55438.9065 18.9957 0.05503
55438.90927 19.04017 0.05457
55438.91204 19.10333 0.05924
55438.91487 19.11348 0.05901
55438.91763 19.14775 0.06411
55438.92084 19.09488 0.06434
55438.92394 19.08153 0.06636
55438.92672 19.14706 0.06912
55438.92954 19.02134 0.06931
55438.93259 19.16313 0.07153
55438.93551 19.09848 0.06595
55438.93833 19.16103 0.06796
55438.94106 19.03778 0.06203
55438.94411 18.9971 0.06521
55438.94678 19.0829 0.06893
55438.95017 19.07545 0.05836
55438.95913 19.08588 0.06402
55438.96141 19.04397 0.06182
55440.87507 19.03563 0.04332
55440.87823 18.98564 0.04026
55440.88428 19.03014 0.04078
55440.88675 18.9483 0.03942
55440.8894 19.07956 0.04046
55440.89205 19.00073 0.04202
55440.89518 18.99462 0.04035
55440.89832 19.03719 0.04391
55440.90145 19.06955 0.04535
55440.90439 18.94481 0.04195
55440.90729 19.01158 0.04123
55440.91025 19.07539 0.04363
55440.91316 19.1261 0.04467
55440.91591 19.03725 0.04612
55440.9187 19.05393 0.04611
55440.92149 18.99185 0.04214
