#mjd mag magerr
55061.92501 18.16299 0.01946
55061.95573 18.0958 0.01787
55063.91987 18.1431 0.01905
55063.9639 18.08852 0.01912
55064.92128 18.0813 0.0202
55064.9656 18.12762 0.02063
55066.91014 18.13022 0.02029
55066.95474 18.11423 0.0188
55067.91649 18.14387 0.02728
55067.96099 18.13445 0.02677
55069.90324 18.13061 0.01809
55069.94786 18.11979 0.01842
55080.87449 18.1444 0.04126
55080.95988 18.25323 0.05507
55084.86328 18.08761 0.02552
55087.85609 18.09234 0.01962
55087.90101 18.11017 0.01985
55088.96983 18.10217 0.01995
55089.01521 18.11154 0.02139
55089.94574 18.12369 0.02117
55089.99042 18.14247 0.02139
55093.83741 18.13075 0.01821
55093.88196 18.10787 0.01799
55096.8292 18.17124 0.01989
55097.00858 18.10636 0.02328
55104.99862 18.11236 0.02521
55107.79764 18.1074 0.03834
55114.88125 18.07455 0.02139
55114.92522 18.04511 0.05161
55119.89538 18.16158 0.02101
55119.95365 18.1154 0.02206
55123.75696 18.13511 0.01872
55123.81523 18.11081 0.01887
55126.97957 18.09824 0.02638
55127.83329 18.06814 0.02035
55127.87706 18.12851 0.02166
55135.82555 18.19569 0.0407
55135.86926 18.08138 0.04128
55138.71472 18.19701 0.04536
55138.75871 18.11324 0.04749
55142.7036 18.06457 0.02054
55142.75219 18.08602 0.02505
55144.77886 18.08376 0.02075
55144.82305 18.1684 0.02284
55151.72943 18.12554 0.02191
55151.77257 18.0901 0.02017
55166.70473 18.10198 0.03673
55166.74897 18.12898 0.04365
55168.63378 18.13571 0.03425
55168.6775 18.17344 0.0343
55175.61224 18.1004 0.01886
55175.65684 18.13278 0.01843
55181.59421 18.18693 0.03061
55181.63825 18.09669 0.02467
55183.59204 18.10949 0.03189
55183.64253 18.13652 0.02099
55189.58054 18.14309 0.0266
55189.62557 18.11414 0.02246
55194.59026 18.13397 0.04205
55199.58559 18.13254 0.01983
55201.58642 18.10461 0.05341
55202.58667 18.08998 0.02688
