#mjd mag magerr
55061.92501 19.54381 0.06348
55061.95573 19.97776 0.06829
55063.91987 19.74408 0.06539
55063.9639 19.63849 0.06714
55064.92128 19.67686 0.07052
55064.9656 19.65241 0.07831
55066.91014 19.74033 0.07095
55066.95474 19.513 0.06001
55067.91649 19.77445 0.09816
55067.96099 19.6042 0.09937
55069.90324 19.64157 0.06742
55069.94786 19.7219 0.07171
55084.86328 19.74438 0.11018
55087.85609 19.75558 0.06819
55087.90101 19.8135 0.07421
55088.96983 19.37826 0.06171
55089.01521 19.57814 0.06702
55089.94574 19.63396 0.06963
55089.99042 19.45142 0.07003
55093.83741 19.58219 0.06662
55093.88196 19.66186 0.06523
55096.8292 19.70236 0.0739
55097.00858 19.74655 0.09515
55104.99862 19.92683 0.10816
55107.79764 19.97733 0.14707
55114.88125 19.79159 0.08423
55114.92522 19.48708 0.18947
55119.89538 19.82692 0.08985
55119.95365 19.72859 0.08651
55123.75696 19.77768 0.07889
55123.81523 19.49575 0.0657
55126.97957 19.74139 0.10717
55127.83329 19.59281 0.08226
55127.87706 19.73168 0.10506
55135.82555 19.62152 0.14579
55135.86926 19.49808 0.1707
55142.7036 19.70395 0.07835
55142.75219 19.75392 0.08997
55144.77886 19.83183 0.08339
55144.82305 19.36828 0.08708
55151.72943 19.69858 0.12326
55151.77257 19.53146 0.07958
55166.70473 19.88663 0.15236
55168.63378 19.92808 0.17806
55168.6775 19.77805 0.11351
55175.61224 19.82229 0.06663
55175.65684 19.61867 0.06575
55181.59421 19.93985 0.14641
55181.63825 19.79997 0.12311
55183.59204 20.0708 0.13568
55183.64253 20.01728 0.09511
55189.58054 19.6881 0.10471
55189.62557 19.71376 0.09497
55194.59026 19.7211 0.15717
55199.58559 19.57064 0.07325
55202.58667 19.70288 0.10013
55203.71441 19.52266 0.10399
55203.75743 19.62459 0.1082
55207.63092 19.76091 0.07299
55207.67514 19.6616 0.07292
55209.5968 19.8252 0.07165
55209.64149 19.81503 0.07131
55213.63312 19.80338 0.08811
55213.6798 19.7586 0.10266
55377.85123 19.45179 0.11149
55377.89535 19.26198 0.11458
55378.90615 19.89528 0.16192
55379.8591 19.68023 0.11456
55379.92482 19.60285 0.11026
55380.87684 19.5539 0.13837
55380.92078 19.39237 0.11866
55381.89606 19.45595 0.09757
55381.93934 19.55543 0.08588
55384.82671 19.83259 0.08387
