#mjd mag magerr
55061.92501 19.79781 0.06378
55061.95573 19.71976 0.05474
55063.91987 19.59208 0.05801
55063.9639 19.71049 0.05716
55064.92128 19.83186 0.06264
55064.9656 19.69841 0.07003
55066.91014 19.72533 0.06746
55066.95474 19.794 0.0609
55067.91649 19.92045 0.08987
55067.96099 19.9922 0.08628
55069.90324 19.81857 0.06492
55069.94786 19.7429 0.07031
55080.95988 19.78291 0.1843
55084.86328 19.80737 0.091
55087.85609 19.88858 0.06629
55087.90101 19.7745 0.06502
55088.96983 19.88626 0.06321
55089.01521 19.85014 0.06892
55089.94574 19.83996 0.06884
55089.99042 19.83942 0.06973
55093.83741 19.91219 0.06842
55093.88196 19.86786 0.06253
55096.8292 19.79336 0.06642
55097.00858 19.88855 0.08457
55104.99862 20.09983 0.14782
55107.79764 19.88433 0.11989
55114.88125 20.01459 0.08751
55119.89538 19.81593 0.07418
55119.95365 20.03259 0.08351
55123.75696 19.67868 0.0762
55123.81523 19.91275 0.07918
55126.97957 19.83439 0.10347
55127.83329 19.9208 0.08296
55127.87706 19.83569 0.08338
55138.71472 20.12449 0.16624
55142.7036 20.05895 0.09224
55142.75219 19.76992 0.09177
55144.77886 19.95083 0.0783
55144.82305 20.02528 0.08628
55151.72943 19.90658 0.08789
55151.77257 19.79046 0.06979
55166.70473 19.69563 0.13277
55168.63378 20.06908 0.13068
55168.6775 19.85605 0.14909
55175.61224 19.97229 0.0748
55175.65684 20.03767 0.07212
55181.59421 19.93985 0.10021
55181.63825 20.03097 0.09656
55183.59204 19.7858 0.16062
55183.64253 19.85728 0.08732
55189.58054 20.10011 0.10281
55189.62557 19.86776 0.08959
55194.59026 19.8941 0.16007
55199.58559 19.91864 0.08143
55202.58667 19.99788 0.09206
55203.71441 19.81066 0.09122
55203.75743 19.70459 0.10491
55207.63092 20.04491 0.09185
55207.67514 19.8866 0.07761
55209.5968 19.9912 0.06986
55209.64149 20.09003 0.07391
55213.63312 20.06738 0.13158
55213.6798 20.0556 0.11886
55377.89535 19.98698 0.12607
55379.8591 19.86323 0.15235
55379.92482 19.92385 0.10786
55380.87684 19.9859 0.16506
55380.92078 19.85137 0.13175
55381.89606 19.84695 0.09167
55381.93934 19.63743 0.07449
55384.82671 19.76658 0.07608
55384.87028 19.83658 0.07439
55385.87021 19.91516 0.06789
55385.91339 19.65417 0.05951
55386.86524 19.77211 0.07646
55386.90867 19.78124 0.06818
55387.87002 19.92693 0.07876
55387.91342 19.80345 0.0618
55388.91005 19.92995 0.07449
55390.85393 19.83368 0.08449
55391.87538 19.86132 0.07639
55392.87538 19.83192 0.06837
55394.79908 19.75963 0.10418
55394.8431 20.15236 0.09409
55395.79551 20.07486 0.12788
55395.84215 19.87765 0.08199
55396.83932 19.70283 0.08058
55397.79163 19.91699 0.12199
55397.83526 19.92244 0.08497
55398.83124 19.89796 0.10406
55399.83261 19.66038 0.1069
55400.78534 19.93309 0.14468
55400.8289 19.83095 0.11725
55404.77424 20.11521 0.17417
55404.84266 19.75503 0.14536
55405.8416 19.92827 0.17696
55407.7691 20.08891 0.19685
55411.79896 20.06885 0.13165
55412.79539 20.03468 0.13431
55413.75577 20.04178 0.19852
55413.79945 19.73986 0.11045
55414.79555 20.05137 0.11051
55415.79727 20.03259 0.15949
55416.75096 19.96323 0.17631
55416.79342 19.808 0.1376
55417.84511 20.03544 0.13076
55418.79843 19.84467 0.17227
55418.84121 19.78759 0.10706
55419.75121 20.18152 0.17893
55419.79504 20.1501 0.15556
55421.73664 20.0228 0.09711
55421.79901 19.81437 0.07299
55422.75115 19.93424 0.08557
55422.79487 19.87257 0.07317
55423.74742 19.81334 0.08676
55423.79284 19.84948 0.0735
55424.75349 19.70326 0.09635
55424.80178 19.78816 0.07058
55425.76166 20.0058 0.10278
55425.80573 19.82913 0.07339
55426.80123 19.76134 0.07985
55426.8444 19.7478 0.06279
55427.79708 20.01365 0.09806
55427.8408 19.97544 0.08477
55428.79281 20.00516 0.08676
55428.83703 19.75737 0.08416
55429.8142 19.87039 0.10144
55429.85716 19.92184 0.08321
55430.75769 19.87162 0.12185
55430.80485 20.06394 0.12506
55431.75639 19.81033 0.11638
55431.80024 19.93102 0.11385
55432.78359 19.98967 0.15985
55436.88575 20.0717 0.11935
55436.88891 19.95476 0.12647
55436.89501 19.95675 0.12285
55436.89797 19.75969 0.13466
55436.91041 19.91953 0.12258
