#mjd mag magerr
55061.92501 20.77181 0.13888
55061.95573 20.78477 0.12081
55063.91987 20.61108 0.11211
55063.9639 20.60749 0.10519
55064.92128 20.66086 0.11857
55064.9656 20.59141 0.11304
55066.91014 20.60833 0.14427
55066.95474 20.778 0.11701
55069.90324 20.76657 0.11647
55069.94786 20.7379 0.14815
55084.86328 20.36538 0.19615
55087.85609 20.68658 0.14214
55087.90101 20.4545 0.11897
55088.96983 20.72026 0.14625
55089.01521 20.86714 0.12177
55089.94574 20.88696 0.13777
55089.99042 20.53642 0.14546
55093.83741 20.70519 0.17175
55093.88196 20.76886 0.12127
55096.8292 20.61636 0.13301
55114.88125 20.76459 0.13749
55119.89538 20.95692 0.14559
55123.75696 20.64868 0.16125
55123.81523 20.89575 0.17624
55126.97957 20.61739 0.24413
55127.83329 20.99281 0.21136
55127.87706 20.63669 0.17484
55142.7036 20.71395 0.15513
55144.77886 20.85983 0.13526
55151.77257 20.94646 0.15554
55175.61224 20.68529 0.15514
55175.65684 20.83867 0.11424
55183.64253 20.78728 0.16796
55189.58054 20.54311 0.16377
55199.58559 20.66864 0.17281
55202.58667 20.80788 0.18348
55203.71441 20.52866 0.17052
55207.63092 20.70291 0.14325
55207.67514 20.7306 0.13926
55209.5968 20.9642 0.13558
55209.64149 20.80303 0.12367
55213.6798 20.5896 0.21666
55381.93934 20.87043 0.22953
55384.82671 20.81059 0.18513
55384.87028 20.66858 0.15364
55385.87021 20.69716 0.12815
55385.91339 20.84417 0.13165
55386.86524 20.88211 0.17393
55387.87002 20.68193 0.12317
55387.91342 20.74445 0.12175
55388.91005 21.10695 0.13291
55392.87538 20.81092 0.13193
55394.8431 20.72936 0.18224
55395.84215 20.65265 0.18044
55396.83932 20.52683 0.11765
55397.83526 20.63844 0.14614
55398.83124 20.77096 0.17693
55411.79896 21.05185 0.21629
55419.79504 20.8601 0.22098
55421.79901 20.76437 0.11606
55422.75115 21.08224 0.17963
55422.79487 21.02857 0.14563
55423.74742 20.87334 0.15924
55423.79284 20.70348 0.16375
55424.80178 20.87416 0.14204
55425.80573 20.56313 0.11646
55426.80123 20.42934 0.1477
55426.8444 21.0028 0.13689
55427.8408 20.85244 0.21163
55428.83703 20.88137 0.14634
