#mjd mag magerr
55061.92501 19.08221 0.04398
55061.95573 19.14197 0.04313
55063.91987 19.1721 0.04729
55063.9639 19.0558 0.04261
55064.92128 19.12085 0.04862
55064.9656 19.12775 0.04867
55066.91014 19.16703 0.05178
55066.95474 19.11877 0.04686
55067.91649 19.30528 0.06942
55067.96099 19.25011 0.06851
55069.90324 19.11331 0.04337
55069.94786 19.14292 0.04462
55080.87449 19.11669 0.10872
55080.95988 19.18947 0.11009
55084.86328 18.99828 0.055
55087.85609 19.06202 0.04179
55087.90101 19.07985 0.04259
55088.96983 19.09962 0.04386
55089.01521 19.04877 0.04529
55089.94574 19.08669 0.04384
55089.99042 19.03181 0.04733
55093.83741 19.13868 0.04321
55093.88196 19.13022 0.0419
55096.8292 19.06716 0.04367
55097.00858 19.18714 0.05355
55104.99862 19.12984 0.05799
55107.79764 19.05769 0.08542
55114.88125 19.0768 0.0506
55114.92522 19.11135 0.18277
55119.89538 19.10638 0.05173
55119.95365 19.16162 0.05801
55123.75696 19.16104 0.04643
55123.81523 19.10566 0.04772
55126.97957 19.13724 0.06627
55127.83329 19.1525 0.05417
55127.87706 19.14251 0.05334
55135.82555 19.25714 0.10243
55135.86926 19.50601 0.13225
55138.71472 19.1271 0.10375
55138.75871 19.29672 0.12007
55142.7036 19.25436 0.05801
55142.75219 19.17254 0.06443
55144.77886 19.18669 0.05659
55144.82305 19.09781 0.05799
55151.72943 19.15156 0.05596
55151.77257 19.10807 0.05196
55166.70473 19.4525 0.11755
55168.63378 19.13714 0.08346
55168.6775 19.35574 0.09908
55175.61224 19.20572 0.05044
55175.65684 19.21364 0.04988
55181.59421 19.31083 0.08798
55181.63825 19.34867 0.07139
55183.59204 19.22707 0.07482
55183.64253 19.19476 0.0576
55189.58054 19.29623 0.07364
55189.62557 19.22534 0.05993
55194.59026 18.98284 0.11753
55199.58559 19.23296 0.05911
55201.58642 19.19884 0.14276
55202.58667 19.48901 0.06783
55203.71441 19.28546 0.06928
55203.75743 19.35878 0.07963
55207.63092 19.40581 0.06136
55207.67514 19.22092 0.0628
55209.5968 19.22478 0.05293
55209.64149 19.20803 0.05149
55213.63312 19.32618 0.06872
55213.6798 19.22884 0.07385
55377.85123 19.54518 0.12774
55377.89535 19.30218 0.09916
55378.90615 19.21644 0.09375
55379.8591 19.36731 0.08843
55379.92482 19.31663 0.06708
55380.87684 19.08938 0.09242
55380.92078 19.39525 0.07461
55381.89606 19.20778 0.06788
55381.93934 19.41554 0.06531
55384.82671 19.29104 0.05765
55384.87028 19.2015 0.05793
55385.87021 19.18225 0.06773
55385.91339 19.1367 0.0566
55386.86524 19.43514 0.0613
55386.90867 19.26875 0.05852
55387.87002 19.29815 0.059
55387.91342 19.24019 0.05179
55388.86609 19.35646 0.07332
55388.91005 19.17504 0.05111
55390.80957 19.2447 0.07893
55390.85393 19.29496 0.07236
55391.80613 19.30401 0.08495
55391.87538 19.32514 0.06214
55392.83258 19.2452 0.0687
55392.87538 19.25085 0.05544
55394.79908 19.33052 0.07146
55394.8431 19.32315 0.06525
55395.79551 19.22415 0.08267
55395.84215 19.34491 0.06715
55396.79527 19.30885 0.08325
55396.83932 19.35565 0.05979
55397.79163 19.31855 0.11142
55397.83526 19.29008 0.06619
55398.78764 19.63718 0.11442
55398.83124 19.33185 0.07996
55399.78802 19.49125 0.10995
55399.83261 19.34931 0.09252
55400.78534 19.3858 0.12603
55400.8289 19.50889 0.09208
55401.78133 19.08242 0.12831
55401.82518 19.06321 0.11279
55402.77979 19.37333 0.16353
55402.8246 19.19951 0.12872
55403.77642 19.20275 0.19001
55403.81973 19.19837 0.10873
55404.77424 19.6331 0.14326
55404.84266 19.52871 0.11624
55405.8416 19.26873 0.10526
55407.83003 19.30709 0.11153
55411.79896 19.13988 0.08615
55412.75232 19.41844 0.12557
55412.79539 19.2505 0.0967
55413.79945 19.59138 0.10398
55414.75161 19.2289 0.16955
55414.79555 19.40973 0.08609
55415.75266 19.41624 0.13686
55415.79727 19.26582 0.12064
55416.75096 19.44745 0.11748
55416.79342 19.28553 0.08503
55417.75979 19.36315 0.12921
55417.84511 19.31362 0.09975
55418.79843 19.21748 0.08659
55418.84121 19.26623 0.08792
55419.75121 19.28133 0.1377
55419.79504 19.24731 0.08813
55420.78929 19.47435 0.15052
55420.83264 19.55364 0.09563
55421.73664 19.28023 0.06685
55421.79901 19.23228 0.05077
55422.75115 19.22939 0.06227
55422.79487 19.311 0.05816
55423.74742 19.44742 0.06607
55423.79284 19.35107 0.05734
55424.75349 19.39772 0.07143
55424.80178 19.26571 0.05258
55425.76166 19.1307 0.06783
55425.80573 19.20477 0.05364
55426.80123 19.09682 0.06403
55426.8444 19.15277 0.05095
55427.79708 19.38466 0.07553
55427.8408 19.19673 0.0556
55428.79281 19.31965 0.07192
55428.83703 19.26404 0.06454
55429.8142 19.19725 0.06817
55429.85716 19.26603 0.06358
55430.75769 19.38604 0.09145
55430.80485 19.13528 0.07351
55431.75639 19.27456 0.08321
55431.80024 19.25726 0.08234
55432.73907 19.50294 0.15572
55432.78359 19.39017 0.13249
55433.7493 18.97032 0.12966
55434.73769 19.40382 0.12614
55435.69148 19.435 0.1449
55436.88575 19.29717 0.08955
55436.88891 19.15561 0.08307
55436.8919 19.17657 0.08449
55436.89501 19.23313 0.10395
55436.89797 19.39737 0.08863
55436.90109 19.20481 0.09157
55436.9042 19.19415 0.09425
55436.90728 19.12926 0.09077
55436.91041 19.39249 0.11444
55436.91351 19.12566 0.11243
55436.91641 19.07415 0.11249
55436.91931 19.12052 0.10134
55436.92221 19.13275 0.09938
55436.92514 19.33556 0.10231
55436.92806 19.19432 0.09754
55436.93096 19.28171 0.08852
55436.93413 19.2443 0.11642
55436.93703 19.13009 0.0886
55436.93974 19.07039 0.08606
55436.94297 19.42926 0.10402
55436.94613 19.24506 0.08795
55436.94915 19.29036 0.11044
55436.95231 19.40599 0.08973
55436.9553 19.42054 0.09692
55436.95826 19.12915 0.09294
55436.96116 19.43123 0.08145
55436.96403 19.27621 0.10633
55436.96671 19.13022 0.0977
55438.88857 19.30652 0.07433
55438.89169 19.28208 0.08235
55438.89485 19.4276 0.07985
55438.89798 19.2489 0.08948
55438.90086 19.13977 0.07641
55438.90371 19.11126 0.06711
55438.9065 19.26467 0.07538
55438.90927 19.14815 0.08187
55438.91204 19.25867 0.07547
55438.91487 19.28087 0.07553
55438.91763 19.06369 0.06905
55438.92084 19.35196 0.08226
55438.92394 19.3398 0.08005
55438.92672 19.39804 0.08684
55438.92954 19.27336 0.08009
55438.93259 19.25504 0.09098
55438.93551 19.3982 0.08747
55438.93833 19.39541 0.08479
55438.94106 19.33438 0.08349
55438.94411 19.41975 0.0862
55438.94678 19.29655 0.08465
55438.95017 19.44388 0.08561
55438.95913 19.32257 0.08725
55438.96141 19.30873 0.08267
55440.87507 19.20778 0.06248
55440.87823 19.10744 0.05405
55440.88428 19.27929 0.05644
55440.88675 19.20785 0.05935
55440.8894 19.17188 0.0544
55440.89205 19.09184 0.05439
55440.89518 19.24839 0.05716
55440.89832 19.31672 0.05857
55440.90145 19.16095 0.05658
55440.90439 19.24996 0.05547
55440.90729 19.29192 0.0611
55440.91025 19.20325 0.06518
55440.91316 19.13156 0.05289
55440.91591 19.17275 0.05577
55440.9187 19.25622 0.06005
55440.92149 19.15072 0.05265
55440.92426 19.2576 0.0582
55440.93095 19.22071 0.06596
55440.93364 19.21832 0.05962
55440.93623 19.23862 0.05922
55440.9395 19.27206 0.07272
55440.94264 19.22781 0.05913
55440.94582 19.0407 0.05748
55440.94883 19.2252 0.06058
55440.95182 19.19742 0.06053
55440.95489 19.22214 0.05895
55440.95791 19.19949 0.05789
55441.87301 19.23137 0.05248
55441.87592 19.2596 0.05443
55441.88645 19.18886 0.0501
55441.88962 19.18387 0.04922
55441.89254 19.19937 0.0531
55441.89542 19.24589 0.05298
55441.89828 19.20827 0.05045
55441.90107 19.22549 0.05134
55441.9037 19.16922 0.05443
