#mjd mag magerr
55063.91987 20.9221 0.13783
55063.9639 20.5338 0.17173
55064.92128 20.56285 0.17499
55069.90324 20.86831 0.23869
55069.94786 20.49092 0.13181
55087.85609 20.72302 0.16037
55087.90101 20.36884 0.11245
55088.96983 20.64462 0.15267
55089.01521 20.53377 0.14949
55089.94574 20.68168 0.15352
55089.99042 20.6818 0.1641
55093.83741 20.42168 0.15412
55093.88196 20.67622 0.15068
55097.00858 21.01914 0.16178
55114.88125 20.8428 0.16869
55119.89538 20.62338 0.176
55123.75696 20.92604 0.15817
55126.97957 20.35924 0.15501
55127.83329 20.5495 0.21077
55127.87706 20.31851 0.16118
55142.7036 20.94836 0.22016
55142.75219 20.18354 0.22007
55144.82305 20.8598 0.17566
55151.72943 20.53856 0.18285
55151.77257 20.55307 0.15955
55175.61224 20.57972 0.13719
55175.65684 20.69064 0.13703
55181.59421 20.39983 0.19429
55181.63825 20.58867 0.21233
55183.59204 20.26307 0.16445
55183.64253 20.65776 0.18209
55199.58559 20.53596 0.16021
55202.58667 20.59201 0.18629
55207.63092 20.71181 0.16096
55207.67514 20.44492 0.1262
55209.5968 20.44877 0.15178
55209.64149 20.37103 0.13158
55213.63312 20.61418 0.12637
55379.92482 20.56263 0.18836
55381.93934 20.77254 0.20384
55384.82671 20.68504 0.17845
55384.87028 20.7805 0.15109
55385.87021 20.59325 0.16925
55385.91339 20.5587 0.13728
55386.90867 20.44175 0.16684
55387.91342 20.64219 0.1489
55388.91005 20.81404 0.13794
55392.83258 20.5482 0.21686
55392.87538 20.38486 0.17168
55394.79908 20.89152 0.20516
55394.8431 20.82715 0.17765
55395.84215 20.41391 0.18026
55396.83932 20.61965 0.15587
55397.83526 20.53708 0.19106
55400.8289 20.54689 0.19029
55420.83264 20.47764 0.19875
55421.79901 20.75528 0.13856
55422.75115 20.60839 0.16626
55422.79487 20.593 0.17565
55423.79284 20.45307 0.16695
55425.80573 20.78577 0.17018
55426.8444 20.54277 0.16171
55427.8408 20.60272 0.14658
55428.83703 20.94004 0.20324
55430.80485 20.43928 0.22937
55432.78359 20.25417 0.15898
55438.90086 20.48077 0.21278
55438.90927 20.25215 0.18902
55440.87507 20.61879 0.17966
55440.88428 20.38729 0.18197
55440.88675 20.65185 0.14546
55440.8894 20.69188 0.18216
55440.89205 20.75084 0.17276
55440.89518 20.96539 0.21914
55440.89832 20.85872 0.15786
55440.90145 20.43895 0.10869
55440.90439 20.63896 0.17129
55440.91025 20.60125 0.18057
55440.91316 20.86856 0.21625
55440.9187 20.55622 0.18455
55440.92149 20.89672 0.16355
55440.92426 20.5726 0.17557
55440.93095 20.50171 0.15087
55440.93364 20.82131 0.21936
55440.93623 20.65261 0.20584
55440.9395 20.72306 0.16026
55440.94264 20.43481 0.20924
55440.94582 20.7047 0.20745
55440.94883 20.5882 0.17876
55440.95182 20.63942 0.18814
55440.95489 20.36214 0.15936
55440.95791 20.54549 0.13179
55441.87592 20.5896 0.15781
55441.88645 20.23486 0.148
55441.88962 20.58287 0.12742
55441.89254 20.76337 0.16799
55441.89828 20.41427 0.13719
55441.90107 20.48349 0.16041
55441.9037 20.81622 0.19766
55441.90634 20.9511 0.17728
55441.90906 20.35483 0.15459
55441.91445 20.80217 0.15228
55441.91722 20.52701 0.15638
55441.91981 20.7656 0.19335
55441.92546 20.49071 0.15236
55441.9281 20.65722 0.16987
55441.93183 20.37175 0.1341
55441.93458 20.90853 0.14839
55441.93727 20.47318 0.15857
55441.94048 20.44524 0.12341
55441.94326 20.47776 0.14861
55441.94546 20.53159 0.14707
55441.94852 20.81903 0.14149
55441.95194 20.59007 0.16729
55441.95469 20.60821 0.1548
55441.95786 20.8784 0.1344
55441.96392 20.75895 0.14569
55441.96715 20.57667 0.16151
55441.97012 20.60077 0.12931
55441.97294 20.56614 0.20228
55441.97532 20.33612 0.1502
55441.9798 20.57178 0.14376
55441.9835 20.80516 0.17841
55441.9863 20.63172 0.15729
55441.98852 20.82611 0.21407
55441.99078 20.7345 0.14308
55441.99382 20.76909 0.17787
55442.01486 20.35613 0.18078
55442.70382 20.99232 0.14689
55442.70734 20.92958 0.16699
55442.71097 20.85921 0.16286
55442.71808 20.70123 0.15106
55442.72168 20.50245 0.15676
55442.72527 20.82036 0.20426
55442.73272 20.57302 0.14908
55442.74184 20.55869 0.1291
55442.74882 20.75446 0.19985
55442.75572 20.59153 0.12898
55442.76147 20.43008 0.14686
55442.76615 20.93806 0.15403
55442.77616 20.47663 0.15031
55442.78135 20.63768 0.15708
55442.78615 20.55691 0.11332
55442.79145 20.44919 0.13962
55442.79615 20.76387 0.16549
55442.80186 20.44843 0.14483
55442.8093 20.70439 0.13777
55442.81939 20.79528 0.18102
55442.82447 20.43458 0.15112
55442.8293 20.5947 0.16174
55442.83541 20.55367 0.15044
55442.84012 20.75597 0.15711
55442.84597 20.96453 0.14473
55442.85112 20.67772 0.12205
55442.85657 20.61118 0.11575
55442.86387 20.76892 0.18029
55442.87002 20.50378 0.1273
55442.88048 20.63579 0.15412
55442.88617 20.88928 0.13534
55442.89221 20.36714 0.14202
55442.89785 20.61221 0.14489
55442.90297 20.66125 0.1362
55442.90871 20.56655 0.15087
55442.91368 20.47224 0.14195
55442.91875 20.45715 0.14559
55442.92384 20.64671 0.16667
55442.93037 20.80608 0.13741
55442.93642 20.5805 0.15249
55442.95166 20.57217 0.12894
55442.95754 20.81279 0.21547
55442.96246 20.93862 0.1853
55442.96833 20.78653 0.16065
55442.97317 20.60899 0.15057
55442.97782 20.83543 0.13697
55442.9872 20.71833 0.16661
55442.99348 20.63249 0.1422
55442.99858 20.48886 0.1445
55443.00329 20.67194 0.1712
55443.01002 20.63987 0.16027
55443.01702 20.78783 0.15198
55443.69287 20.62782 0.18954
55443.70415 20.75559 0.21605
55443.72832 20.86413 0.16617
55443.736 20.53664 0.15956
55443.74306 20.37817 0.15126
55443.74812 20.7838 0.12669
55443.75372 20.5406 0.18046
55443.75946 20.81019 0.13201
55443.76526 20.44338 0.17266
55443.78027 20.6958 0.18215
55443.78539 20.66385 0.16306
55443.79717 20.76607 0.14355
55443.80302 20.53173 0.16437
55443.80895 20.50347 0.18885
55443.81493 20.70845 0.16516
55443.8204 20.46993 0.17365
55443.82634 20.45414 0.14855
55443.83239 20.555 0.13639
55443.83783 20.44806 0.13987
55443.84415 20.53431 0.15506
55443.84958 20.47252 0.14816
55443.85553 20.97666 0.15595
55443.86252 20.89888 0.19025
55443.87576 20.29829 0.13937
55443.88141 20.43646 0.1219
55443.88892 20.46765 0.13159
55443.89412 20.93038 0.15657
55443.90077 20.79491 0.13817
55443.91235 20.47201 0.15085
55443.92967 20.88731 0.20284
55443.93496 20.64197 0.15516
55443.94073 20.29124 0.15835
55443.95355 20.60859 0.13626
55443.95925 20.73446 0.18266
55443.9693 20.58762 0.13576
55443.97555 20.59875 0.13547
55443.98144 20.87712 0.15906
55443.98725 20.94874 0.16998
55443.99456 20.63846 0.15465
55444.00093 20.7282 0.18935
55444.0061 20.52569 0.16136
55444.01187 20.73252 0.20885
55444.70198 20.56359 0.21193
55444.7091 20.38956 0.16494
55444.72103 20.45606 0.17577
55444.73377 20.66709 0.17636
55444.74094 20.58002 0.16715
55444.74655 20.66623 0.15474
55444.75678 20.76238 0.18785
55444.77353 20.8502 0.17937
55444.77876 20.50168 0.14518
55444.79848 20.43113 0.15868
55444.80403 20.67239 0.15218
55444.81599 20.58261 0.1897
55444.8213 20.50355 0.141
55444.83332 20.68606 0.16967
55444.83854 20.43947 0.1261
55444.84549 20.81205 0.1554
55444.85161 20.37148 0.12132
55444.85679 20.6707 0.15898
55444.86267 20.55544 0.14896
55444.86777 20.2231 0.13733
55444.87872 20.58102 0.18967
55444.89016 20.85218 0.19485
55444.90153 20.67227 0.13508
55444.90845 20.81633 0.17537
55444.91349 20.72613 0.17904
55444.92279 20.47842 0.13106
55444.93139 20.42244 0.15027
55444.94041 20.90772 0.15025
55444.94568 20.66716 0.15558
55444.951 20.58513 0.17555
55444.95724 20.77412 0.16696
55444.96923 20.6155 0.1351
55444.97411 20.46938 0.12137
55444.98062 20.93126 0.14149
55444.98915 20.55785 0.16116
55444.99553 20.54531 0.16956
55445.00157 20.36859 0.15278
55445.00779 20.89306 0.15699
55445.01282 20.37054 0.17735
55445.01777 20.62737 0.19487
55445.67731 20.24749 0.15508
55445.68422 20.66401 0.19675
55445.6905 20.38413 0.16729
55445.69681 20.59204 0.17036
55445.70294 20.53343 0.17928
55445.70921 20.32769 0.17927
55445.7456 20.8206 0.17517
55445.75096 20.55853 0.1486
55445.75643 20.78158 0.17767
55445.76784 20.66135 0.18057
55445.7737 20.82508 0.19875
55445.779 20.52178 0.1618
55445.78479 20.94012 0.15528
55445.79613 20.30272 0.12804
55445.81095 20.7426 0.13554
55445.81845 20.85255 0.15608
55445.82455 20.41066 0.14221
55445.83024 20.80276 0.1672
55445.84021 20.6171 0.1417
55445.84549 20.47079 0.15337
55445.85174 20.57157 0.14027
55445.85762 20.78493 0.17607
55445.8636 20.48905 0.14037
55445.86963 20.38502 0.15138
55445.87567 20.43975 0.14903
55445.88207 20.65893 0.14799
55445.88844 20.71127 0.20307
55445.89432 20.31924 0.13136
55445.89983 20.52099 0.14556
55445.90668 20.46895 0.12787
55445.91299 20.91201 0.15735
55445.91722 20.46142 0.15268
55445.92351 20.8573 0.1694
55445.92915 20.76238 0.15816
55445.93496 20.42916 0.1362
55445.94048 20.24238 0.1166
55445.95216 20.45079 0.15628
55445.95886 20.53374 0.12747
55445.97191 20.60228 0.16528
55445.97872 20.4637 0.16177
55445.98437 20.47533 0.14328
55445.98972 20.64557 0.15799
55445.99581 20.60089 0.14892
55446.00245 20.49512 0.17119
55446.00827 20.56457 0.14828
55446.01787 20.49982 0.13338
55446.67089 20.23061 0.16007
55446.68915 20.899 0.18316
55446.71375 20.61906 0.16467
55446.71998 20.42939 0.17386
55446.7269 20.62551 0.15707
55446.73768 20.64263 0.15899
55446.74263 20.45229 0.19179
55446.76487 20.55111 0.1576
55446.77004 20.32756 0.12924
55446.78018 20.48562 0.13924
55446.78654 20.31319 0.15789
55446.79243 20.53201 0.14531
55446.79818 20.28661 0.11572
55446.80822 20.29548 0.12766
55446.81934 20.50542 0.14458
55446.82569 20.43675 0.15649
55446.83186 20.68934 0.16009
55446.83803 20.51045 0.11704
55446.84316 20.6445 0.16704
55446.84946 20.57253 0.14811
55446.86132 20.72328 0.17036
55446.87321 20.48813 0.18787
55446.87945 20.66277 0.16316
55446.88583 20.79148 0.13092
55446.89176 20.41467 0.13319
55446.89901 20.50047 0.15877
55446.91293 20.88365 0.15307
55446.91958 20.33715 0.13188
55446.92538 20.49514 0.15175
55446.93113 20.69058 0.13883
55446.93686 20.59491 0.14229
55446.94237 20.42223 0.15441
55446.94842 20.5474 0.15444
55446.95451 20.22079 0.12577
55446.96034 20.46103 0.1512
