#mjd mag magerr
55061.95573 18.64375 0.02711
55063.91987 18.66654 0.03064
55063.9639 18.65551 0.02763
55064.92128 18.64746 0.03991
55064.9656 18.73696 0.03686
55066.91014 18.71886 0.04121
55066.95474 18.6945 0.03231
55067.91649 18.86277 0.05823
55067.96099 18.77073 0.06442
55069.90324 18.70432 0.02541
55069.94786 18.71203 0.02666
55080.87449 18.64347 0.17361
55080.95988 18.81298 0.21075
55084.86328 18.61939 0.04113
55087.90101 18.74219 0.02784
55088.96983 18.78491 0.03267
55089.94574 18.72176 0.03174
55093.88196 18.70776 0.02563
55096.8292 18.67572 0.02787
55104.99862 18.64599 0.03886
55107.79764 18.68192 0.0728
55114.92522 18.60504 0.06529
55119.95365 18.7765 0.03377
55123.75696 18.50325 0.03769
55126.97957 18.67882 0.03853
55135.82555 18.73052 0.06609
55135.86926 18.85144 0.07018
55138.71472 18.6605 0.06864
55138.75871 18.84735 0.08861
55142.7036 18.72644 0.03365
55142.75219 18.71807 0.04046
55144.77886 18.6652 0.03508
55144.82305 18.70472 0.04325
55151.72943 18.80762 0.0368
55151.77257 18.76582 0.03266
55166.70473 18.77881 0.0641
55166.74897 18.75683 0.06578
55168.63378 18.71724 0.05239
55168.6775 18.90018 0.0512
55175.61224 18.70228 0.03308
55175.65684 18.79881 0.03306
55181.59421 18.71003 0.04788
55181.63825 18.92214 0.04402
55183.59204 18.90497 0.06407
55183.64253 18.84158 0.03788
55189.58054 18.87189 0.04779
55189.62557 18.77021 0.04179
55194.59026 18.8355 0.07092
55199.58559 18.8063 0.04186
55380.87684 18.70975 0.05823
55380.92078 18.77407 0.05172
55381.89606 18.78233 0.04126
55381.93934 18.80033 0.03811
55386.86524 18.77465 0.03666
55386.90867 18.77999 0.03457
55391.87538 18.72227 0.03739
55396.79527 18.71234 0.05545
55396.83932 18.72365 0.03839
55401.78133 18.82631 0.12404
55401.82518 18.57881 0.08853
55407.7691 18.78509 0.14182
55413.79945 18.8688 0.06059
55416.75096 18.72248 0.08393
55416.79342 18.82619 0.06803
55419.75121 18.73512 0.08435
55419.79504 18.8701 0.0663
55422.75115 18.72182 0.04456
55422.79487 18.70489 0.03674
55426.80123 18.58075 0.06077
55426.8444 18.68937 0.05027
55429.8142 18.81279 0.0461
55429.85716 18.7764 0.04083
55432.73907 18.66866 0.06803
55432.78359 18.86301 0.07455
55435.69148 18.75815 0.13505
55438.88857 18.67067 0.06798
55438.89798 18.60661 0.06509
55438.91204 18.65812 0.06453
55438.91763 18.78987 0.06401
55438.92394 18.87077 0.09372
55438.92672 18.59107 0.07197
55438.94106 18.59056 0.06928
55438.95017 18.60524 0.06504
55441.87301 18.73852 0.03051
55441.87592 18.77444 0.02938
55441.88645 18.78939 0.02952
55441.88962 18.8098 0.02991
55441.89254 18.80057 0.02932
55441.89542 18.72117 0.02991
55441.89828 18.83021 0.03095
55441.90107 18.76794 0.03097
55441.9037 18.81874 0.02955
55441.90634 18.77419 0.02976
55441.90906 18.75849 0.02901
55441.9118 18.76193 0.02775
55441.91445 18.77244 0.02952
55441.91722 18.72166 0.02747
55441.91981 18.82907 0.03296
55441.92242 18.68655 0.02926
55441.92546 18.78405 0.02918
55441.9281 18.77664 0.03016
55441.93183 18.73322 0.02961
55441.93458 18.75673 0.02801
55441.93727 18.74509 0.03063
55441.94048 18.73266 0.02924
55441.94326 18.77528 0.02906
55441.94546 18.75585 0.02852
55441.94852 18.79633 0.02848
55441.95194 18.78421 0.02953
55441.95469 18.77038 0.03046
55441.95786 18.75119 0.0295
55441.96081 18.76562 0.03134
55441.96392 18.69961 0.0292
55441.96715 18.74849 0.02783
55441.97012 18.77828 0.02947
55441.97294 18.76669 0.02934
55441.97532 18.73457 0.02887
55441.97757 18.74147 0.02953
55441.9798 18.68942 0.0292
55441.9835 18.75518 0.02917
55441.9863 18.72539 0.03033
55441.98852 18.7954 0.03259
55441.99078 18.76136 0.03098
55441.99382 18.69702 0.03044
55442.00593 18.7455 0.03078
55442.00906 18.74866 0.03463
55442.01216 18.77707 0.03353
55442.01486 18.77266 0.04032
55442.01753 18.84585 0.04693
55442.02001 18.77875 0.04922
55442.02226 18.90807 0.06436
55444.66648 18.64468 0.05744
55444.67221 18.74124 0.04597
55444.67727 18.80352 0.04806
55444.68857 18.81409 0.04338
55444.69526 18.78727 0.03986
55444.70198 18.73796 0.03945
55444.7091 18.85138 0.04619
55444.71487 18.7242 0.0375
55444.72103 18.80981 0.0358
55444.72796 18.81571 0.03796
55444.73377 18.714 0.03152
55444.74094 18.75406 0.03389
