#mjd mag magerr
55061.92501 17.59683 0.0198
55061.95573 17.61175 0.01879
55063.91987 17.57354 0.02091
55063.9639 17.61651 0.02047
55064.92128 17.65145 0.02911
55064.9656 17.65196 0.02917
55066.91014 17.63986 0.02521
55066.95474 17.7005 0.0245
55067.91649 17.63177 0.03155
55067.96099 17.64273 0.03276
55069.90324 17.66032 0.0177
55069.94786 17.65703 0.01721
55080.95988 17.74398 0.0896
55084.86328 17.67039 0.02903
55087.85609 17.59224 0.01912
55087.90101 17.62319 0.01846
55088.96983 17.64991 0.01828
55089.01521 17.6777 0.02045
55089.94574 17.62376 0.01971
55089.99042 17.64382 0.0204
55093.83741 17.61649 0.01737
55093.88196 17.62676 0.01662
55096.8292 17.68472 0.02026
55097.00858 17.71417 0.02262
55104.99862 17.67599 0.0238
55107.79764 17.77192 0.04076
55114.88125 17.71699 0.02788
55119.89538 17.71914 0.02139
55119.95365 17.6675 0.02353
55123.75696 17.70425 0.02015
55123.81523 17.68886 0.01996
55126.97957 17.57582 0.03022
55127.83329 17.7262 0.0217
55127.87706 17.68361 0.02237
55135.82555 17.59052 0.04087
55135.86926 17.62944 0.04335
55138.75871 17.79035 0.04897
55142.7036 17.73344 0.02316
55142.75219 17.75707 0.02545
55144.77886 17.74419 0.02123
55144.82305 17.72371 0.02454
55151.72943 17.70862 0.02253
55151.77257 17.69882 0.022
55166.70473 17.82381 0.04797
55166.74897 17.85383 0.047
55168.63378 17.81524 0.04087
55168.6775 17.79518 0.03959
55175.61224 17.67028 0.02488
55175.65684 17.73281 0.02555
55181.59421 17.70803 0.03133
55181.63825 17.66314 0.02727
55183.59204 17.75697 0.03723
55183.64253 17.72258 0.02484
55189.58054 17.65789 0.02754
55189.62557 17.75621 0.02571
55199.58559 17.7673 0.02346
55380.87684 17.73375 0.03262
55380.92078 17.64308 0.03097
55381.89606 17.68933 0.02661
55381.93934 17.60834 0.02354
55386.86524 17.67566 0.02164
55386.90867 17.65199 0.0216
55391.80613 17.79527 0.03029
55391.87538 17.74927 0.02317
55396.79527 17.58534 0.03952
55396.83932 17.66265 0.02804
55401.82518 17.8548 0.0501
55407.83003 17.80649 0.04948
55413.75577 17.69036 0.04475
55413.79945 17.6328 0.03645
55416.75096 17.78848 0.04138
55416.79342 17.64219 0.033
55419.75121 17.73012 0.04377
55419.79504 17.7681 0.03512
55422.75115 17.72582 0.02496
55422.79487 17.67689 0.02168
55426.80123 17.65574 0.0428
55426.8444 17.68937 0.0361
55429.8142 17.65679 0.03105
55429.85716 17.7004 0.02779
55438.88857 17.67667 0.03079
55438.89169 17.8274 0.03405
55438.89485 17.83022 0.03382
55438.89798 17.80461 0.03249
55438.90086 17.72609 0.03213
55438.90371 17.76355 0.02968
55438.9065 17.72768 0.02938
55438.90927 17.83535 0.0314
55438.91204 17.75512 0.02969
55438.91487 17.76059 0.03209
55438.91763 17.78787 0.03301
55438.92084 17.75121 0.03422
55438.92394 17.82077 0.03652
55438.92672 17.72307 0.03347
55438.92954 17.76919 0.036
55438.93259 17.72959 0.03426
55438.93551 17.81256 0.03545
55438.93833 17.8024 0.0345
55438.94106 17.80056 0.03536
55438.94411 17.7421 0.03561
55438.94678 17.78441 0.0349
55438.95017 17.72424 0.03179
55438.95913 17.75217 0.03334
55438.96141 17.82349 0.0354
55441.87301 17.72951 0.01993
55441.87592 17.72943 0.01942
55441.88645 17.67439 0.01925
55441.88962 17.6758 0.01973
55441.89254 17.70257 0.01948
55441.89542 17.70617 0.02017
55441.89828 17.64721 0.01901
55441.90107 17.74594 0.02022
55441.9037 17.67274 0.01977
55441.90634 17.67519 0.0194
55441.90906 17.66449 0.01888
55441.9118 17.74293 0.02009
55441.91445 17.67245 0.01943
55441.91722 17.66766 0.01981
55441.91981 17.67007 0.02052
55441.92242 17.71755 0.01998
55441.92546 17.68305 0.01972
55441.9281 17.67163 0.0197
55441.93183 17.68323 0.01982
55441.93458 17.63573 0.01945
55441.93727 17.62309 0.01878
55441.94048 17.68266 0.01917
55441.94326 17.69728 0.02003
