#mjd mag magerr
61.92501 18.78083 0.02731
61.95573 18.72475 0.02594
63.91987 18.68654 0.02596
63.9639 18.70951 0.02715
64.92128 18.74046 0.03394
64.9656 18.77996 0.03417
66.91014 18.72786 0.03074
66.95474 18.7535 0.02892
67.91649 18.74377 0.04218
67.96099 18.75073 0.04281
69.90324 18.75232 0.02659
69.94786 18.73903 0.02775
80.87449 18.83047 0.07966
80.95988 18.86798 0.0894
84.86328 18.77539 0.04143
87.85609 18.87724 0.02884
87.90101 18.84419 0.02833
88.96983 18.75291 0.02752
89.01521 18.7737 0.02941
89.94574 18.83476 0.02859
89.99042 18.82882 0.02994
93.83741 18.86449 0.02838
93.88196 18.84076 0.02652
96.8292 18.81172 0.03061
97.00858 18.93217 0.0378
104.99862 18.88299 0.04114
107.79764 18.89892 0.07061
114.88125 18.94399 0.04338
114.92522 19.26404 0.09292
119.89538 18.94813 0.03922
119.95365 18.9335 0.04041
123.75696 19.03625 0.037
123.81523 18.96686 0.03824
126.97957 19.14082 0.05164
127.83329 19.0352 0.0428
127.87706 19.06461 0.0422
135.82555 19.19952 0.07475
135.86926 19.12044 0.08174
138.71472 18.98651 0.0839
138.75871 19.15335 0.08751
142.7036 18.96344 0.03832
142.75219 18.97808 0.04574
144.77886 18.9642 0.03666
144.82305 18.95371 0.04514
151.72943 18.95162 0.04267
151.77257 19.02682 0.03723
166.70473 18.95081 0.07158
166.74897 19.04683 0.08143
168.63378 18.88224 0.05925
168.6775 18.90518 0.07132
175.61224 19.04228 0.03684
175.65684 19.03781 0.03591
181.59421 18.97403 0.0532
181.63825 19.01914 0.04499
183.59204 18.81197 0.06496
183.64253 18.99258 0.04132
189.58054 19.17889 0.05218
189.62557 19.01821 0.04278
194.59026 19.17351 0.09092
199.58559 19.0423 0.04106
201.58642 18.92312 0.09004
380.87684 18.75275 0.06142
380.92078 18.87908 0.05132
381.89606 18.84833 0.03848
381.93934 18.87834 0.0407
386.86524 18.82565 0.03358
386.90867 18.74499 0.03299
391.80613 18.69727 0.05413
391.87538 18.79127 0.03451
396.79527 18.85034 0.06206
396.83932 18.78564 0.03839
401.78133 18.65331 0.08719
401.82518 18.68081 0.07722
407.7691 18.97309 0.08305
407.83003 18.89049 0.07618
413.75577 18.96836 0.08087
413.79945 18.92581 0.06526
416.75096 18.86548 0.06765
416.79342 19.06619 0.05891
419.75121 18.88012 0.07777
419.79504 18.9071 0.06364
422.75115 18.80683 0.04555
422.79487 18.81889 0.03446
426.80123 18.84575 0.05267
426.8444 18.88337 0.04352
429.8142 18.90479 0.04753
429.85716 18.9044 0.04149
432.73907 19.07666 0.08758
435.69148 19.03815 0.11404
438.88857 18.95567 0.06458
438.89169 18.9924 0.07296
438.89485 19.04522 0.05589
438.89798 19.01461 0.0627
438.90086 18.92209 0.04882
438.90371 19.01755 0.05615
438.9065 19.05568 0.05281
438.90927 19.06035 0.05164
438.91204 18.99912 0.05346
438.91487 19.07359 0.05453
438.91763 18.91987 0.05674
438.92084 19.09122 0.06746
438.92394 19.01677 0.06059
438.92672 18.87607 0.05313
438.92954 19.13419 0.06906
438.93259 18.91459 0.06758
438.93551 18.99256 0.07377
438.93833 18.9654 0.07334
438.94106 19.05456 0.0622
438.94411 18.8161 0.05656
438.94678 19.03841 0.06173
438.95017 18.96324 0.05906
438.95913 18.84217 0.05501
438.96141 19.03649 0.0595
441.87301 18.98251 0.03638
441.87592 18.98743 0.03513
441.88645 19.09839 0.03628
441.88962 19.0338 0.03535
441.89254 18.98857 0.03496
441.89542 19.02517 0.03497
441.89828 19.02121 0.03582
441.90107 18.96794 0.03444
441.9037 19.00474 0.03391
441.90634 19.05419 0.03651
441.90906 18.97549 0.03357
441.9118 18.94293 0.03211
441.91445 19.06344 0.03508
441.91722 19.02366 0.0332
441.91981 19.06207 0.03793
441.92242 19.01655 0.03581
441.92546 18.97905 0.03424
441.9281 18.96963 0.03423
441.93183 18.98522 0.03568
441.93458 18.98372 0.03425
441.93727 19.00709 0.0358
441.94048 19.02666 0.03441
441.94326 19.05728 0.03391
441.94546 19.07285 0.03436
441.94852 19.03533 0.03393
441.95194 19.04221 0.0347
441.95469 19.01538 0.03363
441.95786 18.98019 0.03316
441.96081 19.07362 0.037
441.96392 18.99161 0.03445
441.96715 18.92649 0.03169
441.97012 19.01028 0.03453
441.97294 19.03669 0.03409
441.97532 18.99957 0.03411
441.97757 19.02647 0.03738
441.9798 19.01342 0.03584
441.9835 18.94918 0.03174
441.9863 19.10339 0.03737
441.98852 19.0094 0.03517
441.99078 18.94736 0.03376
441.99382 19.03802 0.03708
442.00593 19.0045 0.03892
442.00906 19.09866 0.04159
442.01216 19.00407 0.04069
442.01486 19.09366 0.0451
442.01753 18.96485 0.05221
442.02001 19.14275 0.06504
442.02226 19.02208 0.06744
444.66648 19.01268 0.06671
444.67221 19.05224 0.0566
444.67727 19.13552 0.05871
444.68857 19.11009 0.05245
444.69526 19.09227 0.04743
444.70198 19.12396 0.0492
444.7091 19.05638 0.05565
444.71487 19.0112 0.04587
444.72103 19.17982 0.04546
444.72796 19.01971 0.04364
444.73377 18.95 0.04306
444.74094 19.10606 0.04125
444.74655 18.97065 0.04097
444.75167 19.01433 0.03931
444.75678 18.98777 0.03717
444.76225 19.03829 0.03592
444.7673 19.04385 0.03655
444.77353 18.99163 0.0368
444.77876 18.97447 0.03568
444.78368 19.05461 0.03623
444.79848 19.0061 0.03533
444.80403 19.04424 0.03671
444.81599 19.0613 0.0361
444.8213 18.98997 0.0351
444.83332 18.93438 0.03356
444.83854 18.9896 0.03505
444.84549 19.0264 0.0349
444.85161 19.02495 0.03392
444.85679 18.97776 0.0323
444.86267 19.04195 0.03959
