#mjd mag magerr
55061.92501 19.92083 0.05794
55061.95573 19.83875 0.05072
55063.91987 19.91154 0.05631
55063.9639 19.91851 0.05804
55064.92128 19.96846 0.07085
55064.9656 20.00996 0.07248
55066.91014 19.90686 0.06291
55066.95474 19.9155 0.06069
55067.91649 19.91477 0.09157
55067.96099 19.96173 0.09739
55069.90324 19.92832 0.05519
55069.94786 19.95403 0.05842
55084.86328 19.89639 0.08316
55087.85609 20.02224 0.06894
55087.90101 19.94119 0.05811
55088.96983 20.06891 0.06324
55089.01521 20.0977 0.07003
55089.94574 19.83176 0.06023
55089.99042 19.98882 0.06545
55093.83741 20.05449 0.06193
55093.88196 20.03176 0.05565
55096.8292 19.93072 0.0643
55097.00858 20.11118 0.07947
55104.99862 20.28399 0.10024
55107.79764 19.97392 0.13311
55114.88125 20.07199 0.08801
55114.92522 20.28104 0.15563
55119.89538 19.88913 0.07048
55119.95365 20.0735 0.08445
55123.75696 20.03825 0.07026
55123.81523 19.95086 0.06654
55126.97957 19.99982 0.08944
55127.83329 19.9982 0.07936
55127.87706 20.14861 0.09079
55135.82555 19.71752 0.13864
55138.71472 19.9705 0.13033
55138.75871 20.14535 0.22358
55142.7036 19.96944 0.0807
55142.75219 19.91307 0.10036
55144.77886 19.8012 0.08835
55144.82305 20.07771 0.08722
55151.72943 20.02962 0.07799
55151.77257 20.03382 0.07482
55166.70473 20.21981 0.14569
55168.63378 20.05324 0.10604
55168.6775 19.97218 0.1564
55175.61224 19.95228 0.0636
55175.65684 19.92281 0.06219
55181.59421 20.04303 0.11002
55181.63825 20.01114 0.10114
55183.59204 20.06997 0.11971
55183.64253 20.04658 0.08799
55189.58054 20.10789 0.0972
55189.62557 20.43721 0.11257
55194.59026 19.9755 0.13458
55199.58559 19.9623 0.07634
55380.87684 20.08575 0.14389
55380.92078 20.10607 0.13828
55381.89606 19.77433 0.07415
55381.93934 19.64234 0.08569
55386.86524 20.05666 0.07642
55386.90867 19.81799 0.06829
55391.80613 20.02927 0.11136
55391.87538 19.93827 0.07335
55396.79527 20.41233 0.1445
55396.83932 19.70564 0.07054
55401.82518 19.75481 0.15827
55407.83003 20.25149 0.14749
55413.75577 20.10136 0.15095
55413.79945 19.88681 0.10617
55416.75096 19.75948 0.12824
55416.79342 20.08419 0.15683
55419.75121 20.21612 0.20884
55419.79504 20.0591 0.1307
55422.75115 19.87782 0.10241
55422.79487 19.58289 0.07946
55426.80123 19.74174 0.08472
55426.8444 19.84237 0.07178
55429.8142 19.90279 0.10863
55429.85716 19.7384 0.07607
55432.73907 19.81866 0.13901
55438.88857 19.95567 0.14798
55438.89169 19.8884 0.1202
55438.89485 19.89122 0.1024
55438.89798 19.88261 0.09363
55438.90086 19.85809 0.12578
55438.90371 19.81955 0.09635
55438.9065 20.12568 0.1069
55438.90927 20.04535 0.10462
55438.91204 20.29712 0.11767
55438.91487 19.89559 0.11071
55438.91763 19.86487 0.10972
55438.92084 19.93022 0.10826
55438.92394 19.63777 0.09712
55438.92672 20.14607 0.1264
55438.92954 19.92619 0.14138
55438.93259 19.88459 0.15388
55438.93551 20.29356 0.1286
55438.93833 20.2464 0.13897
55438.94106 20.10856 0.1225
55438.94411 20.2021 0.11792
55438.94678 19.87741 0.12851
55438.95017 19.75324 0.12003
55438.95913 20.17117 0.13239
55438.96141 20.05149 0.11326
55441.87301 19.79651 0.05761
55441.87592 19.88743 0.06363
55441.88645 20.01539 0.07269
55441.88962 19.8928 0.06409
55441.89254 20.08257 0.07902
55441.89542 19.83716 0.06085
55441.89828 19.94921 0.06272
55441.90107 19.84294 0.06273
55441.9037 19.97974 0.06811
55441.90634 19.80719 0.05993
55441.90906 19.84449 0.05835
55441.9118 19.91193 0.06196
55441.91445 20.00444 0.06031
55441.91722 19.89666 0.05957
55441.91981 19.96307 0.07172
55441.92242 19.79355 0.06322
55441.92546 19.87305 0.06173
55441.9281 20.03563 0.06741
55441.93183 19.86623 0.05971
55441.93458 19.97573 0.06453
55441.93727 19.99209 0.0687
55441.94048 20.01466 0.0697
55441.94326 19.81228 0.05858
55441.94546 19.84985 0.05875
55441.94852 19.92633 0.06093
55441.95194 19.85921 0.06251
55441.95469 20.03638 0.07135
55441.95786 19.94719 0.06608
55441.96081 19.85762 0.06392
55441.96392 19.86461 0.06413
55441.96715 19.86549 0.06145
55441.97012 19.92528 0.06821
55441.97294 19.82469 0.05787
55441.97532 19.71057 0.07005
55441.97757 20.00147 0.07209
55441.9798 19.87742 0.06473
55441.9835 20.04018 0.06442
55441.9863 19.98239 0.06865
55441.98852 19.9584 0.06914
55441.99078 19.92236 0.06773
55441.99382 19.86502 0.06267
55442.00593 19.9905 0.07312
55442.00906 20.01866 0.06931
55442.01216 19.89407 0.08339
55442.01486 20.07466 0.08131
55442.01753 19.97585 0.10041
55442.02001 19.89475 0.10765
55442.02226 19.91507 0.12803
55444.66648 20.01768 0.16039
55444.67727 20.21852 0.11501
55444.68857 20.13509 0.09748
55444.69526 19.89027 0.08388
55444.70198 20.01696 0.0937
55444.7091 19.88538 0.09259
55444.71487 20.0052 0.08229
55444.72103 20.03382 0.08758
55444.72796 19.82671 0.07348
55444.73377 19.964 0.07429
55444.74094 20.00106 0.07698
55444.74655 19.92265 0.07549
55444.75167 20.00633 0.0852
55444.75678 19.86977 0.07399
55444.76225 19.92829 0.06462
55444.7673 19.90285 0.06664
55444.77353 20.05463 0.0737
55444.77876 19.87847 0.08082
55444.78368 19.91161 0.06942
55444.79848 19.8821 0.06113
55444.80403 19.95324 0.06582
55444.81599 19.9313 0.06541
55444.8213 19.89297 0.06002
55444.83332 19.73938 0.05596
55444.83854 19.8506 0.06368
55444.84549 19.8244 0.05892
55444.85161 19.89295 0.06122
55444.85679 19.84276 0.05791
55444.86267 19.90995 0.06481
55444.86777 20.07953 0.07594
55444.87321 19.83469 0.06223
55444.87872 19.79833 0.06251
55444.88467 19.99952 0.06922
55444.89016 19.92089 0.0713
55444.89581 20.0908 0.07824
55444.90153 19.99651 0.07148
55444.90845 19.88815 0.0688
55444.91349 19.93631 0.06133
55444.92279 19.83455 0.06753
55444.93139 19.90975 0.06267
55444.94041 19.78224 0.06164
55444.94568 19.8053 0.05593
55444.951 19.80991 0.07319
55444.95724 19.8492 0.06112
55444.96289 19.86572 0.05905
55444.96923 19.83484 0.05994
55444.97411 19.9278 0.06818
55444.98062 19.9285 0.06122
55444.98915 19.90128 0.0709
55444.99553 19.92306 0.06879
55445.00157 19.8607 0.06581
55445.00779 19.88442 0.0642
55445.01282 20.01364 0.0745
55445.01777 20.09329 0.0899
55445.02227 20.18664 0.11871
55448.65527 20.08138 0.12789
55448.70146 19.796 0.09312
55451.65338 19.95071 0.0973
55451.70095 20.0001 0.07512
55454.64058 20.26445 0.12818
55454.68793 19.87559 0.10928
55457.63067 19.88398 0.1443
55457.6732 19.83748 0.13534
55460.63624 19.94446 0.11752
55460.72453 19.92106 0.10229
55463.71104 20.06707 0.16491
55466.61784 20.08321 0.14166
55466.61959 20.21559 0.10262
55466.62134 20.04898 0.1044
55466.6231 20.01108 0.12128
55466.62486 19.89856 0.0919
55466.62661 20.18169 0.10007
55466.62943 20.24705 0.12747
55466.63143 19.66717 0.11278
55466.63348 20.00174 0.1019
55466.67604 19.8014 0.13679
55471.77466 19.93257 0.0632
55471.82993 19.85479 0.09367
55477.66775 19.88923 0.08205
55477.71276 19.93945 0.07451
55480.61506 19.94698 0.09041
55480.65805 19.95128 0.08
55484.66377 19.92871 0.08941
55484.70695 19.88392 0.07584
55485.61939 19.9401 0.09801
55485.66329 19.8711 0.0887
55497.84041 20.12685 0.11863
55497.89223 20.28794 0.13667
55514.69377 20.04672 0.09089
55514.73749 19.88528 0.08962
55516.67238 19.87042 0.11037
55517.61497 19.83701 0.0914
55517.6584 20.01566 0.09181
55518.61481 19.91199 0.14356
55518.6578 20.27473 0.18718
55527.74242 20.12825 0.13728
55532.78408 19.8258 0.0687
55532.82836 19.81002 0.07652
55537.58157 20.09616 0.13067
55537.62557 20.07409 0.08311
55538.57995 19.81039 0.07419
