#mjd mag magerr
55069.90327 20.107 0.096
55069.94789 20.032 0.115
55084.86329 20.174 0.171
55089.01521 19.82 0.126
55089.94574 19.765 0.13
55093.83739 20.182 0.096
55093.88195 20.25 0.099
55096.82919 20.231 0.101
55097.00856 20.061 0.14
55114.88119 19.762 0.122
55119.95358 19.989 0.144
55123.75689 20.221 0.118
55126.97949 20.307 0.135
55127.83321 19.931 0.135
55127.87697 20.302 0.147
55142.7035 20.154 0.193
55144.77876 20.295 0.184
55144.82295 19.914 0.141
55151.72933 20.486 0.156
55151.77245 20.197 0.131
55175.61214 20.208 0.1
55175.65673 20.238 0.096
55181.59411 20.289 0.156
55181.63815 20.319 0.165
55183.64244 20.141 0.117
55189.62548 19.974 0.146
55199.58553 20.014 0.104
55202.58662 20.213 0.18
55203.71435 20.083 0.216
55203.75737 19.947 0.18
55207.63087 20.343 0.201
55207.6751 19.941 0.176
55209.59675 20.225 0.101
55209.64144 20.201 0.098
55213.63308 20.092 0.143
55213.67977 20.164 0.158
55384.82673 20.014 0.212
55384.8703 20.196 0.159
55394.7991 20.06 0.142
55395.79554 19.761 0.179
55395.84218 19.892 0.172
55411.79899 20.344 0.194
55412.79543 19.97 0.167
55413.79949 20.093 0.205
55427.84082 20.691 0.131
55428.79284 20.661 0.171
55428.83705 20.576 0.121
55429.81423 20.393 0.139
55430.75772 20.19 0.256
55440.87825 20.585 0.183
55440.88941 20.484 0.136
55440.89834 20.399 0.189
55440.91026 20.643 0.182
55440.91318 20.279 0.142
55440.93365 20.535 0.139
55440.93624 20.202 0.214
55441.87303 20.404 0.115
55441.87593 20.181 0.115
55441.88647 20.478 0.121
55441.89255 20.61 0.132
55441.89544 20.49 0.113
55441.89829 20.544 0.129
55441.90108 20.337 0.116
55441.90371 20.57 0.121
55441.90907 20.573 0.121
55441.91181 20.501 0.113
55441.91446 20.612 0.135
55441.91723 20.768 0.114
55441.92243 20.679 0.126
55441.92811 20.399 0.121
55441.93184 20.662 0.177
55441.9346 20.743 0.136
55441.93729 20.746 0.135
55441.94328 20.514 0.121
55441.94548 20.522 0.131
55441.94854 20.681 0.121
55441.9547 20.621 0.121
55441.95788 20.508 0.143
55441.96083 20.739 0.139
55441.96394 20.722 0.13
55441.96717 20.196 0.112
55441.97013 20.689 0.127
55441.97296 20.643 0.13
55441.97534 20.252 0.115
55441.97759 20.325 0.141
55441.97982 20.662 0.127
55441.98351 20.5 0.169
55441.98631 20.301 0.139
55441.98854 20.359 0.16
55441.99079 20.45 0.128
55441.99384 20.325 0.115
55442.00594 20.165 0.122
55442.00908 20.397 0.126
55442.01217 20.707 0.194
55442.01488 20.448 0.169
55442.01754 20.54 0.154
55442.70383 20.532 0.149
55442.70735 20.299 0.14
55442.71098 20.78 0.162
55442.71449 20.787 0.154
55442.71809 20.558 0.124
55442.72169 20.742 0.153
55442.73273 20.683 0.16
55442.74185 20.522 0.163
55442.74883 20.464 0.112
55442.75573 20.637 0.135
55442.76148 20.541 0.155
55442.76617 20.607 0.13
55442.78136 20.298 0.134
55442.79147 20.48 0.119
55442.79617 20.427 0.119
55442.80187 20.814 0.135
55442.80931 20.404 0.125
55442.81444 20.619 0.136
55442.81941 20.368 0.139
55442.82449 20.379 0.124
55442.82931 20.444 0.107
55442.83543 20.343 0.107
55442.84014 20.288 0.121
55442.84598 20.725 0.126
55442.85658 20.761 0.147
55442.86389 20.545 0.116
55442.87003 20.675 0.141
55442.8805 20.501 0.113
55442.88618 20.37 0.105
55442.89222 20.65 0.134
55442.89786 20.466 0.116
55442.90298 20.296 0.125
55442.90872 20.58 0.111
55442.91369 20.324 0.108
55442.91876 20.395 0.11
55442.92385 20.559 0.108
55442.93038 20.481 0.114
55442.93644 20.709 0.129
55442.9459 20.516 0.152
55442.95167 20.577 0.129
55442.95755 20.829 0.15
55442.96247 20.663 0.156
55442.96834 20.313 0.121
55442.97319 20.501 0.125
55442.97783 20.406 0.137
55442.98722 20.535 0.126
55442.99349 20.721 0.177
55443.00331 20.434 0.127
55443.01003 20.296 0.118
55443.01703 20.634 0.157
55443.6849 20.78 0.177
55443.69288 20.571 0.141
55443.71029 20.718 0.151
55443.71633 20.816 0.155
55443.73601 20.597 0.134
55443.74813 20.499 0.149
55443.75373 20.822 0.129
55443.75947 20.559 0.162
55443.77008 20.193 0.164
55443.78029 20.4 0.161
55443.7854 20.518 0.131
55443.79157 20.214 0.128
55443.79719 20.758 0.145
55443.80303 20.316 0.128
55443.80897 20.461 0.153
55443.82042 20.563 0.131
55443.82635 20.432 0.127
55443.83241 20.45 0.133
55443.83785 20.787 0.129
55443.84417 20.586 0.132
55443.84959 20.607 0.129
55443.85554 20.76 0.13
55443.86253 20.227 0.117
55443.87578 20.43 0.098
55443.88142 20.444 0.126
55443.88894 20.658 0.14
55443.90078 20.404 0.148
55443.90659 20.457 0.14
55443.91236 20.574 0.136
55443.9178 20.43 0.155
55443.92404 20.247 0.157
55443.93497 20.773 0.151
55443.94074 20.662 0.136
55443.94781 20.508 0.136
55443.95356 20.368 0.116
55443.95927 20.352 0.167
55443.96932 20.412 0.148
55443.97557 20.82 0.155
55443.98146 20.305 0.132
55443.98727 20.493 0.127
55443.99457 20.211 0.122
55444.00095 20.295 0.106
55444.00611 20.239 0.115
55444.72797 20.35 0.138
55444.73378 20.706 0.152
55444.74095 20.159 0.123
55444.74655 20.616 0.132
55444.76226 20.17 0.118
55444.77353 20.589 0.138
55444.77877 20.595 0.125
55444.79849 20.272 0.12
55444.82131 20.183 0.13
55444.83334 20.441 0.128
55444.83856 20.272 0.126
55444.8455 20.381 0.141
55444.85162 20.695 0.123
55444.85681 20.793 0.135
55444.86269 20.561 0.183
55444.86778 20.614 0.137
55444.87322 20.569 0.127
55444.87873 20.491 0.143
55444.88468 20.228 0.163
55444.89018 20.592 0.152
55444.90154 20.513 0.133
55444.90846 20.637 0.174
55444.9135 20.794 0.175
55444.9228 20.506 0.121
55444.9314 20.292 0.142
55444.94042 20.615 0.124
55444.94568 20.709 0.138
55444.95101 20.489 0.149
55444.9629 20.588 0.132
55444.96924 20.667 0.137
55444.97411 20.453 0.113
55444.98064 20.707 0.138
55444.98917 20.626 0.135
55444.99554 20.354 0.149
55445.00159 20.732 0.132
55445.01284 20.516 0.127
55445.68423 20.316 0.144
55445.69051 20.724 0.181
55445.69682 20.711 0.153
55445.71535 20.704 0.193
55445.73458 20.222 0.145
55445.74014 20.306 0.148
55445.74561 20.653 0.158
55445.75097 20.432 0.143
55445.75644 20.752 0.141
55445.76785 20.321 0.119
55445.77371 20.371 0.138
55445.77901 20.434 0.157
55445.79026 20.356 0.107
55445.79614 20.406 0.15
55445.81095 20.816 0.147
55445.81845 20.346 0.133
55445.82455 20.287 0.131
55445.83025 20.158 0.109
55445.84021 20.481 0.125
55445.84549 20.394 0.134
55445.85174 20.837 0.173
55445.85763 20.457 0.127
55445.86362 20.701 0.134
55445.86965 20.485 0.111
55445.87569 20.746 0.116
55445.88209 20.463 0.152
55445.89433 20.174 0.142
55445.89984 20.442 0.145
